# _root_ Netameli uçaklardan _ sonuncusunun _ _ iade_edilişiyle birlikte , deve _ kurban_eden ve _ kanlı deve parçalarıyla personele fotoğraflar _ _ _ çektirten kişi , başka nasıl biri _ olabilir ?
#goldHeads=2,4,4,6,6,7,8,11,0,11,12,13,23,15,17,17,22,22,22,21,22,23,24,30,0,27,28,30,30,31,0,
#predictedHeads=2,6,4,6,6,7,8,11,0,11,12,13,14,15,16,17,22,22,20,21,22,23,24,30,0,27,28,30,30,31,0,
(0,9),1.7299 # DEPENDENCYPART_ARC
(0,25),1.43397 # DEPENDENCYPART_ARC
(0,31),3.34957 # DEPENDENCYPART_ARC
(2,1),1.97067 # DEPENDENCYPART_ARC
(2,3),-0.26153 # DEPENDENCYPART_ARC
(2,4),-0.273926 # DEPENDENCYPART_ARC
(2,5),-0.824416 # DEPENDENCYPART_ARC
(3,1),0.234856 # DEPENDENCYPART_ARC
(3,2),1.19461 # DEPENDENCYPART_ARC
(4,1),0.732529 # DEPENDENCYPART_ARC
(4,2),1.24693 # DEPENDENCYPART_ARC
(4,3),2.35289 # DEPENDENCYPART_ARC
(4,5),-0.437408 # DEPENDENCYPART_ARC
(4,6),-1.19875 # DEPENDENCYPART_ARC
(5,1),-0.686014 # DEPENDENCYPART_ARC
(5,2),0.929664 # DEPENDENCYPART_ARC
(5,3),-0.545746 # DEPENDENCYPART_ARC
(5,4),1.30584 # DEPENDENCYPART_ARC
(6,1),-0.0198664 # DEPENDENCYPART_ARC
(6,2),1.40909 # DEPENDENCYPART_ARC
(6,3),-1.43743 # DEPENDENCYPART_ARC
(6,4),2.29813 # DEPENDENCYPART_ARC
(6,5),2.99401 # DEPENDENCYPART_ARC
(6,8),-0.0352043 # DEPENDENCYPART_ARC
(7,1),0.180328 # DEPENDENCYPART_ARC
(7,2),0.26268 # DEPENDENCYPART_ARC
(7,3),-0.691988 # DEPENDENCYPART_ARC
(7,4),2.11682 # DEPENDENCYPART_ARC
(7,5),0.88955 # DEPENDENCYPART_ARC
(7,6),2.57581 # DEPENDENCYPART_ARC
(8,2),0.448693 # DEPENDENCYPART_ARC
(8,4),0.603368 # DEPENDENCYPART_ARC
(8,7),1.4675 # DEPENDENCYPART_ARC
(9,1),-1.17611 # DEPENDENCYPART_ARC
(9,3),-2.70114 # DEPENDENCYPART_ARC
(9,4),-0.273996 # DEPENDENCYPART_ARC
(9,5),-1.87174 # DEPENDENCYPART_ARC
(9,6),-1.15341 # DEPENDENCYPART_ARC
(9,7),-0.263915 # DEPENDENCYPART_ARC
(9,8),-0.346005 # DEPENDENCYPART_ARC
(9,22),-2.0971 # DEPENDENCYPART_ARC
(9,29),-2.17145 # DEPENDENCYPART_ARC
(9,30),-1.48756 # DEPENDENCYPART_ARC
(10,3),-3.77171 # DEPENDENCYPART_ARC
(10,6),-1.32487 # DEPENDENCYPART_ARC
(10,7),-1.59646 # DEPENDENCYPART_ARC
(10,9),-0.104342 # DEPENDENCYPART_ARC
(11,2),0.464603 # DEPENDENCYPART_ARC
(11,4),0.455669 # DEPENDENCYPART_ARC
(11,5),-3.40376 # DEPENDENCYPART_ARC
(11,6),-2.68278 # DEPENDENCYPART_ARC
(11,7),0.141912 # DEPENDENCYPART_ARC
(11,8),0.0232918 # DEPENDENCYPART_ARC
(11,9),-0.0513966 # DEPENDENCYPART_ARC
(11,10),2.33929 # DEPENDENCYPART_ARC
(11,13),0.0959807 # DEPENDENCYPART_ARC
(12,2),-0.43738 # DEPENDENCYPART_ARC
(12,7),0.0499549 # DEPENDENCYPART_ARC
(12,8),-0.0519316 # DEPENDENCYPART_ARC
(12,9),0.132953 # DEPENDENCYPART_ARC
(12,10),1.37635 # DEPENDENCYPART_ARC
(12,11),2.43829 # DEPENDENCYPART_ARC
(12,13),-0.420154 # DEPENDENCYPART_ARC
(13,6),-1.02999 # DEPENDENCYPART_ARC
(13,10),0.519521 # DEPENDENCYPART_ARC
(13,11),0.398911 # DEPENDENCYPART_ARC
(13,12),1.97821 # DEPENDENCYPART_ARC
(14,11),-0.0500904 # DEPENDENCYPART_ARC
(14,12),-0.261207 # DEPENDENCYPART_ARC
(14,13),0.848963 # DEPENDENCYPART_ARC
(15,5),-2.0891 # DEPENDENCYPART_ARC
(15,6),-1.64157 # DEPENDENCYPART_ARC
(15,7),-0.322917 # DEPENDENCYPART_ARC
(15,8),-0.186291 # DEPENDENCYPART_ARC
(15,9),-0.205877 # DEPENDENCYPART_ARC
(15,10),1.20946 # DEPENDENCYPART_ARC
(15,11),0.473145 # DEPENDENCYPART_ARC
(15,12),0.128439 # DEPENDENCYPART_ARC
(15,13),0.815984 # DEPENDENCYPART_ARC
(15,14),3.40711 # DEPENDENCYPART_ARC
(16,1),-1.63542 # DEPENDENCYPART_ARC
(16,3),-6.3777 # DEPENDENCYPART_ARC
(16,9),-0.79585 # DEPENDENCYPART_ARC
(16,10),0.126509 # DEPENDENCYPART_ARC
(16,11),-1.93612 # DEPENDENCYPART_ARC
(16,12),0.124156 # DEPENDENCYPART_ARC
(16,13),-0.0399255 # DEPENDENCYPART_ARC
(16,14),0.416903 # DEPENDENCYPART_ARC
(16,15),2.02471 # DEPENDENCYPART_ARC
(16,17),-0.724525 # DEPENDENCYPART_ARC
(17,1),-1.23826 # DEPENDENCYPART_ARC
(17,3),-6.85818 # DEPENDENCYPART_ARC
(17,9),-0.246011 # DEPENDENCYPART_ARC
(17,10),0.852543 # DEPENDENCYPART_ARC
(17,11),-2.26203 # DEPENDENCYPART_ARC
(17,12),0.212175 # DEPENDENCYPART_ARC
(17,13),0.0902081 # DEPENDENCYPART_ARC
(17,14),0.11951 # DEPENDENCYPART_ARC
(17,15),1.6043 # DEPENDENCYPART_ARC
(17,16),2.7733 # DEPENDENCYPART_ARC
(17,18),0.21984 # DEPENDENCYPART_ARC
(17,19),-1.49211 # DEPENDENCYPART_ARC
(18,12),-0.822328 # DEPENDENCYPART_ARC
(18,14),-2.267 # DEPENDENCYPART_ARC
(18,15),0.369969 # DEPENDENCYPART_ARC
(18,16),-0.0134235 # DEPENDENCYPART_ARC
(18,17),0.40868 # DEPENDENCYPART_ARC
(18,19),-1.37064 # DEPENDENCYPART_ARC
(18,20),-0.681935 # DEPENDENCYPART_ARC
(18,30),-1.74291 # DEPENDENCYPART_ARC
(19,12),-0.640061 # DEPENDENCYPART_ARC
(19,14),-2.80024 # DEPENDENCYPART_ARC
(19,15),0.293291 # DEPENDENCYPART_ARC
(19,16),-0.00468982 # DEPENDENCYPART_ARC
(19,17),-0.749275 # DEPENDENCYPART_ARC
(19,18),1.03707 # DEPENDENCYPART_ARC
(19,20),-0.129266 # DEPENDENCYPART_ARC
(19,21),-0.68788 # DEPENDENCYPART_ARC
(19,30),-1.58856 # DEPENDENCYPART_ARC
(20,8),-0.911676 # DEPENDENCYPART_ARC
(20,14),-3.92061 # DEPENDENCYPART_ARC
(20,15),-0.641325 # DEPENDENCYPART_ARC
(20,16),0.427837 # DEPENDENCYPART_ARC
(20,17),0.572359 # DEPENDENCYPART_ARC
(20,18),1.01628 # DEPENDENCYPART_ARC
(20,19),1.4107 # DEPENDENCYPART_ARC
(20,21),-0.144013 # DEPENDENCYPART_ARC
(20,24),0.465367 # DEPENDENCYPART_ARC
(20,25),-0.59615 # DEPENDENCYPART_ARC
(20,29),-1.11774 # DEPENDENCYPART_ARC
(20,30),-0.601088 # DEPENDENCYPART_ARC
(20,31),-1.37544 # DEPENDENCYPART_ARC
(21,4),-1.00015 # DEPENDENCYPART_ARC
(21,7),-0.984241 # DEPENDENCYPART_ARC
(21,8),-0.809288 # DEPENDENCYPART_ARC
(21,10),-0.0563296 # DEPENDENCYPART_ARC
(21,12),-0.0444687 # DEPENDENCYPART_ARC
(21,14),-4.93593 # DEPENDENCYPART_ARC
(21,16),0.49923 # DEPENDENCYPART_ARC
(21,17),0.561069 # DEPENDENCYPART_ARC
(21,18),0.822216 # DEPENDENCYPART_ARC
(21,19),1.1528 # DEPENDENCYPART_ARC
(21,20),2.57106 # DEPENDENCYPART_ARC
(21,22),-0.588314 # DEPENDENCYPART_ARC
(21,24),-0.503986 # DEPENDENCYPART_ARC
(21,25),-0.697863 # DEPENDENCYPART_ARC
(21,29),-1.67298 # DEPENDENCYPART_ARC
