# _root_ _ İnsanlık , _ Roma_İmparatorluğu döneminin öncesinde bu birleşime çok yaklaşmış , fakat çağdaş bilimin _ doğuşu için Bilimsel_Devrimi _ beklemek zorunda_kalmıştır .
#goldHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
#predictedHeads=2,11,0,5,6,7,11,9,11,11,12,22,23,15,17,17,18,22,20,21,22,23,0,
(0,3),1.52348 # DEPENDENCYPART_ARC
(0,12),0.596501 # DEPENDENCYPART_ARC
(0,23),2.53339 # DEPENDENCYPART_ARC
(1,8),-0.564466 # DEPENDENCYPART_ARC
(2,1),2.55462 # DEPENDENCYPART_ARC
(3,1),-1.08269 # DEPENDENCYPART_ARC
(3,2),0.624237 # DEPENDENCYPART_ARC
(3,11),-1.19823 # DEPENDENCYPART_ARC
(3,22),-1.50264 # DEPENDENCYPART_ARC
(4,2),-0.410424 # DEPENDENCYPART_ARC
(4,3),0.348299 # DEPENDENCYPART_ARC
(4,8),-0.443363 # DEPENDENCYPART_ARC
(5,1),-1.5407 # DEPENDENCYPART_ARC
(5,2),-0.408331 # DEPENDENCYPART_ARC
(5,3),0.403528 # DEPENDENCYPART_ARC
(5,4),2.72777 # DEPENDENCYPART_ARC
(5,8),-0.920615 # DEPENDENCYPART_ARC
(6,3),0.62781 # DEPENDENCYPART_ARC
(6,4),1.3053 # DEPENDENCYPART_ARC
(6,5),3.00902 # DEPENDENCYPART_ARC
(6,8),-0.634127 # DEPENDENCYPART_ARC
(7,2),-1.00005 # DEPENDENCYPART_ARC
(7,3),-0.284673 # DEPENDENCYPART_ARC
(7,4),-0.801868 # DEPENDENCYPART_ARC
(7,5),0.996501 # DEPENDENCYPART_ARC
(7,6),2.95034 # DEPENDENCYPART_ARC
(7,8),0.25103 # DEPENDENCYPART_ARC
(7,9),0.639319 # DEPENDENCYPART_ARC
(7,11),-0.446714 # DEPENDENCYPART_ARC
(7,22),-1.61698 # DEPENDENCYPART_ARC
(8,7),0.177371 # DEPENDENCYPART_ARC
(9,3),-0.53914 # DEPENDENCYPART_ARC
(9,4),-2.45916 # DEPENDENCYPART_ARC
(9,5),-0.411067 # DEPENDENCYPART_ARC
(9,6),-0.68703 # DEPENDENCYPART_ARC
(9,7),-0.355889 # DEPENDENCYPART_ARC
(9,8),1.4887 # DEPENDENCYPART_ARC
(9,10),-0.367446 # DEPENDENCYPART_ARC
(9,22),-3.25487 # DEPENDENCYPART_ARC
(10,4),-0.439028 # DEPENDENCYPART_ARC
(10,5),-0.544663 # DEPENDENCYPART_ARC
(10,6),-0.416841 # DEPENDENCYPART_ARC
(10,7),-0.206895 # DEPENDENCYPART_ARC
(10,8),0.348996 # DEPENDENCYPART_ARC
(10,9),1.39415 # DEPENDENCYPART_ARC
(11,1),-3.64482 # DEPENDENCYPART_ARC
(11,2),1.23653 # DEPENDENCYPART_ARC
(11,3),0.205324 # DEPENDENCYPART_ARC
(11,4),-1.77441 # DEPENDENCYPART_ARC
(11,5),2.0216 # DEPENDENCYPART_ARC
(11,6),0.895302 # DEPENDENCYPART_ARC
(11,7),2.523 # DEPENDENCYPART_ARC
(11,8),0.461698 # DEPENDENCYPART_ARC
(11,9),3.06433 # DEPENDENCYPART_ARC
(11,10),2.14553 # DEPENDENCYPART_ARC
(11,13),-0.392112 # DEPENDENCYPART_ARC
(11,14),-1.15039 # DEPENDENCYPART_ARC
