# _root_ Kopenhag'da otellerin önünde _ bekleyen kızlar , Hamburg'un , Berlin'in ... _ buluşma yerleri ...
#goldHeads=4,3,4,5,6,7,0,9,0,12,0,13,14,15,0,
#predictedHeads=5,3,4,5,6,7,0,9,0,11,0,13,14,15,0,
(0,1),-0.821167 # DEPENDENCYPART_ARC
(0,2),-0.824801 # DEPENDENCYPART_ARC
(0,7),1.81966 # DEPENDENCYPART_ARC
(0,9),1.57744 # DEPENDENCYPART_ARC
(0,11),3.74598 # DEPENDENCYPART_ARC
(0,14),-0.683852 # DEPENDENCYPART_ARC
(0,15),4.69975 # DEPENDENCYPART_ARC
(1,2),-0.340263 # DEPENDENCYPART_ARC
(1,3),-0.946564 # DEPENDENCYPART_ARC
(2,1),0.393827 # DEPENDENCYPART_ARC
(2,3),-1.29237 # DEPENDENCYPART_ARC
(2,4),-0.962345 # DEPENDENCYPART_ARC
(2,12),-1.74282 # DEPENDENCYPART_ARC
(3,1),-0.183355 # DEPENDENCYPART_ARC
(3,2),3.11825 # DEPENDENCYPART_ARC
(3,4),-0.308718 # DEPENDENCYPART_ARC
(3,8),0.117423 # DEPENDENCYPART_ARC
(3,10),0.28676 # DEPENDENCYPART_ARC
(3,12),-1.42039 # DEPENDENCYPART_ARC
(4,1),0.798073 # DEPENDENCYPART_ARC
(4,2),1.85226 # DEPENDENCYPART_ARC
(4,3),2.40382 # DEPENDENCYPART_ARC
(4,6),0.0627821 # DEPENDENCYPART_ARC
(4,8),-1.76644 # DEPENDENCYPART_ARC
(4,9),-1.068 # DEPENDENCYPART_ARC
(4,10),-2.14975 # DEPENDENCYPART_ARC
(4,11),-1.10259 # DEPENDENCYPART_ARC
(4,12),-2.26357 # DEPENDENCYPART_ARC
(4,13),-2.10451 # DEPENDENCYPART_ARC
(4,14),-1.13061 # DEPENDENCYPART_ARC
(4,15),-0.929167 # DEPENDENCYPART_ARC
(5,1),1.19125 # DEPENDENCYPART_ARC
(5,2),1.37495 # DEPENDENCYPART_ARC
(5,3),1.8392 # DEPENDENCYPART_ARC
(5,4),2.36683 # DEPENDENCYPART_ARC
(6,1),-0.0278264 # DEPENDENCYPART_ARC
(6,2),-0.113906 # DEPENDENCYPART_ARC
(6,3),-0.506922 # DEPENDENCYPART_ARC
(6,4),0.462433 # DEPENDENCYPART_ARC
(6,5),2.31878 # DEPENDENCYPART_ARC
(6,7),-0.107177 # DEPENDENCYPART_ARC
(6,8),0.55271 # DEPENDENCYPART_ARC
(6,9),-0.748017 # DEPENDENCYPART_ARC
(6,10),0.161087 # DEPENDENCYPART_ARC
(6,12),-1.72408 # DEPENDENCYPART_ARC
(7,1),0.216146 # DEPENDENCYPART_ARC
(7,2),0.174991 # DEPENDENCYPART_ARC
(7,3),0.365423 # DEPENDENCYPART_ARC
(7,4),-0.67728 # DEPENDENCYPART_ARC
(7,5),0.209319 # DEPENDENCYPART_ARC
(7,6),0.888026 # DEPENDENCYPART_ARC
(7,8),0.263904 # DEPENDENCYPART_ARC
(7,9),-0.618219 # DEPENDENCYPART_ARC
(7,11),-0.666372 # DEPENDENCYPART_ARC
(7,12),-0.89053 # DEPENDENCYPART_ARC
(7,14),-0.205697 # DEPENDENCYPART_ARC
(8,4),-1.4819 # DEPENDENCYPART_ARC
(8,5),-0.153715 # DEPENDENCYPART_ARC
(8,6),-0.698672 # DEPENDENCYPART_ARC
(8,7),1.57028 # DEPENDENCYPART_ARC
(8,10),-0.699992 # DEPENDENCYPART_ARC
(9,4),-1.93679 # DEPENDENCYPART_ARC
(9,5),-0.779106 # DEPENDENCYPART_ARC
(9,6),-0.474561 # DEPENDENCYPART_ARC
(9,7),-0.397517 # DEPENDENCYPART_ARC
(9,8),1.2856 # DEPENDENCYPART_ARC
(9,10),0.24069 # DEPENDENCYPART_ARC
(9,11),-0.545295 # DEPENDENCYPART_ARC
(9,12),-0.591799 # DEPENDENCYPART_ARC
(9,14),-0.302867 # DEPENDENCYPART_ARC
(9,15),-0.880297 # DEPENDENCYPART_ARC
(10,5),-0.279824 # DEPENDENCYPART_ARC
(10,6),-1.13873 # DEPENDENCYPART_ARC
(10,7),-0.0597461 # DEPENDENCYPART_ARC
(10,8),-0.69827 # DEPENDENCYPART_ARC
(10,9),1.41066 # DEPENDENCYPART_ARC
(11,4),-1.72761 # DEPENDENCYPART_ARC
(11,5),-1.52966 # DEPENDENCYPART_ARC
(11,6),-1.21023 # DEPENDENCYPART_ARC
(11,7),-1.15653 # DEPENDENCYPART_ARC
(11,8),-0.572316 # DEPENDENCYPART_ARC
(11,9),-0.776651 # DEPENDENCYPART_ARC
(11,10),0.462544 # DEPENDENCYPART_ARC
(11,12),-0.492394 # DEPENDENCYPART_ARC
(11,13),-0.417141 # DEPENDENCYPART_ARC
(11,14),-0.462137 # DEPENDENCYPART_ARC
(11,15),-0.642804 # DEPENDENCYPART_ARC
(12,1),-0.364676 # DEPENDENCYPART_ARC
(12,2),0.0319219 # DEPENDENCYPART_ARC
(12,3),-0.0373467 # DEPENDENCYPART_ARC
(12,4),-3.76642 # DEPENDENCYPART_ARC
(12,5),-1.07091 # DEPENDENCYPART_ARC
(12,6),-0.360389 # DEPENDENCYPART_ARC
(12,7),-1.58373 # DEPENDENCYPART_ARC
(12,8),-0.321465 # DEPENDENCYPART_ARC
(12,9),-1.14549 # DEPENDENCYPART_ARC
(12,10),0.268157 # DEPENDENCYPART_ARC
(12,11),0.707865 # DEPENDENCYPART_ARC
(12,13),0.144762 # DEPENDENCYPART_ARC
(12,14),0.819815 # DEPENDENCYPART_ARC
(13,2),-1.07106 # DEPENDENCYPART_ARC
(13,3),-1.09167 # DEPENDENCYPART_ARC
(13,5),-0.117532 # DEPENDENCYPART_ARC
(13,6),-0.909848 # DEPENDENCYPART_ARC
(13,7),-0.547417 # DEPENDENCYPART_ARC
(13,8),-0.880296 # DEPENDENCYPART_ARC
(13,9),-0.267723 # DEPENDENCYPART_ARC
(13,10),-0.879049 # DEPENDENCYPART_ARC
(13,11),0.437889 # DEPENDENCYPART_ARC
(13,12),2.4392 # DEPENDENCYPART_ARC
(13,14),-0.716937 # DEPENDENCYPART_ARC
(14,1),-1.63996 # DEPENDENCYPART_ARC
(14,2),-1.50745 # DEPENDENCYPART_ARC
(14,3),-1.80685 # DEPENDENCYPART_ARC
(14,5),0.0899628 # DEPENDENCYPART_ARC
(14,6),-1.57728 # DEPENDENCYPART_ARC
(14,7),0.0804068 # DEPENDENCYPART_ARC
(14,8),-0.864614 # DEPENDENCYPART_ARC
(14,9),0.298096 # DEPENDENCYPART_ARC
(14,10),-0.992573 # DEPENDENCYPART_ARC
(14,11),0.83145 # DEPENDENCYPART_ARC
(14,12),0.514975 # DEPENDENCYPART_ARC
(14,13),1.92692 # DEPENDENCYPART_ARC
(14,15),-0.391738 # DEPENDENCYPART_ARC
(15,1),-0.514313 # DEPENDENCYPART_ARC
(15,3),-0.315147 # DEPENDENCYPART_ARC
(15,4),-2.49234 # DEPENDENCYPART_ARC
(15,5),-1.05424 # DEPENDENCYPART_ARC
(15,6),-0.580401 # DEPENDENCYPART_ARC
(15,7),-0.669355 # DEPENDENCYPART_ARC
(15,9),-0.459996 # DEPENDENCYPART_ARC
(15,10),-0.255345 # DEPENDENCYPART_ARC
(15,11),-0.120417 # DEPENDENCYPART_ARC
(15,12),0.00417954 # DEPENDENCYPART_ARC
(15,13),0.159501 # DEPENDENCYPART_ARC
(15,14),0.432433 # DEPENDENCYPART_ARC
