# _root_ En zıt fikirler _ ileri_sürülüyor , kimse kimseye hakaret_etmiyor , tarizde _ bulunmuyordu .
#goldHeads=2,3,4,5,6,9,9,9,10,13,13,13,14,0,
#predictedHeads=2,3,5,5,6,9,9,9,10,13,13,13,14,0,
(0,5),-1.79469 # DEPENDENCYPART_ARC
(0,6),0.70368 # DEPENDENCYPART_ARC
(0,10),0.580783 # DEPENDENCYPART_ARC
(0,14),2.12806 # DEPENDENCYPART_ARC
(2,1),1.38072 # DEPENDENCYPART_ARC
(2,3),0.0922063 # DEPENDENCYPART_ARC
(2,7),-0.761456 # DEPENDENCYPART_ARC
(2,11),-0.965207 # DEPENDENCYPART_ARC
(3,1),0.29246 # DEPENDENCYPART_ARC
(3,2),2.27366 # DEPENDENCYPART_ARC
(3,4),0.150015 # DEPENDENCYPART_ARC
(3,8),-0.285148 # DEPENDENCYPART_ARC
(3,13),-1.79037 # DEPENDENCYPART_ARC
(4,1),-0.223221 # DEPENDENCYPART_ARC
(4,2),-0.0082137 # DEPENDENCYPART_ARC
(4,3),1.4182 # DEPENDENCYPART_ARC
(4,6),-0.157911 # DEPENDENCYPART_ARC
(4,7),-0.598835 # DEPENDENCYPART_ARC
(4,8),-0.784417 # DEPENDENCYPART_ARC
(4,9),-0.403783 # DEPENDENCYPART_ARC
(4,11),-1.3964 # DEPENDENCYPART_ARC
(4,12),-1.15626 # DEPENDENCYPART_ARC
(4,13),-0.337759 # DEPENDENCYPART_ARC
(4,14),-1.03458 # DEPENDENCYPART_ARC
(5,1),0.122205 # DEPENDENCYPART_ARC
(5,2),0.452936 # DEPENDENCYPART_ARC
(5,3),2.328 # DEPENDENCYPART_ARC
(5,4),2.26541 # DEPENDENCYPART_ARC
(5,6),-0.769274 # DEPENDENCYPART_ARC
(5,7),-1.00312 # DEPENDENCYPART_ARC
(5,8),-1.96175 # DEPENDENCYPART_ARC
(5,9),-1.63277 # DEPENDENCYPART_ARC
(5,10),-1.42852 # DEPENDENCYPART_ARC
(5,11),-1.66662 # DEPENDENCYPART_ARC
(5,12),-1.44986 # DEPENDENCYPART_ARC
(5,13),-2.10775 # DEPENDENCYPART_ARC
(5,14),-1.87247 # DEPENDENCYPART_ARC
(6,1),-0.447259 # DEPENDENCYPART_ARC
(6,2),-0.49364 # DEPENDENCYPART_ARC
(6,3),0.229826 # DEPENDENCYPART_ARC
(6,4),-1.19555 # DEPENDENCYPART_ARC
(6,5),1.52744 # DEPENDENCYPART_ARC
(6,7),-0.140752 # DEPENDENCYPART_ARC
(6,8),-0.346141 # DEPENDENCYPART_ARC
(6,9),-0.583754 # DEPENDENCYPART_ARC
(6,10),-1.06995 # DEPENDENCYPART_ARC
(6,12),-1.07182 # DEPENDENCYPART_ARC
(6,13),-0.424752 # DEPENDENCYPART_ARC
(7,2),-1.20657 # DEPENDENCYPART_ARC
(7,3),-1.75975 # DEPENDENCYPART_ARC
(7,4),-1.11734 # DEPENDENCYPART_ARC
(7,5),-1.64561 # DEPENDENCYPART_ARC
(7,6),-0.40988 # DEPENDENCYPART_ARC
(7,8),-0.375149 # DEPENDENCYPART_ARC
(7,9),-0.92497 # DEPENDENCYPART_ARC
(7,10),0.0272082 # DEPENDENCYPART_ARC
(7,11),-1.89745 # DEPENDENCYPART_ARC
(7,12),-1.34844 # DEPENDENCYPART_ARC
(7,13),-2.12439 # DEPENDENCYPART_ARC
(8,2),-1.09949 # DEPENDENCYPART_ARC
(8,3),-1.75248 # DEPENDENCYPART_ARC
(8,4),-1.75275 # DEPENDENCYPART_ARC
(8,5),-1.63998 # DEPENDENCYPART_ARC
(8,6),-0.270727 # DEPENDENCYPART_ARC
(8,7),1.63377 # DEPENDENCYPART_ARC
(8,9),-0.140263 # DEPENDENCYPART_ARC
(8,10),0.272137 # DEPENDENCYPART_ARC
(8,11),-1.82493 # DEPENDENCYPART_ARC
(8,12),-0.841672 # DEPENDENCYPART_ARC
(8,13),-1.77566 # DEPENDENCYPART_ARC
(9,1),-0.901613 # DEPENDENCYPART_ARC
(9,2),-0.399867 # DEPENDENCYPART_ARC
(9,3),0.186291 # DEPENDENCYPART_ARC
(9,4),-2.49135 # DEPENDENCYPART_ARC
(9,5),-0.563058 # DEPENDENCYPART_ARC
(9,6),1.49472 # DEPENDENCYPART_ARC
(9,7),2.19615 # DEPENDENCYPART_ARC
(9,8),2.66787 # DEPENDENCYPART_ARC
(9,10),-0.684059 # DEPENDENCYPART_ARC
(9,11),-1.35582 # DEPENDENCYPART_ARC
(9,12),-1.00768 # DEPENDENCYPART_ARC
(9,13),-1.30703 # DEPENDENCYPART_ARC
(9,14),-1.75996 # DEPENDENCYPART_ARC
(10,1),-0.780359 # DEPENDENCYPART_ARC
(10,4),-2.88654 # DEPENDENCYPART_ARC
