# _root_ Siz olmasanız , ben olmasam , yani nasıl ...
#goldHeads=2,3,5,5,6,8,9,9,0,
#predictedHeads=2,3,5,5,6,0,9,9,0,
(0,2),-1.0411 # DEPENDENCYPART_ARC
(0,3),0.44995 # DEPENDENCYPART_ARC
(0,5),-1.48986 # DEPENDENCYPART_ARC
(0,6),0.215663 # DEPENDENCYPART_ARC
(0,7),-0.571069 # DEPENDENCYPART_ARC
(0,9),1.9534 # DEPENDENCYPART_ARC
(1,7),0.238061 # DEPENDENCYPART_ARC
(2,1),2.96415 # DEPENDENCYPART_ARC
(2,3),-0.581387 # DEPENDENCYPART_ARC
(2,4),-0.47319 # DEPENDENCYPART_ARC
(2,5),-1.61482 # DEPENDENCYPART_ARC
(2,6),-1.24284 # DEPENDENCYPART_ARC
(2,8),-1.39297 # DEPENDENCYPART_ARC
(2,9),-1.72776 # DEPENDENCYPART_ARC
(3,1),-0.328803 # DEPENDENCYPART_ARC
(3,2),1.24118 # DEPENDENCYPART_ARC
(3,5),-0.191101 # DEPENDENCYPART_ARC
(3,6),-0.678722 # DEPENDENCYPART_ARC
(3,9),-0.664011 # DEPENDENCYPART_ARC
(4,3),0.139013 # DEPENDENCYPART_ARC
(4,7),-0.131342 # DEPENDENCYPART_ARC
(5,1),0.922982 # DEPENDENCYPART_ARC
(5,2),0.246568 # DEPENDENCYPART_ARC
(5,3),1.66099 # DEPENDENCYPART_ARC
(5,4),3.53904 # DEPENDENCYPART_ARC
(5,6),-0.871162 # DEPENDENCYPART_ARC
(5,7),-0.644818 # DEPENDENCYPART_ARC
(5,8),-1.20287 # DEPENDENCYPART_ARC
(5,9),-1.92098 # DEPENDENCYPART_ARC
(6,1),-1.00613 # DEPENDENCYPART_ARC
(6,2),-0.730848 # DEPENDENCYPART_ARC
(6,3),0.298248 # DEPENDENCYPART_ARC
(6,4),-0.346086 # DEPENDENCYPART_ARC
(6,5),0.88512 # DEPENDENCYPART_ARC
(6,7),-0.401874 # DEPENDENCYPART_ARC
(6,8),-0.410259 # DEPENDENCYPART_ARC
(6,9),-0.7626 # DEPENDENCYPART_ARC
(7,2),-0.746948 # DEPENDENCYPART_ARC
(7,5),-0.108912 # DEPENDENCYPART_ARC
(7,6),-0.172406 # DEPENDENCYPART_ARC
(7,8),0.0506156 # DEPENDENCYPART_ARC
(8,3),-1.20547 # DEPENDENCYPART_ARC
(8,4),-1.05069 # DEPENDENCYPART_ARC
(8,6),-0.59996 # DEPENDENCYPART_ARC
(8,7),0.00637462 # DEPENDENCYPART_ARC
(9,1),-0.53526 # DEPENDENCYPART_ARC
(9,2),-0.184377 # DEPENDENCYPART_ARC
(9,3),-0.835909 # DEPENDENCYPART_ARC
(9,4),-0.813159 # DEPENDENCYPART_ARC
(9,5),0.664905 # DEPENDENCYPART_ARC
(9,6),-0.549433 # DEPENDENCYPART_ARC
(9,7),0.47295 # DEPENDENCYPART_ARC
(9,8),0.450309 # DEPENDENCYPART_ARC
