# _root_ Bu rolünün uzun bir dönem _ devam_etmesi , döviz kurlarının nerede _ olmasını _ istemenize _ _ bağlı_olarak , enflasyon _ hedeflemesinin rafa _ _ kaldırılması mecburiyetini _ doğurur .
#goldHeads=2,6,5,5,6,7,29,0,10,12,12,13,14,15,17,17,18,25,0,22,22,25,25,25,26,27,29,29,30,0,
#predictedHeads=2,7,5,5,7,7,8,0,10,12,12,13,14,15,17,17,18,29,0,22,22,26,26,25,26,27,29,29,30,0,
(0,8),1.60016 # DEPENDENCYPART_ARC
(0,19),1.66776 # DEPENDENCYPART_ARC
(0,30),2.3296 # DEPENDENCYPART_ARC
(2,1),2.04212 # DEPENDENCYPART_ARC
(2,3),-0.51789 # DEPENDENCYPART_ARC
(2,4),-0.874262 # DEPENDENCYPART_ARC
(3,1),-0.108802 # DEPENDENCYPART_ARC
(3,2),0.916938 # DEPENDENCYPART_ARC
(3,27),-2.15158 # DEPENDENCYPART_ARC
(4,3),0.205494 # DEPENDENCYPART_ARC
(5,1),0.460389 # DEPENDENCYPART_ARC
(5,2),0.0779649 # DEPENDENCYPART_ARC
(5,3),1.67797 # DEPENDENCYPART_ARC
(5,4),2.13094 # DEPENDENCYPART_ARC
(5,6),-0.257361 # DEPENDENCYPART_ARC
(6,1),-0.374117 # DEPENDENCYPART_ARC
(6,2),1.3201 # DEPENDENCYPART_ARC
(6,3),-0.479604 # DEPENDENCYPART_ARC
(6,4),-0.162636 # DEPENDENCYPART_ARC
(6,5),2.18384 # DEPENDENCYPART_ARC
(6,7),0.481284 # DEPENDENCYPART_ARC
(6,8),-0.229013 # DEPENDENCYPART_ARC
(6,12),-1.80736 # DEPENDENCYPART_ARC
(6,14),-1.92749 # DEPENDENCYPART_ARC
(7,1),0.205573 # DEPENDENCYPART_ARC
(7,2),1.73111 # DEPENDENCYPART_ARC
(7,3),0.756397 # DEPENDENCYPART_ARC
(7,4),1.08255 # DEPENDENCYPART_ARC
(7,5),2.28574 # DEPENDENCYPART_ARC
(7,6),3.19602 # DEPENDENCYPART_ARC
(8,1),-0.758939 # DEPENDENCYPART_ARC
(8,3),-0.591003 # DEPENDENCYPART_ARC
(8,4),-0.635155 # DEPENDENCYPART_ARC
(8,5),0.278941 # DEPENDENCYPART_ARC
(8,6),-0.712586 # DEPENDENCYPART_ARC
(8,7),0.806035 # DEPENDENCYPART_ARC
(8,14),-1.03855 # DEPENDENCYPART_ARC
(8,17),-1.0572 # DEPENDENCYPART_ARC
(8,25),-2.18221 # DEPENDENCYPART_ARC
(8,28),-2.31199 # DEPENDENCYPART_ARC
(8,29),-1.27228 # DEPENDENCYPART_ARC
(9,1),-1.32377 # DEPENDENCYPART_ARC
(9,3),-1.31398 # DEPENDENCYPART_ARC
(9,4),-0.348868 # DEPENDENCYPART_ARC
(9,6),-0.352978 # DEPENDENCYPART_ARC
(9,7),-0.846102 # DEPENDENCYPART_ARC
(9,8),0.315459 # DEPENDENCYPART_ARC
(9,10),-0.269509 # DEPENDENCYPART_ARC
(9,12),-1.29173 # DEPENDENCYPART_ARC
(10,1),-0.696163 # DEPENDENCYPART_ARC
(10,3),-0.676501 # DEPENDENCYPART_ARC
(10,4),0.313972 # DEPENDENCYPART_ARC
(10,6),-0.991207 # DEPENDENCYPART_ARC
(10,7),-0.494041 # DEPENDENCYPART_ARC
(10,8),0.731704 # DEPENDENCYPART_ARC
(10,9),3.00958 # DEPENDENCYPART_ARC
(10,12),-0.552165 # DEPENDENCYPART_ARC
(11,9),-0.210786 # DEPENDENCYPART_ARC
(11,10),1.9786 # DEPENDENCYPART_ARC
(12,1),-0.38972 # DEPENDENCYPART_ARC
(12,2),0.442501 # DEPENDENCYPART_ARC
(12,5),0.0998594 # DEPENDENCYPART_ARC
(12,6),-2.9962 # DEPENDENCYPART_ARC
(12,7),-0.384193 # DEPENDENCYPART_ARC
(12,8),-0.193709 # DEPENDENCYPART_ARC
(12,9),0.976415 # DEPENDENCYPART_ARC
(12,10),2.33051 # DEPENDENCYPART_ARC
(12,11),2.04806 # DEPENDENCYPART_ARC
(12,13),0.243251 # DEPENDENCYPART_ARC
(12,14),-0.866798 # DEPENDENCYPART_ARC
(13,2),0.997454 # DEPENDENCYPART_ARC
(13,3),-0.887922 # DEPENDENCYPART_ARC
(13,5),-0.125138 # DEPENDENCYPART_ARC
(13,7),-0.394262 # DEPENDENCYPART_ARC
(13,8),-0.0138162 # DEPENDENCYPART_ARC
(13,9),1.24434 # DEPENDENCYPART_ARC
(13,10),2.0288 # DEPENDENCYPART_ARC
(13,11),1.10494 # DEPENDENCYPART_ARC
(13,12),2.26913 # DEPENDENCYPART_ARC
(14,2),-0.0672355 # DEPENDENCYPART_ARC
(14,5),-0.528338 # DEPENDENCYPART_ARC
(14,7),-0.984563 # DEPENDENCYPART_ARC
(14,8),-0.581147 # DEPENDENCYPART_ARC
(14,9),0.22033 # DEPENDENCYPART_ARC
(14,10),1.2059 # DEPENDENCYPART_ARC
(14,11),0.374298 # DEPENDENCYPART_ARC
(14,12),-0.529668 # DEPENDENCYPART_ARC
(14,13),2.23638 # DEPENDENCYPART_ARC
(14,15),-0.402321 # DEPENDENCYPART_ARC
(14,16),-1.12374 # DEPENDENCYPART_ARC
(15,8),-0.347095 # DEPENDENCYPART_ARC
(15,9),0.101011 # DEPENDENCYPART_ARC
(15,10),0.171275 # DEPENDENCYPART_ARC
(15,13),-0.664904 # DEPENDENCYPART_ARC
(15,14),2.07526 # DEPENDENCYPART_ARC
(15,16),-1.27447 # DEPENDENCYPART_ARC
(16,9),-0.0799215 # DEPENDENCYPART_ARC
(16,10),-1.53029 # DEPENDENCYPART_ARC
(16,12),-1.58277 # DEPENDENCYPART_ARC
(16,13),-0.611224 # DEPENDENCYPART_ARC
(16,14),0.342147 # DEPENDENCYPART_ARC
(16,15),1.15814 # DEPENDENCYPART_ARC
(16,17),-0.565833 # DEPENDENCYPART_ARC
(17,2),0.0654654 # DEPENDENCYPART_ARC
(17,5),-0.44718 # DEPENDENCYPART_ARC
(17,6),-8.40483 # DEPENDENCYPART_ARC
(17,7),-0.521368 # DEPENDENCYPART_ARC
(17,8),-0.405815 # DEPENDENCYPART_ARC
(17,9),0.544801 # DEPENDENCYPART_ARC
(17,10),1.4108 # DEPENDENCYPART_ARC
(17,11),0.179066 # DEPENDENCYPART_ARC
(17,12),-3.67861 # DEPENDENCYPART_ARC
(17,13),1.22178 # DEPENDENCYPART_ARC
(17,14),-1.19777 # DEPENDENCYPART_ARC
(17,15),1.99068 # DEPENDENCYPART_ARC
(17,16),3.07962 # DEPENDENCYPART_ARC
(17,19),-1.037 # DEPENDENCYPART_ARC
(17,26),-2.09923 # DEPENDENCYPART_ARC
(17,29),-1.55992 # DEPENDENCYPART_ARC
(18,2),-0.0717387 # DEPENDENCYPART_ARC
(18,5),0.229608 # DEPENDENCYPART_ARC
(18,7),-0.0744517 # DEPENDENCYPART_ARC
(18,9),0.666319 # DEPENDENCYPART_ARC
(18,10),0.272907 # DEPENDENCYPART_ARC
(18,13),1.42215 # DEPENDENCYPART_ARC
(18,15),1.1193 # DEPENDENCYPART_ARC
(18,16),1.71983 # DEPENDENCYPART_ARC
(18,17),2.80494 # DEPENDENCYPART_ARC
(19,1),-1.12231 # DEPENDENCYPART_ARC
(19,4),-1.15014 # DEPENDENCYPART_ARC
(19,6),-4.23748 # DEPENDENCYPART_ARC
(19,12),-2.38037 # DEPENDENCYPART_ARC
(19,13),0.0309983 # DEPENDENCYPART_ARC
(19,14),-2.00113 # DEPENDENCYPART_ARC
(19,15),0.0200787 # DEPENDENCYPART_ARC
(19,16),-0.620987 # DEPENDENCYPART_ARC
(19,17),-0.602176 # DEPENDENCYPART_ARC
(19,18),-0.111199 # DEPENDENCYPART_ARC
(19,20),-0.267791 # DEPENDENCYPART_ARC
(19,21),-1.05334 # DEPENDENCYPART_ARC
(19,24),-1.27195 # DEPENDENCYPART_ARC
(19,25),-1.27908 # DEPENDENCYPART_ARC
(19,27),-0.699671 # DEPENDENCYPART_ARC
(19,28),-1.47648 # DEPENDENCYPART_ARC
(19,29),-0.952596 # DEPENDENCYPART_ARC
(20,4),-0.974949 # DEPENDENCYPART_ARC
(20,17),-0.11277 # DEPENDENCYPART_ARC
(20,18),-0.725739 # DEPENDENCYPART_ARC
(20,19),-0.0725703 # DEPENDENCYPART_ARC
(20,21),-0.471888 # DEPENDENCYPART_ARC
(20,22),-0.166981 # DEPENDENCYPART_ARC
(20,23),-0.797701 # DEPENDENCYPART_ARC
(20,24),-0.714968 # DEPENDENCYPART_ARC
(21,13),-0.37453 # DEPENDENCYPART_ARC
(21,15),0.024247 # DEPENDENCYPART_ARC
(21,16),-2.05943 # DEPENDENCYPART_ARC
(21,17),-1.79095 # DEPENDENCYPART_ARC
(21,18),0.0253323 # DEPENDENCYPART_ARC
(21,19),-0.419085 # DEPENDENCYPART_ARC
(21,20),1.94617 # DEPENDENCYPART_ARC
(21,22),-0.592593 # DEPENDENCYPART_ARC
(21,23),-0.248207 # DEPENDENCYPART_ARC
(21,24),-1.12534 # DEPENDENCYPART_ARC
(21,25),-1.4526 # DEPENDENCYPART_ARC
(21,26),-0.993053 # DEPENDENCYPART_ARC
(21,27),-0.911294 # DEPENDENCYPART_ARC
(21,28),-1.42334 # DEPENDENCYPART_ARC
(22,15),-0.681133 # DEPENDENCYPART_ARC
(22,16),-1.07392 # DEPENDENCYPART_ARC
(22,18),-0.0521817 # DEPENDENCYPART_ARC
(22,19),-0.0574906 # DEPENDENCYPART_ARC
(22,20),2.5645 # DEPENDENCYPART_ARC
(22,21),2.53551 # DEPENDENCYPART_ARC
(22,23),-0.374885 # DEPENDENCYPART_ARC
(22,26),-0.489865 # DEPENDENCYPART_ARC
(23,15),-2.44226 # DEPENDENCYPART_ARC
(23,17),-2.21414 # DEPENDENCYPART_ARC
(23,19),-0.665848 # DEPENDENCYPART_ARC
(23,20),-0.09283 # DEPENDENCYPART_ARC
(23,21),-0.270076 # DEPENDENCYPART_ARC
(23,22),1.25838 # DEPENDENCYPART_ARC
(23,24),-0.216454 # DEPENDENCYPART_ARC
(23,25),-1.17928 # DEPENDENCYPART_ARC
(23,26),-0.638727 # DEPENDENCYPART_ARC
(23,27),-1.18287 # DEPENDENCYPART_ARC
(24,18),-0.73101 # DEPENDENCYPART_ARC
(24,20),0.0984531 # DEPENDENCYPART_ARC
(24,21),-1.53402 # DEPENDENCYPART_ARC
(24,22),0.757114 # DEPENDENCYPART_ARC
(24,23),1.39829 # DEPENDENCYPART_ARC
(24,25),-0.18913 # DEPENDENCYPART_ARC
(24,26),0.341824 # DEPENDENCYPART_ARC
(24,27),-0.250089 # DEPENDENCYPART_ARC
(24,28),-0.712153 # DEPENDENCYPART_ARC
(25,5),-0.777943 # DEPENDENCYPART_ARC
(25,13),-0.870454 # DEPENDENCYPART_ARC
(25,14),-8.89395 # DEPENDENCYPART_ARC
(25,15),-0.750364 # DEPENDENCYPART_ARC
(25,16),-6.40547 # DEPENDENCYPART_ARC
(25,17),-5.91592 # DEPENDENCYPART_ARC
(25,18),-0.252301 # DEPENDENCYPART_ARC
(25,19),-0.588792 # DEPENDENCYPART_ARC
(25,20),0.603221 # DEPENDENCYPART_ARC
(25,21),-2.68084 # DEPENDENCYPART_ARC
(25,22),1.11724 # DEPENDENCYPART_ARC
(25,23),1.63598 # DEPENDENCYPART_ARC
(25,24),2.73659 # DEPENDENCYPART_ARC
(25,26),0.382287 # DEPENDENCYPART_ARC
(25,27),-0.142443 # DEPENDENCYPART_ARC
(25,28),-1.1796 # DEPENDENCYPART_ARC
(26,16),-3.55268 # DEPENDENCYPART_ARC
(26,18),-0.18733 # DEPENDENCYPART_ARC
(26,19),-0.487534 # DEPENDENCYPART_ARC
(26,20),1.38051 # DEPENDENCYPART_ARC
(26,22),1.71098 # DEPENDENCYPART_ARC
(26,23),1.68012 # DEPENDENCYPART_ARC
(26,24),0.709029 # DEPENDENCYPART_ARC
(26,25),2.41613 # DEPENDENCYPART_ARC
(26,27),-0.411509 # DEPENDENCYPART_ARC
(27,20),0.234297 # DEPENDENCYPART_ARC
(27,21),-2.05655 # DEPENDENCYPART_ARC
(27,22),1.66687 # DEPENDENCYPART_ARC
(27,23),0.528128 # DEPENDENCYPART_ARC
(27,24),-0.75477 # DEPENDENCYPART_ARC
(27,25),0.0944876 # DEPENDENCYPART_ARC
(27,26),2.95408 # DEPENDENCYPART_ARC
(27,28),-0.290854 # DEPENDENCYPART_ARC
(28,18),-0.800853 # DEPENDENCYPART_ARC
(28,20),-0.36071 # DEPENDENCYPART_ARC
(28,21),-6.08449 # DEPENDENCYPART_ARC
(28,22),-0.139073 # DEPENDENCYPART_ARC
(28,23),0.113722 # DEPENDENCYPART_ARC
(28,24),-2.71187 # DEPENDENCYPART_ARC
(28,25),-1.51826 # DEPENDENCYPART_ARC
(28,26),0.817604 # DEPENDENCYPART_ARC
(28,27),1.47412 # DEPENDENCYPART_ARC
(28,29),0.248774 # DEPENDENCYPART_ARC
(29,2),-2.12633 # DEPENDENCYPART_ARC
(29,5),-0.817066 # DEPENDENCYPART_ARC
(29,6),-14.7977 # DEPENDENCYPART_ARC
(29,7),-0.619702 # DEPENDENCYPART_ARC
(29,8),-1.65743 # DEPENDENCYPART_ARC
(29,9),-0.756176 # DEPENDENCYPART_ARC
(29,10),-1.32562 # DEPENDENCYPART_ARC
(29,12),-11.457 # DEPENDENCYPART_ARC
(29,13),-0.450193 # DEPENDENCYPART_ARC
(29,14),-10.1325 # DEPENDENCYPART_ARC
(29,15),-1.15751 # DEPENDENCYPART_ARC
(29,16),-7.88963 # DEPENDENCYPART_ARC
(29,17),-7.75604 # DEPENDENCYPART_ARC
(29,18),0.764607 # DEPENDENCYPART_ARC
(29,19),-0.0046526 # DEPENDENCYPART_ARC
(29,20),0.724702 # DEPENDENCYPART_ARC
(29,21),-5.20743 # DEPENDENCYPART_ARC
(29,22),-0.958077 # DEPENDENCYPART_ARC
(29,23),0.541598 # DEPENDENCYPART_ARC
(29,24),-2.20903 # DEPENDENCYPART_ARC
(29,25),-2.18458 # DEPENDENCYPART_ARC
(29,26),1.38366 # DEPENDENCYPART_ARC
(29,27),1.88936 # DEPENDENCYPART_ARC
(29,28),2.39427 # DEPENDENCYPART_ARC
(30,3),-2.88965 # DEPENDENCYPART_ARC
(30,4),-0.229098 # DEPENDENCYPART_ARC
(30,6),-9.17368 # DEPENDENCYPART_ARC
(30,12),-7.08027 # DEPENDENCYPART_ARC
(30,14),-6.28202 # DEPENDENCYPART_ARC
(30,17),-5.32566 # DEPENDENCYPART_ARC
(30,18),-0.576872 # DEPENDENCYPART_ARC
(30,19),-0.674124 # DEPENDENCYPART_ARC
(30,21),-3.78955 # DEPENDENCYPART_ARC
(30,22),-0.0339029 # DEPENDENCYPART_ARC
(30,23),0.0139274 # DEPENDENCYPART_ARC
(30,24),-2.66646 # DEPENDENCYPART_ARC
(30,25),-2.22034 # DEPENDENCYPART_ARC
(30,26),0.0013174 # DEPENDENCYPART_ARC
(30,27),0.188117 # DEPENDENCYPART_ARC
(30,28),-0.868673 # DEPENDENCYPART_ARC
(30,29),1.56851 # DEPENDENCYPART_ARC
