# _root_ Buyur , Ayşe abla , geç sofraya .
#goldHeads=5,0,4,1,0,8,6,0,
#predictedHeads=2,0,4,5,7,8,6,0,
(0,1),-1.31378 # DEPENDENCYPART_ARC
(0,2),0.68581 # DEPENDENCYPART_ARC
(0,3),-1.26271 # DEPENDENCYPART_ARC
(0,4),-1.28006 # DEPENDENCYPART_ARC
(0,5),0.313838 # DEPENDENCYPART_ARC
(0,6),-1.90069 # DEPENDENCYPART_ARC
(0,7),-1.02605 # DEPENDENCYPART_ARC
(0,8),2.2161 # DEPENDENCYPART_ARC
(1,2),-0.771853 # DEPENDENCYPART_ARC
(1,3),-0.584443 # DEPENDENCYPART_ARC
(1,4),-0.409931 # DEPENDENCYPART_ARC
(1,5),-1.00713 # DEPENDENCYPART_ARC
(1,6),-1.32816 # DEPENDENCYPART_ARC
(1,7),-0.178203 # DEPENDENCYPART_ARC
(1,8),-1.71129 # DEPENDENCYPART_ARC
(2,1),1.2251 # DEPENDENCYPART_ARC
(2,3),0.0759018 # DEPENDENCYPART_ARC
(2,4),-0.174105 # DEPENDENCYPART_ARC
(2,5),-0.650525 # DEPENDENCYPART_ARC
(2,6),-0.40244 # DEPENDENCYPART_ARC
(2,7),-0.230327 # DEPENDENCYPART_ARC
(2,8),-1.04765 # DEPENDENCYPART_ARC
(3,1),-0.913431 # DEPENDENCYPART_ARC
(3,2),-0.339071 # DEPENDENCYPART_ARC
(3,4),0.192184 # DEPENDENCYPART_ARC
(4,1),-0.754171 # DEPENDENCYPART_ARC
(4,2),0.0661202 # DEPENDENCYPART_ARC
(4,3),1.75025 # DEPENDENCYPART_ARC
(4,5),-0.259142 # DEPENDENCYPART_ARC
(4,6),-1.81869 # DEPENDENCYPART_ARC
(4,7),-0.631223 # DEPENDENCYPART_ARC
(5,1),0.148457 # DEPENDENCYPART_ARC
(5,2),-0.362334 # DEPENDENCYPART_ARC
(5,3),0.253053 # DEPENDENCYPART_ARC
(5,4),0.622736 # DEPENDENCYPART_ARC
(5,6),-0.22724 # DEPENDENCYPART_ARC
(5,7),-0.219054 # DEPENDENCYPART_ARC
(5,8),-0.850973 # DEPENDENCYPART_ARC
(6,1),-0.813178 # DEPENDENCYPART_ARC
(6,2),-1.36676 # DEPENDENCYPART_ARC
(6,3),-0.813444 # DEPENDENCYPART_ARC
(6,4),-0.596871 # DEPENDENCYPART_ARC
(6,5),0.248984 # DEPENDENCYPART_ARC
(6,7),2.40993 # DEPENDENCYPART_ARC
(6,8),-0.418282 # DEPENDENCYPART_ARC
(7,1),-1.23246 # DEPENDENCYPART_ARC
(7,2),-0.994903 # DEPENDENCYPART_ARC
(7,3),-0.846829 # DEPENDENCYPART_ARC
(7,4),-1.17742 # DEPENDENCYPART_ARC
(7,5),0.346876 # DEPENDENCYPART_ARC
(7,6),0.144591 # DEPENDENCYPART_ARC
(7,8),0.0338515 # DEPENDENCYPART_ARC
(8,1),0.400544 # DEPENDENCYPART_ARC
(8,2),-0.639471 # DEPENDENCYPART_ARC
(8,3),-0.121878 # DEPENDENCYPART_ARC
(8,4),-0.411456 # DEPENDENCYPART_ARC
(8,5),0.0484836 # DEPENDENCYPART_ARC
(8,6),1.82631 # DEPENDENCYPART_ARC
(8,7),0.133066 # DEPENDENCYPART_ARC
