# _root_ _ Elleşme , tamam , dedi .
#goldHeads=2,3,4,5,6,7,0,
#predictedHeads=2,3,6,5,6,7,0,
(0,1),-1.11993 # DEPENDENCYPART_ARC
(0,2),-1.60672 # DEPENDENCYPART_ARC
(0,3),0.369264 # DEPENDENCYPART_ARC
(0,4),-1.32441 # DEPENDENCYPART_ARC
(0,5),0.427426 # DEPENDENCYPART_ARC
(0,6),-2.00192 # DEPENDENCYPART_ARC
(0,7),1.68988 # DEPENDENCYPART_ARC
(1,2),-0.217609 # DEPENDENCYPART_ARC
(1,3),0.749885 # DEPENDENCYPART_ARC
(1,4),-0.376208 # DEPENDENCYPART_ARC
(1,6),-2.00842 # DEPENDENCYPART_ARC
(2,1),3.33702 # DEPENDENCYPART_ARC
(2,3),-1.05653 # DEPENDENCYPART_ARC
(2,4),-0.743256 # DEPENDENCYPART_ARC
(2,5),-1.2436 # DEPENDENCYPART_ARC
(2,6),-2.58511 # DEPENDENCYPART_ARC
(2,7),-2.13061 # DEPENDENCYPART_ARC
(3,1),0.0183678 # DEPENDENCYPART_ARC
(3,2),1.60335 # DEPENDENCYPART_ARC
(3,4),-0.132115 # DEPENDENCYPART_ARC
(3,5),-0.914791 # DEPENDENCYPART_ARC
(3,6),-0.759964 # DEPENDENCYPART_ARC
(3,7),-1.30226 # DEPENDENCYPART_ARC
(4,1),-1.61328 # DEPENDENCYPART_ARC
(4,2),-0.0400719 # DEPENDENCYPART_ARC
(4,3),0.184408 # DEPENDENCYPART_ARC
(4,5),0.545889 # DEPENDENCYPART_ARC
(4,6),-1.52728 # DEPENDENCYPART_ARC
(4,7),-0.251133 # DEPENDENCYPART_ARC
(5,1),-1.18012 # DEPENDENCYPART_ARC
(5,2),1.04793 # DEPENDENCYPART_ARC
(5,3),-0.353023 # DEPENDENCYPART_ARC
(5,4),1.33976 # DEPENDENCYPART_ARC
(5,6),-0.0216561 # DEPENDENCYPART_ARC
(5,7),-0.476113 # DEPENDENCYPART_ARC
(6,1),-1.21063 # DEPENDENCYPART_ARC
(6,2),-0.199488 # DEPENDENCYPART_ARC
(6,3),0.461254 # DEPENDENCYPART_ARC
(6,4),0.744293 # DEPENDENCYPART_ARC
(6,5),1.89165 # DEPENDENCYPART_ARC
(6,7),0.033672 # DEPENDENCYPART_ARC
(7,1),-2.2581 # DEPENDENCYPART_ARC
(7,2),-0.624368 # DEPENDENCYPART_ARC
(7,3),-0.650044 # DEPENDENCYPART_ARC
(7,4),-0.297307 # DEPENDENCYPART_ARC
(7,5),-0.595986 # DEPENDENCYPART_ARC
(7,6),1.99744 # DEPENDENCYPART_ARC
