# _root_ Ilık et suyunun yanında _ _ haşlanmış geyik eti , _ kızarmış ekmek , bir de ılık çay vardı masada .
#goldHeads=3,3,4,19,6,7,9,9,10,13,12,13,14,18,18,15,18,19,21,19,0,
#predictedHeads=2,3,4,5,6,7,9,9,10,0,12,13,14,0,18,15,18,19,21,19,0,
(0,10),1.79503 # DEPENDENCYPART_ARC
(0,14),1.96774 # DEPENDENCYPART_ARC
(0,16),-1.83091 # DEPENDENCYPART_ARC
(0,21),3.05279 # DEPENDENCYPART_ARC
(1,2),0.215146 # DEPENDENCYPART_ARC
(1,3),-0.241203 # DEPENDENCYPART_ARC
(1,18),-1.76485 # DEPENDENCYPART_ARC
(1,20),-1.73558 # DEPENDENCYPART_ARC
(2,1),2.08657 # DEPENDENCYPART_ARC
(2,3),-0.158641 # DEPENDENCYPART_ARC
(2,15),-0.551083 # DEPENDENCYPART_ARC
(3,1),0.933378 # DEPENDENCYPART_ARC
(3,2),2.50246 # DEPENDENCYPART_ARC
(4,1),0.286119 # DEPENDENCYPART_ARC
(4,2),1.31779 # DEPENDENCYPART_ARC
(4,3),3.29116 # DEPENDENCYPART_ARC
(4,5),-0.0599283 # DEPENDENCYPART_ARC
(4,15),-0.448846 # DEPENDENCYPART_ARC
(5,2),0.524229 # DEPENDENCYPART_ARC
(5,3),0.91992 # DEPENDENCYPART_ARC
(5,4),1.40353 # DEPENDENCYPART_ARC
(5,12),-1.09284 # DEPENDENCYPART_ARC
(5,19),-1.33775 # DEPENDENCYPART_ARC
(6,1),-0.553519 # DEPENDENCYPART_ARC
(6,2),0.212007 # DEPENDENCYPART_ARC
(6,3),0.98845 # DEPENDENCYPART_ARC
(6,4),1.24262 # DEPENDENCYPART_ARC
(6,5),2.22184 # DEPENDENCYPART_ARC
(6,7),-0.224592 # DEPENDENCYPART_ARC
(6,8),-0.908226 # DEPENDENCYPART_ARC
(6,12),-1.2487 # DEPENDENCYPART_ARC
(6,19),-2.61878 # DEPENDENCYPART_ARC
(7,1),-0.207034 # DEPENDENCYPART_ARC
(7,2),0.619032 # DEPENDENCYPART_ARC
(7,3),0.810194 # DEPENDENCYPART_ARC
(7,4),1.06779 # DEPENDENCYPART_ARC
(7,5),0.374349 # DEPENDENCYPART_ARC
(7,6),1.92889 # DEPENDENCYPART_ARC
(7,8),-0.467096 # DEPENDENCYPART_ARC
(7,20),-2.06111 # DEPENDENCYPART_ARC
(8,1),-0.802582 # DEPENDENCYPART_ARC
(8,2),-0.306497 # DEPENDENCYPART_ARC
(8,3),-0.631252 # DEPENDENCYPART_ARC
(8,4),-0.837911 # DEPENDENCYPART_ARC
(8,5),-1.4883 # DEPENDENCYPART_ARC
(8,6),-1.367 # DEPENDENCYPART_ARC
(8,7),1.46354 # DEPENDENCYPART_ARC
(8,9),0.027028 # DEPENDENCYPART_ARC
(8,10),-0.471083 # DEPENDENCYPART_ARC
(8,15),-0.694056 # DEPENDENCYPART_ARC
(9,1),0.142604 # DEPENDENCYPART_ARC
(9,2),1.57541 # DEPENDENCYPART_ARC
(9,3),1.81781 # DEPENDENCYPART_ARC
(9,4),0.304448 # DEPENDENCYPART_ARC
(9,5),-0.843115 # DEPENDENCYPART_ARC
(9,6),-0.70648 # DEPENDENCYPART_ARC
(9,7),2.2425 # DEPENDENCYPART_ARC
(9,8),3.39395 # DEPENDENCYPART_ARC
(9,10),-0.425525 # DEPENDENCYPART_ARC
(9,11),-1.75518 # DEPENDENCYPART_ARC
(9,13),-0.746088 # DEPENDENCYPART_ARC
(9,19),-2.70498 # DEPENDENCYPART_ARC
(10,1),-1.30733 # DEPENDENCYPART_ARC
(10,4),-0.236066 # DEPENDENCYPART_ARC
