# _root_ Düz , sağlam , sade ...
#goldHeads=2,3,4,5,6,0,
#predictedHeads=2,3,4,5,6,0,
(0,2),0.77039 # DEPENDENCYPART_ARC
(0,4),0.26287 # DEPENDENCYPART_ARC
(0,6),2.13859 # DEPENDENCYPART_ARC
(2,1),0.766176 # DEPENDENCYPART_ARC
(2,4),-0.702773 # DEPENDENCYPART_ARC
(2,6),-0.613008 # DEPENDENCYPART_ARC
(3,1),-0.906363 # DEPENDENCYPART_ARC
(3,2),1.10825 # DEPENDENCYPART_ARC
(4,1),-0.629906 # DEPENDENCYPART_ARC
(4,2),-0.663187 # DEPENDENCYPART_ARC
(4,3),0.554916 # DEPENDENCYPART_ARC
(4,6),-0.562188 # DEPENDENCYPART_ARC
(5,2),0.0101649 # DEPENDENCYPART_ARC
(5,3),-0.556693 # DEPENDENCYPART_ARC
(5,4),1.23531 # DEPENDENCYPART_ARC
(6,1),-1.19004 # DEPENDENCYPART_ARC
(6,2),-1.12968 # DEPENDENCYPART_ARC
(6,3),-1.20737 # DEPENDENCYPART_ARC
(6,4),-0.82214 # DEPENDENCYPART_ARC
(6,5),-0.0043809 # DEPENDENCYPART_ARC
