# _root_ Kızaklarda _ _ _ kullanılan tahta , deri ve boynuzların dışında tek_tük halatlar , sicimler de dış dünyadan geliyor bu dağlara .
#goldHeads=4,3,4,5,6,7,8,9,10,11,19,13,14,15,19,15,18,19,22,21,19,0,
#predictedHeads=5,3,4,5,6,7,0,9,10,11,19,13,14,0,19,15,18,19,22,21,19,0,
(0,7),1.82723 # DEPENDENCYPART_ARC
(0,14),2.0069 # DEPENDENCYPART_ARC
(0,16),-1.55559 # DEPENDENCYPART_ARC
(0,21),-1.29726 # DEPENDENCYPART_ARC
(0,22),3.31744 # DEPENDENCYPART_ARC
(1,2),-0.196685 # DEPENDENCYPART_ARC
(2,1),0.25633 # DEPENDENCYPART_ARC
(2,3),-0.280791 # DEPENDENCYPART_ARC
(3,1),0.858104 # DEPENDENCYPART_ARC
(3,2),2.60239 # DEPENDENCYPART_ARC
(4,1),0.995061 # DEPENDENCYPART_ARC
(4,2),0.914072 # DEPENDENCYPART_ARC
(4,3),2.65065 # DEPENDENCYPART_ARC
(5,1),1.08875 # DEPENDENCYPART_ARC
(5,2),1.38298 # DEPENDENCYPART_ARC
(5,3),0.71528 # DEPENDENCYPART_ARC
(5,4),2.29243 # DEPENDENCYPART_ARC
(6,1),-0.144732 # DEPENDENCYPART_ARC
(6,2),-1.16743 # DEPENDENCYPART_ARC
(6,3),-0.427454 # DEPENDENCYPART_ARC
(6,4),-0.235225 # DEPENDENCYPART_ARC
(6,5),2.05444 # DEPENDENCYPART_ARC
(6,7),-0.221601 # DEPENDENCYPART_ARC
(6,8),-0.556459 # DEPENDENCYPART_ARC
(6,9),-1.04885 # DEPENDENCYPART_ARC
(6,19),-2.44236 # DEPENDENCYPART_ARC
(6,20),-0.706339 # DEPENDENCYPART_ARC
(7,1),0.30229 # DEPENDENCYPART_ARC
(7,2),-1.07267 # DEPENDENCYPART_ARC
(7,3),-1.30148 # DEPENDENCYPART_ARC
(7,4),-0.460447 # DEPENDENCYPART_ARC
(7,5),0.150387 # DEPENDENCYPART_ARC
(7,6),0.857881 # DEPENDENCYPART_ARC
(7,8),-0.0483307 # DEPENDENCYPART_ARC
(7,14),-1.0587 # DEPENDENCYPART_ARC
(7,19),-1.0708 # DEPENDENCYPART_ARC
(7,21),-1.63146 # DEPENDENCYPART_ARC
(8,3),-1.82191 # DEPENDENCYPART_ARC
(8,4),-1.76606 # DEPENDENCYPART_ARC
(8,5),-0.113282 # DEPENDENCYPART_ARC
(8,6),-0.587013 # DEPENDENCYPART_ARC
(8,7),1.00941 # DEPENDENCYPART_ARC
(8,9),0.160699 # DEPENDENCYPART_ARC
(8,10),-1.37822 # DEPENDENCYPART_ARC
(8,12),-1.5543 # DEPENDENCYPART_ARC
(8,13),-1.84672 # DEPENDENCYPART_ARC
(8,19),-2.85307 # DEPENDENCYPART_ARC
(8,20),-1.30574 # DEPENDENCYPART_ARC
(9,2),-1.07311 # DEPENDENCYPART_ARC
(9,3),-0.816466 # DEPENDENCYPART_ARC
(9,4),-0.605995 # DEPENDENCYPART_ARC
(9,6),-0.0567073 # DEPENDENCYPART_ARC
(9,8),3.1156 # DEPENDENCYPART_ARC
(9,10),-0.612469 # DEPENDENCYPART_ARC
(9,11),-0.69845 # DEPENDENCYPART_ARC
(10,5),0.0936746 # DEPENDENCYPART_ARC
(10,6),-1.04072 # DEPENDENCYPART_ARC
(10,7),0.539177 # DEPENDENCYPART_ARC
(10,8),0.910106 # DEPENDENCYPART_ARC
(10,9),1.69094 # DEPENDENCYPART_ARC
(10,11),-1.1954 # DEPENDENCYPART_ARC
(10,12),-0.66803 # DEPENDENCYPART_ARC
(10,19),-1.83509 # DEPENDENCYPART_ARC
(10,20),-0.915055 # DEPENDENCYPART_ARC
(11,4),-2.73014 # DEPENDENCYPART_ARC
(11,5),-0.767415 # DEPENDENCYPART_ARC
(11,6),-0.993871 # DEPENDENCYPART_ARC
(11,7),-0.152927 # DEPENDENCYPART_ARC
(11,8),0.544316 # DEPENDENCYPART_ARC
(11,9),0.604774 # DEPENDENCYPART_ARC
(11,10),2.92724 # DEPENDENCYPART_ARC
(11,12),-0.329607 # DEPENDENCYPART_ARC
(11,13),-0.972919 # DEPENDENCYPART_ARC
(11,14),-0.59331 # DEPENDENCYPART_ARC
(11,15),-1.4412 # DEPENDENCYPART_ARC
(11,19),-1.42865 # DEPENDENCYPART_ARC
(11,20),-0.78795 # DEPENDENCYPART_ARC
(12,2),-2.65701 # DEPENDENCYPART_ARC
(12,4),-1.88236 # DEPENDENCYPART_ARC
(12,7),-0.467195 # DEPENDENCYPART_ARC
(12,8),-0.325428 # DEPENDENCYPART_ARC
(12,9),-0.152181 # DEPENDENCYPART_ARC
(12,10),0.43322 # DEPENDENCYPART_ARC
(12,11),1.2898 # DEPENDENCYPART_ARC
(12,15),-0.612489 # DEPENDENCYPART_ARC
(12,18),-1.11853 # DEPENDENCYPART_ARC
(12,21),-1.12005 # DEPENDENCYPART_ARC
(13,1),-2.32348 # DEPENDENCYPART_ARC
(13,5),-0.532851 # DEPENDENCYPART_ARC
(13,6),-1.24623 # DEPENDENCYPART_ARC
(13,7),0.525624 # DEPENDENCYPART_ARC
(13,8),0.0687355 # DEPENDENCYPART_ARC
(13,9),0.640467 # DEPENDENCYPART_ARC
