# _root_ Değişik yasalarda _ _ yapılacak _ değişiklikler ile askeri , ticari , _ _ bankacılık ve benzeri _ alanlardaki " sırların " kapsamı yeniden _ belirlenecek .
#goldHeads=2,5,4,5,7,7,8,23,21,0,21,0,14,15,16,17,19,19,21,0,23,0,26,26,26,27,0,
#predictedHeads=2,4,4,5,7,7,8,9,10,11,12,0,14,15,16,21,18,19,21,0,22,0,26,26,26,27,0,
(0,10),1.06917 # DEPENDENCYPART_ARC
(0,12),1.16751 # DEPENDENCYPART_ARC
(0,20),2.99401 # DEPENDENCYPART_ARC
(0,22),3.51603 # DEPENDENCYPART_ARC
(0,27),2.54174 # DEPENDENCYPART_ARC
(2,1),1.96015 # DEPENDENCYPART_ARC
(2,3),0.09898 # DEPENDENCYPART_ARC
(2,5),-0.131347 # DEPENDENCYPART_ARC
(3,1),-0.35703 # DEPENDENCYPART_ARC
(3,2),1.12636 # DEPENDENCYPART_ARC
(3,6),-0.753738 # DEPENDENCYPART_ARC
(4,1),0.0290592 # DEPENDENCYPART_ARC
(4,2),1.80743 # DEPENDENCYPART_ARC
(4,3),2.69816 # DEPENDENCYPART_ARC
(4,6),-0.938254 # DEPENDENCYPART_ARC
(5,2),1.17755 # DEPENDENCYPART_ARC
(5,3),0.857791 # DEPENDENCYPART_ARC
(5,4),2.34093 # DEPENDENCYPART_ARC
(6,2),0.307151 # DEPENDENCYPART_ARC
(6,3),-0.826476 # DEPENDENCYPART_ARC
(6,4),0.367081 # DEPENDENCYPART_ARC
(6,5),0.298589 # DEPENDENCYPART_ARC
(7,1),0.180779 # DEPENDENCYPART_ARC
(7,2),-0.58813 # DEPENDENCYPART_ARC
(7,3),-1.33803 # DEPENDENCYPART_ARC
(7,4),-0.850615 # DEPENDENCYPART_ARC
(7,5),2.20557 # DEPENDENCYPART_ARC
(7,6),2.07804 # DEPENDENCYPART_ARC
(7,8),-0.77604 # DEPENDENCYPART_ARC
(7,9),-1.73576 # DEPENDENCYPART_ARC
(7,10),-1.84189 # DEPENDENCYPART_ARC
(7,11),-2.13329 # DEPENDENCYPART_ARC
(7,26),-2.82085 # DEPENDENCYPART_ARC
(8,2),0.518882 # DEPENDENCYPART_ARC
(8,3),-0.400816 # DEPENDENCYPART_ARC
(8,4),-0.0916696 # DEPENDENCYPART_ARC
(8,6),0.407306 # DEPENDENCYPART_ARC
(8,7),2.90969 # DEPENDENCYPART_ARC
(9,2),-0.206322 # DEPENDENCYPART_ARC
(9,3),-1.21341 # DEPENDENCYPART_ARC
(9,4),-0.642946 # DEPENDENCYPART_ARC
(9,6),-0.450153 # DEPENDENCYPART_ARC
(9,7),0.386152 # DEPENDENCYPART_ARC
(9,8),0.420984 # DEPENDENCYPART_ARC
(10,1),-0.794392 # DEPENDENCYPART_ARC
(10,2),0.104045 # DEPENDENCYPART_ARC
(10,3),-2.25779 # DEPENDENCYPART_ARC
(10,4),-1.78008 # DEPENDENCYPART_ARC
(10,6),-1.4671 # DEPENDENCYPART_ARC
(10,7),0.0440357 # DEPENDENCYPART_ARC
(10,8),-0.464947 # DEPENDENCYPART_ARC
(10,9),0.902629 # DEPENDENCYPART_ARC
(10,25),-1.97241 # DEPENDENCYPART_ARC
(10,26),-1.25226 # DEPENDENCYPART_ARC
(11,9),-0.773327 # DEPENDENCYPART_ARC
(11,10),1.08844 # DEPENDENCYPART_ARC
(11,13),-0.540802 # DEPENDENCYPART_ARC
(11,14),-0.849123 # DEPENDENCYPART_ARC
(11,21),-1.53359 # DEPENDENCYPART_ARC
(11,23),-1.90764 # DEPENDENCYPART_ARC
(12,1),-1.66908 # DEPENDENCYPART_ARC
(12,9),-0.992587 # DEPENDENCYPART_ARC
(12,10),-0.906231 # DEPENDENCYPART_ARC
(12,11),0.311565 # DEPENDENCYPART_ARC
(12,26),-1.2347 # DEPENDENCYPART_ARC
(13,5),-1.53593 # DEPENDENCYPART_ARC
(13,11),-1.28388 # DEPENDENCYPART_ARC
(13,12),0.0871739 # DEPENDENCYPART_ARC
(13,17),-0.676595 # DEPENDENCYPART_ARC
(14,1),-0.46113 # DEPENDENCYPART_ARC
(14,5),-0.0957164 # DEPENDENCYPART_ARC
(14,6),-3.87846 # DEPENDENCYPART_ARC
(14,7),-0.828826 # DEPENDENCYPART_ARC
(14,8),-0.319309 # DEPENDENCYPART_ARC
(14,9),-0.635268 # DEPENDENCYPART_ARC
(14,10),-0.160655 # DEPENDENCYPART_ARC
(14,11),-0.622691 # DEPENDENCYPART_ARC
(14,12),0.213202 # DEPENDENCYPART_ARC
(14,13),3.09866 # DEPENDENCYPART_ARC
(15,1),-0.717724 # DEPENDENCYPART_ARC
(15,2),-1.51001 # DEPENDENCYPART_ARC
(15,5),0.137198 # DEPENDENCYPART_ARC
(15,6),-3.42046 # DEPENDENCYPART_ARC
(15,7),-1.38013 # DEPENDENCYPART_ARC
(15,8),0.0892447 # DEPENDENCYPART_ARC
(15,9),-0.343585 # DEPENDENCYPART_ARC
