# _root_ Aman padişahım , bana üç gün izin_ver , diye yalvarmış .
#goldHeads=8,8,0,7,6,7,8,9,10,11,0,
#predictedHeads=2,10,0,7,6,7,8,9,10,11,0,
(0,2),-1.18862 # DEPENDENCYPART_ARC
(0,3),1.44476 # DEPENDENCYPART_ARC
(0,4),-0.765875 # DEPENDENCYPART_ARC
(0,5),-0.733649 # DEPENDENCYPART_ARC
(0,6),-0.909911 # DEPENDENCYPART_ARC
(0,7),-1.61451 # DEPENDENCYPART_ARC
(0,8),0.501877 # DEPENDENCYPART_ARC
(0,10),-1.54307 # DEPENDENCYPART_ARC
(0,11),2.26826 # DEPENDENCYPART_ARC
(1,2),0.282858 # DEPENDENCYPART_ARC
(2,1),0.065361 # DEPENDENCYPART_ARC
(2,3),-0.00973974 # DEPENDENCYPART_ARC
(2,4),-1.03197 # DEPENDENCYPART_ARC
(2,5),-0.820568 # DEPENDENCYPART_ARC
(2,6),-1.53243 # DEPENDENCYPART_ARC
(2,7),-2.16927 # DEPENDENCYPART_ARC
(2,10),-2.10346 # DEPENDENCYPART_ARC
(3,1),-0.512496 # DEPENDENCYPART_ARC
(3,2),0.515112 # DEPENDENCYPART_ARC
(3,4),-0.00851459 # DEPENDENCYPART_ARC
(3,6),-0.418039 # DEPENDENCYPART_ARC
(3,7),-0.506481 # DEPENDENCYPART_ARC
(3,8),-1.20337 # DEPENDENCYPART_ARC
(3,10),-0.675622 # DEPENDENCYPART_ARC
(4,1),-0.714264 # DEPENDENCYPART_ARC
(4,2),-0.970133 # DEPENDENCYPART_ARC
(4,3),0.274362 # DEPENDENCYPART_ARC
(4,5),-0.232938 # DEPENDENCYPART_ARC
(4,6),-1.1334 # DEPENDENCYPART_ARC
(4,7),-1.72254 # DEPENDENCYPART_ARC
(4,9),-1.10359 # DEPENDENCYPART_ARC
(4,10),-1.97557 # DEPENDENCYPART_ARC
(5,2),-0.814422 # DEPENDENCYPART_ARC
(5,3),0.0200863 # DEPENDENCYPART_ARC
(5,4),0.56044 # DEPENDENCYPART_ARC
(6,1),-0.328443 # DEPENDENCYPART_ARC
(6,2),-0.801893 # DEPENDENCYPART_ARC
(6,3),0.167482 # DEPENDENCYPART_ARC
(6,4),0.634653 # DEPENDENCYPART_ARC
(6,5),2.06969 # DEPENDENCYPART_ARC
(6,7),-0.702401 # DEPENDENCYPART_ARC
(6,8),0.201124 # DEPENDENCYPART_ARC
(6,9),-0.586566 # DEPENDENCYPART_ARC
(6,10),-1.54114 # DEPENDENCYPART_ARC
(7,1),-0.452211 # DEPENDENCYPART_ARC
(7,2),0.343755 # DEPENDENCYPART_ARC
(7,3),-0.503197 # DEPENDENCYPART_ARC
(7,4),1.48577 # DEPENDENCYPART_ARC
(7,5),0.271441 # DEPENDENCYPART_ARC
(7,6),2.38699 # DEPENDENCYPART_ARC
(7,8),-0.513688 # DEPENDENCYPART_ARC
(7,9),-0.0897531 # DEPENDENCYPART_ARC
(7,10),-1.26726 # DEPENDENCYPART_ARC
(7,11),-1.63522 # DEPENDENCYPART_ARC
(8,1),-0.603287 # DEPENDENCYPART_ARC
(8,2),-0.0458185 # DEPENDENCYPART_ARC
(8,3),-0.0772777 # DEPENDENCYPART_ARC
(8,4),0.413705 # DEPENDENCYPART_ARC
(8,5),0.299849 # DEPENDENCYPART_ARC
(8,6),0.491265 # DEPENDENCYPART_ARC
(8,7),1.14504 # DEPENDENCYPART_ARC
(8,9),-0.303462 # DEPENDENCYPART_ARC
(8,10),-0.788922 # DEPENDENCYPART_ARC
(8,11),-1.19858 # DEPENDENCYPART_ARC
(9,2),-0.299836 # DEPENDENCYPART_ARC
(9,3),-0.0452008 # DEPENDENCYPART_ARC
(9,4),-0.482197 # DEPENDENCYPART_ARC
(9,6),0.257343 # DEPENDENCYPART_ARC
(9,7),0.726916 # DEPENDENCYPART_ARC
(9,8),2.50748 # DEPENDENCYPART_ARC
(10,1),-0.482347 # DEPENDENCYPART_ARC
(10,2),0.59592 # DEPENDENCYPART_ARC
(10,3),-0.848505 # DEPENDENCYPART_ARC
(10,4),0.375124 # DEPENDENCYPART_ARC
(10,5),-1.02468 # DEPENDENCYPART_ARC
(10,6),0.356931 # DEPENDENCYPART_ARC
(10,7),0.0782211 # DEPENDENCYPART_ARC
(10,8),1.25338 # DEPENDENCYPART_ARC
(10,9),2.52992 # DEPENDENCYPART_ARC
(10,11),-0.496596 # DEPENDENCYPART_ARC
(11,1),-0.519084 # DEPENDENCYPART_ARC
(11,3),-0.85447 # DEPENDENCYPART_ARC
(11,4),-0.414954 # DEPENDENCYPART_ARC
(11,6),-0.523765 # DEPENDENCYPART_ARC
(11,7),-0.190018 # DEPENDENCYPART_ARC
(11,8),0.100339 # DEPENDENCYPART_ARC
(11,9),-0.622278 # DEPENDENCYPART_ARC
(11,10),1.32634 # DEPENDENCYPART_ARC
