# _root_ Hem _ eminim ki , benim de benden daha büyük bir kardeşim olsaydı , o da _ aynılarını yapardı .
#goldHeads=20,3,13,2,19,13,6,10,10,12,12,13,19,0,19,15,18,19,20,0,
#predictedHeads=3,3,5,3,0,12,6,13,10,12,12,13,19,19,19,15,18,19,20,0,
(0,1),-1.09174 # DEPENDENCYPART_ARC
(0,5),1.04433 # DEPENDENCYPART_ARC
(0,13),-2.01588 # DEPENDENCYPART_ARC
(0,14),0.332188 # DEPENDENCYPART_ARC
(0,16),-1.80088 # DEPENDENCYPART_ARC
(0,19),-1.80964 # DEPENDENCYPART_ARC
(0,20),0.964666 # DEPENDENCYPART_ARC
(2,1),0.488586 # DEPENDENCYPART_ARC
(2,4),0.862353 # DEPENDENCYPART_ARC
(2,6),-0.338875 # DEPENDENCYPART_ARC
(2,8),-0.308409 # DEPENDENCYPART_ARC
(2,12),-0.93149 # DEPENDENCYPART_ARC
(3,1),0.676128 # DEPENDENCYPART_ARC
(3,2),1.83194 # DEPENDENCYPART_ARC
(3,4),1.17747 # DEPENDENCYPART_ARC
(3,9),-1.10258 # DEPENDENCYPART_ARC
(3,12),-0.90308 # DEPENDENCYPART_ARC
(3,13),-1.18142 # DEPENDENCYPART_ARC
(4,1),-0.898114 # DEPENDENCYPART_ARC
(4,2),-0.689067 # DEPENDENCYPART_ARC
(4,3),0.0762708 # DEPENDENCYPART_ARC
(5,1),-0.369529 # DEPENDENCYPART_ARC
(5,2),-1.22175 # DEPENDENCYPART_ARC
(5,3),0.190723 # DEPENDENCYPART_ARC
(5,4),-0.517515 # DEPENDENCYPART_ARC
(5,13),-0.901536 # DEPENDENCYPART_ARC
(5,19),-0.842684 # DEPENDENCYPART_ARC
(6,5),0.322251 # DEPENDENCYPART_ARC
(6,7),2.04451 # DEPENDENCYPART_ARC
(7,3),-0.888794 # DEPENDENCYPART_ARC
(7,4),-1.36464 # DEPENDENCYPART_ARC
(7,6),0.482823 # DEPENDENCYPART_ARC
(8,5),0.441625 # DEPENDENCYPART_ARC
(8,6),-0.441826 # DEPENDENCYPART_ARC
(8,7),0.725668 # DEPENDENCYPART_ARC
(8,9),0.0947105 # DEPENDENCYPART_ARC
(9,3),-1.49368 # DEPENDENCYPART_ARC
(9,5),-0.927645 # DEPENDENCYPART_ARC
(9,6),-0.8782 # DEPENDENCYPART_ARC
(9,7),-0.976777 # DEPENDENCYPART_ARC
(9,8),-0.0250747 # DEPENDENCYPART_ARC
(9,15),-0.567049 # DEPENDENCYPART_ARC
(10,3),-0.924612 # DEPENDENCYPART_ARC
(10,5),-0.272315 # DEPENDENCYPART_ARC
(10,6),-0.263639 # DEPENDENCYPART_ARC
(10,7),-0.26206 # DEPENDENCYPART_ARC
(10,8),0.262718 # DEPENDENCYPART_ARC
(10,9),1.6258 # DEPENDENCYPART_ARC
(10,12),-0.122477 # DEPENDENCYPART_ARC
(10,15),-0.763314 # DEPENDENCYPART_ARC
(11,10),0.373837 # DEPENDENCYPART_ARC
(12,1),-0.789252 # DEPENDENCYPART_ARC
(12,2),-2.27443 # DEPENDENCYPART_ARC
(12,4),-0.527675 # DEPENDENCYPART_ARC
(12,5),0.435023 # DEPENDENCYPART_ARC
(12,6),1.28115 # DEPENDENCYPART_ARC
(12,7),-0.750584 # DEPENDENCYPART_ARC
(12,8),0.422644 # DEPENDENCYPART_ARC
(12,9),0.0406042 # DEPENDENCYPART_ARC
(12,10),1.81792 # DEPENDENCYPART_ARC
(12,11),2.21135 # DEPENDENCYPART_ARC
(12,13),0.463399 # DEPENDENCYPART_ARC
(12,14),0.147158 # DEPENDENCYPART_ARC
(12,15),-0.535829 # DEPENDENCYPART_ARC
(12,16),-0.0908675 # DEPENDENCYPART_ARC
(12,18),-1.7693 # DEPENDENCYPART_ARC
(12,19),-1.91449 # DEPENDENCYPART_ARC
(13,1),-0.347088 # DEPENDENCYPART_ARC
(13,2),-2.91443 # DEPENDENCYPART_ARC
(13,3),-1.33641 # DEPENDENCYPART_ARC
