# _root_ Bu _ gerçeklik içinde bir nesne gibi _ bakabiliriz ona , öznel bir nesne , bir _ gerçeklik _ görünüşü var .
#goldHeads=2,3,4,8,6,7,8,9,11,8,0,14,14,19,0,17,18,19,20,21,22,0,
#predictedHeads=3,3,4,8,6,7,8,9,11,9,0,14,14,15,0,17,18,20,20,21,22,0,
(0,9),-0.949348 # DEPENDENCYPART_ARC
(0,11),1.39753 # DEPENDENCYPART_ARC
(0,15),1.25405 # DEPENDENCYPART_ARC
(0,22),1.88192 # DEPENDENCYPART_ARC
(2,1),-0.0233129 # DEPENDENCYPART_ARC
(2,10),-0.445599 # DEPENDENCYPART_ARC
(3,1),1.28249 # DEPENDENCYPART_ARC
(3,2),1.96102 # DEPENDENCYPART_ARC
(3,5),-0.936146 # DEPENDENCYPART_ARC
(3,16),-1.01223 # DEPENDENCYPART_ARC
(3,21),-2.23503 # DEPENDENCYPART_ARC
(4,1),0.429146 # DEPENDENCYPART_ARC
(4,2),0.334083 # DEPENDENCYPART_ARC
(4,3),2.94082 # DEPENDENCYPART_ARC
(4,5),-0.117638 # DEPENDENCYPART_ARC
(4,6),-0.163135 # DEPENDENCYPART_ARC
(4,7),-0.911847 # DEPENDENCYPART_ARC
(4,8),-0.991524 # DEPENDENCYPART_ARC
(4,9),-1.03559 # DEPENDENCYPART_ARC
(4,13),-0.614186 # DEPENDENCYPART_ARC
(4,16),-0.646198 # DEPENDENCYPART_ARC
(4,21),-1.72389 # DEPENDENCYPART_ARC
(5,4),-0.0026022 # DEPENDENCYPART_ARC
(6,1),0.191531 # DEPENDENCYPART_ARC
(6,2),-0.609806 # DEPENDENCYPART_ARC
(6,3),1.17761 # DEPENDENCYPART_ARC
(6,4),0.54219 # DEPENDENCYPART_ARC
(6,5),2.28794 # DEPENDENCYPART_ARC
(6,8),-1.19732 # DEPENDENCYPART_ARC
(6,13),-0.955196 # DEPENDENCYPART_ARC
(6,16),-0.786317 # DEPENDENCYPART_ARC
(6,21),-2.54613 # DEPENDENCYPART_ARC
(7,3),0.869418 # DEPENDENCYPART_ARC
(7,4),0.931546 # DEPENDENCYPART_ARC
(7,6),3.67563 # DEPENDENCYPART_ARC
(8,1),-0.412921 # DEPENDENCYPART_ARC
(8,2),-3.15688 # DEPENDENCYPART_ARC
(8,3),0.91602 # DEPENDENCYPART_ARC
(8,4),1.47036 # DEPENDENCYPART_ARC
(8,5),-0.490489 # DEPENDENCYPART_ARC
(8,6),1.24475 # DEPENDENCYPART_ARC
(8,7),1.95733 # DEPENDENCYPART_ARC
(8,9),-0.65358 # DEPENDENCYPART_ARC
(8,10),0.897341 # DEPENDENCYPART_ARC
(8,14),-0.852165 # DEPENDENCYPART_ARC
(8,17),-1.9549 # DEPENDENCYPART_ARC
(8,18),-1.35295 # DEPENDENCYPART_ARC
(8,19),-2.02629 # DEPENDENCYPART_ARC
(8,20),-2.3326 # DEPENDENCYPART_ARC
(8,21),-1.67262 # DEPENDENCYPART_ARC
(9,1),-0.185335 # DEPENDENCYPART_ARC
(9,2),-3.48407 # DEPENDENCYPART_ARC
(9,3),0.976165 # DEPENDENCYPART_ARC
(9,4),0.946684 # DEPENDENCYPART_ARC
(9,5),-0.308308 # DEPENDENCYPART_ARC
(9,6),0.883017 # DEPENDENCYPART_ARC
(9,7),0.87371 # DEPENDENCYPART_ARC
(9,8),1.73042 # DEPENDENCYPART_ARC
(9,10),1.87811 # DEPENDENCYPART_ARC
(9,11),-0.136417 # DEPENDENCYPART_ARC
(9,12),-0.167268 # DEPENDENCYPART_ARC
(9,14),0.504815 # DEPENDENCYPART_ARC
(9,15),-0.466161 # DEPENDENCYPART_ARC
(9,17),-0.565507 # DEPENDENCYPART_ARC
(9,18),-0.0764395 # DEPENDENCYPART_ARC
(9,19),-0.945026 # DEPENDENCYPART_ARC
(9,20),-0.439606 # DEPENDENCYPART_ARC
(9,21),0.019395 # DEPENDENCYPART_ARC
(11,1),-0.47496 # DEPENDENCYPART_ARC
(11,2),-2.98993 # DEPENDENCYPART_ARC
(11,3),0.590893 # DEPENDENCYPART_ARC
(11,4),0.513419 # DEPENDENCYPART_ARC
(11,5),-0.480455 # DEPENDENCYPART_ARC
(11,6),0.65342 # DEPENDENCYPART_ARC
(11,7),0.26426 # DEPENDENCYPART_ARC
(11,8),-0.537114 # DEPENDENCYPART_ARC
(11,9),1.26323 # DEPENDENCYPART_ARC
(11,10),0.222762 # DEPENDENCYPART_ARC
(11,19),-1.49428 # DEPENDENCYPART_ARC
(11,21),-1.01853 # DEPENDENCYPART_ARC
(12,8),-1.18233 # DEPENDENCYPART_ARC
(12,9),-1.19786 # DEPENDENCYPART_ARC
(12,10),-0.793161 # DEPENDENCYPART_ARC
(12,11),0.46529 # DEPENDENCYPART_ARC
(12,14),-0.198014 # DEPENDENCYPART_ARC
(12,17),-0.943473 # DEPENDENCYPART_ARC
(12,18),-0.945689 # DEPENDENCYPART_ARC
(13,12),-0.154856 # DEPENDENCYPART_ARC
(14,1),-0.274512 # DEPENDENCYPART_ARC
(14,2),-4.22725 # DEPENDENCYPART_ARC
(14,5),-0.204327 # DEPENDENCYPART_ARC
(14,6),-0.801968 # DEPENDENCYPART_ARC
(14,7),0.0442424 # DEPENDENCYPART_ARC
(14,8),-0.586648 # DEPENDENCYPART_ARC
(14,9),-0.0136032 # DEPENDENCYPART_ARC
(14,10),-0.779477 # DEPENDENCYPART_ARC
(14,11),0.490294 # DEPENDENCYPART_ARC
(14,12),1.63336 # DEPENDENCYPART_ARC
(14,13),2.01169 # DEPENDENCYPART_ARC
(14,15),-0.207168 # DEPENDENCYPART_ARC
(14,16),-0.560996 # DEPENDENCYPART_ARC
(14,17),-0.776265 # DEPENDENCYPART_ARC
(14,18),-0.879933 # DEPENDENCYPART_ARC
(14,21),-2.10006 # DEPENDENCYPART_ARC
(15,2),-4.4257 # DEPENDENCYPART_ARC
(15,8),-2.267 # DEPENDENCYPART_ARC
(15,9),-0.266726 # DEPENDENCYPART_ARC
(15,11),-0.689791 # DEPENDENCYPART_ARC
(15,12),-0.617281 # DEPENDENCYPART_ARC
(15,13),-0.551629 # DEPENDENCYPART_ARC
(15,14),0.522732 # DEPENDENCYPART_ARC
(15,17),-0.978122 # DEPENDENCYPART_ARC
(15,18),-0.701696 # DEPENDENCYPART_ARC
(15,19),-1.10173 # DEPENDENCYPART_ARC
(15,21),-0.934845 # DEPENDENCYPART_ARC
(15,22),-1.54315 # DEPENDENCYPART_ARC
(16,15),-0.34684 # DEPENDENCYPART_ARC
