# _root_ Beyefendi , sayın , saygıdeğer _ demek _ yoktu .
#goldHeads=2,3,4,5,6,7,9,9,10,0,
#predictedHeads=9,0,4,5,6,7,9,9,10,0,
(0,1),-0.974531 # DEPENDENCYPART_ARC
(0,2),1.78057 # DEPENDENCYPART_ARC
(0,4),0.548071 # DEPENDENCYPART_ARC
(0,6),-1.26777 # DEPENDENCYPART_ARC
(0,10),2.28261 # DEPENDENCYPART_ARC
(1,2),-0.207307 # DEPENDENCYPART_ARC
(1,3),-0.860876 # DEPENDENCYPART_ARC
(1,4),-0.933092 # DEPENDENCYPART_ARC
(1,5),-1.12242 # DEPENDENCYPART_ARC
(1,6),-1.7761 # DEPENDENCYPART_ARC
(1,9),-1.7482 # DEPENDENCYPART_ARC
(2,1),0.222693 # DEPENDENCYPART_ARC
(2,4),-0.690249 # DEPENDENCYPART_ARC
(2,6),-0.70566 # DEPENDENCYPART_ARC
(2,9),-0.658044 # DEPENDENCYPART_ARC
(3,1),-0.234618 # DEPENDENCYPART_ARC
(3,2),0.622021 # DEPENDENCYPART_ARC
(4,1),-0.414212 # DEPENDENCYPART_ARC
(4,2),-0.478989 # DEPENDENCYPART_ARC
(4,3),0.730142 # DEPENDENCYPART_ARC
(4,6),-0.792834 # DEPENDENCYPART_ARC
(4,7),-0.272527 # DEPENDENCYPART_ARC
(4,9),-0.752291 # DEPENDENCYPART_ARC
(4,10),-0.820961 # DEPENDENCYPART_ARC
(5,1),-0.623045 # DEPENDENCYPART_ARC
(5,2),-0.636091 # DEPENDENCYPART_ARC
(5,3),-0.676307 # DEPENDENCYPART_ARC
(5,4),0.886418 # DEPENDENCYPART_ARC
(6,1),0.213665 # DEPENDENCYPART_ARC
(6,2),-0.31649 # DEPENDENCYPART_ARC
(6,3),0.124886 # DEPENDENCYPART_ARC
(6,4),0.641709 # DEPENDENCYPART_ARC
(6,5),2.08559 # DEPENDENCYPART_ARC
(6,7),0.12772 # DEPENDENCYPART_ARC
(6,8),-0.927292 # DEPENDENCYPART_ARC
(6,9),-0.390464 # DEPENDENCYPART_ARC
(7,1),-0.287968 # DEPENDENCYPART_ARC
(7,2),-0.155642 # DEPENDENCYPART_ARC
(7,3),-0.283453 # DEPENDENCYPART_ARC
(7,4),0.242172 # DEPENDENCYPART_ARC
(7,5),0.879236 # DEPENDENCYPART_ARC
(7,6),2.73473 # DEPENDENCYPART_ARC
(7,8),0.218866 # DEPENDENCYPART_ARC
(8,1),0.124191 # DEPENDENCYPART_ARC
(8,2),0.293734 # DEPENDENCYPART_ARC
(8,4),0.857811 # DEPENDENCYPART_ARC
(8,5),0.584987 # DEPENDENCYPART_ARC
(8,6),0.667181 # DEPENDENCYPART_ARC
(8,7),1.70772 # DEPENDENCYPART_ARC
(9,1),0.255355 # DEPENDENCYPART_ARC
(9,2),-0.146983 # DEPENDENCYPART_ARC
(9,3),-0.626817 # DEPENDENCYPART_ARC
(9,4),0.480509 # DEPENDENCYPART_ARC
(9,5),0.293158 # DEPENDENCYPART_ARC
(9,6),-0.870982 # DEPENDENCYPART_ARC
(9,7),2.16666 # DEPENDENCYPART_ARC
(9,8),1.67209 # DEPENDENCYPART_ARC
(10,1),0.0141585 # DEPENDENCYPART_ARC
(10,2),-0.603908 # DEPENDENCYPART_ARC
(10,3),-1.04665 # DEPENDENCYPART_ARC
(10,4),-0.260145 # DEPENDENCYPART_ARC
(10,5),-0.670089 # DEPENDENCYPART_ARC
(10,6),-1.39562 # DEPENDENCYPART_ARC
(10,7),0.292155 # DEPENDENCYPART_ARC
(10,8),-0.814459 # DEPENDENCYPART_ARC
(10,9),1.55455 # DEPENDENCYPART_ARC
