# _root_ İçim _ kıskançlık , acı , kin ve nefretle _ doluydu .
#goldHeads=11,3,4,5,6,7,8,9,11,11,12,0,
#predictedHeads=2,3,4,5,6,7,8,9,10,11,12,0,
(0,1),-1.19555 # DEPENDENCYPART_ARC
(0,4),1.42128 # DEPENDENCYPART_ARC
(0,6),1.03884 # DEPENDENCYPART_ARC
(0,8),-1.30115 # DEPENDENCYPART_ARC
(0,9),-1.17669 # DEPENDENCYPART_ARC
(0,12),2.25082 # DEPENDENCYPART_ARC
(1,2),-1.01933 # DEPENDENCYPART_ARC
(1,3),-0.698594 # DEPENDENCYPART_ARC
(1,5),-1.53845 # DEPENDENCYPART_ARC
(1,7),-1.67151 # DEPENDENCYPART_ARC
(2,1),1.4761 # DEPENDENCYPART_ARC
(2,4),0.159938 # DEPENDENCYPART_ARC
(2,7),-1.09432 # DEPENDENCYPART_ARC
(2,11),-1.92761 # DEPENDENCYPART_ARC
(3,1),0.807337 # DEPENDENCYPART_ARC
(3,2),2.47877 # DEPENDENCYPART_ARC
(3,4),-0.628123 # DEPENDENCYPART_ARC
(3,5),-0.578744 # DEPENDENCYPART_ARC
(3,6),-1.29263 # DEPENDENCYPART_ARC
(3,7),-1.33661 # DEPENDENCYPART_ARC
(3,9),-1.64514 # DEPENDENCYPART_ARC
(3,11),-2.19937 # DEPENDENCYPART_ARC
(4,1),0.365477 # DEPENDENCYPART_ARC
(4,2),-0.796638 # DEPENDENCYPART_ARC
(4,3),0.979884 # DEPENDENCYPART_ARC
(4,5),-0.107801 # DEPENDENCYPART_ARC
(4,6),-0.989925 # DEPENDENCYPART_ARC
(4,9),-1.12873 # DEPENDENCYPART_ARC
(4,11),-0.819797 # DEPENDENCYPART_ARC
(5,1),-0.884401 # DEPENDENCYPART_ARC
(5,2),-1.37881 # DEPENDENCYPART_ARC
(5,3),-0.126742 # DEPENDENCYPART_ARC
(5,4),1.57615 # DEPENDENCYPART_ARC
(5,6),0.282137 # DEPENDENCYPART_ARC
(5,7),-0.666537 # DEPENDENCYPART_ARC
(5,8),-0.918476 # DEPENDENCYPART_ARC
(5,9),-1.76794 # DEPENDENCYPART_ARC
(5,11),-1.8665 # DEPENDENCYPART_ARC
(6,3),-0.187965 # DEPENDENCYPART_ARC
(6,4),-0.078371 # DEPENDENCYPART_ARC
(6,5),1.60475 # DEPENDENCYPART_ARC
(6,7),-0.0870706 # DEPENDENCYPART_ARC
(6,9),-0.767939 # DEPENDENCYPART_ARC
(6,11),-0.751443 # DEPENDENCYPART_ARC
(6,12),-1.08631 # DEPENDENCYPART_ARC
(7,1),-1.04299 # DEPENDENCYPART_ARC
(7,2),-1.97025 # DEPENDENCYPART_ARC
(7,3),-0.475539 # DEPENDENCYPART_ARC
(7,4),-0.266241 # DEPENDENCYPART_ARC
(7,5),-0.548422 # DEPENDENCYPART_ARC
(7,6),1.05086 # DEPENDENCYPART_ARC
(7,8),0.160699 # DEPENDENCYPART_ARC
(7,9),-1.9603 # DEPENDENCYPART_ARC
(7,10),-1.67356 # DEPENDENCYPART_ARC
(7,11),-2.03775 # DEPENDENCYPART_ARC
(8,1),-1.46103 # DEPENDENCYPART_ARC
(8,2),-1.71734 # DEPENDENCYPART_ARC
(8,3),-0.828227 # DEPENDENCYPART_ARC
(8,5),-0.288798 # DEPENDENCYPART_ARC
(8,7),2.93557 # DEPENDENCYPART_ARC
(8,9),-0.605653 # DEPENDENCYPART_ARC
(9,1),-1.28121 # DEPENDENCYPART_ARC
(9,2),-2.75387 # DEPENDENCYPART_ARC
(9,3),-0.74062 # DEPENDENCYPART_ARC
(9,4),-0.187514 # DEPENDENCYPART_ARC
(9,5),-0.944953 # DEPENDENCYPART_ARC
(9,6),0.361261 # DEPENDENCYPART_ARC
(9,7),0.78304 # DEPENDENCYPART_ARC
(9,8),1.39943 # DEPENDENCYPART_ARC
(9,10),-0.398042 # DEPENDENCYPART_ARC
(10,2),-1.70396 # DEPENDENCYPART_ARC
(10,3),-0.240098 # DEPENDENCYPART_ARC
(10,4),-0.14391 # DEPENDENCYPART_ARC
(10,5),-0.080631 # DEPENDENCYPART_ARC
(10,6),0.329039 # DEPENDENCYPART_ARC
(10,7),0.685846 # DEPENDENCYPART_ARC
(10,8),0.608983 # DEPENDENCYPART_ARC
(10,9),2.10781 # DEPENDENCYPART_ARC
(11,1),-0.100558 # DEPENDENCYPART_ARC
(11,2),-3.85206 # DEPENDENCYPART_ARC
(11,3),0.31664 # DEPENDENCYPART_ARC
(11,4),-0.955581 # DEPENDENCYPART_ARC
(11,5),-0.0997648 # DEPENDENCYPART_ARC
(11,6),-0.246559 # DEPENDENCYPART_ARC
(11,7),0.921606 # DEPENDENCYPART_ARC
(11,8),0.00154816 # DEPENDENCYPART_ARC
(11,9),1.39881 # DEPENDENCYPART_ARC
(11,10),1.63857 # DEPENDENCYPART_ARC
(12,1),-0.364727 # DEPENDENCYPART_ARC
(12,2),-3.62565 # DEPENDENCYPART_ARC
(12,3),-0.485333 # DEPENDENCYPART_ARC
(12,4),-0.691924 # DEPENDENCYPART_ARC
(12,5),-0.342298 # DEPENDENCYPART_ARC
(12,6),-0.231815 # DEPENDENCYPART_ARC
(12,7),-0.221904 # DEPENDENCYPART_ARC
(12,8),-0.338727 # DEPENDENCYPART_ARC
(12,9),0.252887 # DEPENDENCYPART_ARC
(12,10),-0.8679 # DEPENDENCYPART_ARC
(12,11),1.44112 # DEPENDENCYPART_ARC
