# _root_ Odaya en büyük yeğen yerleşti , işin beyni o _ olduğuna göre , _ münasiptir .
#goldHeads=5,3,4,5,6,14,8,10,10,11,12,14,0,15,16,0,
#predictedHeads=5,3,4,5,6,15,8,10,10,11,12,15,0,15,16,0,
(0,5),-1.8112 # DEPENDENCYPART_ARC
(0,6),0.483233 # DEPENDENCYPART_ARC
(0,13),1.05527 # DEPENDENCYPART_ARC
(0,16),2.10039 # DEPENDENCYPART_ARC
(1,2),-0.193679 # DEPENDENCYPART_ARC
(1,3),-0.839416 # DEPENDENCYPART_ARC
(1,4),-1.85381 # DEPENDENCYPART_ARC
(1,5),-2.021 # DEPENDENCYPART_ARC
(2,1),0.0249194 # DEPENDENCYPART_ARC
(2,9),-0.649189 # DEPENDENCYPART_ARC
(3,1),0.674415 # DEPENDENCYPART_ARC
(3,2),1.81569 # DEPENDENCYPART_ARC
(3,9),-0.567767 # DEPENDENCYPART_ARC
(4,1),0.102191 # DEPENDENCYPART_ARC
(4,2),0.401485 # DEPENDENCYPART_ARC
(4,3),2.1437 # DEPENDENCYPART_ARC
(4,7),-0.54601 # DEPENDENCYPART_ARC
(4,8),-0.611824 # DEPENDENCYPART_ARC
(5,1),2.01099 # DEPENDENCYPART_ARC
(5,2),0.681616 # DEPENDENCYPART_ARC
(5,3),1.01319 # DEPENDENCYPART_ARC
(5,4),3.36543 # DEPENDENCYPART_ARC
(5,6),-0.521126 # DEPENDENCYPART_ARC
(5,7),-1.53216 # DEPENDENCYPART_ARC
(5,8),0.358496 # DEPENDENCYPART_ARC
(5,9),-0.876988 # DEPENDENCYPART_ARC
(5,10),-1.30178 # DEPENDENCYPART_ARC
(5,12),0.679162 # DEPENDENCYPART_ARC
(5,13),-0.998588 # DEPENDENCYPART_ARC
(5,16),-1.57527 # DEPENDENCYPART_ARC
(6,1),0.279257 # DEPENDENCYPART_ARC
(6,2),-0.609331 # DEPENDENCYPART_ARC
(6,3),-0.25016 # DEPENDENCYPART_ARC
(6,4),0.0681858 # DEPENDENCYPART_ARC
(6,5),1.12105 # DEPENDENCYPART_ARC
(6,7),-0.138432 # DEPENDENCYPART_ARC
(6,8),-0.386674 # DEPENDENCYPART_ARC
(6,10),-0.753268 # DEPENDENCYPART_ARC
(6,13),-1.09129 # DEPENDENCYPART_ARC
(6,15),-0.512499 # DEPENDENCYPART_ARC
(7,3),-0.709729 # DEPENDENCYPART_ARC
(7,4),-0.809764 # DEPENDENCYPART_ARC
(7,5),-1.33514 # DEPENDENCYPART_ARC
(7,6),0.0508809 # DEPENDENCYPART_ARC
(7,8),-0.34431 # DEPENDENCYPART_ARC
(7,9),-0.502812 # DEPENDENCYPART_ARC
(7,10),-1.11444 # DEPENDENCYPART_ARC
(7,12),-1.00269 # DEPENDENCYPART_ARC
(7,15),-1.5447 # DEPENDENCYPART_ARC
(8,1),-1.06532 # DEPENDENCYPART_ARC
(8,3),-0.47379 # DEPENDENCYPART_ARC
(8,4),-0.345584 # DEPENDENCYPART_ARC
(8,5),-0.671486 # DEPENDENCYPART_ARC
(8,6),0.172439 # DEPENDENCYPART_ARC
(8,7),3.2187 # DEPENDENCYPART_ARC
(8,9),0.797137 # DEPENDENCYPART_ARC
(8,10),-0.568102 # DEPENDENCYPART_ARC
(8,11),0.015235 # DEPENDENCYPART_ARC
(8,12),-0.554272 # DEPENDENCYPART_ARC
(8,15),-1.43644 # DEPENDENCYPART_ARC
(9,6),0.255869 # DEPENDENCYPART_ARC
(9,7),0.148219 # DEPENDENCYPART_ARC
(9,8),0.987137 # DEPENDENCYPART_ARC
(10,1),0.322547 # DEPENDENCYPART_ARC
(10,2),-1.67767 # DEPENDENCYPART_ARC
(10,3),-0.475459 # DEPENDENCYPART_ARC
(10,4),-0.00231047 # DEPENDENCYPART_ARC
(10,5),-0.515703 # DEPENDENCYPART_ARC
(10,6),0.0931217 # DEPENDENCYPART_ARC
(10,7),1.41905 # DEPENDENCYPART_ARC
(10,8),1.69979 # DEPENDENCYPART_ARC
(10,9),1.83375 # DEPENDENCYPART_ARC
(10,11),0.336203 # DEPENDENCYPART_ARC
(10,12),-0.0904018 # DEPENDENCYPART_ARC
(10,13),-0.723201 # DEPENDENCYPART_ARC
(10,15),-1.34526 # DEPENDENCYPART_ARC
(10,16),-1.63489 # DEPENDENCYPART_ARC
(11,1),-0.639312 # DEPENDENCYPART_ARC
(11,2),-0.213508 # DEPENDENCYPART_ARC
(11,4),0.358068 # DEPENDENCYPART_ARC
(11,6),-0.110554 # DEPENDENCYPART_ARC
(11,7),2.24769 # DEPENDENCYPART_ARC
(11,8),1.32904 # DEPENDENCYPART_ARC
(11,9),1.65919 # DEPENDENCYPART_ARC
(11,10),2.24532 # DEPENDENCYPART_ARC
(12,4),-1.24516 # DEPENDENCYPART_ARC
(12,6),-0.62997 # DEPENDENCYPART_ARC
(12,7),-0.685386 # DEPENDENCYPART_ARC
(12,8),0.174187 # DEPENDENCYPART_ARC
(12,9),1.12043 # DEPENDENCYPART_ARC
(12,10),-0.141208 # DEPENDENCYPART_ARC
(12,11),3.47572 # DEPENDENCYPART_ARC
(13,2),-0.88458 # DEPENDENCYPART_ARC
(13,3),-1.42056 # DEPENDENCYPART_ARC
(13,5),0.0293389 # DEPENDENCYPART_ARC
(13,6),-0.154269 # DEPENDENCYPART_ARC
