# _root_ Cadı onu _ ziyarete_geldiğinde , aşağıdan " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye seslenirmiş .
#goldHeads=3,3,4,21,0,21,0,9,10,13,0,13,18,16,16,17,13,20,0,21,22,0,
#predictedHeads=4,3,4,5,6,7,0,9,10,11,0,13,18,16,16,17,21,0,0,21,22,0,
(0,5),1.07671 # DEPENDENCYPART_ARC
(0,7),2.85493 # DEPENDENCYPART_ARC
(0,9),0.831471 # DEPENDENCYPART_ARC
(0,11),1.63777 # DEPENDENCYPART_ARC
(0,18),3.09178 # DEPENDENCYPART_ARC
(0,19),4.43986 # DEPENDENCYPART_ARC
(0,22),2.84506 # DEPENDENCYPART_ARC
(1,2),-0.310856 # DEPENDENCYPART_ARC
(1,4),-1.28665 # DEPENDENCYPART_ARC
(1,6),-1.64246 # DEPENDENCYPART_ARC
(2,1),-0.88066 # DEPENDENCYPART_ARC
(3,1),1.54796 # DEPENDENCYPART_ARC
(3,2),2.63797 # DEPENDENCYPART_ARC
(3,4),0.713701 # DEPENDENCYPART_ARC
(3,5),-0.266123 # DEPENDENCYPART_ARC
(3,6),-0.847057 # DEPENDENCYPART_ARC
(3,8),-1.20551 # DEPENDENCYPART_ARC
(4,1),1.58123 # DEPENDENCYPART_ARC
(4,2),1.08745 # DEPENDENCYPART_ARC
(4,3),2.93076 # DEPENDENCYPART_ARC
(5,1),0.390995 # DEPENDENCYPART_ARC
(5,2),-0.107195 # DEPENDENCYPART_ARC
(5,3),-0.325564 # DEPENDENCYPART_ARC
(5,4),0.853589 # DEPENDENCYPART_ARC
(5,21),-0.917063 # DEPENDENCYPART_ARC
(6,3),-0.110102 # DEPENDENCYPART_ARC
(6,4),-1.29977 # DEPENDENCYPART_ARC
(6,5),1.74789 # DEPENDENCYPART_ARC
(6,7),0.622203 # DEPENDENCYPART_ARC
(6,8),-0.43556 # DEPENDENCYPART_ARC
(6,9),-0.0541708 # DEPENDENCYPART_ARC
(6,10),-0.827183 # DEPENDENCYPART_ARC
(7,3),-1.40366 # DEPENDENCYPART_ARC
(7,5),-0.694507 # DEPENDENCYPART_ARC
(7,6),0.537436 # DEPENDENCYPART_ARC
(7,8),-0.0242174 # DEPENDENCYPART_ARC
(7,9),-0.657897 # DEPENDENCYPART_ARC
(7,17),-0.308667 # DEPENDENCYPART_ARC
(7,21),-0.887777 # DEPENDENCYPART_ARC
(8,1),-0.561079 # DEPENDENCYPART_ARC
(8,5),0.500885 # DEPENDENCYPART_ARC
(8,6),-0.553384 # DEPENDENCYPART_ARC
(8,7),1.60238 # DEPENDENCYPART_ARC
(8,10),-0.652455 # DEPENDENCYPART_ARC
(9,3),-2.22455 # DEPENDENCYPART_ARC
(9,6),-0.062619 # DEPENDENCYPART_ARC
(9,7),-0.346993 # DEPENDENCYPART_ARC
(9,8),1.2856 # DEPENDENCYPART_ARC
(9,11),-0.543111 # DEPENDENCYPART_ARC
(9,21),-0.632472 # DEPENDENCYPART_ARC
(10,5),-0.467385 # DEPENDENCYPART_ARC
(10,7),-0.276873 # DEPENDENCYPART_ARC
(10,8),-0.483682 # DEPENDENCYPART_ARC
(10,9),1.49359 # DEPENDENCYPART_ARC
(11,3),-1.8898 # DEPENDENCYPART_ARC
(11,9),-0.232476 # DEPENDENCYPART_ARC
(11,10),0.997916 # DEPENDENCYPART_ARC
(11,12),-0.475061 # DEPENDENCYPART_ARC
(11,13),-0.500722 # DEPENDENCYPART_ARC
(11,16),-0.847659 # DEPENDENCYPART_ARC
(11,18),-0.750074 # DEPENDENCYPART_ARC
(11,21),-0.577902 # DEPENDENCYPART_ARC
(12,1),-0.577973 # DEPENDENCYPART_ARC
(12,2),-1.31289 # DEPENDENCYPART_ARC
(12,4),-0.853115 # DEPENDENCYPART_ARC
(12,6),-0.763071 # DEPENDENCYPART_ARC
(12,8),-0.677164 # DEPENDENCYPART_ARC
(12,9),-1.05146 # DEPENDENCYPART_ARC
