# _root_ Prens , " Rapunzel , Rapunzel ! _ Uzat altın _ sarısı saçlarını ! " diye _ seslenince , cadı Rapunzel'den _ kestiği saç örgüsünü _ uzatmış aşağıya .
#goldHeads=17,0,0,5,6,9,0,9,14,12,12,13,0,16,0,17,18,27,0,27,22,23,25,25,27,27,29,27,0,
#predictedHeads=12,0,0,5,6,7,0,9,14,12,12,13,14,0,0,17,18,27,0,21,22,23,24,25,27,27,29,26,0,
(0,2),2.5102 # DEPENDENCYPART_ARC
(0,3),3.32149 # DEPENDENCYPART_ARC
(0,5),1.00231 # DEPENDENCYPART_ARC
(0,7),1.57396 # DEPENDENCYPART_ARC
(0,14),3.05958 # DEPENDENCYPART_ARC
(0,15),4.44845 # DEPENDENCYPART_ARC
(0,19),0.937354 # DEPENDENCYPART_ARC
(0,29),4.15065 # DEPENDENCYPART_ARC
(1,2),-0.348504 # DEPENDENCYPART_ARC
(1,3),-0.658206 # DEPENDENCYPART_ARC
(2,1),0.384611 # DEPENDENCYPART_ARC
(2,3),-0.283059 # DEPENDENCYPART_ARC
(2,26),-2.03812 # DEPENDENCYPART_ARC
(3,2),-0.171132 # DEPENDENCYPART_ARC
(3,4),-0.213883 # DEPENDENCYPART_ARC
(3,5),-0.63098 # DEPENDENCYPART_ARC
(3,17),-1.27624 # DEPENDENCYPART_ARC
(3,26),-1.97748 # DEPENDENCYPART_ARC
(3,27),-1.4331 # DEPENDENCYPART_ARC
(4,1),-0.283193 # DEPENDENCYPART_ARC
(4,2),0.312681 # DEPENDENCYPART_ARC
(4,3),0.516133 # DEPENDENCYPART_ARC
(4,6),-0.534886 # DEPENDENCYPART_ARC
(5,3),-0.545677 # DEPENDENCYPART_ARC
(5,4),1.2856 # DEPENDENCYPART_ARC
(5,7),-0.543111 # DEPENDENCYPART_ARC
(5,26),-1.91092 # DEPENDENCYPART_ARC
(5,27),-1.18933 # DEPENDENCYPART_ARC
(6,2),-0.561852 # DEPENDENCYPART_ARC
(6,4),-0.483682 # DEPENDENCYPART_ARC
(6,5),1.49359 # DEPENDENCYPART_ARC
(7,5),-0.232476 # DEPENDENCYPART_ARC
(7,6),0.997916 # DEPENDENCYPART_ARC
(7,8),-0.475061 # DEPENDENCYPART_ARC
(7,9),-0.500722 # DEPENDENCYPART_ARC
(7,27),-1.25305 # DEPENDENCYPART_ARC
(8,1),-0.415511 # DEPENDENCYPART_ARC
(8,4),-0.677164 # DEPENDENCYPART_ARC
(8,5),-1.05146 # DEPENDENCYPART_ARC
(8,6),-0.0875427 # DEPENDENCYPART_ARC
(8,7),0.546579 # DEPENDENCYPART_ARC
(8,10),0.425646 # DEPENDENCYPART_ARC
(8,11),-0.889702 # DEPENDENCYPART_ARC
(8,12),0.0435485 # DEPENDENCYPART_ARC
(8,13),0.17913 # DEPENDENCYPART_ARC
(8,16),-0.137381 # DEPENDENCYPART_ARC
(8,17),-1.1451 # DEPENDENCYPART_ARC
(8,18),-0.558492 # DEPENDENCYPART_ARC
(9,1),-0.171673 # DEPENDENCYPART_ARC
(9,2),-0.997893 # DEPENDENCYPART_ARC
(9,3),-0.669051 # DEPENDENCYPART_ARC
(9,4),-0.0650827 # DEPENDENCYPART_ARC
(9,5),-0.61428 # DEPENDENCYPART_ARC
(9,6),0.211673 # DEPENDENCYPART_ARC
(9,7),0.575175 # DEPENDENCYPART_ARC
(9,8),2.14997 # DEPENDENCYPART_ARC
(9,10),-0.32594 # DEPENDENCYPART_ARC
(9,11),-0.65142 # DEPENDENCYPART_ARC
(9,12),-0.38761 # DEPENDENCYPART_ARC
(9,13),0.717262 # DEPENDENCYPART_ARC
(9,16),-0.323891 # DEPENDENCYPART_ARC
(9,17),-1.62312 # DEPENDENCYPART_ARC
(9,18),-0.553503 # DEPENDENCYPART_ARC
(9,24),-2.72189 # DEPENDENCYPART_ARC
(10,6),-1.09456 # DEPENDENCYPART_ARC
(10,7),-0.404852 # DEPENDENCYPART_ARC
(10,8),-0.198632 # DEPENDENCYPART_ARC
(10,9),1.17955 # DEPENDENCYPART_ARC
(10,11),0.086048 # DEPENDENCYPART_ARC
(11,7),-0.121484 # DEPENDENCYPART_ARC
(11,8),-0.876309 # DEPENDENCYPART_ARC
(11,9),-0.273158 # DEPENDENCYPART_ARC
(11,10),1.18566 # DEPENDENCYPART_ARC
(12,1),0.409109 # DEPENDENCYPART_ARC
(12,2),-0.479081 # DEPENDENCYPART_ARC
(12,4),0.470691 # DEPENDENCYPART_ARC
(12,5),-0.180439 # DEPENDENCYPART_ARC
(12,6),0.266848 # DEPENDENCYPART_ARC
(12,7),0.392104 # DEPENDENCYPART_ARC
(12,8),-1.34113 # DEPENDENCYPART_ARC
(12,9),1.26081 # DEPENDENCYPART_ARC
(12,10),2.38172 # DEPENDENCYPART_ARC
(12,11),2.37579 # DEPENDENCYPART_ARC
(12,28),-0.292119 # DEPENDENCYPART_ARC
(13,1),-0.129481 # DEPENDENCYPART_ARC
(13,2),0.129784 # DEPENDENCYPART_ARC
(13,3),-0.11813 # DEPENDENCYPART_ARC
(13,4),0.0757431 # DEPENDENCYPART_ARC
(13,5),0.573708 # DEPENDENCYPART_ARC
(13,7),1.19183 # DEPENDENCYPART_ARC
(13,8),-1.67335 # DEPENDENCYPART_ARC
(13,9),1.28387 # DEPENDENCYPART_ARC
(13,10),1.32981 # DEPENDENCYPART_ARC
(13,11),0.890994 # DEPENDENCYPART_ARC
(13,12),2.9684 # DEPENDENCYPART_ARC
(13,14),-0.448329 # DEPENDENCYPART_ARC
(13,15),-0.81014 # DEPENDENCYPART_ARC
(14,2),-0.564242 # DEPENDENCYPART_ARC
(14,3),-0.36855 # DEPENDENCYPART_ARC
(14,7),0.603409 # DEPENDENCYPART_ARC
(14,8),-1.48323 # DEPENDENCYPART_ARC
(14,9),1.48392 # DEPENDENCYPART_ARC
(14,11),-0.566916 # DEPENDENCYPART_ARC
(14,12),0.66716 # DEPENDENCYPART_ARC
(14,13),0.760022 # DEPENDENCYPART_ARC
(14,15),-0.254023 # DEPENDENCYPART_ARC
(14,16),-0.380226 # DEPENDENCYPART_ARC
(14,25),-0.569128 # DEPENDENCYPART_ARC
(14,27),-1.09371 # DEPENDENCYPART_ARC
(14,28),-0.669087 # DEPENDENCYPART_ARC
(15,3),-0.814212 # DEPENDENCYPART_ARC
(15,8),-2.54993 # DEPENDENCYPART_ARC
(15,9),0.0287463 # DEPENDENCYPART_ARC
(15,11),-1.92291 # DEPENDENCYPART_ARC
(15,13),-0.820046 # DEPENDENCYPART_ARC
(15,14),0.604 # DEPENDENCYPART_ARC
(15,16),-0.896008 # DEPENDENCYPART_ARC
(15,17),-1.59828 # DEPENDENCYPART_ARC
(15,18),-1.08214 # DEPENDENCYPART_ARC
(15,24),-1.39234 # DEPENDENCYPART_ARC
(15,25),-1.32973 # DEPENDENCYPART_ARC
(15,27),-1.97829 # DEPENDENCYPART_ARC
(15,28),-1.70729 # DEPENDENCYPART_ARC
(16,10),0.0048863 # DEPENDENCYPART_ARC
(16,12),0.443694 # DEPENDENCYPART_ARC
(16,13),0.217483 # DEPENDENCYPART_ARC
(16,14),1.2492 # DEPENDENCYPART_ARC
(16,15),1.55285 # DEPENDENCYPART_ARC
(17,1),-0.564939 # DEPENDENCYPART_ARC
(17,4),-0.525693 # DEPENDENCYPART_ARC
(17,6),-0.584115 # DEPENDENCYPART_ARC
(17,10),-0.786665 # DEPENDENCYPART_ARC
(17,12),-0.292401 # DEPENDENCYPART_ARC
(17,13),0.301345 # DEPENDENCYPART_ARC
(17,14),-1.02025 # DEPENDENCYPART_ARC
(17,15),0.35619 # DEPENDENCYPART_ARC
(17,16),1.97987 # DEPENDENCYPART_ARC
(17,18),0.796658 # DEPENDENCYPART_ARC
(17,19),-0.353944 # DEPENDENCYPART_ARC
(17,20),-1.15645 # DEPENDENCYPART_ARC
(17,21),-1.32546 # DEPENDENCYPART_ARC
(17,22),-1.34419 # DEPENDENCYPART_ARC
(17,24),-1.34881 # DEPENDENCYPART_ARC
(17,25),-1.55533 # DEPENDENCYPART_ARC
(17,26),-1.28565 # DEPENDENCYPART_ARC
(17,27),-0.952738 # DEPENDENCYPART_ARC
(17,28),-0.869353 # DEPENDENCYPART_ARC
(18,4),-0.257336 # DEPENDENCYPART_ARC
(18,6),-0.118129 # DEPENDENCYPART_ARC
(18,10),0.240534 # DEPENDENCYPART_ARC
(18,12),0.91491 # DEPENDENCYPART_ARC
(18,13),0.367731 # DEPENDENCYPART_ARC
(18,14),-0.221488 # DEPENDENCYPART_ARC
(18,15),0.366609 # DEPENDENCYPART_ARC
(18,16),0.737788 # DEPENDENCYPART_ARC
(18,17),2.50803 # DEPENDENCYPART_ARC
(19,9),-0.0542477 # DEPENDENCYPART_ARC
(19,15),-0.368946 # DEPENDENCYPART_ARC
(19,16),-0.449163 # DEPENDENCYPART_ARC
(19,17),-0.476709 # DEPENDENCYPART_ARC
(19,18),-0.138992 # DEPENDENCYPART_ARC
(19,27),-1.10367 # DEPENDENCYPART_ARC
(20,17),-0.205846 # DEPENDENCYPART_ARC
(20,18),-0.560903 # DEPENDENCYPART_ARC
(20,19),-0.263335 # DEPENDENCYPART_ARC
(20,21),-0.813614 # DEPENDENCYPART_ARC
(20,22),-0.658884 # DEPENDENCYPART_ARC
(20,23),-0.446759 # DEPENDENCYPART_ARC
(20,24),-0.517289 # DEPENDENCYPART_ARC
(20,25),-1.43109 # DEPENDENCYPART_ARC
(21,19),-0.505228 # DEPENDENCYPART_ARC
(21,20),1.83703 # DEPENDENCYPART_ARC
(21,22),-0.435164 # DEPENDENCYPART_ARC
(22,1),-0.840424 # DEPENDENCYPART_ARC
(22,6),-0.852989 # DEPENDENCYPART_ARC
(22,10),-0.425169 # DEPENDENCYPART_ARC
(22,12),-0.614293 # DEPENDENCYPART_ARC
(22,13),0.0415155 # DEPENDENCYPART_ARC
(22,16),-0.532686 # DEPENDENCYPART_ARC
(22,17),-3.08379 # DEPENDENCYPART_ARC
(22,18),-0.379724 # DEPENDENCYPART_ARC
(22,19),-0.692395 # DEPENDENCYPART_ARC
(22,20),0.889124 # DEPENDENCYPART_ARC
(22,21),2.19848 # DEPENDENCYPART_ARC
(22,24),-0.602919 # DEPENDENCYPART_ARC
(22,25),-1.14363 # DEPENDENCYPART_ARC
(22,26),-1.34724 # DEPENDENCYPART_ARC
(22,28),-0.394161 # DEPENDENCYPART_ARC
(23,14),-0.476242 # DEPENDENCYPART_ARC
(23,15),-0.318423 # DEPENDENCYPART_ARC
(23,16),0.314928 # DEPENDENCYPART_ARC
(23,19),-0.258016 # DEPENDENCYPART_ARC
(23,20),0.809953 # DEPENDENCYPART_ARC
(23,21),1.4803 # DEPENDENCYPART_ARC
(23,22),2.57035 # DEPENDENCYPART_ARC
(24,11),-4.62771 # DEPENDENCYPART_ARC
(24,20),0.71211 # DEPENDENCYPART_ARC
(24,21),0.15089 # DEPENDENCYPART_ARC
(24,22),-0.0638136 # DEPENDENCYPART_ARC
(24,23),1.53446 # DEPENDENCYPART_ARC
(24,25),-0.898273 # DEPENDENCYPART_ARC
(24,26),-0.556386 # DEPENDENCYPART_ARC
(24,28),-0.0459329 # DEPENDENCYPART_ARC
(25,11),-5.60538 # DEPENDENCYPART_ARC
(25,19),-0.599769 # DEPENDENCYPART_ARC
(25,20),0.723024 # DEPENDENCYPART_ARC
(25,21),-0.0100171 # DEPENDENCYPART_ARC
(25,22),-1.03409 # DEPENDENCYPART_ARC
