# _root_ Recep , pantolonunu giymiş , gömlek cebinden _ _ çıkardığı sigarayı ağzına koymuştu .
#goldHeads=13,0,4,5,13,7,9,9,10,11,13,13,14,0,
#predictedHeads=4,0,4,5,13,7,9,9,10,11,13,13,14,0,
(0,1),-0.685069 # DEPENDENCYPART_ARC
(0,2),2.19833 # DEPENDENCYPART_ARC
(0,4),-1.34384 # DEPENDENCYPART_ARC
(0,5),0.522074 # DEPENDENCYPART_ARC
(0,11),-0.629892 # DEPENDENCYPART_ARC
(0,13),-1.47372 # DEPENDENCYPART_ARC
(0,14),3.09263 # DEPENDENCYPART_ARC
(1,3),-1.24987 # DEPENDENCYPART_ARC
(2,1),0.0643084 # DEPENDENCYPART_ARC
(2,3),0.107484 # DEPENDENCYPART_ARC
(2,4),-0.615461 # DEPENDENCYPART_ARC
(2,13),-0.977168 # DEPENDENCYPART_ARC
(3,1),0.0227734 # DEPENDENCYPART_ARC
(3,2),0.434827 # DEPENDENCYPART_ARC
(3,7),-0.890061 # DEPENDENCYPART_ARC
(3,8),-1.09674 # DEPENDENCYPART_ARC
(3,13),-1.81306 # DEPENDENCYPART_ARC
(4,1),1.83169 # DEPENDENCYPART_ARC
(4,2),0.321061 # DEPENDENCYPART_ARC
(4,3),3.21947 # DEPENDENCYPART_ARC
(4,6),-0.24663 # DEPENDENCYPART_ARC
(4,7),-0.822045 # DEPENDENCYPART_ARC
(4,8),-0.951116 # DEPENDENCYPART_ARC
(4,9),-1.72527 # DEPENDENCYPART_ARC
(4,11),-0.836754 # DEPENDENCYPART_ARC
(4,12),-0.953894 # DEPENDENCYPART_ARC
(4,13),-0.86786 # DEPENDENCYPART_ARC
(4,14),-1.65396 # DEPENDENCYPART_ARC
(5,2),-0.349045 # DEPENDENCYPART_ARC
(5,3),0.460338 # DEPENDENCYPART_ARC
(5,4),1.13879 # DEPENDENCYPART_ARC
(5,6),-0.115032 # DEPENDENCYPART_ARC
(5,8),-0.844042 # DEPENDENCYPART_ARC
(5,9),-0.731516 # DEPENDENCYPART_ARC
(5,11),-0.510618 # DEPENDENCYPART_ARC
(5,13),-0.675535 # DEPENDENCYPART_ARC
(6,3),-1.29066 # DEPENDENCYPART_ARC
(6,4),-0.366587 # DEPENDENCYPART_ARC
(6,5),-0.142588 # DEPENDENCYPART_ARC
(6,7),-1.06318 # DEPENDENCYPART_ARC
(6,8),-0.507222 # DEPENDENCYPART_ARC
(6,10),-0.561644 # DEPENDENCYPART_ARC
(6,11),-1.25378 # DEPENDENCYPART_ARC
(6,12),-0.593224 # DEPENDENCYPART_ARC
(7,1),-0.553293 # DEPENDENCYPART_ARC
(7,2),-0.495826 # DEPENDENCYPART_ARC
(7,3),-2.29104 # DEPENDENCYPART_ARC
(7,4),-1.11294 # DEPENDENCYPART_ARC
(7,5),0.0134633 # DEPENDENCYPART_ARC
(7,6),2.80598 # DEPENDENCYPART_ARC
(7,8),-0.129839 # DEPENDENCYPART_ARC
(7,9),-0.81908 # DEPENDENCYPART_ARC
(7,10),-0.603065 # DEPENDENCYPART_ARC
(7,11),-0.652937 # DEPENDENCYPART_ARC
(7,12),-0.692105 # DEPENDENCYPART_ARC
(8,1),-0.30007 # DEPENDENCYPART_ARC
(8,3),-1.16443 # DEPENDENCYPART_ARC
(8,4),-1.0646 # DEPENDENCYPART_ARC
(8,5),0.300915 # DEPENDENCYPART_ARC
(8,6),0.755474 # DEPENDENCYPART_ARC
(8,7),1.23935 # DEPENDENCYPART_ARC
(8,11),-0.0607653 # DEPENDENCYPART_ARC
(8,12),-0.55436 # DEPENDENCYPART_ARC
(9,1),-0.520323 # DEPENDENCYPART_ARC
(9,2),-1.29199 # DEPENDENCYPART_ARC
(9,3),0.0900612 # DEPENDENCYPART_ARC
(9,4),-0.904881 # DEPENDENCYPART_ARC
(9,5),0.190111 # DEPENDENCYPART_ARC
(9,6),0.971829 # DEPENDENCYPART_ARC
(9,7),1.52187 # DEPENDENCYPART_ARC
(9,8),2.7632 # DEPENDENCYPART_ARC
(9,11),-0.760641 # DEPENDENCYPART_ARC
(9,12),-1.17276 # DEPENDENCYPART_ARC
(10,1),-0.664457 # DEPENDENCYPART_ARC
