# _root_ İzini bulursanız , bu numaraya haber verirsiniz , dedi .
#goldHeads=2,7,0,5,7,7,8,9,10,0,
#predictedHeads=2,7,7,5,7,7,8,9,10,0,
(0,1),-1.31633 # DEPENDENCYPART_ARC
(0,2),-1.69513 # DEPENDENCYPART_ARC
(0,3),0.765462 # DEPENDENCYPART_ARC
(0,5),-1.28715 # DEPENDENCYPART_ARC
(0,7),-1.84166 # DEPENDENCYPART_ARC
(0,8),-0.354152 # DEPENDENCYPART_ARC
(0,9),-1.72002 # DEPENDENCYPART_ARC
(0,10),1.909 # DEPENDENCYPART_ARC
(1,2),-0.246876 # DEPENDENCYPART_ARC
(1,3),0.103326 # DEPENDENCYPART_ARC
(1,4),-0.451514 # DEPENDENCYPART_ARC
(1,5),-0.341309 # DEPENDENCYPART_ARC
(1,6),-0.846334 # DEPENDENCYPART_ARC
(1,7),-1.35027 # DEPENDENCYPART_ARC
(1,9),-1.74742 # DEPENDENCYPART_ARC
(2,1),3.77225 # DEPENDENCYPART_ARC
(2,3),-0.509403 # DEPENDENCYPART_ARC
(2,5),-0.411251 # DEPENDENCYPART_ARC
(2,6),-1.21234 # DEPENDENCYPART_ARC
(2,7),-1.88846 # DEPENDENCYPART_ARC
(2,8),-1.03121 # DEPENDENCYPART_ARC
(2,9),-2.17354 # DEPENDENCYPART_ARC
(2,10),-1.66276 # DEPENDENCYPART_ARC
(3,1),0.0805594 # DEPENDENCYPART_ARC
(3,2),0.84799 # DEPENDENCYPART_ARC
(3,5),-0.378734 # DEPENDENCYPART_ARC
(3,6),-0.294576 # DEPENDENCYPART_ARC
(3,7),-0.416938 # DEPENDENCYPART_ARC
(3,8),-0.939187 # DEPENDENCYPART_ARC
(3,9),-0.601453 # DEPENDENCYPART_ARC
(3,10),-1.12123 # DEPENDENCYPART_ARC
(4,3),-0.185202 # DEPENDENCYPART_ARC
(5,1),-2.68212 # DEPENDENCYPART_ARC
(5,2),-0.730187 # DEPENDENCYPART_ARC
(5,3),-0.35049 # DEPENDENCYPART_ARC
(5,4),1.8185 # DEPENDENCYPART_ARC
(5,6),-1.23535 # DEPENDENCYPART_ARC
(5,7),-1.4513 # DEPENDENCYPART_ARC
(6,1),-1.89696 # DEPENDENCYPART_ARC
(6,2),-0.192906 # DEPENDENCYPART_ARC
(6,3),-0.0380442 # DEPENDENCYPART_ARC
(6,4),0.807927 # DEPENDENCYPART_ARC
(6,5),1.57901 # DEPENDENCYPART_ARC
(6,7),-0.69347 # DEPENDENCYPART_ARC
(6,8),0.161943 # DEPENDENCYPART_ARC
(7,1),0.616242 # DEPENDENCYPART_ARC
(7,2),1.65309 # DEPENDENCYPART_ARC
(7,3),1.45937 # DEPENDENCYPART_ARC
(7,4),0.213975 # DEPENDENCYPART_ARC
(7,5),2.2176 # DEPENDENCYPART_ARC
(7,6),2.19499 # DEPENDENCYPART_ARC
(7,8),-0.317395 # DEPENDENCYPART_ARC
(7,9),-1.7642 # DEPENDENCYPART_ARC
(7,10),-1.6575 # DEPENDENCYPART_ARC
(8,1),0.0166898 # DEPENDENCYPART_ARC
(8,2),-0.360524 # DEPENDENCYPART_ARC
(8,3),-0.0231295 # DEPENDENCYPART_ARC
(8,4),-0.476403 # DEPENDENCYPART_ARC
(8,5),0.39607 # DEPENDENCYPART_ARC
(8,6),0.303786 # DEPENDENCYPART_ARC
(8,7),1.79984 # DEPENDENCYPART_ARC
(8,9),0.322248 # DEPENDENCYPART_ARC
(8,10),-0.428971 # DEPENDENCYPART_ARC
(9,1),0.0326685 # DEPENDENCYPART_ARC
(9,2),1.55831 # DEPENDENCYPART_ARC
(9,3),0.0793559 # DEPENDENCYPART_ARC
(9,4),-0.630082 # DEPENDENCYPART_ARC
(9,5),0.434816 # DEPENDENCYPART_ARC
(9,6),0.227974 # DEPENDENCYPART_ARC
(9,7),-0.276327 # DEPENDENCYPART_ARC
(9,8),2.64324 # DEPENDENCYPART_ARC
(9,10),-0.0561929 # DEPENDENCYPART_ARC
(10,1),-0.673765 # DEPENDENCYPART_ARC
(10,2),-1.07612 # DEPENDENCYPART_ARC
(10,3),-0.922878 # DEPENDENCYPART_ARC
(10,4),-0.88369 # DEPENDENCYPART_ARC
(10,5),-0.507743 # DEPENDENCYPART_ARC
(10,6),-0.707312 # DEPENDENCYPART_ARC
(10,7),-0.362149 # DEPENDENCYPART_ARC
(10,8),-0.311627 # DEPENDENCYPART_ARC
(10,9),1.99744 # DEPENDENCYPART_ARC
