# _root_ Bu yazarın dramlarında kişiler , durumlarına karşı_koymaz , onu _ _ değiştirmek için savaşmazlar .
#goldHeads=2,3,7,7,0,7,8,14,11,11,12,13,14,15,0,
#predictedHeads=2,3,7,7,0,7,8,14,11,11,12,13,14,15,0,
(0,5),1.41757 # DEPENDENCYPART_ARC
(0,8),0.234103 # DEPENDENCYPART_ARC
(0,14),-1.26931 # DEPENDENCYPART_ARC
(0,15),2.31857 # DEPENDENCYPART_ARC
(2,1),1.81054 # DEPENDENCYPART_ARC
(2,3),-1.63426 # DEPENDENCYPART_ARC
(2,4),-1.07642 # DEPENDENCYPART_ARC
(2,7),-1.21217 # DEPENDENCYPART_ARC
(2,14),-1.66195 # DEPENDENCYPART_ARC
(3,1),0.845385 # DEPENDENCYPART_ARC
(3,2),3.21241 # DEPENDENCYPART_ARC
(3,4),-0.678497 # DEPENDENCYPART_ARC
(3,5),0.0072906 # DEPENDENCYPART_ARC
(3,6),0.414388 # DEPENDENCYPART_ARC
(3,7),-0.302659 # DEPENDENCYPART_ARC
(3,14),-0.829779 # DEPENDENCYPART_ARC
(4,1),0.252902 # DEPENDENCYPART_ARC
(4,2),0.471697 # DEPENDENCYPART_ARC
(4,3),-0.223911 # DEPENDENCYPART_ARC
(4,5),-0.0837481 # DEPENDENCYPART_ARC
(4,6),-0.170122 # DEPENDENCYPART_ARC
(4,7),-1.25005 # DEPENDENCYPART_ARC
(4,14),-1.61111 # DEPENDENCYPART_ARC
(5,1),-0.810172 # DEPENDENCYPART_ARC
(5,2),-0.0780032 # DEPENDENCYPART_ARC
(5,3),-0.108836 # DEPENDENCYPART_ARC
(5,4),0.575265 # DEPENDENCYPART_ARC
(5,6),0.152843 # DEPENDENCYPART_ARC
(5,7),-0.570102 # DEPENDENCYPART_ARC
(5,10),-0.708002 # DEPENDENCYPART_ARC
(5,11),-0.801104 # DEPENDENCYPART_ARC
(5,14),-0.572691 # DEPENDENCYPART_ARC
(6,1),-0.935357 # DEPENDENCYPART_ARC
(6,2),0.268594 # DEPENDENCYPART_ARC
(6,3),-1.01026 # DEPENDENCYPART_ARC
(6,4),0.48289 # DEPENDENCYPART_ARC
(6,5),0.583454 # DEPENDENCYPART_ARC
(6,7),0.152579 # DEPENDENCYPART_ARC
(6,8),0.243204 # DEPENDENCYPART_ARC
(6,10),-0.824256 # DEPENDENCYPART_ARC
(6,11),-1.28917 # DEPENDENCYPART_ARC
(6,14),-1.13153 # DEPENDENCYPART_ARC
