# _root_ İbo_Abim , Bu iş olmayacak , dedi .
#goldHeads=7,0,4,5,6,7,8,0,
#predictedHeads=5,0,4,5,6,7,8,0,
(0,1),-1.12088 # DEPENDENCYPART_ARC
(0,2),2.33039 # DEPENDENCYPART_ARC
(0,5),-1.67141 # DEPENDENCYPART_ARC
(0,6),-0.0237244 # DEPENDENCYPART_ARC
(0,7),-1.60126 # DEPENDENCYPART_ARC
(0,8),1.88576 # DEPENDENCYPART_ARC
(1,2),-0.268879 # DEPENDENCYPART_ARC
(1,3),-0.732831 # DEPENDENCYPART_ARC
(1,4),-1.63485 # DEPENDENCYPART_ARC
(1,5),-1.0165 # DEPENDENCYPART_ARC
(1,7),-2.4367 # DEPENDENCYPART_ARC
(2,1),-0.129181 # DEPENDENCYPART_ARC
(2,4),-0.446091 # DEPENDENCYPART_ARC
(2,5),-0.398089 # DEPENDENCYPART_ARC
(2,6),-0.80432 # DEPENDENCYPART_ARC
(2,7),-0.78363 # DEPENDENCYPART_ARC
(2,8),-1.11908 # DEPENDENCYPART_ARC
(3,1),-1.15671 # DEPENDENCYPART_ARC
(3,2),-0.148749 # DEPENDENCYPART_ARC
(4,1),-0.972173 # DEPENDENCYPART_ARC
(4,2),0.132126 # DEPENDENCYPART_ARC
(4,3),2.01294 # DEPENDENCYPART_ARC
(4,5),-0.0672103 # DEPENDENCYPART_ARC
(4,6),-0.467029 # DEPENDENCYPART_ARC
(5,1),1.92616 # DEPENDENCYPART_ARC
(5,2),0.47441 # DEPENDENCYPART_ARC
(5,3),0.856567 # DEPENDENCYPART_ARC
(5,4),3.10813 # DEPENDENCYPART_ARC
(5,6),-0.377424 # DEPENDENCYPART_ARC
(5,7),-1.67767 # DEPENDENCYPART_ARC
(5,8),-1.71753 # DEPENDENCYPART_ARC
(6,1),-0.149122 # DEPENDENCYPART_ARC
(6,2),-0.433933 # DEPENDENCYPART_ARC
(6,3),-0.401986 # DEPENDENCYPART_ARC
(6,4),0.0961833 # DEPENDENCYPART_ARC
(6,5),1.69771 # DEPENDENCYPART_ARC
(6,7),0.380513 # DEPENDENCYPART_ARC
(6,8),-0.370706 # DEPENDENCYPART_ARC
(7,1),0.8139 # DEPENDENCYPART_ARC
(7,2),-0.663807 # DEPENDENCYPART_ARC
(7,3),-0.563424 # DEPENDENCYPART_ARC
(7,4),0.360955 # DEPENDENCYPART_ARC
(7,5),-0.22208 # DEPENDENCYPART_ARC
(7,6),2.64324 # DEPENDENCYPART_ARC
(7,8),-0.0561929 # DEPENDENCYPART_ARC
(8,1),-0.511599 # DEPENDENCYPART_ARC
(8,2),-1.17139 # DEPENDENCYPART_ARC
(8,3),-0.812655 # DEPENDENCYPART_ARC
(8,4),-0.585084 # DEPENDENCYPART_ARC
(8,5),-0.356101 # DEPENDENCYPART_ARC
(8,6),-0.311627 # DEPENDENCYPART_ARC
(8,7),1.99744 # DEPENDENCYPART_ARC
