# _root_ Bilimsel_Devrim boyunca alanını din aleyhine gittikçe _ _ genişleterek , dinin _ eskisine göre çok daha dar bir alana _ _ hapsedilmesine _ yol_açan bilimin kendisi de , bugün kendi alanına _ hapsedilmiştir .
#goldHeads=2,8,8,5,8,8,8,9,21,0,21,13,14,21,16,17,19,19,21,21,22,23,24,25,26,33,26,0,32,31,33,33,34,0,
#predictedHeads=2,8,9,5,8,8,8,9,10,0,13,13,14,19,16,17,19,19,21,21,22,23,24,25,26,28,26,0,33,31,33,33,34,0,
(0,10),1.76413 # DEPENDENCYPART_ARC
(0,28),1.47195 # DEPENDENCYPART_ARC
(0,34),2.39456 # DEPENDENCYPART_ARC
(1,3),-1.54903 # DEPENDENCYPART_ARC
(2,1),3.31436 # DEPENDENCYPART_ARC
(2,3),0.290771 # DEPENDENCYPART_ARC
(2,4),-0.0530417 # DEPENDENCYPART_ARC
(3,1),0.885763 # DEPENDENCYPART_ARC
(3,2),0.461318 # DEPENDENCYPART_ARC
(3,18),-0.505419 # DEPENDENCYPART_ARC
(4,1),-0.273102 # DEPENDENCYPART_ARC
(4,2),0.0662252 # DEPENDENCYPART_ARC
(4,3),1.45231 # DEPENDENCYPART_ARC
(4,6),-0.234593 # DEPENDENCYPART_ARC
(5,1),0.111589 # DEPENDENCYPART_ARC
(5,2),-0.0783276 # DEPENDENCYPART_ARC
(5,3),-0.608515 # DEPENDENCYPART_ARC
(5,4),2.37894 # DEPENDENCYPART_ARC
(5,6),0.0873435 # DEPENDENCYPART_ARC
(5,7),-0.664635 # DEPENDENCYPART_ARC
(5,18),-0.86436 # DEPENDENCYPART_ARC
(6,3),-0.367876 # DEPENDENCYPART_ARC
(6,4),-0.139099 # DEPENDENCYPART_ARC
(6,5),0.734105 # DEPENDENCYPART_ARC
(7,1),0.313814 # DEPENDENCYPART_ARC
(7,2),0.720471 # DEPENDENCYPART_ARC
(7,3),0.353864 # DEPENDENCYPART_ARC
(7,4),0.76451 # DEPENDENCYPART_ARC
(7,5),1.19088 # DEPENDENCYPART_ARC
(7,6),0.690281 # DEPENDENCYPART_ARC
(7,20),-1.52011 # DEPENDENCYPART_ARC
(7,21),-1.45553 # DEPENDENCYPART_ARC
(7,26),-0.427625 # DEPENDENCYPART_ARC
(7,30),-0.838519 # DEPENDENCYPART_ARC
(8,1),0.615379 # DEPENDENCYPART_ARC
(8,2),1.08383 # DEPENDENCYPART_ARC
(8,3),1.43088 # DEPENDENCYPART_ARC
(8,4),1.15578 # DEPENDENCYPART_ARC
(8,5),1.5071 # DEPENDENCYPART_ARC
(8,6),1.17793 # DEPENDENCYPART_ARC
(8,7),2.58168 # DEPENDENCYPART_ARC
(8,26),-0.524754 # DEPENDENCYPART_ARC
(8,30),-0.828401 # DEPENDENCYPART_ARC
(9,1),0.902352 # DEPENDENCYPART_ARC
(9,3),1.62158 # DEPENDENCYPART_ARC
(9,4),1.06839 # DEPENDENCYPART_ARC
(9,5),0.962036 # DEPENDENCYPART_ARC
(9,6),0.713831 # DEPENDENCYPART_ARC
(9,8),2.91399 # DEPENDENCYPART_ARC
(10,5),0.577199 # DEPENDENCYPART_ARC
(10,7),-0.579387 # DEPENDENCYPART_ARC
(10,8),-0.16213 # DEPENDENCYPART_ARC
(10,9),0.0252738 # DEPENDENCYPART_ARC
(10,21),-1.89483 # DEPENDENCYPART_ARC
(10,33),-1.66678 # DEPENDENCYPART_ARC
(11,8),-0.262748 # DEPENDENCYPART_ARC
(11,10),0.140613 # DEPENDENCYPART_ARC
(11,12),-0.140923 # DEPENDENCYPART_ARC
(11,18),-0.785597 # DEPENDENCYPART_ARC
(12,7),-1.89795 # DEPENDENCYPART_ARC
(12,8),-1.02063 # DEPENDENCYPART_ARC
(12,9),-0.830958 # DEPENDENCYPART_ARC
(12,10),-0.225546 # DEPENDENCYPART_ARC
(12,11),1.27514 # DEPENDENCYPART_ARC
(13,5),-0.52876 # DEPENDENCYPART_ARC
(13,6),-0.517425 # DEPENDENCYPART_ARC
(13,7),-2.05495 # DEPENDENCYPART_ARC
(13,8),-1.12889 # DEPENDENCYPART_ARC
(13,9),-0.666603 # DEPENDENCYPART_ARC
(13,10),-0.189526 # DEPENDENCYPART_ARC
(13,11),2.44219 # DEPENDENCYPART_ARC
(13,12),2.1581 # DEPENDENCYPART_ARC
(13,15),-0.978533 # DEPENDENCYPART_ARC
(14,6),-0.619063 # DEPENDENCYPART_ARC
(14,9),-0.800338 # DEPENDENCYPART_ARC
(14,10),-0.241484 # DEPENDENCYPART_ARC
(14,11),0.164058 # DEPENDENCYPART_ARC
(14,12),0.0948548 # DEPENDENCYPART_ARC
(14,13),3.66394 # DEPENDENCYPART_ARC
(15,12),-0.507047 # DEPENDENCYPART_ARC
(15,13),-0.407359 # DEPENDENCYPART_ARC
(15,14),-0.103103 # DEPENDENCYPART_ARC
(15,16),0.097654 # DEPENDENCYPART_ARC
(16,9),-0.467606 # DEPENDENCYPART_ARC
(16,13),0.00698711 # DEPENDENCYPART_ARC
(16,14),-0.113019 # DEPENDENCYPART_ARC
(16,15),1.58587 # DEPENDENCYPART_ARC
(17,7),-2.07321 # DEPENDENCYPART_ARC
(17,8),-1.57275 # DEPENDENCYPART_ARC
(17,10),-0.155114 # DEPENDENCYPART_ARC
(17,13),0.206191 # DEPENDENCYPART_ARC
(17,14),-0.0606526 # DEPENDENCYPART_ARC
(17,15),0.364113 # DEPENDENCYPART_ARC
(17,16),1.56809 # DEPENDENCYPART_ARC
(17,19),-0.211617 # DEPENDENCYPART_ARC
(17,29),-1.4598 # DEPENDENCYPART_ARC
(17,31),-1.49435 # DEPENDENCYPART_ARC
(18,17),0.235139 # DEPENDENCYPART_ARC
(19,10),0.128354 # DEPENDENCYPART_ARC
(19,11),0.501803 # DEPENDENCYPART_ARC
(19,12),-1.22386 # DEPENDENCYPART_ARC
(19,13),-0.0249804 # DEPENDENCYPART_ARC
(19,14),1.39234 # DEPENDENCYPART_ARC
(19,15),0.181697 # DEPENDENCYPART_ARC
(19,16),0.192235 # DEPENDENCYPART_ARC
(19,17),2.27131 # DEPENDENCYPART_ARC
(19,18),2.47718 # DEPENDENCYPART_ARC
(19,20),0.264708 # DEPENDENCYPART_ARC
(19,21),-0.782215 # DEPENDENCYPART_ARC
(20,9),-0.848679 # DEPENDENCYPART_ARC
(20,11),0.520543 # DEPENDENCYPART_ARC
(20,13),-0.00506945 # DEPENDENCYPART_ARC
(20,14),0.388603 # DEPENDENCYPART_ARC
(20,15),-0.293351 # DEPENDENCYPART_ARC
(20,16),-0.820931 # DEPENDENCYPART_ARC
(20,17),-0.795997 # DEPENDENCYPART_ARC
(20,18),-0.482429 # DEPENDENCYPART_ARC
(20,19),1.21968 # DEPENDENCYPART_ARC
(20,22),0.185724 # DEPENDENCYPART_ARC
(20,23),-0.559919 # DEPENDENCYPART_ARC
(20,25),-0.190211 # DEPENDENCYPART_ARC
(20,26),0.210564 # DEPENDENCYPART_ARC
(20,28),-0.66091 # DEPENDENCYPART_ARC
(20,30),-0.418078 # DEPENDENCYPART_ARC
(20,31),-2.28006 # DEPENDENCYPART_ARC
(20,33),-0.878985 # DEPENDENCYPART_ARC
(21,1),-0.141381 # DEPENDENCYPART_ARC
(21,2),0.637335 # DEPENDENCYPART_ARC
(21,3),-0.449815 # DEPENDENCYPART_ARC
(21,4),0.078946 # DEPENDENCYPART_ARC
(21,5),0.0926651 # DEPENDENCYPART_ARC
(21,6),-0.680311 # DEPENDENCYPART_ARC
(21,7),-7.57163 # DEPENDENCYPART_ARC
(21,8),-7.13665 # DEPENDENCYPART_ARC
(21,9),-0.0401606 # DEPENDENCYPART_ARC
(21,10),-0.00505793 # DEPENDENCYPART_ARC
(21,11),1.40159 # DEPENDENCYPART_ARC
(21,12),-4.58636 # DEPENDENCYPART_ARC
(21,13),0.672702 # DEPENDENCYPART_ARC
(21,14),0.819917 # DEPENDENCYPART_ARC
(21,15),0.027627 # DEPENDENCYPART_ARC
(21,16),-0.256362 # DEPENDENCYPART_ARC
(21,17),-0.358587 # DEPENDENCYPART_ARC
(21,18),-0.505204 # DEPENDENCYPART_ARC
(21,19),1.97666 # DEPENDENCYPART_ARC
(21,20),2.93164 # DEPENDENCYPART_ARC
(21,22),0.316139 # DEPENDENCYPART_ARC
(21,23),-1.07899 # DEPENDENCYPART_ARC
(21,26),-0.487419 # DEPENDENCYPART_ARC
(21,28),-0.909228 # DEPENDENCYPART_ARC
(21,30),-1.03915 # DEPENDENCYPART_ARC
(21,31),-2.07033 # DEPENDENCYPART_ARC
(22,4),-0.173184 # DEPENDENCYPART_ARC
(22,5),-0.730707 # DEPENDENCYPART_ARC
(22,10),-0.0275925 # DEPENDENCYPART_ARC
(22,11),2.16336 # DEPENDENCYPART_ARC
(22,12),-3.23798 # DEPENDENCYPART_ARC
(22,13),0.49484 # DEPENDENCYPART_ARC
(22,15),0.127037 # DEPENDENCYPART_ARC
(22,16),-0.0803731 # DEPENDENCYPART_ARC
(22,17),0.880038 # DEPENDENCYPART_ARC
(22,18),0.975571 # DEPENDENCYPART_ARC
(22,19),1.46136 # DEPENDENCYPART_ARC
(22,20),0.761121 # DEPENDENCYPART_ARC
(22,21),2.5954 # DEPENDENCYPART_ARC
(23,1),-0.244241 # DEPENDENCYPART_ARC
(23,2),0.680333 # DEPENDENCYPART_ARC
(23,4),-0.0893891 # DEPENDENCYPART_ARC
(23,5),-0.340704 # DEPENDENCYPART_ARC
(23,9),-0.29254 # DEPENDENCYPART_ARC
(23,11),1.02246 # DEPENDENCYPART_ARC
(23,12),-6.56009 # DEPENDENCYPART_ARC
(23,13),0.420582 # DEPENDENCYPART_ARC
(23,14),0.820169 # DEPENDENCYPART_ARC
(23,15),0.0154666 # DEPENDENCYPART_ARC
(23,16),-0.478602 # DEPENDENCYPART_ARC
(23,17),-0.568024 # DEPENDENCYPART_ARC
(23,18),-0.736861 # DEPENDENCYPART_ARC
(23,19),0.953339 # DEPENDENCYPART_ARC
(23,20),-1.35145 # DEPENDENCYPART_ARC
(23,21),-0.522276 # DEPENDENCYPART_ARC
(23,22),2.43242 # DEPENDENCYPART_ARC
(23,25),-1.03103 # DEPENDENCYPART_ARC
(23,26),-1.03774 # DEPENDENCYPART_ARC
(23,27),0.0227232 # DEPENDENCYPART_ARC
(23,28),-1.47871 # DEPENDENCYPART_ARC
(23,29),-2.70141 # DEPENDENCYPART_ARC
(23,30),-1.86055 # DEPENDENCYPART_ARC
(23,31),-2.95266 # DEPENDENCYPART_ARC
(23,32),-2.23314 # DEPENDENCYPART_ARC
(23,33),-2.14529 # DEPENDENCYPART_ARC
(24,2),-0.621492 # DEPENDENCYPART_ARC
(24,14),0.256059 # DEPENDENCYPART_ARC
(24,19),0.408112 # DEPENDENCYPART_ARC
(24,22),1.67843 # DEPENDENCYPART_ARC
(24,23),2.13672 # DEPENDENCYPART_ARC
(25,11),-0.692365 # DEPENDENCYPART_ARC
(25,12),-5.49284 # DEPENDENCYPART_ARC
(25,14),-0.079339 # DEPENDENCYPART_ARC
(25,16),-0.723301 # DEPENDENCYPART_ARC
(25,17),-0.19391 # DEPENDENCYPART_ARC
(25,18),-0.0322783 # DEPENDENCYPART_ARC
(25,19),-1.37769 # DEPENDENCYPART_ARC
(25,20),-2.30213 # DEPENDENCYPART_ARC
(25,21),-1.65928 # DEPENDENCYPART_ARC
(25,22),-0.864127 # DEPENDENCYPART_ARC
(25,23),-0.610398 # DEPENDENCYPART_ARC
(25,24),1.75538 # DEPENDENCYPART_ARC
(25,27),0.680511 # DEPENDENCYPART_ARC
(25,28),-0.623553 # DEPENDENCYPART_ARC
(25,29),-1.31068 # DEPENDENCYPART_ARC
(25,31),-1.22611 # DEPENDENCYPART_ARC
(25,33),-1.80676 # DEPENDENCYPART_ARC
(26,24),0.54954 # DEPENDENCYPART_ARC
(26,25),1.65131 # DEPENDENCYPART_ARC
(26,27),2.03276 # DEPENDENCYPART_ARC
(27,20),-1.36051 # DEPENDENCYPART_ARC
(27,21),-1.26251 # DEPENDENCYPART_ARC
(27,23),-1.0837 # DEPENDENCYPART_ARC
(27,25),-0.908046 # DEPENDENCYPART_ARC
(27,29),-0.942486 # DEPENDENCYPART_ARC
(28,7),-5.44041 # DEPENDENCYPART_ARC
(28,8),-5.24769 # DEPENDENCYPART_ARC
(28,12),-3.97515 # DEPENDENCYPART_ARC
(28,17),-0.951364 # DEPENDENCYPART_ARC
(28,18),-0.559723 # DEPENDENCYPART_ARC
(28,19),0.581393 # DEPENDENCYPART_ARC
(28,20),-2.67307 # DEPENDENCYPART_ARC
(28,21),-2.24867 # DEPENDENCYPART_ARC
(28,22),0.23294 # DEPENDENCYPART_ARC
(28,23),-1.77923 # DEPENDENCYPART_ARC
(28,24),-0.133751 # DEPENDENCYPART_ARC
(28,25),0.462309 # DEPENDENCYPART_ARC
(28,26),-0.0877174 # DEPENDENCYPART_ARC
(28,27),-0.283259 # DEPENDENCYPART_ARC
(28,29),-0.181881 # DEPENDENCYPART_ARC
(28,31),-0.402837 # DEPENDENCYPART_ARC
(28,32),-0.912918 # DEPENDENCYPART_ARC
(28,33),-0.753431 # DEPENDENCYPART_ARC
(28,34),-1.31584 # DEPENDENCYPART_ARC
(29,22),-2.70792 # DEPENDENCYPART_ARC
(29,23),-1.6107 # DEPENDENCYPART_ARC
(29,24),-1.04494 # DEPENDENCYPART_ARC
(29,25),-2.33226 # DEPENDENCYPART_ARC
(29,26),-1.72461 # DEPENDENCYPART_ARC
(29,27),-1.1157 # DEPENDENCYPART_ARC
(29,28),0.0277385 # DEPENDENCYPART_ARC
(29,31),-0.413024 # DEPENDENCYPART_ARC
(29,32),-0.670412 # DEPENDENCYPART_ARC
(30,24),-0.969649 # DEPENDENCYPART_ARC
(30,29),-0.255241 # DEPENDENCYPART_ARC
(31,22),-1.29087 # DEPENDENCYPART_ARC
(31,24),-0.961586 # DEPENDENCYPART_ARC
(31,25),-0.212839 # DEPENDENCYPART_ARC
(31,27),-0.963207 # DEPENDENCYPART_ARC
(31,28),0.11498 # DEPENDENCYPART_ARC
(31,29),1.11016 # DEPENDENCYPART_ARC
