# _root_ Kemal , Mecazi anlamda evet , diye cevap verdi .
#goldHeads=9,0,4,5,6,7,8,9,10,0,
#predictedHeads=9,0,4,9,9,0,9,9,10,0,
(0,1),-0.798479 # DEPENDENCYPART_ARC
(0,2),1.95662 # DEPENDENCYPART_ARC
(0,4),-1.02998 # DEPENDENCYPART_ARC
(0,6),1.93072 # DEPENDENCYPART_ARC
(0,9),-1.39063 # DEPENDENCYPART_ARC
(0,10),2.34792 # DEPENDENCYPART_ARC
(1,3),-0.832748 # DEPENDENCYPART_ARC
(2,1),-0.151032 # DEPENDENCYPART_ARC
(2,4),-0.786418 # DEPENDENCYPART_ARC
(2,5),-0.576484 # DEPENDENCYPART_ARC
(2,6),-0.832414 # DEPENDENCYPART_ARC
(2,9),-0.846364 # DEPENDENCYPART_ARC
(3,1),-0.677832 # DEPENDENCYPART_ARC
(3,2),0.180075 # DEPENDENCYPART_ARC
(3,4),0.0408365 # DEPENDENCYPART_ARC
(3,5),-0.144419 # DEPENDENCYPART_ARC
(3,8),-0.904208 # DEPENDENCYPART_ARC
(4,1),-1.06985 # DEPENDENCYPART_ARC
(4,2),0.277893 # DEPENDENCYPART_ARC
(4,3),1.8026 # DEPENDENCYPART_ARC
(4,5),0.00879349 # DEPENDENCYPART_ARC
(4,6),-0.523023 # DEPENDENCYPART_ARC
(4,7),-1.07443 # DEPENDENCYPART_ARC
(4,8),-1.29088 # DEPENDENCYPART_ARC
(4,9),-1.68246 # DEPENDENCYPART_ARC
(5,1),-1.30404 # DEPENDENCYPART_ARC
(5,2),-0.0735286 # DEPENDENCYPART_ARC
(5,3),-0.443832 # DEPENDENCYPART_ARC
(5,4),0.747924 # DEPENDENCYPART_ARC
(6,1),-0.691302 # DEPENDENCYPART_ARC
(6,2),-0.560548 # DEPENDENCYPART_ARC
(6,3),-0.285145 # DEPENDENCYPART_ARC
(6,4),-0.160217 # DEPENDENCYPART_ARC
(6,5),-0.0658957 # DEPENDENCYPART_ARC
(6,7),-0.480019 # DEPENDENCYPART_ARC
(6,8),-0.916273 # DEPENDENCYPART_ARC
(6,9),-0.924367 # DEPENDENCYPART_ARC
(6,10),-1.44724 # DEPENDENCYPART_ARC
(7,2),0.0594174 # DEPENDENCYPART_ARC
(7,3),-0.404021 # DEPENDENCYPART_ARC
(7,4),-0.275536 # DEPENDENCYPART_ARC
(7,5),0.0621763 # DEPENDENCYPART_ARC
(7,6),1.56288 # DEPENDENCYPART_ARC
(7,8),0.104086 # DEPENDENCYPART_ARC
(8,1),-0.972119 # DEPENDENCYPART_ARC
(8,2),-0.366232 # DEPENDENCYPART_ARC
(8,3),-0.839491 # DEPENDENCYPART_ARC
(8,4),-1.46336 # DEPENDENCYPART_ARC
(8,5),-0.68766 # DEPENDENCYPART_ARC
(8,6),-0.429096 # DEPENDENCYPART_ARC
(8,7),0.779267 # DEPENDENCYPART_ARC
(8,10),0.230281 # DEPENDENCYPART_ARC
(9,1),1.68266 # DEPENDENCYPART_ARC
(9,2),-0.883581 # DEPENDENCYPART_ARC
(9,3),-0.472253 # DEPENDENCYPART_ARC
(9,4),1.20906 # DEPENDENCYPART_ARC
(9,5),0.433397 # DEPENDENCYPART_ARC
(9,6),0.123607 # DEPENDENCYPART_ARC
(9,7),1.71516 # DEPENDENCYPART_ARC
(9,8),3.11679 # DEPENDENCYPART_ARC
(9,10),-0.824174 # DEPENDENCYPART_ARC
(10,1),-0.142149 # DEPENDENCYPART_ARC
(10,2),-0.754627 # DEPENDENCYPART_ARC
(10,3),-0.765199 # DEPENDENCYPART_ARC
(10,4),0.0628637 # DEPENDENCYPART_ARC
(10,5),-0.736486 # DEPENDENCYPART_ARC
(10,6),-0.325164 # DEPENDENCYPART_ARC
(10,7),-0.206355 # DEPENDENCYPART_ARC
(10,8),0.0815025 # DEPENDENCYPART_ARC
(10,9),1.37485 # DEPENDENCYPART_ARC
