# _root_ Sayın Bila bana , bu _ konuşmayla ilgili izlenimlerini köşesinde _ yazacağını ifade_etti , _ dediği gibi de yaptı .
#goldHeads=2,19,13,0,7,7,8,9,12,12,12,13,14,19,16,17,19,17,20,0,
#predictedHeads=2,13,4,0,7,7,8,9,11,11,12,13,14,19,16,17,19,17,20,0,
(0,4),1.69915 # DEPENDENCYPART_ARC
(0,13),-1.66215 # DEPENDENCYPART_ARC
(0,14),0.966017 # DEPENDENCYPART_ARC
(0,18),-1.68681 # DEPENDENCYPART_ARC
(0,20),2.35028 # DEPENDENCYPART_ARC
(1,3),0.214233 # DEPENDENCYPART_ARC
(2,1),1.71781 # DEPENDENCYPART_ARC
(4,1),-0.377689 # DEPENDENCYPART_ARC
(4,2),0.0296943 # DEPENDENCYPART_ARC
(4,3),0.53091 # DEPENDENCYPART_ARC
(4,6),-0.821494 # DEPENDENCYPART_ARC
(4,11),-1.33933 # DEPENDENCYPART_ARC
(4,12),-0.638157 # DEPENDENCYPART_ARC
(4,13),-1.0027 # DEPENDENCYPART_ARC
(4,15),-1.73454 # DEPENDENCYPART_ARC
(4,19),-1.16395 # DEPENDENCYPART_ARC
(5,4),-0.0723167 # DEPENDENCYPART_ARC
(6,1),-1.06267 # DEPENDENCYPART_ARC
(6,2),-0.44128 # DEPENDENCYPART_ARC
(6,3),-0.17049 # DEPENDENCYPART_ARC
(6,4),-0.6711 # DEPENDENCYPART_ARC
(6,5),0.47989 # DEPENDENCYPART_ARC
(6,7),0.0211589 # DEPENDENCYPART_ARC
(6,8),-0.582343 # DEPENDENCYPART_ARC
(6,9),-0.713443 # DEPENDENCYPART_ARC
(6,11),-1.87853 # DEPENDENCYPART_ARC
(6,12),-1.1447 # DEPENDENCYPART_ARC
(6,13),-1.49615 # DEPENDENCYPART_ARC
(6,14),-0.664373 # DEPENDENCYPART_ARC
(6,15),-1.93316 # DEPENDENCYPART_ARC
(6,17),-0.747562 # DEPENDENCYPART_ARC
(6,19),-1.98335 # DEPENDENCYPART_ARC
(7,1),-0.51083 # DEPENDENCYPART_ARC
(7,2),-0.816093 # DEPENDENCYPART_ARC
(7,3),-1.9735 # DEPENDENCYPART_ARC
(7,4),0.177486 # DEPENDENCYPART_ARC
(7,5),1.28639 # DEPENDENCYPART_ARC
(7,6),2.3868 # DEPENDENCYPART_ARC
(8,1),-0.24213 # DEPENDENCYPART_ARC
(8,2),-0.859661 # DEPENDENCYPART_ARC
(8,3),-1.00868 # DEPENDENCYPART_ARC
(8,4),0.329661 # DEPENDENCYPART_ARC
(8,5),1.01148 # DEPENDENCYPART_ARC
(8,6),0.852368 # DEPENDENCYPART_ARC
(8,7),2.16912 # DEPENDENCYPART_ARC
(8,9),-1.15683 # DEPENDENCYPART_ARC
(8,10),-1.73428 # DEPENDENCYPART_ARC
(9,1),-1.28087 # DEPENDENCYPART_ARC
(9,3),-2.44995 # DEPENDENCYPART_ARC
(9,5),-0.324132 # DEPENDENCYPART_ARC
(9,6),-1.07806 # DEPENDENCYPART_ARC
(9,7),0.4751 # DEPENDENCYPART_ARC
(9,8),2.39835 # DEPENDENCYPART_ARC
(9,10),-0.526914 # DEPENDENCYPART_ARC
(9,11),-0.960392 # DEPENDENCYPART_ARC
(9,19),-2.17743 # DEPENDENCYPART_ARC
(10,1),-1.22933 # DEPENDENCYPART_ARC
(10,3),-1.29574 # DEPENDENCYPART_ARC
(10,5),-0.173811 # DEPENDENCYPART_ARC
(10,6),-1.40931 # DEPENDENCYPART_ARC
(10,7),-0.396084 # DEPENDENCYPART_ARC
(10,8),1.49825 # DEPENDENCYPART_ARC
(10,9),1.40642 # DEPENDENCYPART_ARC
(10,11),-0.332906 # DEPENDENCYPART_ARC
(10,19),-1.66706 # DEPENDENCYPART_ARC
(11,2),0.160618 # DEPENDENCYPART_ARC
(11,3),-0.177089 # DEPENDENCYPART_ARC
(11,4),-0.749672 # DEPENDENCYPART_ARC
(11,5),-0.301368 # DEPENDENCYPART_ARC
(11,6),-3.59084 # DEPENDENCYPART_ARC
(11,7),0.728969 # DEPENDENCYPART_ARC
(11,8),0.437724 # DEPENDENCYPART_ARC
(11,9),1.803 # DEPENDENCYPART_ARC
(11,10),2.40609 # DEPENDENCYPART_ARC
(11,12),-0.105885 # DEPENDENCYPART_ARC
(11,13),-1.06364 # DEPENDENCYPART_ARC
(11,14),-0.692026 # DEPENDENCYPART_ARC
(11,15),-1.33116 # DEPENDENCYPART_ARC
(11,17),-0.246123 # DEPENDENCYPART_ARC
(11,19),-1.77778 # DEPENDENCYPART_ARC
(11,20),-1.74765 # DEPENDENCYPART_ARC
(12,4),-0.427539 # DEPENDENCYPART_ARC
(12,7),0.324255 # DEPENDENCYPART_ARC
(12,8),1.48262 # DEPENDENCYPART_ARC
(12,9),0.858708 # DEPENDENCYPART_ARC
