# _root_ Bu , dedikodu _ _ denen haz dünyasından ırak _ yaşayan bir püriten olsun , _ gidip zaman_zaman ona içimizi_dökelim .
#goldHeads=14,0,4,5,6,8,8,9,10,11,13,13,14,15,20,17,20,20,20,21,0,
#predictedHeads=14,0,5,5,6,7,8,14,10,11,13,13,14,15,20,17,20,20,20,21,0,
(0,2),2.30799 # DEPENDENCYPART_ARC
(0,14),-0.72547 # DEPENDENCYPART_ARC
(0,15),1.54146 # DEPENDENCYPART_ARC
(0,21),2.61812 # DEPENDENCYPART_ARC
(1,3),-0.398169 # DEPENDENCYPART_ARC
(1,7),-0.184516 # DEPENDENCYPART_ARC
(2,1),-0.557835 # DEPENDENCYPART_ARC
(2,4),-1.02879 # DEPENDENCYPART_ARC
(2,10),-1.31803 # DEPENDENCYPART_ARC
(2,14),-1.41133 # DEPENDENCYPART_ARC
(2,16),-1.87405 # DEPENDENCYPART_ARC
(2,20),-1.39971 # DEPENDENCYPART_ARC
(3,1),-0.420445 # DEPENDENCYPART_ARC
(3,2),0.221306 # DEPENDENCYPART_ARC
(3,4),0.244958 # DEPENDENCYPART_ARC
(3,5),-0.756706 # DEPENDENCYPART_ARC
(3,12),-0.134828 # DEPENDENCYPART_ARC
(3,20),-2.09303 # DEPENDENCYPART_ARC
(4,1),-0.30672 # DEPENDENCYPART_ARC
(4,2),-0.0350012 # DEPENDENCYPART_ARC
(4,3),1.32903 # DEPENDENCYPART_ARC
(4,10),-0.951035 # DEPENDENCYPART_ARC
(4,13),-0.986308 # DEPENDENCYPART_ARC
(4,14),-0.331472 # DEPENDENCYPART_ARC
(4,16),-1.42839 # DEPENDENCYPART_ARC
(4,17),-0.708209 # DEPENDENCYPART_ARC
(4,18),-1.71554 # DEPENDENCYPART_ARC
(5,1),-0.842824 # DEPENDENCYPART_ARC
(5,2),-0.277243 # DEPENDENCYPART_ARC
(5,3),1.43712 # DEPENDENCYPART_ARC
(5,4),2.60782 # DEPENDENCYPART_ARC
(5,10),-1.59503 # DEPENDENCYPART_ARC
(5,17),-1.2876 # DEPENDENCYPART_ARC
(6,2),0.150261 # DEPENDENCYPART_ARC
(6,3),1.3344 # DEPENDENCYPART_ARC
(6,4),0.705571 # DEPENDENCYPART_ARC
(6,5),2.26012 # DEPENDENCYPART_ARC
(7,1),-0.591644 # DEPENDENCYPART_ARC
(7,3),0.461575 # DEPENDENCYPART_ARC
(7,4),-1.10317 # DEPENDENCYPART_ARC
(7,5),-0.620406 # DEPENDENCYPART_ARC
(7,6),1.9499 # DEPENDENCYPART_ARC
(7,8),-1.0861 # DEPENDENCYPART_ARC
(7,9),-0.582086 # DEPENDENCYPART_ARC
(7,12),-0.842835 # DEPENDENCYPART_ARC
(7,20),-2.41139 # DEPENDENCYPART_ARC
(8,1),-0.301003 # DEPENDENCYPART_ARC
(8,2),-0.166205 # DEPENDENCYPART_ARC
(8,3),0.972471 # DEPENDENCYPART_ARC
(8,4),-1.356 # DEPENDENCYPART_ARC
(8,5),-0.964514 # DEPENDENCYPART_ARC
(8,6),1.47926 # DEPENDENCYPART_ARC
(8,7),2.63785 # DEPENDENCYPART_ARC
(8,9),-0.356427 # DEPENDENCYPART_ARC
(8,10),-0.977548 # DEPENDENCYPART_ARC
(8,12),-0.73886 # DEPENDENCYPART_ARC
(8,13),-1.25827 # DEPENDENCYPART_ARC
(8,20),-2.05179 # DEPENDENCYPART_ARC
(9,4),-1.61621 # DEPENDENCYPART_ARC
(9,5),-1.01663 # DEPENDENCYPART_ARC
(9,6),-0.6857 # DEPENDENCYPART_ARC
(9,7),0.224697 # DEPENDENCYPART_ARC
(9,8),1.11311 # DEPENDENCYPART_ARC
(9,18),-0.541949 # DEPENDENCYPART_ARC
(10,1),-0.671213 # DEPENDENCYPART_ARC
(10,3),0.349974 # DEPENDENCYPART_ARC
(10,4),-4.13674 # DEPENDENCYPART_ARC
(10,5),-3.37761 # DEPENDENCYPART_ARC
(10,6),-0.0981015 # DEPENDENCYPART_ARC
(10,7),0.780997 # DEPENDENCYPART_ARC
(10,8),1.56095 # DEPENDENCYPART_ARC
(10,9),1.46943 # DEPENDENCYPART_ARC
(10,13),-1.05814 # DEPENDENCYPART_ARC
(10,14),-1.18308 # DEPENDENCYPART_ARC
(10,15),-0.951055 # DEPENDENCYPART_ARC
(10,16),-1.67836 # DEPENDENCYPART_ARC
(10,17),-1.03516 # DEPENDENCYPART_ARC
(10,18),-1.7758 # DEPENDENCYPART_ARC
(10,20),-1.05663 # DEPENDENCYPART_ARC
(10,21),-1.63175 # DEPENDENCYPART_ARC
(11,2),0.0452876 # DEPENDENCYPART_ARC
(11,3),0.274063 # DEPENDENCYPART_ARC
(11,7),0.873136 # DEPENDENCYPART_ARC
(11,8),0.872925 # DEPENDENCYPART_ARC
(11,9),0.499428 # DEPENDENCYPART_ARC
(11,10),1.96064 # DEPENDENCYPART_ARC
(13,1),-0.12975 # DEPENDENCYPART_ARC
(13,2),-0.186063 # DEPENDENCYPART_ARC
(13,3),0.328184 # DEPENDENCYPART_ARC
(13,6),-0.0503537 # DEPENDENCYPART_ARC
(13,7),0.637625 # DEPENDENCYPART_ARC
(13,8),0.124979 # DEPENDENCYPART_ARC
(13,9),0.593993 # DEPENDENCYPART_ARC
(13,10),0.027029 # DEPENDENCYPART_ARC
(13,11),1.79839 # DEPENDENCYPART_ARC
(13,12),2.16052 # DEPENDENCYPART_ARC
(13,14),-0.364599 # DEPENDENCYPART_ARC
(13,15),0.0690883 # DEPENDENCYPART_ARC
(13,16),-1.1911 # DEPENDENCYPART_ARC
(13,18),-0.557985 # DEPENDENCYPART_ARC
(13,20),-1.70236 # DEPENDENCYPART_ARC
(14,1),0.88346 # DEPENDENCYPART_ARC
(14,2),-0.546647 # DEPENDENCYPART_ARC
(14,3),0.441228 # DEPENDENCYPART_ARC
(14,4),-5.06528 # DEPENDENCYPART_ARC
(14,5),-4.7726 # DEPENDENCYPART_ARC
(14,6),-0.480248 # DEPENDENCYPART_ARC
(14,7),1.41377 # DEPENDENCYPART_ARC
(14,8),1.8411 # DEPENDENCYPART_ARC
(14,9),0.214362 # DEPENDENCYPART_ARC
(14,10),-1.16756 # DEPENDENCYPART_ARC
(14,11),0.315701 # DEPENDENCYPART_ARC
(14,12),0.789966 # DEPENDENCYPART_ARC
(14,13),3.08412 # DEPENDENCYPART_ARC
(14,15),-0.21249 # DEPENDENCYPART_ARC
(14,16),-1.11073 # DEPENDENCYPART_ARC
(14,17),-0.724358 # DEPENDENCYPART_ARC
(14,18),-0.341225 # DEPENDENCYPART_ARC
(14,20),-0.877144 # DEPENDENCYPART_ARC
(14,21),-1.71268 # DEPENDENCYPART_ARC
(15,4),-3.47522 # DEPENDENCYPART_ARC
(15,5),-3.15082 # DEPENDENCYPART_ARC
(15,6),-1.1657 # DEPENDENCYPART_ARC
(15,8),0.00217005 # DEPENDENCYPART_ARC
(15,9),-1.11355 # DEPENDENCYPART_ARC
(15,10),-1.90757 # DEPENDENCYPART_ARC
(15,11),-0.68945 # DEPENDENCYPART_ARC
(15,12),-0.53879 # DEPENDENCYPART_ARC
(15,13),-0.0324437 # DEPENDENCYPART_ARC
(15,14),1.61424 # DEPENDENCYPART_ARC
(15,16),-0.144038 # DEPENDENCYPART_ARC
(15,17),-0.196997 # DEPENDENCYPART_ARC
(15,18),-0.292803 # DEPENDENCYPART_ARC
(15,20),-0.340356 # DEPENDENCYPART_ARC
(15,21),-1.17638 # DEPENDENCYPART_ARC
(16,7),-1.05401 # DEPENDENCYPART_ARC
(16,8),-1.03551 # DEPENDENCYPART_ARC
(16,11),-1.36224 # DEPENDENCYPART_ARC
(16,12),-1.66054 # DEPENDENCYPART_ARC
(16,13),-0.464946 # DEPENDENCYPART_ARC
(16,14),-0.996907 # DEPENDENCYPART_ARC
(16,15),1.18641 # DEPENDENCYPART_ARC
(16,17),-0.0524655 # DEPENDENCYPART_ARC
(16,18),-0.319677 # DEPENDENCYPART_ARC
(16,19),-0.198508 # DEPENDENCYPART_ARC
(16,20),-0.804035 # DEPENDENCYPART_ARC
(16,21),-1.36854 # DEPENDENCYPART_ARC
(17,7),-0.32741 # DEPENDENCYPART_ARC
(17,8),-0.342274 # DEPENDENCYPART_ARC
(17,13),0.291675 # DEPENDENCYPART_ARC
