# _root_ Ama , doların _ hızlı _ düşüşü enflasyonu _ _ artırırken , yumuşak inişi _ _ _ sertleştirebilecektir .
#goldHeads=19,0,6,5,7,7,10,10,10,11,18,0,14,18,16,17,18,19,0,
#predictedHeads=19,0,7,5,7,7,8,10,10,11,18,0,14,18,16,17,18,19,0,
(0,1),-0.810599 # DEPENDENCYPART_ARC
(0,2),1.72993 # DEPENDENCYPART_ARC
(0,12),1.18944 # DEPENDENCYPART_ARC
(0,19),2.1895 # DEPENDENCYPART_ARC
(2,1),-0.0418161 # DEPENDENCYPART_ARC
(2,6),-1.29706 # DEPENDENCYPART_ARC
(2,10),-1.55101 # DEPENDENCYPART_ARC
(2,16),-2.0472 # DEPENDENCYPART_ARC
(2,17),-2.21355 # DEPENDENCYPART_ARC
(2,18),-1.60041 # DEPENDENCYPART_ARC
(3,2),0.0499855 # DEPENDENCYPART_ARC
(3,4),-0.646725 # DEPENDENCYPART_ARC
(3,5),-0.622729 # DEPENDENCYPART_ARC
(3,6),-1.10933 # DEPENDENCYPART_ARC
(4,2),-0.0277424 # DEPENDENCYPART_ARC
(4,3),1.25576 # DEPENDENCYPART_ARC
(4,5),-0.0470401 # DEPENDENCYPART_ARC
(4,6),-0.815274 # DEPENDENCYPART_ARC
(5,1),-0.413557 # DEPENDENCYPART_ARC
(5,2),0.28507 # DEPENDENCYPART_ARC
(5,3),0.82829 # DEPENDENCYPART_ARC
(5,4),3.13833 # DEPENDENCYPART_ARC
(5,14),-1.31987 # DEPENDENCYPART_ARC
(6,2),-0.262234 # DEPENDENCYPART_ARC
(6,3),1.23427 # DEPENDENCYPART_ARC
(6,4),1.09311 # DEPENDENCYPART_ARC
(6,5),0.895052 # DEPENDENCYPART_ARC
(6,7),-0.0553304 # DEPENDENCYPART_ARC
(6,8),-0.238419 # DEPENDENCYPART_ARC
(6,9),-1.13778 # DEPENDENCYPART_ARC
(6,16),-1.63233 # DEPENDENCYPART_ARC
(6,17),-2.06971 # DEPENDENCYPART_ARC
(6,18),-1.15282 # DEPENDENCYPART_ARC
(7,1),-0.0794275 # DEPENDENCYPART_ARC
(7,2),-0.112247 # DEPENDENCYPART_ARC
(7,3),2.27711 # DEPENDENCYPART_ARC
(7,4),1.01357 # DEPENDENCYPART_ARC
(7,5),1.61913 # DEPENDENCYPART_ARC
(7,6),2.86432 # DEPENDENCYPART_ARC
(7,8),-0.307147 # DEPENDENCYPART_ARC
(8,2),-0.39955 # DEPENDENCYPART_ARC
(8,3),-0.0220132 # DEPENDENCYPART_ARC
(8,4),-1.87801 # DEPENDENCYPART_ARC
(8,5),0.938038 # DEPENDENCYPART_ARC
(8,6),0.186871 # DEPENDENCYPART_ARC
(8,7),2.09072 # DEPENDENCYPART_ARC
(8,9),-0.245686 # DEPENDENCYPART_ARC
(8,16),-1.42001 # DEPENDENCYPART_ARC
(9,3),0.116486 # DEPENDENCYPART_ARC
(9,4),-2.80243 # DEPENDENCYPART_ARC
(9,5),-0.712557 # DEPENDENCYPART_ARC
(9,6),-1.75418 # DEPENDENCYPART_ARC
(9,7),0.744529 # DEPENDENCYPART_ARC
(9,8),1.38055 # DEPENDENCYPART_ARC
(9,11),0.0829442 # DEPENDENCYPART_ARC
(9,12),-0.633167 # DEPENDENCYPART_ARC
(9,14),-1.06956 # DEPENDENCYPART_ARC
(9,16),-1.11742 # DEPENDENCYPART_ARC
(9,17),-1.26542 # DEPENDENCYPART_ARC
(9,18),-0.524065 # DEPENDENCYPART_ARC
(10,1),-0.347122 # DEPENDENCYPART_ARC
(10,2),-0.0859424 # DEPENDENCYPART_ARC
(10,3),0.260316 # DEPENDENCYPART_ARC
(10,4),-3.65036 # DEPENDENCYPART_ARC
(10,5),0.529938 # DEPENDENCYPART_ARC
(10,6),-2.79973 # DEPENDENCYPART_ARC
(10,7),0.680432 # DEPENDENCYPART_ARC
(10,8),1.96899 # DEPENDENCYPART_ARC
(10,9),2.64039 # DEPENDENCYPART_ARC
(10,11),1.33918 # DEPENDENCYPART_ARC
(10,12),-0.665015 # DEPENDENCYPART_ARC
(10,13),-0.931537 # DEPENDENCYPART_ARC
(10,14),-1.29045 # DEPENDENCYPART_ARC
(10,16),-1.66668 # DEPENDENCYPART_ARC
(10,17),-1.96238 # DEPENDENCYPART_ARC
(10,18),-1.28379 # DEPENDENCYPART_ARC
(11,3),0.818278 # DEPENDENCYPART_ARC
(11,4),0.553059 # DEPENDENCYPART_ARC
(11,7),1.50494 # DEPENDENCYPART_ARC
(11,8),1.63851 # DEPENDENCYPART_ARC
(11,10),2.78533 # DEPENDENCYPART_ARC
(12,1),-0.12458 # DEPENDENCYPART_ARC
(12,2),-0.154505 # DEPENDENCYPART_ARC
(12,5),-0.524049 # DEPENDENCYPART_ARC
(12,6),-1.65623 # DEPENDENCYPART_ARC
(12,7),0.310084 # DEPENDENCYPART_ARC
(12,8),0.564577 # DEPENDENCYPART_ARC
(12,9),-0.686024 # DEPENDENCYPART_ARC
(12,10),-0.110303 # DEPENDENCYPART_ARC
(12,11),0.223352 # DEPENDENCYPART_ARC
(12,14),-0.922674 # DEPENDENCYPART_ARC
(12,16),-1.0337 # DEPENDENCYPART_ARC
(12,17),-1.19855 # DEPENDENCYPART_ARC
(12,18),-0.801256 # DEPENDENCYPART_ARC
(12,19),-1.14639 # DEPENDENCYPART_ARC
(13,9),-1.32036 # DEPENDENCYPART_ARC
(13,10),-0.687178 # DEPENDENCYPART_ARC
(13,11),-0.574041 # DEPENDENCYPART_ARC
(13,12),-0.131052 # DEPENDENCYPART_ARC
(13,14),0.130099 # DEPENDENCYPART_ARC
(14,5),-0.704822 # DEPENDENCYPART_ARC
(14,7),0.0809185 # DEPENDENCYPART_ARC
(14,8),-0.760067 # DEPENDENCYPART_ARC
(14,9),-1.43213 # DEPENDENCYPART_ARC
(14,10),-0.815423 # DEPENDENCYPART_ARC
(14,11),-0.422138 # DEPENDENCYPART_ARC
(14,12),0.0646871 # DEPENDENCYPART_ARC
(14,13),2.03288 # DEPENDENCYPART_ARC
(14,15),-0.0681167 # DEPENDENCYPART_ARC
(14,16),-0.512836 # DEPENDENCYPART_ARC
(14,17),-1.06397 # DEPENDENCYPART_ARC
(15,10),-1.56387 # DEPENDENCYPART_ARC
(15,11),-0.914839 # DEPENDENCYPART_ARC
(15,12),-0.09304 # DEPENDENCYPART_ARC
(15,13),0.15825 # DEPENDENCYPART_ARC
(15,14),0.975613 # DEPENDENCYPART_ARC
(16,1),-0.700339 # DEPENDENCYPART_ARC
(16,7),-0.43045 # DEPENDENCYPART_ARC
(16,8),-0.689154 # DEPENDENCYPART_ARC
(16,9),-4.04695 # DEPENDENCYPART_ARC
(16,10),-3.00593 # DEPENDENCYPART_ARC
(16,11),-0.659879 # DEPENDENCYPART_ARC
(16,12),0.229457 # DEPENDENCYPART_ARC
(16,13),0.040696 # DEPENDENCYPART_ARC
(16,14),1.54772 # DEPENDENCYPART_ARC
(16,15),1.22038 # DEPENDENCYPART_ARC
(16,17),-0.427444 # DEPENDENCYPART_ARC
(16,18),-0.0903582 # DEPENDENCYPART_ARC
(17,1),-0.549763 # DEPENDENCYPART_ARC
(17,3),0.0960566 # DEPENDENCYPART_ARC
(17,4),-9.19593 # DEPENDENCYPART_ARC
(17,7),-0.540129 # DEPENDENCYPART_ARC
(17,8),0.5176 # DEPENDENCYPART_ARC
(17,9),-4.19843 # DEPENDENCYPART_ARC
(17,10),-4.30454 # DEPENDENCYPART_ARC
(17,11),0.479809 # DEPENDENCYPART_ARC
(17,12),0.523442 # DEPENDENCYPART_ARC
(17,13),-0.0329442 # DEPENDENCYPART_ARC
(17,14),1.32629 # DEPENDENCYPART_ARC
(17,15),-0.146632 # DEPENDENCYPART_ARC
(17,16),2.03072 # DEPENDENCYPART_ARC
(17,18),-0.0753512 # DEPENDENCYPART_ARC
(18,1),-0.623638 # DEPENDENCYPART_ARC
(18,2),-0.611267 # DEPENDENCYPART_ARC
(18,3),-2.08224 # DEPENDENCYPART_ARC
(18,4),-7.3795 # DEPENDENCYPART_ARC
(18,5),-0.245309 # DEPENDENCYPART_ARC
(18,6),-6.34781 # DEPENDENCYPART_ARC
(18,7),0.740525 # DEPENDENCYPART_ARC
(18,8),0.193261 # DEPENDENCYPART_ARC
(18,9),-3.91888 # DEPENDENCYPART_ARC
(18,10),-3.26093 # DEPENDENCYPART_ARC
(18,11),1.30929 # DEPENDENCYPART_ARC
(18,12),0.624956 # DEPENDENCYPART_ARC
(18,13),0.186603 # DEPENDENCYPART_ARC
(18,14),2.6719 # DEPENDENCYPART_ARC
(18,15),-0.829594 # DEPENDENCYPART_ARC
(18,16),0.449857 # DEPENDENCYPART_ARC
(18,17),2.64678 # DEPENDENCYPART_ARC
(19,1),1.57375 # DEPENDENCYPART_ARC
(19,6),-4.41879 # DEPENDENCYPART_ARC
(19,9),-3.31973 # DEPENDENCYPART_ARC
(19,10),-2.99323 # DEPENDENCYPART_ARC
