# _root_ Ormanda atını oradan oraya sürmüş ve kuleye varmış sonunda . Fakat sağa bakmış , sola bakmış , ne merdiven görmüş ne de yukarıya _ _ çıkılacak başka bir şey .
#goldHeads=5,5,5,5,6,8,8,10,8,13,13,13,14,16,16,17,20,19,20,30,29,21,24,25,26,29,29,29,18,0,
#predictedHeads=2,5,5,5,6,8,8,10,8,0,13,13,14,16,16,17,20,20,20,21,26,21,25,25,26,29,29,29,30,0,
(0,10),2.59847 # DEPENDENCYPART_ARC
(0,14),0.683426 # DEPENDENCYPART_ARC
(0,17),0.88712 # DEPENDENCYPART_ARC
(0,29),-1.58562 # DEPENDENCYPART_ARC
(0,30),2.74969 # DEPENDENCYPART_ARC
(2,1),2.24444 # DEPENDENCYPART_ARC
(3,1),-0.291752 # DEPENDENCYPART_ARC
(3,2),0.33315 # DEPENDENCYPART_ARC
(3,4),-0.997367 # DEPENDENCYPART_ARC
(4,1),-1.51263 # DEPENDENCYPART_ARC
(4,2),-1.8459 # DEPENDENCYPART_ARC
(4,3),0.461993 # DEPENDENCYPART_ARC
(4,6),-0.112761 # DEPENDENCYPART_ARC
(5,1),1.98478 # DEPENDENCYPART_ARC
(5,2),2.38196 # DEPENDENCYPART_ARC
(5,3),2.51981 # DEPENDENCYPART_ARC
(5,4),3.62027 # DEPENDENCYPART_ARC
(5,6),0.288226 # DEPENDENCYPART_ARC
(5,7),-0.65487 # DEPENDENCYPART_ARC
(5,8),-2.42884 # DEPENDENCYPART_ARC
(5,9),-1.15846 # DEPENDENCYPART_ARC
(5,10),-2.13442 # DEPENDENCYPART_ARC
(5,12),-1.84054 # DEPENDENCYPART_ARC
(5,13),-2.44703 # DEPENDENCYPART_ARC
(5,16),-2.41259 # DEPENDENCYPART_ARC
(6,1),-0.375795 # DEPENDENCYPART_ARC
(6,2),-0.056702 # DEPENDENCYPART_ARC
(6,3),0.395504 # DEPENDENCYPART_ARC
(6,4),1.39187 # DEPENDENCYPART_ARC
(6,5),2.33139 # DEPENDENCYPART_ARC
(6,7),-0.25242 # DEPENDENCYPART_ARC
(7,2),-1.61439 # DEPENDENCYPART_ARC
(7,3),-0.646376 # DEPENDENCYPART_ARC
(7,4),-0.0305865 # DEPENDENCYPART_ARC
(7,5),-0.258516 # DEPENDENCYPART_ARC
(7,6),0.738431 # DEPENDENCYPART_ARC
(7,11),-0.758128 # DEPENDENCYPART_ARC
(8,1),0.837636 # DEPENDENCYPART_ARC
(8,2),1.26315 # DEPENDENCYPART_ARC
(8,3),1.09062 # DEPENDENCYPART_ARC
(8,4),1.37843 # DEPENDENCYPART_ARC
(8,5),0.548372 # DEPENDENCYPART_ARC
(8,6),1.13854 # DEPENDENCYPART_ARC
(8,7),3.09674 # DEPENDENCYPART_ARC
(8,9),1.11971 # DEPENDENCYPART_ARC
(8,10),-0.568243 # DEPENDENCYPART_ARC
(8,11),-0.555924 # DEPENDENCYPART_ARC
(8,12),-0.41436 # DEPENDENCYPART_ARC
(8,13),-1.6251 # DEPENDENCYPART_ARC
(8,15),-0.875398 # DEPENDENCYPART_ARC
(8,16),-1.63142 # DEPENDENCYPART_ARC
(8,20),-1.57111 # DEPENDENCYPART_ARC
(8,23),-1.47307 # DEPENDENCYPART_ARC
(9,1),-0.605004 # DEPENDENCYPART_ARC
(9,2),-0.588493 # DEPENDENCYPART_ARC
(9,3),-0.522676 # DEPENDENCYPART_ARC
(9,4),-0.501497 # DEPENDENCYPART_ARC
(9,6),-0.471347 # DEPENDENCYPART_ARC
(9,7),0.293162 # DEPENDENCYPART_ARC
(9,8),0.291102 # DEPENDENCYPART_ARC
(10,5),0.281912 # DEPENDENCYPART_ARC
(10,6),-0.138482 # DEPENDENCYPART_ARC
(10,7),0.0414597 # DEPENDENCYPART_ARC
(10,8),1.35364 # DEPENDENCYPART_ARC
(10,9),0.0146583 # DEPENDENCYPART_ARC
(10,11),-0.55793 # DEPENDENCYPART_ARC
(10,12),-1.11509 # DEPENDENCYPART_ARC
(10,13),-0.83701 # DEPENDENCYPART_ARC
(10,16),-0.940705 # DEPENDENCYPART_ARC
(10,20),-0.836011 # DEPENDENCYPART_ARC
(10,24),-1.51863 # DEPENDENCYPART_ARC
(10,25),-1.72988 # DEPENDENCYPART_ARC
(11,5),0.183076 # DEPENDENCYPART_ARC
(11,7),-0.105045 # DEPENDENCYPART_ARC
(11,8),0.439149 # DEPENDENCYPART_ARC
(11,9),0.0607883 # DEPENDENCYPART_ARC
(11,10),0.706915 # DEPENDENCYPART_ARC
(11,12),-0.531805 # DEPENDENCYPART_ARC
(12,10),-0.504573 # DEPENDENCYPART_ARC
(12,11),-0.122266 # DEPENDENCYPART_ARC
(12,14),0.156538 # DEPENDENCYPART_ARC
(12,28),-0.661294 # DEPENDENCYPART_ARC
(13,1),0.375085 # DEPENDENCYPART_ARC
(13,2),0.391769 # DEPENDENCYPART_ARC
(13,3),0.119956 # DEPENDENCYPART_ARC
(13,4),0.248885 # DEPENDENCYPART_ARC
(13,5),-0.497162 # DEPENDENCYPART_ARC
(13,6),0.854563 # DEPENDENCYPART_ARC
(13,7),0.454646 # DEPENDENCYPART_ARC
(13,8),-0.399284 # DEPENDENCYPART_ARC
(13,9),0.70011 # DEPENDENCYPART_ARC
(13,10),0.779215 # DEPENDENCYPART_ARC
(13,11),0.891034 # DEPENDENCYPART_ARC
(13,12),3.09643 # DEPENDENCYPART_ARC
(13,14),-0.79594 # DEPENDENCYPART_ARC
(13,15),-0.543107 # DEPENDENCYPART_ARC
(13,20),-2.19471 # DEPENDENCYPART_ARC
(13,24),-1.60765 # DEPENDENCYPART_ARC
(13,25),-2.08916 # DEPENDENCYPART_ARC
(14,8),-1.13625 # DEPENDENCYPART_ARC
(14,11),0.0772916 # DEPENDENCYPART_ARC
(14,12),0.283381 # DEPENDENCYPART_ARC
(14,13),1.06802 # DEPENDENCYPART_ARC
(14,15),0.116992 # DEPENDENCYPART_ARC
(14,29),-0.99123 # DEPENDENCYPART_ARC
(15,13),-0.696612 # DEPENDENCYPART_ARC
(15,14),0.397909 # DEPENDENCYPART_ARC
(15,18),-0.471412 # DEPENDENCYPART_ARC
