# _root_ Böyle _ önemli bir görevin başına _ _ getirilen kişi , eski _ sakallı fotoğrafından da _ anlaşılıyor ki , bir bütün bürokrasiye _ _ yayılan zihniyetin bir örneği _ olabilir .
#goldHeads=3,3,5,5,6,8,8,9,10,31,0,15,14,15,18,15,18,31,18,0,22,23,25,25,26,27,29,29,31,31,32,0,
#predictedHeads=3,3,5,5,6,8,8,9,10,11,0,13,14,15,18,15,18,20,18,0,22,23,25,25,26,27,29,29,31,31,32,0,
(0,11),1.27527 # DEPENDENCYPART_ARC
(0,20),1.98936 # DEPENDENCYPART_ARC
(0,32),2.10966 # DEPENDENCYPART_ARC
(2,1),0.234523 # DEPENDENCYPART_ARC
(2,4),-0.312206 # DEPENDENCYPART_ARC
(3,1),0.980365 # DEPENDENCYPART_ARC
(3,2),2.85522 # DEPENDENCYPART_ARC
(4,3),0.186516 # DEPENDENCYPART_ARC
(5,1),0.201318 # DEPENDENCYPART_ARC
(5,2),0.19114 # DEPENDENCYPART_ARC
(5,3),2.39907 # DEPENDENCYPART_ARC
(5,4),2.32848 # DEPENDENCYPART_ARC
(5,6),-0.44495 # DEPENDENCYPART_ARC
(5,7),-0.418863 # DEPENDENCYPART_ARC
(6,1),-0.352218 # DEPENDENCYPART_ARC
(6,2),-0.872817 # DEPENDENCYPART_ARC
(6,3),1.12651 # DEPENDENCYPART_ARC
(6,4),1.12243 # DEPENDENCYPART_ARC
(6,5),3.35329 # DEPENDENCYPART_ARC
(6,7),0.04186 # DEPENDENCYPART_ARC
(6,31),-1.81285 # DEPENDENCYPART_ARC
(7,1),-0.682678 # DEPENDENCYPART_ARC
(7,2),-1.79886 # DEPENDENCYPART_ARC
(7,3),-0.76591 # DEPENDENCYPART_ARC
(7,4),-0.51692 # DEPENDENCYPART_ARC
(7,5),1.29278 # DEPENDENCYPART_ARC
(7,6),1.60093 # DEPENDENCYPART_ARC
(8,1),-0.846584 # DEPENDENCYPART_ARC
(8,2),-2.59955 # DEPENDENCYPART_ARC
(8,3),-0.270527 # DEPENDENCYPART_ARC
(8,4),-0.563592 # DEPENDENCYPART_ARC
(8,5),1.51697 # DEPENDENCYPART_ARC
(8,6),1.61497 # DEPENDENCYPART_ARC
(8,7),2.6434 # DEPENDENCYPART_ARC
(9,2),-0.427068 # DEPENDENCYPART_ARC
(9,5),1.00737 # DEPENDENCYPART_ARC
(9,6),1.51093 # DEPENDENCYPART_ARC
(9,7),0.711436 # DEPENDENCYPART_ARC
(9,8),2.26598 # DEPENDENCYPART_ARC
(10,1),0.013869 # DEPENDENCYPART_ARC
(10,2),-3.51285 # DEPENDENCYPART_ARC
(10,3),0.271915 # DEPENDENCYPART_ARC
(10,4),0.169688 # DEPENDENCYPART_ARC
(10,5),-0.213034 # DEPENDENCYPART_ARC
(10,6),-0.346722 # DEPENDENCYPART_ARC
(10,7),-0.838187 # DEPENDENCYPART_ARC
(10,8),-0.464938 # DEPENDENCYPART_ARC
(10,9),1.8802 # DEPENDENCYPART_ARC
(10,11),-0.410141 # DEPENDENCYPART_ARC
(10,12),-0.848528 # DEPENDENCYPART_ARC
(10,14),-1.30424 # DEPENDENCYPART_ARC
(10,31),-2.32491 # DEPENDENCYPART_ARC
(11,3),-1.01281 # DEPENDENCYPART_ARC
(11,4),-0.831683 # DEPENDENCYPART_ARC
(11,5),0.0340118 # DEPENDENCYPART_ARC
(11,6),0.0460447 # DEPENDENCYPART_ARC
(11,7),-1.50599 # DEPENDENCYPART_ARC
(11,8),-0.844476 # DEPENDENCYPART_ARC
(11,9),-0.193042 # DEPENDENCYPART_ARC
(11,10),0.680786 # DEPENDENCYPART_ARC
(11,18),-1.03896 # DEPENDENCYPART_ARC
(11,31),-1.47049 # DEPENDENCYPART_ARC
(12,8),-1.32712 # DEPENDENCYPART_ARC
(12,9),-1.28449 # DEPENDENCYPART_ARC
(12,11),-0.132062 # DEPENDENCYPART_ARC
(12,13),0.0296764 # DEPENDENCYPART_ARC
(12,29),-1.537 # DEPENDENCYPART_ARC
(13,4),-0.594266 # DEPENDENCYPART_ARC
(13,9),-0.558388 # DEPENDENCYPART_ARC
(13,10),-0.962055 # DEPENDENCYPART_ARC
(13,11),0.396952 # DEPENDENCYPART_ARC
(13,12),1.11372 # DEPENDENCYPART_ARC
(13,14),0.106194 # DEPENDENCYPART_ARC
(13,16),0.965047 # DEPENDENCYPART_ARC
(13,28),-0.58299 # DEPENDENCYPART_ARC
(14,2),-2.26759 # DEPENDENCYPART_ARC
(14,4),-0.528559 # DEPENDENCYPART_ARC
(14,7),-1.67269 # DEPENDENCYPART_ARC
(14,8),-0.98196 # DEPENDENCYPART_ARC
(14,10),-0.294078 # DEPENDENCYPART_ARC
(14,11),0.156252 # DEPENDENCYPART_ARC
(14,12),0.55556 # DEPENDENCYPART_ARC
(14,13),3.01745 # DEPENDENCYPART_ARC
(14,16),-0.131502 # DEPENDENCYPART_ARC
(15,3),0.376642 # DEPENDENCYPART_ARC
(15,4),-0.0430241 # DEPENDENCYPART_ARC
(15,5),0.661859 # DEPENDENCYPART_ARC
(15,6),-0.475172 # DEPENDENCYPART_ARC
(15,8),-3.57038 # DEPENDENCYPART_ARC
(15,9),0.145061 # DEPENDENCYPART_ARC
(15,10),-0.364167 # DEPENDENCYPART_ARC
(15,11),0.56686 # DEPENDENCYPART_ARC
(15,12),0.961001 # DEPENDENCYPART_ARC
(15,13),1.10724 # DEPENDENCYPART_ARC
(15,14),2.98317 # DEPENDENCYPART_ARC
(15,16),1.79418 # DEPENDENCYPART_ARC
(15,17),-0.0234942 # DEPENDENCYPART_ARC
(15,18),-0.745901 # DEPENDENCYPART_ARC
(15,19),0.0852702 # DEPENDENCYPART_ARC
(15,24),-0.482575 # DEPENDENCYPART_ARC
(15,25),-0.943989 # DEPENDENCYPART_ARC
(15,28),-0.12857 # DEPENDENCYPART_ARC
(15,30),-1.07781 # DEPENDENCYPART_ARC
(15,31),-1.03832 # DEPENDENCYPART_ARC
(16,13),-2.11344 # DEPENDENCYPART_ARC
(16,14),-1.17261 # DEPENDENCYPART_ARC
(16,15),0.389593 # DEPENDENCYPART_ARC
(17,10),0.163649 # DEPENDENCYPART_ARC
(17,11),0.194422 # DEPENDENCYPART_ARC
(17,12),-0.116085 # DEPENDENCYPART_ARC
(17,13),-0.298258 # DEPENDENCYPART_ARC
(17,14),0.0760744 # DEPENDENCYPART_ARC
(17,15),1.37383 # DEPENDENCYPART_ARC
(17,16),-0.0326631 # DEPENDENCYPART_ARC
(17,19),1.25774 # DEPENDENCYPART_ARC
(17,23),-1.45654 # DEPENDENCYPART_ARC
(17,27),-1.46974 # DEPENDENCYPART_ARC
