# _root_ Nineden kuyruğunu almış , yorgun ama mutlu bir şekilde çıkmış , gitmiş .
#goldHeads=3,3,4,10,6,7,9,9,10,11,12,13,0,
#predictedHeads=3,3,4,10,6,7,9,9,10,11,12,13,0,
(0,1),-0.966209 # DEPENDENCYPART_ARC
(0,3),-1.51329 # DEPENDENCYPART_ARC
(0,4),0.498506 # DEPENDENCYPART_ARC
(0,10),-1.4708 # DEPENDENCYPART_ARC
(0,11),0.479332 # DEPENDENCYPART_ARC
(0,12),-1.48681 # DEPENDENCYPART_ARC
(0,13),2.22937 # DEPENDENCYPART_ARC
(1,2),-1.00385 # DEPENDENCYPART_ARC
(1,5),-0.950347 # DEPENDENCYPART_ARC
(1,8),-0.927781 # DEPENDENCYPART_ARC
(1,10),-2.00075 # DEPENDENCYPART_ARC
(1,12),-2.12848 # DEPENDENCYPART_ARC
(2,1),1.95774 # DEPENDENCYPART_ARC
(2,4),0.0417386 # DEPENDENCYPART_ARC
(2,5),-0.712404 # DEPENDENCYPART_ARC
(2,6),-0.861466 # DEPENDENCYPART_ARC
(2,8),-0.680713 # DEPENDENCYPART_ARC
(2,10),-1.75529 # DEPENDENCYPART_ARC
(2,12),-1.63487 # DEPENDENCYPART_ARC
(3,1),2.17633 # DEPENDENCYPART_ARC
(3,2),3.01783 # DEPENDENCYPART_ARC
(3,4),-0.539988 # DEPENDENCYPART_ARC
(3,5),-0.383058 # DEPENDENCYPART_ARC
(3,6),-0.74645 # DEPENDENCYPART_ARC
(3,9),-1.5855 # DEPENDENCYPART_ARC
(3,10),-1.90088 # DEPENDENCYPART_ARC
(3,11),-1.32158 # DEPENDENCYPART_ARC
(3,12),-1.77915 # DEPENDENCYPART_ARC
(3,13),-1.8019 # DEPENDENCYPART_ARC
(4,1),0.472762 # DEPENDENCYPART_ARC
(4,2),0.385132 # DEPENDENCYPART_ARC
(4,3),1.39371 # DEPENDENCYPART_ARC
(4,9),-1.00518 # DEPENDENCYPART_ARC
(4,10),-0.694889 # DEPENDENCYPART_ARC
(4,11),-0.71769 # DEPENDENCYPART_ARC
(4,12),-0.576366 # DEPENDENCYPART_ARC
(5,2),-0.376244 # DEPENDENCYPART_ARC
(5,3),-0.469146 # DEPENDENCYPART_ARC
(5,4),0.541771 # DEPENDENCYPART_ARC
(5,6),0.26532 # DEPENDENCYPART_ARC
(5,9),-0.726351 # DEPENDENCYPART_ARC
(6,1),-1.19586 # DEPENDENCYPART_ARC
(6,2),-0.859782 # DEPENDENCYPART_ARC
(6,3),-0.0743827 # DEPENDENCYPART_ARC
(6,5),1.54175 # DEPENDENCYPART_ARC
(7,3),-1.07468 # DEPENDENCYPART_ARC
(7,4),-0.428101 # DEPENDENCYPART_ARC
(7,5),-0.277965 # DEPENDENCYPART_ARC
(7,6),0.765432 # DEPENDENCYPART_ARC
(7,9),-0.397597 # DEPENDENCYPART_ARC
(8,6),-0.491813 # DEPENDENCYPART_ARC
(8,7),0.135132 # DEPENDENCYPART_ARC
(9,1),-1.73328 # DEPENDENCYPART_ARC
(9,2),-1.48269 # DEPENDENCYPART_ARC
(9,3),-0.556492 # DEPENDENCYPART_ARC
(9,4),0.171947 # DEPENDENCYPART_ARC
(9,5),0.351736 # DEPENDENCYPART_ARC
(9,6),-0.241508 # DEPENDENCYPART_ARC
(9,7),1.65963 # DEPENDENCYPART_ARC
(9,8),2.1386 # DEPENDENCYPART_ARC
(9,10),0.445968 # DEPENDENCYPART_ARC
(9,11),0.132113 # DEPENDENCYPART_ARC
(9,12),-0.641641 # DEPENDENCYPART_ARC
(10,1),0.0663855 # DEPENDENCYPART_ARC
(10,2),-0.12155 # DEPENDENCYPART_ARC
(10,3),-0.995387 # DEPENDENCYPART_ARC
(10,4),1.20202 # DEPENDENCYPART_ARC
(10,5),0.124819 # DEPENDENCYPART_ARC
(10,6),-0.117695 # DEPENDENCYPART_ARC
(10,7),-0.0469552 # DEPENDENCYPART_ARC
(10,8),0.475882 # DEPENDENCYPART_ARC
(10,9),2.70192 # DEPENDENCYPART_ARC
(10,11),-0.188499 # DEPENDENCYPART_ARC
(10,12),-1.18145 # DEPENDENCYPART_ARC
(10,13),-1.52861 # DEPENDENCYPART_ARC
(11,1),-0.350434 # DEPENDENCYPART_ARC
(11,2),-0.663801 # DEPENDENCYPART_ARC
(11,3),-1.32035 # DEPENDENCYPART_ARC
(11,4),-0.150072 # DEPENDENCYPART_ARC
(11,5),-1.22622 # DEPENDENCYPART_ARC
(11,6),-0.523887 # DEPENDENCYPART_ARC
(11,7),-0.765397 # DEPENDENCYPART_ARC
(11,8),-0.682615 # DEPENDENCYPART_ARC
(11,9),-0.184782 # DEPENDENCYPART_ARC
(11,10),1.4319 # DEPENDENCYPART_ARC
(11,12),0.204577 # DEPENDENCYPART_ARC
(11,13),-0.769404 # DEPENDENCYPART_ARC
(12,1),-0.0824303 # DEPENDENCYPART_ARC
(12,2),-0.234425 # DEPENDENCYPART_ARC
(12,3),-1.0237 # DEPENDENCYPART_ARC
(12,4),0.442486 # DEPENDENCYPART_ARC
(12,5),-0.209246 # DEPENDENCYPART_ARC
(12,6),-0.474501 # DEPENDENCYPART_ARC
(12,7),-0.537372 # DEPENDENCYPART_ARC
(12,8),-0.682315 # DEPENDENCYPART_ARC
(12,9),0.623681 # DEPENDENCYPART_ARC
(12,10),-0.237923 # DEPENDENCYPART_ARC
(12,11),1.93722 # DEPENDENCYPART_ARC
(12,13),-0.631584 # DEPENDENCYPART_ARC
(13,1),-0.147354 # DEPENDENCYPART_ARC
(13,2),-0.496373 # DEPENDENCYPART_ARC
(13,3),-1.00226 # DEPENDENCYPART_ARC
(13,4),-0.535901 # DEPENDENCYPART_ARC
(13,5),-1.28634 # DEPENDENCYPART_ARC
(13,6),-0.159567 # DEPENDENCYPART_ARC
(13,7),-1.32205 # DEPENDENCYPART_ARC
(13,8),-0.668785 # DEPENDENCYPART_ARC
(13,9),-0.301254 # DEPENDENCYPART_ARC
(13,10),-0.174381 # DEPENDENCYPART_ARC
(13,11),-0.0200821 # DEPENDENCYPART_ARC
(13,12),1.60925 # DEPENDENCYPART_ARC
