# _root_ Sigarama davrandım , _ _ saygılıyım , _ ikincisine .
#goldHeads=2,3,4,5,6,10,0,9,4,0,
#predictedHeads=2,3,6,5,6,7,0,9,2,0,
(0,1),-0.898581 # DEPENDENCYPART_ARC
(0,2),-1.52816 # DEPENDENCYPART_ARC
(0,3),0.425978 # DEPENDENCYPART_ARC
(0,7),0.392495 # DEPENDENCYPART_ARC
(0,10),2.65199 # DEPENDENCYPART_ARC
(1,2),-0.600793 # DEPENDENCYPART_ARC
(1,3),0.428689 # DEPENDENCYPART_ARC
(1,4),-2.01725 # DEPENDENCYPART_ARC
(1,5),-0.709994 # DEPENDENCYPART_ARC
(1,6),-1.38391 # DEPENDENCYPART_ARC
(1,9),-1.06298 # DEPENDENCYPART_ARC
(2,1),3.64795 # DEPENDENCYPART_ARC
(2,3),-0.521667 # DEPENDENCYPART_ARC
(2,4),-0.531021 # DEPENDENCYPART_ARC
(2,5),-1.12509 # DEPENDENCYPART_ARC
(2,6),-0.703557 # DEPENDENCYPART_ARC
(2,7),-1.20991 # DEPENDENCYPART_ARC
(2,9),0.598534 # DEPENDENCYPART_ARC
(2,10),-1.52857 # DEPENDENCYPART_ARC
(3,1),0.183588 # DEPENDENCYPART_ARC
(3,2),1.04067 # DEPENDENCYPART_ARC
(3,4),-0.151908 # DEPENDENCYPART_ARC
(3,6),-0.412634 # DEPENDENCYPART_ARC
(3,7),-0.935495 # DEPENDENCYPART_ARC
(3,9),-0.533523 # DEPENDENCYPART_ARC
(3,10),-1.0657 # DEPENDENCYPART_ARC
(4,1),-1.58853 # DEPENDENCYPART_ARC
(4,2),-0.62817 # DEPENDENCYPART_ARC
(4,3),0.326034 # DEPENDENCYPART_ARC
(4,5),0.100251 # DEPENDENCYPART_ARC
(4,6),-0.741456 # DEPENDENCYPART_ARC
(4,7),-0.041709 # DEPENDENCYPART_ARC
(4,9),-0.624387 # DEPENDENCYPART_ARC
(5,1),-0.132528 # DEPENDENCYPART_ARC
(5,2),-0.252308 # DEPENDENCYPART_ARC
(5,3),0.598264 # DEPENDENCYPART_ARC
(5,4),3.73396 # DEPENDENCYPART_ARC
(6,1),0.469422 # DEPENDENCYPART_ARC
(6,2),-0.611419 # DEPENDENCYPART_ARC
(6,3),1.60943 # DEPENDENCYPART_ARC
(6,4),1.57817 # DEPENDENCYPART_ARC
(6,5),2.40845 # DEPENDENCYPART_ARC
(7,1),0.0708433 # DEPENDENCYPART_ARC
(7,2),-0.414406 # DEPENDENCYPART_ARC
(7,3),0.198878 # DEPENDENCYPART_ARC
(7,4),-0.428922 # DEPENDENCYPART_ARC
(7,5),-0.692033 # DEPENDENCYPART_ARC
(7,6),1.39447 # DEPENDENCYPART_ARC
(7,9),-0.606021 # DEPENDENCYPART_ARC
(7,10),-0.955767 # DEPENDENCYPART_ARC
(8,7),0.466319 # DEPENDENCYPART_ARC
(9,1),-0.356185 # DEPENDENCYPART_ARC
(9,2),-0.777613 # DEPENDENCYPART_ARC
(9,3),-0.202264 # DEPENDENCYPART_ARC
(9,4),-1.03867 # DEPENDENCYPART_ARC
(9,5),-0.0885356 # DEPENDENCYPART_ARC
(9,6),-0.515838 # DEPENDENCYPART_ARC
(9,7),0.397909 # DEPENDENCYPART_ARC
(9,8),2.30049 # DEPENDENCYPART_ARC
(10,1),-0.42222 # DEPENDENCYPART_ARC
(10,2),0.55078 # DEPENDENCYPART_ARC
(10,3),-0.655954 # DEPENDENCYPART_ARC
(10,4),-1.66862 # DEPENDENCYPART_ARC
(10,5),-2.09118 # DEPENDENCYPART_ARC
(10,6),0.848614 # DEPENDENCYPART_ARC
(10,7),-0.0532624 # DEPENDENCYPART_ARC
(10,9),0.484759 # DEPENDENCYPART_ARC
