# _root_ Bir gün düşünmüş , iki gün düşünmüş , işin içinden _ _ çıkamayacağını _ _ kestirince doğru kıza gitmiş .
#goldHeads=2,3,4,7,6,7,8,19,10,12,12,13,15,15,16,19,19,19,20,0,
#predictedHeads=2,3,4,7,6,7,8,19,10,12,12,13,16,15,16,19,19,19,20,0,
(0,1),-0.363461 # DEPENDENCYPART_ARC
(0,3),-1.64814 # DEPENDENCYPART_ARC
(0,4),0.577888 # DEPENDENCYPART_ARC
(0,5),-0.875322 # DEPENDENCYPART_ARC
(0,8),0.199009 # DEPENDENCYPART_ARC
(0,20),2.35752 # DEPENDENCYPART_ARC
(2,1),2.08028 # DEPENDENCYPART_ARC
(2,5),-0.0517232 # DEPENDENCYPART_ARC
(2,19),-1.79206 # DEPENDENCYPART_ARC
(3,1),0.480402 # DEPENDENCYPART_ARC
(3,2),2.86986 # DEPENDENCYPART_ARC
(3,4),-0.539865 # DEPENDENCYPART_ARC
(3,6),-0.667587 # DEPENDENCYPART_ARC
(3,7),-1.46244 # DEPENDENCYPART_ARC
(3,11),-1.27063 # DEPENDENCYPART_ARC
(3,12),-1.68645 # DEPENDENCYPART_ARC
(3,14),-1.24134 # DEPENDENCYPART_ARC
(3,15),-1.89553 # DEPENDENCYPART_ARC
(3,16),-1.41875 # DEPENDENCYPART_ARC
(3,18),-1.66796 # DEPENDENCYPART_ARC
(4,1),-0.14083 # DEPENDENCYPART_ARC
(4,2),0.187441 # DEPENDENCYPART_ARC
(4,3),0.807975 # DEPENDENCYPART_ARC
(4,7),-0.343346 # DEPENDENCYPART_ARC
(4,14),-1.04266 # DEPENDENCYPART_ARC
(4,15),-1.07492 # DEPENDENCYPART_ARC
(4,19),-0.906471 # DEPENDENCYPART_ARC
(5,4),0.193446 # DEPENDENCYPART_ARC
(6,1),-0.371188 # DEPENDENCYPART_ARC
(6,2),-0.706622 # DEPENDENCYPART_ARC
(6,3),-0.451205 # DEPENDENCYPART_ARC
(6,4),0.139107 # DEPENDENCYPART_ARC
(6,5),2.0399 # DEPENDENCYPART_ARC
(6,19),-2.04805 # DEPENDENCYPART_ARC
(7,1),-0.805337 # DEPENDENCYPART_ARC
(7,2),0.378523 # DEPENDENCYPART_ARC
(7,3),-0.531346 # DEPENDENCYPART_ARC
(7,4),1.21752 # DEPENDENCYPART_ARC
(7,5),0.332247 # DEPENDENCYPART_ARC
(7,6),2.88757 # DEPENDENCYPART_ARC
(7,9),-1.7759 # DEPENDENCYPART_ARC
(7,10),-0.835794 # DEPENDENCYPART_ARC
(7,11),-0.962075 # DEPENDENCYPART_ARC
(7,12),-1.66547 # DEPENDENCYPART_ARC
(7,13),-0.96699 # DEPENDENCYPART_ARC
(7,14),-1.05993 # DEPENDENCYPART_ARC
(7,15),-1.76555 # DEPENDENCYPART_ARC
(7,16),-0.800844 # DEPENDENCYPART_ARC
(7,17),0.390625 # DEPENDENCYPART_ARC
(7,18),-1.28804 # DEPENDENCYPART_ARC
(7,19),-1.25458 # DEPENDENCYPART_ARC
(8,3),-0.893255 # DEPENDENCYPART_ARC
(8,4),0.0748173 # DEPENDENCYPART_ARC
(8,5),-0.388294 # DEPENDENCYPART_ARC
(8,6),0.142973 # DEPENDENCYPART_ARC
(8,7),1.0842 # DEPENDENCYPART_ARC
(8,12),-0.759861 # DEPENDENCYPART_ARC
(8,13),-0.322544 # DEPENDENCYPART_ARC
(8,15),-0.952497 # DEPENDENCYPART_ARC
(8,18),-0.201507 # DEPENDENCYPART_ARC
(8,19),-0.938891 # DEPENDENCYPART_ARC
(9,1),-1.16405 # DEPENDENCYPART_ARC
(9,5),-0.677294 # DEPENDENCYPART_ARC
(9,7),-0.986238 # DEPENDENCYPART_ARC
(9,8),-0.0808745 # DEPENDENCYPART_ARC
(9,11),-0.591465 # DEPENDENCYPART_ARC
(10,2),-0.33171 # DEPENDENCYPART_ARC
(10,3),-1.22755 # DEPENDENCYPART_ARC
(10,5),-0.485409 # DEPENDENCYPART_ARC
(10,6),-0.401691 # DEPENDENCYPART_ARC
(10,7),-1.05455 # DEPENDENCYPART_ARC
(10,8),0.130363 # DEPENDENCYPART_ARC
(10,9),3.50061 # DEPENDENCYPART_ARC
(10,11),-0.120349 # DEPENDENCYPART_ARC
(10,12),-0.733988 # DEPENDENCYPART_ARC
(11,1),-2.12122 # DEPENDENCYPART_ARC
(11,5),-2.13423 # DEPENDENCYPART_ARC
(11,6),-0.76156 # DEPENDENCYPART_ARC
(11,7),-0.976146 # DEPENDENCYPART_ARC
(11,8),0.389367 # DEPENDENCYPART_ARC
(11,9),0.843926 # DEPENDENCYPART_ARC
(11,10),1.31983 # DEPENDENCYPART_ARC
(11,13),0.0355673 # DEPENDENCYPART_ARC
(11,14),-0.645833 # DEPENDENCYPART_ARC
(11,15),-0.758084 # DEPENDENCYPART_ARC
(11,16),-0.395925 # DEPENDENCYPART_ARC
(11,17),-0.193029 # DEPENDENCYPART_ARC
(11,18),-0.464396 # DEPENDENCYPART_ARC
(11,19),-0.314952 # DEPENDENCYPART_ARC
(12,1),-1.83159 # DEPENDENCYPART_ARC
(12,2),-0.256884 # DEPENDENCYPART_ARC
(12,3),0.00396696 # DEPENDENCYPART_ARC
(12,4),-0.913173 # DEPENDENCYPART_ARC
(12,5),-1.65882 # DEPENDENCYPART_ARC
(12,6),0.0499164 # DEPENDENCYPART_ARC
(12,7),-0.205818 # DEPENDENCYPART_ARC
(12,8),0.174213 # DEPENDENCYPART_ARC
(12,9),1.18503 # DEPENDENCYPART_ARC
(12,10),2.20926 # DEPENDENCYPART_ARC
(12,11),2.9575 # DEPENDENCYPART_ARC
(12,13),0.527133 # DEPENDENCYPART_ARC
(12,14),-0.767624 # DEPENDENCYPART_ARC
(12,16),-0.331812 # DEPENDENCYPART_ARC
(12,17),-0.341436 # DEPENDENCYPART_ARC
(12,18),-0.751699 # DEPENDENCYPART_ARC
(13,2),0.115103 # DEPENDENCYPART_ARC
(13,4),-0.493067 # DEPENDENCYPART_ARC
(13,6),-0.285089 # DEPENDENCYPART_ARC
(13,8),-0.25241 # DEPENDENCYPART_ARC
(13,9),2.41469 # DEPENDENCYPART_ARC
(13,10),1.2935 # DEPENDENCYPART_ARC
(13,12),2.70646 # DEPENDENCYPART_ARC
(14,8),0.210344 # DEPENDENCYPART_ARC
(14,9),-0.0119279 # DEPENDENCYPART_ARC
(14,10),-0.0218832 # DEPENDENCYPART_ARC
(14,11),-1.75304 # DEPENDENCYPART_ARC
(14,12),-0.541804 # DEPENDENCYPART_ARC
(14,13),0.841623 # DEPENDENCYPART_ARC
(14,16),-0.0902884 # DEPENDENCYPART_ARC
(14,17),-0.350225 # DEPENDENCYPART_ARC
(14,18),-0.370605 # DEPENDENCYPART_ARC
(14,19),-0.543662 # DEPENDENCYPART_ARC
(15,2),-0.749809 # DEPENDENCYPART_ARC
(15,3),-0.74496 # DEPENDENCYPART_ARC
(15,4),-0.866698 # DEPENDENCYPART_ARC
(15,5),-1.81638 # DEPENDENCYPART_ARC
(15,6),-0.362879 # DEPENDENCYPART_ARC
(15,7),-0.948899 # DEPENDENCYPART_ARC
(15,8),0.0999083 # DEPENDENCYPART_ARC
(15,9),0.753083 # DEPENDENCYPART_ARC
(15,10),0.595414 # DEPENDENCYPART_ARC
(15,11),-2.08383 # DEPENDENCYPART_ARC
(15,12),-1.62691 # DEPENDENCYPART_ARC
(15,13),1.69227 # DEPENDENCYPART_ARC
(15,14),2.52165 # DEPENDENCYPART_ARC
(15,16),-0.0120105 # DEPENDENCYPART_ARC
(15,17),-0.237782 # DEPENDENCYPART_ARC
(15,18),-1.37863 # DEPENDENCYPART_ARC
(15,19),-1.33163 # DEPENDENCYPART_ARC
(16,2),0.295185 # DEPENDENCYPART_ARC
(16,6),0.32228 # DEPENDENCYPART_ARC
(16,9),1.01026 # DEPENDENCYPART_ARC
(16,10),1.36005 # DEPENDENCYPART_ARC
(16,13),2.09503 # DEPENDENCYPART_ARC
(16,15),2.77689 # DEPENDENCYPART_ARC
(17,10),1.02765 # DEPENDENCYPART_ARC
(17,13),0.60486 # DEPENDENCYPART_ARC
(17,14),0.195153 # DEPENDENCYPART_ARC
(17,15),0.333646 # DEPENDENCYPART_ARC
(17,16),1.79258 # DEPENDENCYPART_ARC
(17,18),0.0234867 # DEPENDENCYPART_ARC
(18,9),-1.02023 # DEPENDENCYPART_ARC
(18,10),-1.86278 # DEPENDENCYPART_ARC
(18,11),-2.40603 # DEPENDENCYPART_ARC
(18,12),-1.2488 # DEPENDENCYPART_ARC
(18,13),-2.0787 # DEPENDENCYPART_ARC
(18,14),-1.0042 # DEPENDENCYPART_ARC
(18,15),-0.207932 # DEPENDENCYPART_ARC
(18,16),0.18219 # DEPENDENCYPART_ARC
(18,17),0.914879 # DEPENDENCYPART_ARC
(19,2),-0.221281 # DEPENDENCYPART_ARC
(19,3),-0.98985 # DEPENDENCYPART_ARC
(19,4),0.338133 # DEPENDENCYPART_ARC
(19,6),-0.126934 # DEPENDENCYPART_ARC
(19,7),-0.875262 # DEPENDENCYPART_ARC
(19,8),1.46185 # DEPENDENCYPART_ARC
(19,9),0.0402568 # DEPENDENCYPART_ARC
(19,10),0.944068 # DEPENDENCYPART_ARC
(19,11),-3.75197 # DEPENDENCYPART_ARC
(19,12),-3.04456 # DEPENDENCYPART_ARC
(19,13),1.42691 # DEPENDENCYPART_ARC
(19,14),-1.34997 # DEPENDENCYPART_ARC
(19,15),-1.03965 # DEPENDENCYPART_ARC
(19,16),2.0373 # DEPENDENCYPART_ARC
(19,17),1.43088 # DEPENDENCYPART_ARC
(19,18),3.11696 # DEPENDENCYPART_ARC
(19,20),-1.03155 # DEPENDENCYPART_ARC
(20,3),-0.977267 # DEPENDENCYPART_ARC
(20,7),-0.794895 # DEPENDENCYPART_ARC
(20,8),-0.31018 # DEPENDENCYPART_ARC
(20,11),-3.08024 # DEPENDENCYPART_ARC
(20,12),-2.73139 # DEPENDENCYPART_ARC
(20,14),-2.29802 # DEPENDENCYPART_ARC
(20,15),-1.84593 # DEPENDENCYPART_ARC
(20,16),-0.0715927 # DEPENDENCYPART_ARC
(20,17),-0.095942 # DEPENDENCYPART_ARC
(20,18),0.0703547 # DEPENDENCYPART_ARC
(20,19),1.33237 # DEPENDENCYPART_ARC
