# _root_ Şöyle_ya_da_böyle , duvardan _ söz_etmeksizin mekandan , mekandan _ söz_etmeksizin evden _ söz_edemezsiniz .
#goldHeads=14,0,4,5,12,12,0,9,10,13,13,13,14,0,
#predictedHeads=14,0,4,5,6,7,0,9,10,13,13,13,14,0,
(0,2),2.05323 # DEPENDENCYPART_ARC
(0,7),0.843663 # DEPENDENCYPART_ARC
(0,11),-0.825189 # DEPENDENCYPART_ARC
(0,13),-1.7541 # DEPENDENCYPART_ARC
(0,14),2.34007 # DEPENDENCYPART_ARC
(2,1),-0.487777 # DEPENDENCYPART_ARC
(2,3),-0.155143 # DEPENDENCYPART_ARC
(2,4),-0.841655 # DEPENDENCYPART_ARC
(2,5),-0.341622 # DEPENDENCYPART_ARC
(2,9),-1.11913 # DEPENDENCYPART_ARC
(2,11),-0.486022 # DEPENDENCYPART_ARC
(2,12),-1.14866 # DEPENDENCYPART_ARC
(2,13),-1.07737 # DEPENDENCYPART_ARC
(3,1),-0.85168 # DEPENDENCYPART_ARC
(3,2),0.032093 # DEPENDENCYPART_ARC
(3,4),-0.52983 # DEPENDENCYPART_ARC
(3,6),-1.66468 # DEPENDENCYPART_ARC
(3,8),-2.22282 # DEPENDENCYPART_ARC
(3,13),-1.58786 # DEPENDENCYPART_ARC
(4,1),-0.297119 # DEPENDENCYPART_ARC
(4,2),-0.0189033 # DEPENDENCYPART_ARC
(4,3),2.40125 # DEPENDENCYPART_ARC
(4,5),0.161655 # DEPENDENCYPART_ARC
(4,6),-0.0439749 # DEPENDENCYPART_ARC
(4,7),-0.923449 # DEPENDENCYPART_ARC
(4,8),-2.01826 # DEPENDENCYPART_ARC
(4,9),-1.83724 # DEPENDENCYPART_ARC
(4,10),-1.0508 # DEPENDENCYPART_ARC
(4,11),-2.03026 # DEPENDENCYPART_ARC
(4,12),-1.65493 # DEPENDENCYPART_ARC
(4,13),-1.46249 # DEPENDENCYPART_ARC
(4,14),-1.69798 # DEPENDENCYPART_ARC
(5,1),-0.413604 # DEPENDENCYPART_ARC
(5,2),0.217054 # DEPENDENCYPART_ARC
(5,3),1.09332 # DEPENDENCYPART_ARC
(5,4),2.55721 # DEPENDENCYPART_ARC
(6,1),-0.807966 # DEPENDENCYPART_ARC
(6,2),-0.148997 # DEPENDENCYPART_ARC
(6,3),-0.460484 # DEPENDENCYPART_ARC
(6,4),0.773299 # DEPENDENCYPART_ARC
(6,5),0.262863 # DEPENDENCYPART_ARC
(6,7),-0.16813 # DEPENDENCYPART_ARC
(6,8),-1.81451 # DEPENDENCYPART_ARC
(6,9),-1.64806 # DEPENDENCYPART_ARC
(6,11),-2.35006 # DEPENDENCYPART_ARC
(6,13),-1.84636 # DEPENDENCYPART_ARC
(7,1),-0.766875 # DEPENDENCYPART_ARC
(7,2),-0.498102 # DEPENDENCYPART_ARC
(7,3),0.455472 # DEPENDENCYPART_ARC
(7,4),-1.25977 # DEPENDENCYPART_ARC
(7,5),-0.598503 # DEPENDENCYPART_ARC
(7,6),0.751111 # DEPENDENCYPART_ARC
(7,8),0.164336 # DEPENDENCYPART_ARC
(7,9),-0.744719 # DEPENDENCYPART_ARC
(7,10),-0.308761 # DEPENDENCYPART_ARC
(7,11),-0.298771 # DEPENDENCYPART_ARC
(7,12),-0.961274 # DEPENDENCYPART_ARC
(7,13),-0.601537 # DEPENDENCYPART_ARC
(7,14),-1.44135 # DEPENDENCYPART_ARC
(8,4),-0.815828 # DEPENDENCYPART_ARC
(8,5),-0.793137 # DEPENDENCYPART_ARC
(8,6),-1.05264 # DEPENDENCYPART_ARC
(8,7),0.576611 # DEPENDENCYPART_ARC
(8,9),-0.638164 # DEPENDENCYPART_ARC
(8,10),-0.515047 # DEPENDENCYPART_ARC
(8,11),-2.00822 # DEPENDENCYPART_ARC
(8,12),-0.895876 # DEPENDENCYPART_ARC
(9,1),-0.708015 # DEPENDENCYPART_ARC
(9,2),-1.00601 # DEPENDENCYPART_ARC
(9,3),-0.0276126 # DEPENDENCYPART_ARC
(9,4),-2.81615 # DEPENDENCYPART_ARC
(9,5),-0.0111333 # DEPENDENCYPART_ARC
(9,6),0.159221 # DEPENDENCYPART_ARC
(9,7),-0.175717 # DEPENDENCYPART_ARC
(9,8),2.42208 # DEPENDENCYPART_ARC
(9,10),0.161655 # DEPENDENCYPART_ARC
(9,11),-0.785877 # DEPENDENCYPART_ARC
(9,12),-1.13192 # DEPENDENCYPART_ARC
(10,3),-0.0350728 # DEPENDENCYPART_ARC
(10,5),-0.359137 # DEPENDENCYPART_ARC
(10,6),-0.562568 # DEPENDENCYPART_ARC
(10,7),0.0798614 # DEPENDENCYPART_ARC
(10,8),1.16817 # DEPENDENCYPART_ARC
(10,9),2.63206 # DEPENDENCYPART_ARC
(11,4),-2.18494 # DEPENDENCYPART_ARC
(11,6),-2.05923 # DEPENDENCYPART_ARC
(11,7),-0.34188 # DEPENDENCYPART_ARC
(11,8),-0.497462 # DEPENDENCYPART_ARC
(11,9),0.311131 # DEPENDENCYPART_ARC
(11,10),0.317363 # DEPENDENCYPART_ARC
(11,12),-0.215663 # DEPENDENCYPART_ARC
(12,1),-0.721261 # DEPENDENCYPART_ARC
(12,2),-1.00208 # DEPENDENCYPART_ARC
(12,3),-0.705618 # DEPENDENCYPART_ARC
(12,5),-0.630134 # DEPENDENCYPART_ARC
(12,6),-0.554569 # DEPENDENCYPART_ARC
(12,7),-0.303765 # DEPENDENCYPART_ARC
(12,8),0.262426 # DEPENDENCYPART_ARC
(12,9),-1.04336 # DEPENDENCYPART_ARC
(12,10),0.550988 # DEPENDENCYPART_ARC
(12,11),1.17782 # DEPENDENCYPART_ARC
(12,13),0.309746 # DEPENDENCYPART_ARC
(13,1),-0.687398 # DEPENDENCYPART_ARC
(13,2),-0.746287 # DEPENDENCYPART_ARC
(13,3),0.0883006 # DEPENDENCYPART_ARC
(13,4),-4.89999 # DEPENDENCYPART_ARC
(13,5),-0.259325 # DEPENDENCYPART_ARC
(13,6),0.576857 # DEPENDENCYPART_ARC
(13,7),-0.301109 # DEPENDENCYPART_ARC
(13,8),1.15265 # DEPENDENCYPART_ARC
(13,9),-1.66477 # DEPENDENCYPART_ARC
(13,10),0.798526 # DEPENDENCYPART_ARC
(13,11),2.28449 # DEPENDENCYPART_ARC
(13,12),2.14277 # DEPENDENCYPART_ARC
(13,14),-1.10825 # DEPENDENCYPART_ARC
(14,1),0.0486309 # DEPENDENCYPART_ARC
(14,2),-1.02491 # DEPENDENCYPART_ARC
(14,3),-0.0753615 # DEPENDENCYPART_ARC
(14,4),-4.07514 # DEPENDENCYPART_ARC
(14,5),-0.398778 # DEPENDENCYPART_ARC
(14,6),0.0483366 # DEPENDENCYPART_ARC
(14,7),-0.353453 # DEPENDENCYPART_ARC
(14,8),0.0812972 # DEPENDENCYPART_ARC
(14,9),-2.31376 # DEPENDENCYPART_ARC
(14,10),-0.0879177 # DEPENDENCYPART_ARC
(14,11),0.2206 # DEPENDENCYPART_ARC
(14,12),-0.868673 # DEPENDENCYPART_ARC
(14,13),1.56851 # DEPENDENCYPART_ARC
