# _root_ Her _ iki olgu da , bilim için yeni bir başlangıçtan çok , bir dönemin _ _ kapanışına işaret_etmektedir .
#goldHeads=3,3,4,19,4,0,8,19,10,11,12,19,0,15,18,17,18,19,20,0,
#predictedHeads=3,3,4,18,4,0,8,19,11,11,12,19,0,15,18,17,18,19,20,0,
(0,2),-0.535318 # DEPENDENCYPART_ARC
(0,6),1.92201 # DEPENDENCYPART_ARC
(0,13),1.60214 # DEPENDENCYPART_ARC
(0,19),-1.61608 # DEPENDENCYPART_ARC
(0,20),2.01773 # DEPENDENCYPART_ARC
(2,1),0.0770818 # DEPENDENCYPART_ARC
(3,1),1.06417 # DEPENDENCYPART_ARC
(3,2),1.76829 # DEPENDENCYPART_ARC
(3,15),-1.85307 # DEPENDENCYPART_ARC
(4,1),0.686085 # DEPENDENCYPART_ARC
(4,2),0.381191 # DEPENDENCYPART_ARC
(4,3),2.34211 # DEPENDENCYPART_ARC
(4,5),1.88026 # DEPENDENCYPART_ARC
(4,6),0.15538 # DEPENDENCYPART_ARC
(4,7),-0.555296 # DEPENDENCYPART_ARC
(4,8),-0.393452 # DEPENDENCYPART_ARC
(4,10),-0.188931 # DEPENDENCYPART_ARC
(4,14),-0.0371436 # DEPENDENCYPART_ARC
(4,16),-0.969516 # DEPENDENCYPART_ARC
(4,17),-1.68521 # DEPENDENCYPART_ARC
(4,19),-2.0371 # DEPENDENCYPART_ARC
(5,3),-1.73974 # DEPENDENCYPART_ARC
(5,4),-0.18658 # DEPENDENCYPART_ARC
(6,1),-0.795527 # DEPENDENCYPART_ARC
(6,2),-2.11399 # DEPENDENCYPART_ARC
(6,3),0.0601152 # DEPENDENCYPART_ARC
(6,4),0.19431 # DEPENDENCYPART_ARC
(6,5),-0.600626 # DEPENDENCYPART_ARC
(6,7),-0.193627 # DEPENDENCYPART_ARC
(6,8),-0.345422 # DEPENDENCYPART_ARC
(6,13),-1.01625 # DEPENDENCYPART_ARC
(6,19),-1.27978 # DEPENDENCYPART_ARC
(7,1),-1.89625 # DEPENDENCYPART_ARC
(7,2),-2.64726 # DEPENDENCYPART_ARC
(7,5),-0.85332 # DEPENDENCYPART_ARC
(7,6),-0.361423 # DEPENDENCYPART_ARC
(7,9),-0.770055 # DEPENDENCYPART_ARC
(7,10),-0.97919 # DEPENDENCYPART_ARC
(7,11),-1.95524 # DEPENDENCYPART_ARC
(7,12),-1.2734 # DEPENDENCYPART_ARC
(7,14),-1.00824 # DEPENDENCYPART_ARC
(7,16),-1.47493 # DEPENDENCYPART_ARC
(7,19),-2.68946 # DEPENDENCYPART_ARC
(8,3),-0.679153 # DEPENDENCYPART_ARC
(8,4),-0.147026 # DEPENDENCYPART_ARC
(8,5),-0.0859436 # DEPENDENCYPART_ARC
(8,6),0.412747 # DEPENDENCYPART_ARC
(8,7),2.94221 # DEPENDENCYPART_ARC
(8,11),-0.132925 # DEPENDENCYPART_ARC
(8,12),0.180547 # DEPENDENCYPART_ARC
(9,1),-1.65786 # DEPENDENCYPART_ARC
(9,6),-0.803532 # DEPENDENCYPART_ARC
(9,7),-0.225395 # DEPENDENCYPART_ARC
(9,8),-0.0153574 # DEPENDENCYPART_ARC
(9,11),-0.041591 # DEPENDENCYPART_ARC
(9,15),-0.690509 # DEPENDENCYPART_ARC
(10,9),-0.195498 # DEPENDENCYPART_ARC
(11,1),-0.892609 # DEPENDENCYPART_ARC
(11,4),-0.603323 # DEPENDENCYPART_ARC
(11,5),-0.196735 # DEPENDENCYPART_ARC
(11,6),-0.0432543 # DEPENDENCYPART_ARC
(11,7),0.621934 # DEPENDENCYPART_ARC
(11,8),0.484611 # DEPENDENCYPART_ARC
(11,9),1.65314 # DEPENDENCYPART_ARC
(11,10),2.08439 # DEPENDENCYPART_ARC
(11,12),-0.621748 # DEPENDENCYPART_ARC
(11,13),-0.70783 # DEPENDENCYPART_ARC
(11,14),-1.01901 # DEPENDENCYPART_ARC
(11,15),-1.61282 # DEPENDENCYPART_ARC
(11,16),-1.46116 # DEPENDENCYPART_ARC
(11,19),-2.11333 # DEPENDENCYPART_ARC
(12,3),-1.2878 # DEPENDENCYPART_ARC
(12,4),-0.877307 # DEPENDENCYPART_ARC
(12,5),-0.287118 # DEPENDENCYPART_ARC
(12,6),0.037715 # DEPENDENCYPART_ARC
(12,7),0.499148 # DEPENDENCYPART_ARC
(12,9),-0.0501561 # DEPENDENCYPART_ARC
(12,11),2.91448 # DEPENDENCYPART_ARC
(12,15),-0.95818 # DEPENDENCYPART_ARC
(13,1),-0.915586 # DEPENDENCYPART_ARC
(13,6),-0.212347 # DEPENDENCYPART_ARC
(13,7),-0.0883416 # DEPENDENCYPART_ARC
(13,8),-0.269348 # DEPENDENCYPART_ARC
(13,9),-0.341055 # DEPENDENCYPART_ARC
(13,10),-0.296271 # DEPENDENCYPART_ARC
(13,11),0.390718 # DEPENDENCYPART_ARC
(13,12),-0.10535 # DEPENDENCYPART_ARC
(13,15),-0.802215 # DEPENDENCYPART_ARC
(13,16),-0.937058 # DEPENDENCYPART_ARC
(13,17),-0.933753 # DEPENDENCYPART_ARC
(13,19),-0.703289 # DEPENDENCYPART_ARC
(13,20),-1.55344 # DEPENDENCYPART_ARC
(14,13),-0.288406 # DEPENDENCYPART_ARC
(15,1),-1.1899 # DEPENDENCYPART_ARC
(15,4),-0.244606 # DEPENDENCYPART_ARC
(15,5),-0.340999 # DEPENDENCYPART_ARC
(15,8),-0.204302 # DEPENDENCYPART_ARC
(15,9),0.4083 # DEPENDENCYPART_ARC
(15,10),0.319596 # DEPENDENCYPART_ARC
(15,11),-0.834086 # DEPENDENCYPART_ARC
(15,12),-0.00229676 # DEPENDENCYPART_ARC
(15,13),0.35128 # DEPENDENCYPART_ARC
(15,14),2.50134 # DEPENDENCYPART_ARC
(15,16),0.0678899 # DEPENDENCYPART_ARC
(15,17),-0.81564 # DEPENDENCYPART_ARC
(16,3),-0.947688 # DEPENDENCYPART_ARC
(16,4),-0.639747 # DEPENDENCYPART_ARC
(16,8),-0.387982 # DEPENDENCYPART_ARC
(16,10),-1.38484 # DEPENDENCYPART_ARC
(16,11),-0.592202 # DEPENDENCYPART_ARC
(16,12),-0.0229014 # DEPENDENCYPART_ARC
(16,13),-0.488758 # DEPENDENCYPART_ARC
(16,14),-0.380655 # DEPENDENCYPART_ARC
(16,15),1.23434 # DEPENDENCYPART_ARC
(16,17),-0.0816159 # DEPENDENCYPART_ARC
(16,18),0.173246 # DEPENDENCYPART_ARC
(16,19),-0.111719 # DEPENDENCYPART_ARC
(17,3),-0.393439 # DEPENDENCYPART_ARC
(17,4),-0.374591 # DEPENDENCYPART_ARC
(17,7),-0.413578 # DEPENDENCYPART_ARC
(17,8),-0.199871 # DEPENDENCYPART_ARC
(17,9),-1.20064 # DEPENDENCYPART_ARC
(17,10),-1.13123 # DEPENDENCYPART_ARC
(17,11),-0.0134034 # DEPENDENCYPART_ARC
(17,12),0.0254098 # DEPENDENCYPART_ARC
(17,13),-0.407593 # DEPENDENCYPART_ARC
(17,14),-0.450546 # DEPENDENCYPART_ARC
(17,15),2.22188 # DEPENDENCYPART_ARC
(17,16),2.91795 # DEPENDENCYPART_ARC
(17,18),0.355036 # DEPENDENCYPART_ARC
(17,19),-0.878098 # DEPENDENCYPART_ARC
(18,3),0.802774 # DEPENDENCYPART_ARC
(18,4),0.479367 # DEPENDENCYPART_ARC
(18,5),-0.180728 # DEPENDENCYPART_ARC
(18,6),-0.134112 # DEPENDENCYPART_ARC
(18,7),0.454166 # DEPENDENCYPART_ARC
(18,9),0.000601698 # DEPENDENCYPART_ARC
(18,11),-0.566435 # DEPENDENCYPART_ARC
(18,12),0.0523344 # DEPENDENCYPART_ARC
