# _root_ The FHA alone lost $ 4.2 billion in fiscal 1988 ; the government 's equity in the agency , essentially its reserve fund , fell to minus $ 2.9 billion .
#goldHeads=2,4,2,0,4,5,5,4,10,8,4,13,15,13,25,15,18,16,15,23,23,23,15,15,4,25,28,26,28,28,4,
#predictedHeads=2,4,4,0,4,5,5,5,10,8,4,13,15,13,25,15,18,16,15,23,23,23,25,15,4,25,28,26,28,28,4,
(0,2),-3.27276 # DEPENDENCYPART_ARC
(0,3),-3.84434 # DEPENDENCYPART_ARC
(0,4),-1.11455 # DEPENDENCYPART_ARC
(0,5),-4.10738 # DEPENDENCYPART_ARC
(0,25),-1.89873 # DEPENDENCYPART_ARC
(1,2),-2.13768 # DEPENDENCYPART_ARC
(1,4),-1.77985 # DEPENDENCYPART_ARC
(2,1),0.737929 # DEPENDENCYPART_ARC
(2,3),-0.911084 # DEPENDENCYPART_ARC
(2,4),-1.22957 # DEPENDENCYPART_ARC
(2,5),-2.0051 # DEPENDENCYPART_ARC
(2,7),-2.21258 # DEPENDENCYPART_ARC
(2,8),-1.99353 # DEPENDENCYPART_ARC
(2,9),-2.37989 # DEPENDENCYPART_ARC
(2,11),-1.12023 # DEPENDENCYPART_ARC
(2,14),-2.33111 # DEPENDENCYPART_ARC
(2,31),-2.86174 # DEPENDENCYPART_ARC
(3,1),-1.5338 # DEPENDENCYPART_ARC
(3,2),-1.60023 # DEPENDENCYPART_ARC
(3,4),-0.566023 # DEPENDENCYPART_ARC
(3,5),-1.39584 # DEPENDENCYPART_ARC
(3,7),-1.94982 # DEPENDENCYPART_ARC
(3,8),-2.01659 # DEPENDENCYPART_ARC
(4,1),-1.32289 # DEPENDENCYPART_ARC
(4,2),-0.283333 # DEPENDENCYPART_ARC
(4,3),0.713439 # DEPENDENCYPART_ARC
(4,5),0.88979 # DEPENDENCYPART_ARC
(4,6),-0.679213 # DEPENDENCYPART_ARC
(4,7),-1.39664 # DEPENDENCYPART_ARC
(4,8),0.410864 # DEPENDENCYPART_ARC
(4,9),-1.21641 # DEPENDENCYPART_ARC
(4,10),-2.17432 # DEPENDENCYPART_ARC
(4,11),-0.0540548 # DEPENDENCYPART_ARC
(4,13),-1.1528 # DEPENDENCYPART_ARC
(4,14),-1.97144 # DEPENDENCYPART_ARC
(4,15),-1.23895 # DEPENDENCYPART_ARC
(4,16),-0.358049 # DEPENDENCYPART_ARC
(4,18),-1.67081 # DEPENDENCYPART_ARC
(4,19),-0.684135 # DEPENDENCYPART_ARC
(4,20),-1.60266 # DEPENDENCYPART_ARC
(4,23),-2.07838 # DEPENDENCYPART_ARC
(4,24),-0.89158 # DEPENDENCYPART_ARC
(4,25),-1.09019 # DEPENDENCYPART_ARC
(4,26),-1.33816 # DEPENDENCYPART_ARC
(4,27),-2.19061 # DEPENDENCYPART_ARC
(4,31),-0.439916 # DEPENDENCYPART_ARC
(5,1),-1.74803 # DEPENDENCYPART_ARC
(5,2),-2.05135 # DEPENDENCYPART_ARC
(5,3),-0.78643 # DEPENDENCYPART_ARC
(5,4),-0.674521 # DEPENDENCYPART_ARC
(5,6),1.70744 # DEPENDENCYPART_ARC
(5,7),1.15257 # DEPENDENCYPART_ARC
(5,8),-0.151816 # DEPENDENCYPART_ARC
(5,9),-0.841512 # DEPENDENCYPART_ARC
(5,10),-1.6044 # DEPENDENCYPART_ARC
(5,11),-0.598142 # DEPENDENCYPART_ARC
(5,13),-1.76976 # DEPENDENCYPART_ARC
(5,14),-2.23799 # DEPENDENCYPART_ARC
(5,15),-1.99194 # DEPENDENCYPART_ARC
(5,16),-2.19984 # DEPENDENCYPART_ARC
(5,18),-2.18415 # DEPENDENCYPART_ARC
(5,19),-2.09335 # DEPENDENCYPART_ARC
(5,20),-2.72559 # DEPENDENCYPART_ARC
(5,23),-2.95298 # DEPENDENCYPART_ARC
(5,24),-2.58353 # DEPENDENCYPART_ARC
(5,25),-2.36966 # DEPENDENCYPART_ARC
(5,28),-3.67873 # DEPENDENCYPART_ARC
(5,31),-2.82669 # DEPENDENCYPART_ARC
(6,1),-2.74311 # DEPENDENCYPART_ARC
(6,2),-3.3158 # DEPENDENCYPART_ARC
(6,3),-2.51819 # DEPENDENCYPART_ARC
(6,7),-1.07582 # DEPENDENCYPART_ARC
