# _root_ `` When you 're in the groove , you see every ball tremendously , '' he lectured .
#goldHeads=17,4,4,10,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
#predictedHeads=17,4,4,17,4,7,5,10,10,17,12,10,10,17,17,17,0,17,
(0,2),-3.66354 # DEPENDENCYPART_ARC
(0,4),-2.76465 # DEPENDENCYPART_ARC
(0,10),-2.89095 # DEPENDENCYPART_ARC
(0,17),-1.64229 # DEPENDENCYPART_ARC
(1,2),-2.76689 # DEPENDENCYPART_ARC
(1,4),-3.05385 # DEPENDENCYPART_ARC
(2,1),-1.46032 # DEPENDENCYPART_ARC
(2,3),-1.4142 # DEPENDENCYPART_ARC
(2,4),-1.35437 # DEPENDENCYPART_ARC
(2,5),-1.79953 # DEPENDENCYPART_ARC
(2,7),-2.28823 # DEPENDENCYPART_ARC
(2,8),-2.01119 # DEPENDENCYPART_ARC
(2,10),-2.40141 # DEPENDENCYPART_ARC
(2,12),-2.87128 # DEPENDENCYPART_ARC
(2,14),-2.36078 # DEPENDENCYPART_ARC
(2,15),-2.26631 # DEPENDENCYPART_ARC
(2,17),-2.63127 # DEPENDENCYPART_ARC
(3,1),-2.76696 # DEPENDENCYPART_ARC
(3,2),-1.80899 # DEPENDENCYPART_ARC
(3,4),-1.09008 # DEPENDENCYPART_ARC
(3,5),-1.74382 # DEPENDENCYPART_ARC
(3,8),-1.74544 # DEPENDENCYPART_ARC
(4,1),-0.954792 # DEPENDENCYPART_ARC
(4,2),0.548432 # DEPENDENCYPART_ARC
(4,3),1.57781 # DEPENDENCYPART_ARC
(4,5),0.98775 # DEPENDENCYPART_ARC
(4,6),-1.58419 # DEPENDENCYPART_ARC
(4,7),-0.949631 # DEPENDENCYPART_ARC
(4,8),-1.1667 # DEPENDENCYPART_ARC
(4,9),-2.02111 # DEPENDENCYPART_ARC
(4,10),-1.0386 # DEPENDENCYPART_ARC
(4,12),-2.09317 # DEPENDENCYPART_ARC
(4,13),-1.48961 # DEPENDENCYPART_ARC
(4,14),-1.52519 # DEPENDENCYPART_ARC
(4,15),-1.65799 # DEPENDENCYPART_ARC
(4,17),-1.92942 # DEPENDENCYPART_ARC
(4,18),-1.46558 # DEPENDENCYPART_ARC
(5,1),-2.28896 # DEPENDENCYPART_ARC
(5,2),-1.17127 # DEPENDENCYPART_ARC
(5,3),-2.21857 # DEPENDENCYPART_ARC
(5,4),-1.64437 # DEPENDENCYPART_ARC
(5,6),-1.19304 # DEPENDENCYPART_ARC
(5,7),1.41763 # DEPENDENCYPART_ARC
(5,8),-1.39111 # DEPENDENCYPART_ARC
(5,9),-1.43411 # DEPENDENCYPART_ARC
(5,10),-0.622928 # DEPENDENCYPART_ARC
(5,12),-2.03696 # DEPENDENCYPART_ARC
(5,13),-2.0836 # DEPENDENCYPART_ARC
(5,14),-1.94303 # DEPENDENCYPART_ARC
(5,15),-1.75825 # DEPENDENCYPART_ARC
(5,17),-2.44692 # DEPENDENCYPART_ARC
(5,18),-1.63257 # DEPENDENCYPART_ARC
(6,10),-2.07717 # DEPENDENCYPART_ARC
(7,1),-2.61437 # DEPENDENCYPART_ARC
(7,2),-1.78445 # DEPENDENCYPART_ARC
(7,3),-2.52464 # DEPENDENCYPART_ARC
(7,4),-1.84478 # DEPENDENCYPART_ARC
(7,5),-1.28547 # DEPENDENCYPART_ARC
(7,6),1.49635 # DEPENDENCYPART_ARC
(7,8),-1.32038 # DEPENDENCYPART_ARC
(7,9),-1.75039 # DEPENDENCYPART_ARC
(7,10),-1.43976 # DEPENDENCYPART_ARC
(7,12),-2.19611 # DEPENDENCYPART_ARC
(7,13),-2.2331 # DEPENDENCYPART_ARC
(7,14),-1.62426 # DEPENDENCYPART_ARC
(7,15),-1.66187 # DEPENDENCYPART_ARC
(7,17),-2.36123 # DEPENDENCYPART_ARC
(7,18),-2.35039 # DEPENDENCYPART_ARC
(9,8),-1.24129 # DEPENDENCYPART_ARC
(9,12),-2.03845 # DEPENDENCYPART_ARC
(10,1),-1.60322 # DEPENDENCYPART_ARC
(10,2),-0.396372 # DEPENDENCYPART_ARC
(10,3),-1.33517 # DEPENDENCYPART_ARC
(10,4),-1.26992 # DEPENDENCYPART_ARC
(10,5),-0.998147 # DEPENDENCYPART_ARC
(10,6),-1.66349 # DEPENDENCYPART_ARC
(10,7),-0.996518 # DEPENDENCYPART_ARC
(10,8),0.308541 # DEPENDENCYPART_ARC
(10,9),1.6753 # DEPENDENCYPART_ARC
(10,11),-0.248469 # DEPENDENCYPART_ARC
(10,12),0.181057 # DEPENDENCYPART_ARC
(10,13),-0.500109 # DEPENDENCYPART_ARC
(10,14),-0.753715 # DEPENDENCYPART_ARC
(10,15),-1.15903 # DEPENDENCYPART_ARC
(10,16),-1.81621 # DEPENDENCYPART_ARC
(10,17),-0.88271 # DEPENDENCYPART_ARC
(10,18),-1.56973 # DEPENDENCYPART_ARC
(11,12),-1.02502 # DEPENDENCYPART_ARC
(11,13),-1.92131 # DEPENDENCYPART_ARC
(11,14),-1.76895 # DEPENDENCYPART_ARC
(11,15),-1.80916 # DEPENDENCYPART_ARC
(11,17),-1.63912 # DEPENDENCYPART_ARC
(12,1),-3.18042 # DEPENDENCYPART_ARC
(12,2),-2.86275 # DEPENDENCYPART_ARC
(12,6),-2.1668 # DEPENDENCYPART_ARC
(12,7),-2.14957 # DEPENDENCYPART_ARC
(12,8),-2.06128 # DEPENDENCYPART_ARC
(12,9),-2.19163 # DEPENDENCYPART_ARC
(12,10),-1.44779 # DEPENDENCYPART_ARC
(12,11),0.882202 # DEPENDENCYPART_ARC
(12,13),-0.832828 # DEPENDENCYPART_ARC
(12,14),-1.66469 # DEPENDENCYPART_ARC
(12,15),-1.04303 # DEPENDENCYPART_ARC
(12,16),-1.89193 # DEPENDENCYPART_ARC
(12,17),-1.33963 # DEPENDENCYPART_ARC
(12,18),-1.95289 # DEPENDENCYPART_ARC
(13,1),-2.91315 # DEPENDENCYPART_ARC
(13,2),-2.38765 # DEPENDENCYPART_ARC
(13,4),-2.55106 # DEPENDENCYPART_ARC
(13,5),-1.86199 # DEPENDENCYPART_ARC
(13,8),-2.12574 # DEPENDENCYPART_ARC
(13,10),-1.92721 # DEPENDENCYPART_ARC
(13,11),-1.44893 # DEPENDENCYPART_ARC
(13,12),-0.490813 # DEPENDENCYPART_ARC
(13,14),-1.2036 # DEPENDENCYPART_ARC
(13,15),-1.51846 # DEPENDENCYPART_ARC
(13,17),-1.48617 # DEPENDENCYPART_ARC
(14,13),-2.07514 # DEPENDENCYPART_ARC
(15,13),-2.41505 # DEPENDENCYPART_ARC
(15,14),-1.64218 # DEPENDENCYPART_ARC
(15,16),-1.86681 # DEPENDENCYPART_ARC
(15,17),-1.83793 # DEPENDENCYPART_ARC
(16,4),-2.95799 # DEPENDENCYPART_ARC
(16,10),-2.65578 # DEPENDENCYPART_ARC
(16,12),-2.61057 # DEPENDENCYPART_ARC
(16,13),-2.40856 # DEPENDENCYPART_ARC
(16,15),-1.65165 # DEPENDENCYPART_ARC
(17,1),-0.975986 # DEPENDENCYPART_ARC
(17,2),-1.09307 # DEPENDENCYPART_ARC
(17,3),-2.54715 # DEPENDENCYPART_ARC
(17,4),-0.94082 # DEPENDENCYPART_ARC
(17,5),-1.69775 # DEPENDENCYPART_ARC
(17,7),-2.08299 # DEPENDENCYPART_ARC
(17,8),-1.17774 # DEPENDENCYPART_ARC
(17,9),-1.87702 # DEPENDENCYPART_ARC
(17,10),-1.19719 # DEPENDENCYPART_ARC
(17,11),-1.864 # DEPENDENCYPART_ARC
(17,12),-1.5349 # DEPENDENCYPART_ARC
(17,13),-1.37257 # DEPENDENCYPART_ARC
(17,14),-0.0957285 # DEPENDENCYPART_ARC
(17,15),-0.377866 # DEPENDENCYPART_ARC
(17,16),1.91228 # DEPENDENCYPART_ARC
(17,18),0.591149 # DEPENDENCYPART_ARC
(0,2),(0,4),-0.304522 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.294152 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.674204 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.858045 # DEPENDENCYPART_SIBL
(0,4),(0,17),-1.18769 # DEPENDENCYPART_SIBL
(0,10),(0,17),-1.16333 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0534746 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0295162 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0231244 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0234035 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0340163 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0325815 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0135444 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0332862 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0325815 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.490082 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0447814 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0351452 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0501276 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0160407 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0792882 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0252891 # DEPENDENCYPART_SIBL
