# _root_ Boeing has declined to say how many employees are working at its giant Renton , Wash. , plant .
#goldHeads=2,0,2,3,4,8,6,9,5,9,10,18,18,16,16,18,16,11,2,
#predictedHeads=2,0,2,3,4,8,6,9,5,9,10,18,18,16,16,18,16,11,2,
(0,1),-3.24608 # DEPENDENCYPART_ARC
(0,2),-0.620268 # DEPENDENCYPART_ARC
(0,3),-3.34713 # DEPENDENCYPART_ARC
(0,9),-2.08922 # DEPENDENCYPART_ARC
(1,2),-0.597945 # DEPENDENCYPART_ARC
(1,3),-1.47277 # DEPENDENCYPART_ARC
(1,9),-2.15466 # DEPENDENCYPART_ARC
(2,1),0.900481 # DEPENDENCYPART_ARC
(2,3),2.03335 # DEPENDENCYPART_ARC
(2,4),-0.423973 # DEPENDENCYPART_ARC
(2,5),-1.08756 # DEPENDENCYPART_ARC
(2,6),-2.23398 # DEPENDENCYPART_ARC
(2,7),-1.99624 # DEPENDENCYPART_ARC
(2,8),-1.67432 # DEPENDENCYPART_ARC
(2,9),-1.07134 # DEPENDENCYPART_ARC
(2,10),-1.64012 # DEPENDENCYPART_ARC
(2,11),-1.50882 # DEPENDENCYPART_ARC
(2,12),-2.56362 # DEPENDENCYPART_ARC
(2,15),-1.77071 # DEPENDENCYPART_ARC
(2,16),-3.15933 # DEPENDENCYPART_ARC
(2,17),-1.8342 # DEPENDENCYPART_ARC
(2,19),-0.314576 # DEPENDENCYPART_ARC
(3,1),-1.71669 # DEPENDENCYPART_ARC
(3,2),-1.1275 # DEPENDENCYPART_ARC
(3,4),1.25945 # DEPENDENCYPART_ARC
(3,5),-0.608412 # DEPENDENCYPART_ARC
(3,6),-1.63866 # DEPENDENCYPART_ARC
(3,7),-1.47068 # DEPENDENCYPART_ARC
(3,8),-1.0948 # DEPENDENCYPART_ARC
(3,9),-1.32911 # DEPENDENCYPART_ARC
(3,10),-1.18136 # DEPENDENCYPART_ARC
(3,11),-0.99 # DEPENDENCYPART_ARC
(3,12),-2.28535 # DEPENDENCYPART_ARC
(3,13),-2.1994 # DEPENDENCYPART_ARC
(3,14),-1.80295 # DEPENDENCYPART_ARC
(3,15),-1.57668 # DEPENDENCYPART_ARC
(3,16),-2.07892 # DEPENDENCYPART_ARC
(3,17),-1.69169 # DEPENDENCYPART_ARC
(3,18),-2.34569 # DEPENDENCYPART_ARC
(3,19),-1.73656 # DEPENDENCYPART_ARC
(4,1),-1.94398 # DEPENDENCYPART_ARC
(4,5),1.84663 # DEPENDENCYPART_ARC
(4,6),-1.20731 # DEPENDENCYPART_ARC
(4,7),-1.52605 # DEPENDENCYPART_ARC
(4,8),-0.573804 # DEPENDENCYPART_ARC
(4,9),-1.38608 # DEPENDENCYPART_ARC
(4,10),-1.49376 # DEPENDENCYPART_ARC
(4,14),-2.38323 # DEPENDENCYPART_ARC
(5,1),-1.87747 # DEPENDENCYPART_ARC
(5,2),-1.19134 # DEPENDENCYPART_ARC
(5,6),-0.840481 # DEPENDENCYPART_ARC
(5,7),-0.834557 # DEPENDENCYPART_ARC
(5,8),-0.52069 # DEPENDENCYPART_ARC
(5,9),0.153069 # DEPENDENCYPART_ARC
(5,10),-1.14292 # DEPENDENCYPART_ARC
(5,11),-1.27329 # DEPENDENCYPART_ARC
(5,12),-2.42388 # DEPENDENCYPART_ARC
(5,13),-2.08244 # DEPENDENCYPART_ARC
(5,14),-2.09078 # DEPENDENCYPART_ARC
(5,15),-1.75895 # DEPENDENCYPART_ARC
(5,16),-2.44339 # DEPENDENCYPART_ARC
(5,17),-1.77043 # DEPENDENCYPART_ARC
(5,18),-2.59761 # DEPENDENCYPART_ARC
(5,19),-2.02335 # DEPENDENCYPART_ARC
(6,2),-2.3621 # DEPENDENCYPART_ARC
(6,7),0.854008 # DEPENDENCYPART_ARC
(6,8),-1.18457 # DEPENDENCYPART_ARC
(6,9),-1.15265 # DEPENDENCYPART_ARC
(6,10),-1.65456 # DEPENDENCYPART_ARC
(6,11),-1.51533 # DEPENDENCYPART_ARC
(6,13),-1.64816 # DEPENDENCYPART_ARC
(6,14),-2.69437 # DEPENDENCYPART_ARC
(6,16),-2.80672 # DEPENDENCYPART_ARC
(6,18),-2.37924 # DEPENDENCYPART_ARC
(6,19),-2.0423 # DEPENDENCYPART_ARC
(7,2),-2.51452 # DEPENDENCYPART_ARC
(7,6),-0.20525 # DEPENDENCYPART_ARC
(7,8),-1.00308 # DEPENDENCYPART_ARC
(7,9),-1.06125 # DEPENDENCYPART_ARC
(7,10),-1.57839 # DEPENDENCYPART_ARC
(7,11),-1.47833 # DEPENDENCYPART_ARC
(8,1),-1.70578 # DEPENDENCYPART_ARC
(8,2),-1.96837 # DEPENDENCYPART_ARC
(8,3),-1.40545 # DEPENDENCYPART_ARC
(8,6),0.00520915 # DEPENDENCYPART_ARC
(8,7),1.27829 # DEPENDENCYPART_ARC
(8,9),-1.55431 # DEPENDENCYPART_ARC
(8,10),-1.43418 # DEPENDENCYPART_ARC
(8,11),-1.53801 # DEPENDENCYPART_ARC
(9,1),-2.14886 # DEPENDENCYPART_ARC
(9,2),-1.36624 # DEPENDENCYPART_ARC
(9,3),-1.59643 # DEPENDENCYPART_ARC
(9,6),0.634526 # DEPENDENCYPART_ARC
(9,7),-0.587998 # DEPENDENCYPART_ARC
(9,8),1.45907 # DEPENDENCYPART_ARC
(9,10),1.65991 # DEPENDENCYPART_ARC
(9,11),-0.331494 # DEPENDENCYPART_ARC
(9,12),-1.68146 # DEPENDENCYPART_ARC
(9,13),-1.30231 # DEPENDENCYPART_ARC
(9,14),-1.86864 # DEPENDENCYPART_ARC
(9,15),-1.26068 # DEPENDENCYPART_ARC
(9,16),-2.45285 # DEPENDENCYPART_ARC
(9,17),-1.68178 # DEPENDENCYPART_ARC
(9,18),-2.30478 # DEPENDENCYPART_ARC
(9,19),-0.426124 # DEPENDENCYPART_ARC
(10,1),-2.52118 # DEPENDENCYPART_ARC
(10,2),-2.18525 # DEPENDENCYPART_ARC
(10,6),-0.00225248 # DEPENDENCYPART_ARC
(10,7),-1.86967 # DEPENDENCYPART_ARC
(10,8),-1.47498 # DEPENDENCYPART_ARC
(10,9),-0.921694 # DEPENDENCYPART_ARC
(10,11),1.07648 # DEPENDENCYPART_ARC
(10,12),-1.17732 # DEPENDENCYPART_ARC
(10,13),-1.22514 # DEPENDENCYPART_ARC
(10,14),-1.17586 # DEPENDENCYPART_ARC
(10,15),-1.30742 # DEPENDENCYPART_ARC
(10,16),-1.79253 # DEPENDENCYPART_ARC
(10,17),-1.27644 # DEPENDENCYPART_ARC
(10,18),-1.85687 # DEPENDENCYPART_ARC
(10,19),-2.22605 # DEPENDENCYPART_ARC
(11,6),-1.51463 # DEPENDENCYPART_ARC
