# _root_ Using black and white , `` we can make housewives look like stars , '' says John Perrin .
#goldHeads=8,1,2,3,8,8,8,16,8,9,9,11,12,8,8,0,18,16,16,
#predictedHeads=8,1,2,3,8,8,8,16,8,9,9,11,12,16,16,0,18,16,16,
(0,8),-2.67239 # DEPENDENCYPART_ARC
(0,16),2.23987 # DEPENDENCYPART_ARC
(1,2),0.770654 # DEPENDENCYPART_ARC
(1,3),-0.404807 # DEPENDENCYPART_ARC
(1,4),-0.208359 # DEPENDENCYPART_ARC
(1,5),-1.22638 # DEPENDENCYPART_ARC
(1,6),-1.2933 # DEPENDENCYPART_ARC
(1,7),-1.38675 # DEPENDENCYPART_ARC
(1,8),-1.3571 # DEPENDENCYPART_ARC
(1,9),-1.74889 # DEPENDENCYPART_ARC
(1,10),-1.20617 # DEPENDENCYPART_ARC
(1,11),-1.70826 # DEPENDENCYPART_ARC
(1,12),-1.75449 # DEPENDENCYPART_ARC
(1,13),-1.99363 # DEPENDENCYPART_ARC
(1,15),-1.10532 # DEPENDENCYPART_ARC
(2,1),-0.387469 # DEPENDENCYPART_ARC
(2,3),1.31259 # DEPENDENCYPART_ARC
(2,4),-1.04979 # DEPENDENCYPART_ARC
(2,5),-1.01828 # DEPENDENCYPART_ARC
(2,6),-1.36397 # DEPENDENCYPART_ARC
(2,7),-1.8499 # DEPENDENCYPART_ARC
(2,8),-1.36235 # DEPENDENCYPART_ARC
(2,10),-2.08177 # DEPENDENCYPART_ARC
(2,11),-2.18308 # DEPENDENCYPART_ARC
(2,12),-1.59866 # DEPENDENCYPART_ARC
(2,14),-1.79638 # DEPENDENCYPART_ARC
(2,15),-1.50424 # DEPENDENCYPART_ARC
(2,18),-3.03683 # DEPENDENCYPART_ARC
(2,19),-2.14488 # DEPENDENCYPART_ARC
(3,4),1.42042 # DEPENDENCYPART_ARC
(3,5),-0.984725 # DEPENDENCYPART_ARC
(3,6),-1.40484 # DEPENDENCYPART_ARC
(3,8),-1.24782 # DEPENDENCYPART_ARC
(3,9),-2.10578 # DEPENDENCYPART_ARC
(3,10),-2.08218 # DEPENDENCYPART_ARC
(3,11),-2.52851 # DEPENDENCYPART_ARC
(4,1),-2.17827 # DEPENDENCYPART_ARC
(4,2),-1.15038 # DEPENDENCYPART_ARC
(4,3),-1.56906 # DEPENDENCYPART_ARC
(4,5),-0.625205 # DEPENDENCYPART_ARC
(4,6),-1.31699 # DEPENDENCYPART_ARC
(4,7),-1.87537 # DEPENDENCYPART_ARC
(4,8),-1.56083 # DEPENDENCYPART_ARC
(4,10),-2.16629 # DEPENDENCYPART_ARC
(4,12),-2.17971 # DEPENDENCYPART_ARC
(4,13),-2.00689 # DEPENDENCYPART_ARC
(4,14),-1.46463 # DEPENDENCYPART_ARC
(4,15),-1.69561 # DEPENDENCYPART_ARC
