# _root_ The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .
#goldHeads=3,3,16,3,4,3,9,9,3,11,9,11,14,12,3,0,18,16,20,21,18,18,24,22,24,31,31,27,30,28,25,31,32,16,
#predictedHeads=3,3,16,3,4,3,9,9,3,11,9,9,14,12,3,0,18,16,20,21,18,16,24,22,24,31,31,27,31,31,25,31,32,16,
(0,2),-3.30895 # DEPENDENCYPART_ARC
(0,3),-3.56364 # DEPENDENCYPART_ARC
(0,9),-1.46813 # DEPENDENCYPART_ARC
(0,16),0.293642 # DEPENDENCYPART_ARC
(0,18),-2.9193 # DEPENDENCYPART_ARC
(0,24),-3.29972 # DEPENDENCYPART_ARC
(1,2),-1.65703 # DEPENDENCYPART_ARC
(2,1),0.747764 # DEPENDENCYPART_ARC
(2,3),-1.26075 # DEPENDENCYPART_ARC
(2,4),-0.981727 # DEPENDENCYPART_ARC
(2,5),-1.60748 # DEPENDENCYPART_ARC
(2,6),-0.869185 # DEPENDENCYPART_ARC
(2,8),-2.0803 # DEPENDENCYPART_ARC
(2,9),-1.20656 # DEPENDENCYPART_ARC
(2,11),-2.76104 # DEPENDENCYPART_ARC
(2,12),-1.5677 # DEPENDENCYPART_ARC
(2,15),-1.08117 # DEPENDENCYPART_ARC
(2,16),-1.87802 # DEPENDENCYPART_ARC
(2,18),-2.37135 # DEPENDENCYPART_ARC
(3,1),0.309765 # DEPENDENCYPART_ARC
(3,2),0.491776 # DEPENDENCYPART_ARC
(3,4),1.85334 # DEPENDENCYPART_ARC
(3,5),-0.68426 # DEPENDENCYPART_ARC
(3,6),-0.399436 # DEPENDENCYPART_ARC
(3,7),-2.07594 # DEPENDENCYPART_ARC
(3,8),-1.57442 # DEPENDENCYPART_ARC
(3,9),-1.08633 # DEPENDENCYPART_ARC
(3,11),-2.23774 # DEPENDENCYPART_ARC
(3,12),-1.41694 # DEPENDENCYPART_ARC
(3,15),-0.871003 # DEPENDENCYPART_ARC
(3,16),-1.96618 # DEPENDENCYPART_ARC
(3,18),-2.19233 # DEPENDENCYPART_ARC
(3,20),-2.76364 # DEPENDENCYPART_ARC
(3,21),-2.42361 # DEPENDENCYPART_ARC
(3,22),-2.75203 # DEPENDENCYPART_ARC
(3,24),-2.42095 # DEPENDENCYPART_ARC
(3,28),-3.23794 # DEPENDENCYPART_ARC
(3,32),-3.78098 # DEPENDENCYPART_ARC
(4,2),-2.28814 # DEPENDENCYPART_ARC
(4,5),1.07963 # DEPENDENCYPART_ARC
(4,6),-0.978772 # DEPENDENCYPART_ARC
(4,7),-2.50479 # DEPENDENCYPART_ARC
(4,9),-0.948203 # DEPENDENCYPART_ARC
(4,11),-1.97721 # DEPENDENCYPART_ARC
(4,14),-2.91264 # DEPENDENCYPART_ARC
(5,1),-2.14463 # DEPENDENCYPART_ARC
(5,2),-1.74768 # DEPENDENCYPART_ARC
(5,3),-1.5528 # DEPENDENCYPART_ARC
(5,6),-0.365057 # DEPENDENCYPART_ARC
(5,7),-2.10942 # DEPENDENCYPART_ARC
(5,8),-1.92016 # DEPENDENCYPART_ARC
(5,9),-1.41285 # DEPENDENCYPART_ARC
(5,11),-2.53662 # DEPENDENCYPART_ARC
(5,14),-2.98832 # DEPENDENCYPART_ARC
(5,15),-0.985363 # DEPENDENCYPART_ARC
(5,16),-2.5899 # DEPENDENCYPART_ARC
(5,24),-2.99329 # DEPENDENCYPART_ARC
(7,3),-2.79453 # DEPENDENCYPART_ARC
(7,5),-2.27328 # DEPENDENCYPART_ARC
(7,6),-1.62947 # DEPENDENCYPART_ARC
(7,8),-1.50554 # DEPENDENCYPART_ARC
(8,7),-1.8338 # DEPENDENCYPART_ARC
(8,9),-0.800808 # DEPENDENCYPART_ARC
(8,12),-1.86962 # DEPENDENCYPART_ARC
(9,1),-2.28704 # DEPENDENCYPART_ARC
(9,2),-1.08118 # DEPENDENCYPART_ARC
(9,3),-0.82283 # DEPENDENCYPART_ARC
(9,4),-1.70427 # DEPENDENCYPART_ARC
(9,5),-1.28955 # DEPENDENCYPART_ARC
(9,6),-1.20512 # DEPENDENCYPART_ARC
(9,7),0.907349 # DEPENDENCYPART_ARC
(9,8),0.582572 # DEPENDENCYPART_ARC
(9,10),-0.555551 # DEPENDENCYPART_ARC
(9,11),0.463096 # DEPENDENCYPART_ARC
(9,12),0.235504 # DEPENDENCYPART_ARC
(9,13),-1.36484 # DEPENDENCYPART_ARC
(9,14),-1.16001 # DEPENDENCYPART_ARC
(9,15),-0.698632 # DEPENDENCYPART_ARC
(9,16),-0.884495 # DEPENDENCYPART_ARC
(9,17),-1.70308 # DEPENDENCYPART_ARC
(9,18),-0.765886 # DEPENDENCYPART_ARC
(9,19),-2.73621 # DEPENDENCYPART_ARC
(9,20),-2.10883 # DEPENDENCYPART_ARC
(9,21),-2.19848 # DEPENDENCYPART_ARC
(9,22),-1.26405 # DEPENDENCYPART_ARC
(9,23),-2.27262 # DEPENDENCYPART_ARC
(9,24),-1.80147 # DEPENDENCYPART_ARC
(9,25),-1.78887 # DEPENDENCYPART_ARC
(9,27),-2.56625 # DEPENDENCYPART_ARC
(9,34),-0.310536 # DEPENDENCYPART_ARC
(10,8),-2.11208 # DEPENDENCYPART_ARC
(11,1),-2.56549 # DEPENDENCYPART_ARC
(11,3),-3.33156 # DEPENDENCYPART_ARC
(11,6),-2.5941 # DEPENDENCYPART_ARC
(11,7),-1.73043 # DEPENDENCYPART_ARC
(11,8),-1.27171 # DEPENDENCYPART_ARC
(11,9),-1.58001 # DEPENDENCYPART_ARC
(11,10),1.61166 # DEPENDENCYPART_ARC
(11,12),0.492641 # DEPENDENCYPART_ARC
(11,13),-1.55103 # DEPENDENCYPART_ARC
(11,14),-1.07902 # DEPENDENCYPART_ARC
(11,15),-1.1586 # DEPENDENCYPART_ARC
(11,16),-1.28178 # DEPENDENCYPART_ARC
(11,18),-1.78954 # DEPENDENCYPART_ARC
(11,20),-2.35816 # DEPENDENCYPART_ARC
(11,22),-1.83734 # DEPENDENCYPART_ARC
(11,25),-2.13028 # DEPENDENCYPART_ARC
(12,10),-1.75839 # DEPENDENCYPART_ARC
(12,11),-1.50695 # DEPENDENCYPART_ARC
(12,13),-0.0551158 # DEPENDENCYPART_ARC
(12,14),0.812557 # DEPENDENCYPART_ARC
(12,15),-1.19033 # DEPENDENCYPART_ARC
(12,16),-0.691133 # DEPENDENCYPART_ARC
(12,17),-1.84844 # DEPENDENCYPART_ARC
(12,18),-1.34934 # DEPENDENCYPART_ARC
(12,20),-1.6489 # DEPENDENCYPART_ARC
(12,22),-1.48789 # DEPENDENCYPART_ARC
(12,31),-2.11516 # DEPENDENCYPART_ARC
(13,14),-0.708193 # DEPENDENCYPART_ARC
(13,15),-1.17399 # DEPENDENCYPART_ARC
(13,16),-1.90685 # DEPENDENCYPART_ARC
(13,17),-2.06665 # DEPENDENCYPART_ARC
(13,18),-1.98523 # DEPENDENCYPART_ARC
(13,19),-3.1756 # DEPENDENCYPART_ARC
(13,20),-3.00227 # DEPENDENCYPART_ARC
