# _root_ Dr. Novello , an expert on pediatric kidney diseases , is deputy director of the National Institute of Child Health and Human Development .
#goldHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
#predictedHeads=2,11,2,5,2,5,9,9,6,2,0,13,11,13,17,17,14,17,20,18,20,23,21,11,
(0,1),-3.50529 # DEPENDENCYPART_ARC
(0,2),-3.97295 # DEPENDENCYPART_ARC
(0,11),-0.70529 # DEPENDENCYPART_ARC
(1,2),-0.830127 # DEPENDENCYPART_ARC
(1,3),-0.974548 # DEPENDENCYPART_ARC
(1,5),-2.04124 # DEPENDENCYPART_ARC
(1,6),-2.50237 # DEPENDENCYPART_ARC
(1,9),-2.89721 # DEPENDENCYPART_ARC
(1,10),-1.32828 # DEPENDENCYPART_ARC
(1,11),-2.47188 # DEPENDENCYPART_ARC
(1,13),-4.06337 # DEPENDENCYPART_ARC
(1,21),-2.04308 # DEPENDENCYPART_ARC
(1,24),-2.99871 # DEPENDENCYPART_ARC
(2,1),1.2167 # DEPENDENCYPART_ARC
(2,3),0.250975 # DEPENDENCYPART_ARC
(2,4),-1.69261 # DEPENDENCYPART_ARC
(2,5),-1.10282 # DEPENDENCYPART_ARC
(2,6),-1.95917 # DEPENDENCYPART_ARC
(2,7),-1.78942 # DEPENDENCYPART_ARC
(2,8),-2.04576 # DEPENDENCYPART_ARC
(2,9),-2.29009 # DEPENDENCYPART_ARC
(2,10),-0.0627866 # DEPENDENCYPART_ARC
(2,11),-1.84225 # DEPENDENCYPART_ARC
(2,12),-2.44221 # DEPENDENCYPART_ARC
(2,13),-3.06905 # DEPENDENCYPART_ARC
(2,14),-3.26353 # DEPENDENCYPART_ARC
(2,17),-4.29816 # DEPENDENCYPART_ARC
(2,18),-3.48497 # DEPENDENCYPART_ARC
(2,20),-4.37044 # DEPENDENCYPART_ARC
(2,21),-1.6869 # DEPENDENCYPART_ARC
(2,24),-2.54802 # DEPENDENCYPART_ARC
(3,2),-2.44743 # DEPENDENCYPART_ARC
(3,5),-2.42169 # DEPENDENCYPART_ARC
(4,2),-2.49855 # DEPENDENCYPART_ARC
(4,3),-1.76915 # DEPENDENCYPART_ARC
(4,6),-1.69861 # DEPENDENCYPART_ARC
(5,1),-2.24136 # DEPENDENCYPART_ARC
(5,2),-2.39827 # DEPENDENCYPART_ARC
(5,3),-1.65839 # DEPENDENCYPART_ARC
(5,4),1.14452 # DEPENDENCYPART_ARC
(5,6),0.538972 # DEPENDENCYPART_ARC
(5,7),-1.10807 # DEPENDENCYPART_ARC
(5,8),-1.02508 # DEPENDENCYPART_ARC
(5,9),-1.15389 # DEPENDENCYPART_ARC
(5,10),-0.845156 # DEPENDENCYPART_ARC
(5,11),-1.3058 # DEPENDENCYPART_ARC
(5,13),-2.12703 # DEPENDENCYPART_ARC
(5,14),-1.52603 # DEPENDENCYPART_ARC
(5,17),-2.65259 # DEPENDENCYPART_ARC
(5,18),-2.98321 # DEPENDENCYPART_ARC
(5,21),-2.02615 # DEPENDENCYPART_ARC
(5,24),-2.22889 # DEPENDENCYPART_ARC
(6,2),-2.70035 # DEPENDENCYPART_ARC
(6,3),-2.11281 # DEPENDENCYPART_ARC
(6,4),-2.05546 # DEPENDENCYPART_ARC
(6,5),-1.46889 # DEPENDENCYPART_ARC
