# _root_ But then , as quickly as the Dow had fallen , it began to turn around .
#goldHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
#predictedHeads=13,13,13,13,4,4,8,9,6,9,13,13,0,13,14,15,13,
(0,2),-3.69816 # DEPENDENCYPART_ARC
(0,4),-4.23211 # DEPENDENCYPART_ARC
(0,5),-4.48619 # DEPENDENCYPART_ARC
(0,6),-3.98304 # DEPENDENCYPART_ARC
(0,9),-1.4944 # DEPENDENCYPART_ARC
(0,10),-4.14381 # DEPENDENCYPART_ARC
(0,13),-1.9851 # DEPENDENCYPART_ARC
(1,2),-1.59067 # DEPENDENCYPART_ARC
(1,3),-2.29885 # DEPENDENCYPART_ARC
(1,4),-3.04823 # DEPENDENCYPART_ARC
(1,5),-3.1418 # DEPENDENCYPART_ARC
(1,9),-2.1435 # DEPENDENCYPART_ARC
(1,13),-2.75771 # DEPENDENCYPART_ARC
(2,1),-1.32606 # DEPENDENCYPART_ARC
(2,3),-1.52177 # DEPENDENCYPART_ARC
(2,4),-1.99352 # DEPENDENCYPART_ARC
(2,5),-2.12073 # DEPENDENCYPART_ARC
(2,6),-2.27168 # DEPENDENCYPART_ARC
(2,8),-3.38788 # DEPENDENCYPART_ARC
(2,9),-2.14943 # DEPENDENCYPART_ARC
(2,13),-2.38195 # DEPENDENCYPART_ARC
(2,17),-2.86156 # DEPENDENCYPART_ARC
(3,1),-3.04432 # DEPENDENCYPART_ARC
(3,2),-2.53992 # DEPENDENCYPART_ARC
(4,1),-1.83539 # DEPENDENCYPART_ARC
(4,2),-1.92836 # DEPENDENCYPART_ARC
(4,3),-1.39148 # DEPENDENCYPART_ARC
(4,5),0.772961 # DEPENDENCYPART_ARC
(4,6),0.588027 # DEPENDENCYPART_ARC
(4,7),-1.52367 # DEPENDENCYPART_ARC
(4,8),-1.73557 # DEPENDENCYPART_ARC
(4,9),-0.596591 # DEPENDENCYPART_ARC
(4,10),-1.30931 # DEPENDENCYPART_ARC
(4,11),-1.47959 # DEPENDENCYPART_ARC
(4,12),-2.02651 # DEPENDENCYPART_ARC
(4,13),-1.17014 # DEPENDENCYPART_ARC
(4,14),-1.56658 # DEPENDENCYPART_ARC
(4,16),-1.77218 # DEPENDENCYPART_ARC
(4,17),-1.69911 # DEPENDENCYPART_ARC
(5,1),-1.77491 # DEPENDENCYPART_ARC
(5,2),-1.91362 # DEPENDENCYPART_ARC
(5,3),-1.83166 # DEPENDENCYPART_ARC
(5,4),-1.06686 # DEPENDENCYPART_ARC
(5,6),-0.60847 # DEPENDENCYPART_ARC
(5,7),-1.7939 # DEPENDENCYPART_ARC
(5,8),-2.2243 # DEPENDENCYPART_ARC
(5,9),-1.51364 # DEPENDENCYPART_ARC
(5,10),-2.25567 # DEPENDENCYPART_ARC
(5,11),-1.83211 # DEPENDENCYPART_ARC
(5,13),-2.09584 # DEPENDENCYPART_ARC
(5,17),-2.56175 # DEPENDENCYPART_ARC
(6,1),-1.24917 # DEPENDENCYPART_ARC
(6,2),-1.81759 # DEPENDENCYPART_ARC
(6,3),-1.62559 # DEPENDENCYPART_ARC
(6,4),-0.984832 # DEPENDENCYPART_ARC
(6,5),-0.553888 # DEPENDENCYPART_ARC
(6,7),-1.29692 # DEPENDENCYPART_ARC
(6,8),-0.842731 # DEPENDENCYPART_ARC
(6,9),1.03426 # DEPENDENCYPART_ARC
