# _root_ When he came to Applied , `` I did n't have the power to execute as I do today , '' he says .
#goldHeads=3,3,9,3,4,9,9,9,23,9,9,13,11,13,14,15,18,16,18,9,9,23,0,23,
#predictedHeads=3,3,9,3,4,5,23,9,23,9,9,13,11,13,14,15,18,16,18,23,23,23,0,23,
(0,3),-2.11808 # DEPENDENCYPART_ARC
(0,9),-3.0469 # DEPENDENCYPART_ARC
(0,23),1.65376 # DEPENDENCYPART_ARC
(1,2),-1.66497 # DEPENDENCYPART_ARC
(1,3),-1.39166 # DEPENDENCYPART_ARC
(1,4),-2.17771 # DEPENDENCYPART_ARC
(1,5),-2.81699 # DEPENDENCYPART_ARC
(1,6),-2.3257 # DEPENDENCYPART_ARC
(1,9),-2.35995 # DEPENDENCYPART_ARC
(2,1),-1.77334 # DEPENDENCYPART_ARC
(2,3),-0.636174 # DEPENDENCYPART_ARC
(2,4),-1.42924 # DEPENDENCYPART_ARC
(2,5),-2.15755 # DEPENDENCYPART_ARC
(2,6),-1.52534 # DEPENDENCYPART_ARC
(2,9),-2.10653 # DEPENDENCYPART_ARC
(3,1),0.804539 # DEPENDENCYPART_ARC
(3,2),1.66245 # DEPENDENCYPART_ARC
(3,4),1.33344 # DEPENDENCYPART_ARC
(3,5),-0.578135 # DEPENDENCYPART_ARC
(3,6),-0.779931 # DEPENDENCYPART_ARC
(3,7),-1.23456 # DEPENDENCYPART_ARC
(3,8),-1.79228 # DEPENDENCYPART_ARC
(3,9),-1.12853 # DEPENDENCYPART_ARC
(3,10),-1.5189 # DEPENDENCYPART_ARC
(3,11),-1.68654 # DEPENDENCYPART_ARC
(3,13),-2.0821 # DEPENDENCYPART_ARC
(3,14),-1.68178 # DEPENDENCYPART_ARC
(3,16),-1.89643 # DEPENDENCYPART_ARC
(3,18),-1.49073 # DEPENDENCYPART_ARC
(3,20),-1.82626 # DEPENDENCYPART_ARC
(3,21),-1.26615 # DEPENDENCYPART_ARC
(3,23),-1.8627 # DEPENDENCYPART_ARC
(3,24),-0.850107 # DEPENDENCYPART_ARC
(4,1),-1.11454 # DEPENDENCYPART_ARC
(4,2),-2.0048 # DEPENDENCYPART_ARC
(4,5),0.77685 # DEPENDENCYPART_ARC
(4,6),-1.29185 # DEPENDENCYPART_ARC
(4,7),-1.21614 # DEPENDENCYPART_ARC
(4,8),-1.41015 # DEPENDENCYPART_ARC
(4,9),-1.62783 # DEPENDENCYPART_ARC
(4,10),-2.00419 # DEPENDENCYPART_ARC
(4,11),-1.5262 # DEPENDENCYPART_ARC
(4,13),-1.96359 # DEPENDENCYPART_ARC
(4,14),-2.17765 # DEPENDENCYPART_ARC
(4,15),-2.28191 # DEPENDENCYPART_ARC
(5,1),-2.07775 # DEPENDENCYPART_ARC
(5,2),-2.30549 # DEPENDENCYPART_ARC
(5,3),-1.68673 # DEPENDENCYPART_ARC
(5,4),-1.3542 # DEPENDENCYPART_ARC
(5,6),-0.584104 # DEPENDENCYPART_ARC
(5,7),-1.48079 # DEPENDENCYPART_ARC
(5,8),-1.5264 # DEPENDENCYPART_ARC
(5,9),-1.5758 # DEPENDENCYPART_ARC
(5,10),-2.20272 # DEPENDENCYPART_ARC
(5,11),-2.98353 # DEPENDENCYPART_ARC
(5,13),-2.84317 # DEPENDENCYPART_ARC
(5,18),-2.5922 # DEPENDENCYPART_ARC
(6,5),-2.39609 # DEPENDENCYPART_ARC
(7,3),-3.10533 # DEPENDENCYPART_ARC
(7,5),-2.80778 # DEPENDENCYPART_ARC
