# _root_ Mr. Freund , former chief economist of the New York Stock Exchange , is a professor of economics at Pace University 's business school in New York .
#goldHeads=2,14,2,6,6,2,6,12,12,12,12,7,2,0,16,14,16,17,16,21,24,21,24,19,24,27,25,14,
#predictedHeads=2,14,2,6,6,2,6,12,12,12,12,7,2,0,16,14,16,17,16,21,24,21,24,19,24,27,25,14,
(0,2),-3.8042 # DEPENDENCYPART_ARC
(0,6),-5.01346 # DEPENDENCYPART_ARC
(0,14),-0.305702 # DEPENDENCYPART_ARC
(1,2),-1.18326 # DEPENDENCYPART_ARC
(1,3),-1.43312 # DEPENDENCYPART_ARC
(1,4),-2.08515 # DEPENDENCYPART_ARC
(1,6),-2.35023 # DEPENDENCYPART_ARC
(1,7),-2.52575 # DEPENDENCYPART_ARC
(1,12),-4.47949 # DEPENDENCYPART_ARC
(1,13),-1.12914 # DEPENDENCYPART_ARC
(1,16),-4.05183 # DEPENDENCYPART_ARC
(1,28),-3.56395 # DEPENDENCYPART_ARC
(2,1),1.90049 # DEPENDENCYPART_ARC
(2,3),-0.145553 # DEPENDENCYPART_ARC
(2,4),-1.21323 # DEPENDENCYPART_ARC
(2,5),-1.58548 # DEPENDENCYPART_ARC
(2,6),-1.32345 # DEPENDENCYPART_ARC
(2,7),-1.98187 # DEPENDENCYPART_ARC
(2,10),-3.51771 # DEPENDENCYPART_ARC
(2,12),-3.14757 # DEPENDENCYPART_ARC
(2,13),-0.363652 # DEPENDENCYPART_ARC
(2,14),-2.88934 # DEPENDENCYPART_ARC
(2,16),-3.33423 # DEPENDENCYPART_ARC
(2,18),-3.28726 # DEPENDENCYPART_ARC
(2,19),-2.98836 # DEPENDENCYPART_ARC
(2,24),-4.67154 # DEPENDENCYPART_ARC
(2,25),-3.57315 # DEPENDENCYPART_ARC
(2,28),-3.10832 # DEPENDENCYPART_ARC
(3,2),-2.50775 # DEPENDENCYPART_ARC
(4,2),-1.30894 # DEPENDENCYPART_ARC
(4,3),-1.20648 # DEPENDENCYPART_ARC
(4,5),-1.10557 # DEPENDENCYPART_ARC
(4,6),-1.33533 # DEPENDENCYPART_ARC
(4,7),-1.08614 # DEPENDENCYPART_ARC
(4,13),-1.46236 # DEPENDENCYPART_ARC
(5,2),-1.87173 # DEPENDENCYPART_ARC
(5,3),-1.76865 # DEPENDENCYPART_ARC
(5,4),-0.657641 # DEPENDENCYPART_ARC
(5,6),-0.899726 # DEPENDENCYPART_ARC
(5,7),-1.2103 # DEPENDENCYPART_ARC
(6,1),-1.54376 # DEPENDENCYPART_ARC
(6,2),-1.8285 # DEPENDENCYPART_ARC
(6,3),-1.40891 # DEPENDENCYPART_ARC
(6,4),0.675283 # DEPENDENCYPART_ARC
(6,5),1.5731 # DEPENDENCYPART_ARC
(6,7),0.77775 # DEPENDENCYPART_ARC
(6,8),-1.76619 # DEPENDENCYPART_ARC
(6,9),-1.45538 # DEPENDENCYPART_ARC
(6,10),-1.44877 # DEPENDENCYPART_ARC
(6,11),-1.5398 # DEPENDENCYPART_ARC
(6,12),-1.45957 # DEPENDENCYPART_ARC
(6,13),-0.868129 # DEPENDENCYPART_ARC
(6,14),-1.96391 # DEPENDENCYPART_ARC
(6,16),-2.11717 # DEPENDENCYPART_ARC
(6,17),-2.8467 # DEPENDENCYPART_ARC
(6,19),-1.53536 # DEPENDENCYPART_ARC
(6,24),-2.90192 # DEPENDENCYPART_ARC
(6,25),-2.1515 # DEPENDENCYPART_ARC
(6,28),-2.36907 # DEPENDENCYPART_ARC
(7,3),-2.48335 # DEPENDENCYPART_ARC
(7,4),-2.29852 # DEPENDENCYPART_ARC
(7,8),-1.09231 # DEPENDENCYPART_ARC
(7,9),-0.986901 # DEPENDENCYPART_ARC
(7,10),-1.05716 # DEPENDENCYPART_ARC
(7,11),-0.955768 # DEPENDENCYPART_ARC
(7,12),-0.510227 # DEPENDENCYPART_ARC
(7,13),-0.971189 # DEPENDENCYPART_ARC
(7,14),-1.87589 # DEPENDENCYPART_ARC
(7,16),-1.23469 # DEPENDENCYPART_ARC
(9,8),-1.45508 # DEPENDENCYPART_ARC
(9,10),-1.94736 # DEPENDENCYPART_ARC
(9,13),-2.06922 # DEPENDENCYPART_ARC
(10,8),-1.66335 # DEPENDENCYPART_ARC
(10,9),-1.35143 # DEPENDENCYPART_ARC
(10,11),-2.00258 # DEPENDENCYPART_ARC
(10,12),-2.25821 # DEPENDENCYPART_ARC
(10,13),-2.05435 # DEPENDENCYPART_ARC
(10,16),-3.58076 # DEPENDENCYPART_ARC
(11,2),-4.81683 # DEPENDENCYPART_ARC
(11,4),-3.11931 # DEPENDENCYPART_ARC
(11,6),-2.7905 # DEPENDENCYPART_ARC
(11,8),-1.51469 # DEPENDENCYPART_ARC
(11,9),-1.00549 # DEPENDENCYPART_ARC
(11,10),-0.447429 # DEPENDENCYPART_ARC
(11,12),-0.724911 # DEPENDENCYPART_ARC
(11,13),-1.48502 # DEPENDENCYPART_ARC
(11,14),-2.02553 # DEPENDENCYPART_ARC
(11,16),-2.51811 # DEPENDENCYPART_ARC
(11,19),-2.89043 # DEPENDENCYPART_ARC
(12,1),-3.18384 # DEPENDENCYPART_ARC
(12,2),-3.54766 # DEPENDENCYPART_ARC
(12,3),-2.72791 # DEPENDENCYPART_ARC
(12,4),-1.81934 # DEPENDENCYPART_ARC
(12,5),-1.68113 # DEPENDENCYPART_ARC
(12,6),-2.44234 # DEPENDENCYPART_ARC
(12,8),0.350965 # DEPENDENCYPART_ARC
