# _root_ MRA Staffing Systems signs up nurses for paid travel , promising annual income up to $ 50,000 and free or subsidized housing .
#goldHeads=3,3,4,0,4,4,4,9,7,4,4,13,11,13,14,15,16,13,22,19,20,18,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,4,4,13,11,13,14,15,16,13,18,19,20,21,4,
(0,2),-3.69385 # DEPENDENCYPART_ARC
(0,3),-3.93997 # DEPENDENCYPART_ARC
(0,4),-0.891486 # DEPENDENCYPART_ARC
(1,2),-1.71526 # DEPENDENCYPART_ARC
(1,3),-1.87867 # DEPENDENCYPART_ARC
(1,5),-2.61883 # DEPENDENCYPART_ARC
(1,6),-2.81975 # DEPENDENCYPART_ARC
(2,1),-0.403292 # DEPENDENCYPART_ARC
(2,3),-0.442111 # DEPENDENCYPART_ARC
(2,4),-1.66271 # DEPENDENCYPART_ARC
(2,5),-2.26618 # DEPENDENCYPART_ARC
(2,6),-2.56827 # DEPENDENCYPART_ARC
(2,7),-2.49488 # DEPENDENCYPART_ARC
(2,8),-3.04701 # DEPENDENCYPART_ARC
(2,9),-2.85964 # DEPENDENCYPART_ARC
(2,10),-2.33499 # DEPENDENCYPART_ARC
(2,13),-4.01433 # DEPENDENCYPART_ARC
(2,23),-3.40155 # DEPENDENCYPART_ARC
(3,1),0.695571 # DEPENDENCYPART_ARC
(3,2),1.4242 # DEPENDENCYPART_ARC
(3,4),-0.521307 # DEPENDENCYPART_ARC
(3,5),-1.51575 # DEPENDENCYPART_ARC
(3,6),-2.02125 # DEPENDENCYPART_ARC
(3,7),-1.86248 # DEPENDENCYPART_ARC
(3,8),-2.31839 # DEPENDENCYPART_ARC
(3,9),-2.44573 # DEPENDENCYPART_ARC
(3,10),-1.84073 # DEPENDENCYPART_ARC
(3,13),-3.13378 # DEPENDENCYPART_ARC
(4,1),-1.06257 # DEPENDENCYPART_ARC
(4,2),-0.788343 # DEPENDENCYPART_ARC
(4,3),0.501422 # DEPENDENCYPART_ARC
(4,5),0.874109 # DEPENDENCYPART_ARC
(4,6),0.388851 # DEPENDENCYPART_ARC
(4,7),0.183877 # DEPENDENCYPART_ARC
(4,8),-0.644155 # DEPENDENCYPART_ARC
(4,9),-0.800917 # DEPENDENCYPART_ARC
(4,10),-0.788098 # DEPENDENCYPART_ARC
(4,11),-0.979348 # DEPENDENCYPART_ARC
(4,12),-2.10521 # DEPENDENCYPART_ARC
(4,13),-1.72187 # DEPENDENCYPART_ARC
(4,14),-1.16141 # DEPENDENCYPART_ARC
(4,15),-1.40159 # DEPENDENCYPART_ARC
(4,16),-2.25869 # DEPENDENCYPART_ARC
