# _root_ `` It seems computers as hobbies have waned , '' says Ian Brightman , Beseler 's chairman and chief executive officer .
#goldHeads=3,3,11,7,4,5,3,7,3,3,0,13,11,13,17,15,13,17,21,21,18,11,
#predictedHeads=11,3,11,3,3,7,5,7,11,11,0,13,11,13,17,15,13,17,21,21,18,11,
(0,3),-1.17557 # DEPENDENCYPART_ARC
(0,7),-3.29774 # DEPENDENCYPART_ARC
(0,11),1.94576 # DEPENDENCYPART_ARC
(1,2),-2.44462 # DEPENDENCYPART_ARC
(1,3),-2.45331 # DEPENDENCYPART_ARC
(1,4),-3.16608 # DEPENDENCYPART_ARC
(2,1),-1.50619 # DEPENDENCYPART_ARC
(2,3),-0.928826 # DEPENDENCYPART_ARC
(2,4),-1.71901 # DEPENDENCYPART_ARC
(2,5),-1.65056 # DEPENDENCYPART_ARC
(2,6),-2.21634 # DEPENDENCYPART_ARC
(2,7),-2.30897 # DEPENDENCYPART_ARC
(3,1),-0.477867 # DEPENDENCYPART_ARC
(3,2),1.55254 # DEPENDENCYPART_ARC
(3,4),1.04062 # DEPENDENCYPART_ARC
(3,5),0.104837 # DEPENDENCYPART_ARC
(3,6),-0.64451 # DEPENDENCYPART_ARC
(3,7),-0.12646 # DEPENDENCYPART_ARC
(3,8),-0.901346 # DEPENDENCYPART_ARC
(3,9),-0.918004 # DEPENDENCYPART_ARC
(3,10),-1.01548 # DEPENDENCYPART_ARC
(3,11),-1.21197 # DEPENDENCYPART_ARC
(3,13),-2.49792 # DEPENDENCYPART_ARC
(3,14),-1.79913 # DEPENDENCYPART_ARC
(3,17),-2.66876 # DEPENDENCYPART_ARC
(3,18),-2.12211 # DEPENDENCYPART_ARC
(3,21),-2.56639 # DEPENDENCYPART_ARC
(3,22),-1.26391 # DEPENDENCYPART_ARC
(4,1),-1.57401 # DEPENDENCYPART_ARC
(4,2),-1.05901 # DEPENDENCYPART_ARC
(4,3),-0.591937 # DEPENDENCYPART_ARC
(4,5),-0.164022 # DEPENDENCYPART_ARC
(4,6),-1.20546 # DEPENDENCYPART_ARC
(4,7),-0.871412 # DEPENDENCYPART_ARC
(4,8),-1.60175 # DEPENDENCYPART_ARC
(4,9),-1.47208 # DEPENDENCYPART_ARC
(4,10),-1.47718 # DEPENDENCYPART_ARC
(4,11),-1.65092 # DEPENDENCYPART_ARC
(4,13),-2.6456 # DEPENDENCYPART_ARC
(4,14),-1.83302 # DEPENDENCYPART_ARC
(4,17),-2.91339 # DEPENDENCYPART_ARC
(4,18),-2.59877 # DEPENDENCYPART_ARC
(5,1),-2.06932 # DEPENDENCYPART_ARC
(5,2),-2.45563 # DEPENDENCYPART_ARC
(5,3),-1.94623 # DEPENDENCYPART_ARC
