# _root_ The carnage on the Chicago Board Options Exchange , the nation 's major options market , was heavy after the trading in S&P 100 stock-index options was halted Friday .
#goldHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
#predictedHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
(0,2),-3.51342 # DEPENDENCYPART_ARC
(0,17),-0.634183 # DEPENDENCYPART_ARC
(0,27),-1.89759 # DEPENDENCYPART_ARC
(0,28),-3.33994 # DEPENDENCYPART_ARC
(1,3),-2.16326 # DEPENDENCYPART_ARC
(2,1),1.43924 # DEPENDENCYPART_ARC
(2,3),0.347799 # DEPENDENCYPART_ARC
(2,4),-1.91247 # DEPENDENCYPART_ARC
(2,5),-1.61041 # DEPENDENCYPART_ARC
(2,6),-1.64599 # DEPENDENCYPART_ARC
(2,7),-1.775 # DEPENDENCYPART_ARC
(2,8),-1.71402 # DEPENDENCYPART_ARC
(2,9),-1.24277 # DEPENDENCYPART_ARC
(2,11),-2.14573 # DEPENDENCYPART_ARC
(2,12),-3.37468 # DEPENDENCYPART_ARC
(2,15),-2.69683 # DEPENDENCYPART_ARC
(2,16),-1.28657 # DEPENDENCYPART_ARC
(2,17),-2.17408 # DEPENDENCYPART_ARC
(2,18),-2.47786 # DEPENDENCYPART_ARC
(2,19),-2.49219 # DEPENDENCYPART_ARC
(2,22),-2.91495 # DEPENDENCYPART_ARC
(2,30),-3.05115 # DEPENDENCYPART_ARC
(3,2),-1.72517 # DEPENDENCYPART_ARC
(3,4),-1.15582 # DEPENDENCYPART_ARC
(3,5),-0.787902 # DEPENDENCYPART_ARC
(3,6),-0.938201 # DEPENDENCYPART_ARC
(3,7),-1.35919 # DEPENDENCYPART_ARC
(3,8),0.095272 # DEPENDENCYPART_ARC
(3,9),-1.40873 # DEPENDENCYPART_ARC
(3,14),-2.09629 # DEPENDENCYPART_ARC
(3,15),-0.938952 # DEPENDENCYPART_ARC
(3,30),-2.49139 # DEPENDENCYPART_ARC
(4,5),-1.98732 # DEPENDENCYPART_ARC
(5,4),-1.3207 # DEPENDENCYPART_ARC
(5,6),-1.93007 # DEPENDENCYPART_ARC
(5,9),-1.95563 # DEPENDENCYPART_ARC
(5,15),-3.6977 # DEPENDENCYPART_ARC
(6,4),-1.23149 # DEPENDENCYPART_ARC
(6,5),-1.21408 # DEPENDENCYPART_ARC
(6,7),-1.83615 # DEPENDENCYPART_ARC
(6,8),-2.09694 # DEPENDENCYPART_ARC
(6,9),-1.425 # DEPENDENCYPART_ARC
(6,15),-3.28934 # DEPENDENCYPART_ARC
(6,16),-1.92707 # DEPENDENCYPART_ARC
(7,2),-2.73538 # DEPENDENCYPART_ARC
(7,4),-1.24424 # DEPENDENCYPART_ARC
(7,5),-0.825363 # DEPENDENCYPART_ARC
(7,6),-0.24754 # DEPENDENCYPART_ARC
(7,8),-0.539503 # DEPENDENCYPART_ARC
(7,9),-0.833898 # DEPENDENCYPART_ARC
(7,11),-2.25682 # DEPENDENCYPART_ARC
(7,12),-2.70764 # DEPENDENCYPART_ARC
(7,14),-2.97179 # DEPENDENCYPART_ARC
(7,15),-2.52985 # DEPENDENCYPART_ARC
(7,16),-1.28028 # DEPENDENCYPART_ARC
(7,17),-3.17719 # DEPENDENCYPART_ARC
(7,30),-2.93087 # DEPENDENCYPART_ARC
(8,1),-2.08853 # DEPENDENCYPART_ARC
(8,2),-2.63079 # DEPENDENCYPART_ARC
(8,4),0.276584 # DEPENDENCYPART_ARC
(8,5),0.32398 # DEPENDENCYPART_ARC
(8,6),0.566629 # DEPENDENCYPART_ARC
(8,7),1.34579 # DEPENDENCYPART_ARC
(8,9),0.00747016 # DEPENDENCYPART_ARC
(8,10),-1.86346 # DEPENDENCYPART_ARC
(8,11),-1.59937 # DEPENDENCYPART_ARC
(8,12),-1.49386 # DEPENDENCYPART_ARC
(8,13),-1.96145 # DEPENDENCYPART_ARC
(8,14),-2.53066 # DEPENDENCYPART_ARC
(8,15),-1.86124 # DEPENDENCYPART_ARC
(8,16),0.0753241 # DEPENDENCYPART_ARC
(8,17),-2.63133 # DEPENDENCYPART_ARC
(8,18),-2.63784 # DEPENDENCYPART_ARC
(8,21),-3.57058 # DEPENDENCYPART_ARC
(8,26),-3.60472 # DEPENDENCYPART_ARC
(8,27),-3.19253 # DEPENDENCYPART_ARC
(8,30),-2.97623 # DEPENDENCYPART_ARC
(11,4),-1.57063 # DEPENDENCYPART_ARC
(11,6),-1.85126 # DEPENDENCYPART_ARC
(11,7),-1.77652 # DEPENDENCYPART_ARC
(11,8),-1.84302 # DEPENDENCYPART_ARC
(11,9),-1.28528 # DEPENDENCYPART_ARC
(11,10),1.81592 # DEPENDENCYPART_ARC
(11,12),2.09775 # DEPENDENCYPART_ARC
(11,13),-0.790633 # DEPENDENCYPART_ARC
(11,14),-1.15669 # DEPENDENCYPART_ARC
(11,16),-1.04077 # DEPENDENCYPART_ARC
(11,17),-1.23062 # DEPENDENCYPART_ARC
(11,18),-1.65358 # DEPENDENCYPART_ARC
(11,19),-1.40734 # DEPENDENCYPART_ARC
(11,21),-2.4437 # DEPENDENCYPART_ARC
(11,28),-2.53393 # DEPENDENCYPART_ARC
(11,30),-2.55829 # DEPENDENCYPART_ARC
(12,2),-2.71065 # DEPENDENCYPART_ARC
(12,10),-1.18151 # DEPENDENCYPART_ARC
(12,13),-1.62934 # DEPENDENCYPART_ARC
(13,11),-1.86434 # DEPENDENCYPART_ARC
(13,12),-1.70286 # DEPENDENCYPART_ARC
(13,14),-1.18818 # DEPENDENCYPART_ARC
(13,17),-1.64223 # DEPENDENCYPART_ARC
(14,4),-3.07814 # DEPENDENCYPART_ARC
(14,10),-1.99701 # DEPENDENCYPART_ARC
(14,11),-1.42003 # DEPENDENCYPART_ARC
(14,13),-0.112313 # DEPENDENCYPART_ARC
(14,16),-1.73457 # DEPENDENCYPART_ARC
(14,17),-1.33483 # DEPENDENCYPART_ARC
(14,18),-2.03202 # DEPENDENCYPART_ARC
(14,19),-1.53242 # DEPENDENCYPART_ARC
(14,22),-1.89475 # DEPENDENCYPART_ARC
(15,2),-3.01248 # DEPENDENCYPART_ARC
(15,3),-1.87674 # DEPENDENCYPART_ARC
(15,4),-2.21428 # DEPENDENCYPART_ARC
