# _root_ Yes , the broader exchanges got caught up in the spiral , but they rode the tiger up all year .
#goldHeads=6,6,5,5,6,0,6,7,7,11,9,6,6,15,13,17,15,15,20,15,6,
#predictedHeads=6,6,5,5,6,0,6,7,7,11,9,6,6,15,13,17,15,17,20,15,6,
(0,1),-2.47595 # DEPENDENCYPART_ARC
(0,5),-3.39939 # DEPENDENCYPART_ARC
(0,6),-1.05851 # DEPENDENCYPART_ARC
(0,7),-3.37165 # DEPENDENCYPART_ARC
(0,15),-1.52571 # DEPENDENCYPART_ARC
(1,2),-1.23804 # DEPENDENCYPART_ARC
(1,3),-2.02912 # DEPENDENCYPART_ARC
(1,4),-1.85085 # DEPENDENCYPART_ARC
(1,5),-1.96068 # DEPENDENCYPART_ARC
(1,6),-1.66301 # DEPENDENCYPART_ARC
(1,7),-2.35004 # DEPENDENCYPART_ARC
(1,8),-2.34705 # DEPENDENCYPART_ARC
(1,9),-2.22762 # DEPENDENCYPART_ARC
(1,12),-2.14214 # DEPENDENCYPART_ARC
(1,13),-2.03807 # DEPENDENCYPART_ARC
(1,15),-2.44192 # DEPENDENCYPART_ARC
(2,1),-2.0498 # DEPENDENCYPART_ARC
(3,1),-2.37565 # DEPENDENCYPART_ARC
(3,2),-1.88022 # DEPENDENCYPART_ARC
(3,4),-1.66533 # DEPENDENCYPART_ARC
(3,7),-2.21895 # DEPENDENCYPART_ARC
(3,9),-2.08403 # DEPENDENCYPART_ARC
(3,13),-1.93191 # DEPENDENCYPART_ARC
(4,1),-1.75755 # DEPENDENCYPART_ARC
(4,2),-1.76535 # DEPENDENCYPART_ARC
(4,3),-0.0584763 # DEPENDENCYPART_ARC
(4,5),-1.38257 # DEPENDENCYPART_ARC
(4,6),-1.27014 # DEPENDENCYPART_ARC
(4,7),-1.93645 # DEPENDENCYPART_ARC
(4,8),-1.95203 # DEPENDENCYPART_ARC
(4,9),-1.79708 # DEPENDENCYPART_ARC
(4,12),-2.01122 # DEPENDENCYPART_ARC
(4,13),-1.69917 # DEPENDENCYPART_ARC
(4,15),-2.41978 # DEPENDENCYPART_ARC
(5,1),-1.56896 # DEPENDENCYPART_ARC
(5,2),-1.65368 # DEPENDENCYPART_ARC
(5,3),0.683495 # DEPENDENCYPART_ARC
(5,4),0.905121 # DEPENDENCYPART_ARC
(5,6),-0.673986 # DEPENDENCYPART_ARC
(5,7),-1.0747 # DEPENDENCYPART_ARC
(5,8),-1.7692 # DEPENDENCYPART_ARC
(5,9),-1.03989 # DEPENDENCYPART_ARC
(5,12),-1.61906 # DEPENDENCYPART_ARC
