# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(0,2),-3.54191 # DEPENDENCYPART_ARC
(0,7),-1.38465 # DEPENDENCYPART_ARC
(0,27),2.02659 # DEPENDENCYPART_ARC
(2,1),1.475 # DEPENDENCYPART_ARC
(2,3),1.06594 # DEPENDENCYPART_ARC
(2,4),-1.19566 # DEPENDENCYPART_ARC
(2,5),-1.03966 # DEPENDENCYPART_ARC
(2,6),-1.32786 # DEPENDENCYPART_ARC
(2,7),-0.807652 # DEPENDENCYPART_ARC
(2,8),-1.47262 # DEPENDENCYPART_ARC
(2,9),-1.95888 # DEPENDENCYPART_ARC
(2,10),-1.75653 # DEPENDENCYPART_ARC
(2,11),-0.860408 # DEPENDENCYPART_ARC
(2,15),-1.3335 # DEPENDENCYPART_ARC
(2,18),-1.52769 # DEPENDENCYPART_ARC
(2,19),-2.17389 # DEPENDENCYPART_ARC
(2,20),-2.01369 # DEPENDENCYPART_ARC
(2,24),-2.46649 # DEPENDENCYPART_ARC
(2,33),-2.51571 # DEPENDENCYPART_ARC
(3,4),0.212615 # DEPENDENCYPART_ARC
(3,5),-1.33407 # DEPENDENCYPART_ARC
(3,6),0.421847 # DEPENDENCYPART_ARC
(3,7),-0.804977 # DEPENDENCYPART_ARC
(3,10),-1.90928 # DEPENDENCYPART_ARC
(4,2),-2.35007 # DEPENDENCYPART_ARC
(4,5),-0.871151 # DEPENDENCYPART_ARC
(4,6),-1.84499 # DEPENDENCYPART_ARC
(4,7),-1.70252 # DEPENDENCYPART_ARC
(4,9),-2.26549 # DEPENDENCYPART_ARC
(5,2),-1.70164 # DEPENDENCYPART_ARC
(5,3),-1.54338 # DEPENDENCYPART_ARC
(5,4),-0.512602 # DEPENDENCYPART_ARC
(6,1),-0.691766 # DEPENDENCYPART_ARC
(6,2),-1.01226 # DEPENDENCYPART_ARC
(6,3),-1.18338 # DEPENDENCYPART_ARC
(6,4),1.18685 # DEPENDENCYPART_ARC
(6,5),1.77348 # DEPENDENCYPART_ARC
(6,7),-0.749953 # DEPENDENCYPART_ARC
(6,8),-1.49708 # DEPENDENCYPART_ARC
(6,9),-2.04645 # DEPENDENCYPART_ARC
(6,10),-1.96587 # DEPENDENCYPART_ARC
(6,11),-1.28041 # DEPENDENCYPART_ARC
(7,1),-2.0027 # DEPENDENCYPART_ARC
(7,2),-0.0899442 # DEPENDENCYPART_ARC
(7,3),-1.61865 # DEPENDENCYPART_ARC
(7,4),-1.25456 # DEPENDENCYPART_ARC
(7,5),-0.97085 # DEPENDENCYPART_ARC
(7,6),0.989121 # DEPENDENCYPART_ARC
(7,8),0.473641 # DEPENDENCYPART_ARC
(7,9),-0.80041 # DEPENDENCYPART_ARC
(7,10),0.0467775 # DEPENDENCYPART_ARC
