# _root_ Taped just as the market closed yesterday , it offers Ms. Farrell advising , `` We view the market here as going through a relatively normal cycle ... .
#goldHeads=10,3,1,5,6,3,6,10,10,0,12,10,12,13,13,17,13,19,17,17,17,21,22,27,26,27,23,10,10,
#predictedHeads=10,3,1,5,6,3,6,10,10,0,13,13,10,10,10,17,10,19,17,17,17,21,22,27,26,27,23,17,10,
(0,1),-2.81333 # DEPENDENCYPART_ARC
(0,2),-3.85803 # DEPENDENCYPART_ARC
(0,3),-4.20302 # DEPENDENCYPART_ARC
(0,6),-1.83936 # DEPENDENCYPART_ARC
(0,10),-1.30012 # DEPENDENCYPART_ARC
(0,17),-2.51552 # DEPENDENCYPART_ARC
(1,2),0.0619496 # DEPENDENCYPART_ARC
(1,3),0.146516 # DEPENDENCYPART_ARC
(1,5),-1.11719 # DEPENDENCYPART_ARC
(1,6),-1.31059 # DEPENDENCYPART_ARC
(1,7),-1.11938 # DEPENDENCYPART_ARC
(1,8),-1.52009 # DEPENDENCYPART_ARC
(1,9),-2.04939 # DEPENDENCYPART_ARC
(1,10),-1.88965 # DEPENDENCYPART_ARC
(1,13),-2.12577 # DEPENDENCYPART_ARC
(1,14),-1.83965 # DEPENDENCYPART_ARC
(1,15),-2.10453 # DEPENDENCYPART_ARC
(1,17),-2.45594 # DEPENDENCYPART_ARC
(1,20),-2.63933 # DEPENDENCYPART_ARC
(1,21),-1.98166 # DEPENDENCYPART_ARC
(1,22),-2.73974 # DEPENDENCYPART_ARC
(1,29),-2.51944 # DEPENDENCYPART_ARC
(2,1),-0.950018 # DEPENDENCYPART_ARC
(2,3),-0.253291 # DEPENDENCYPART_ARC
(2,5),-1.25856 # DEPENDENCYPART_ARC
(2,6),-1.01881 # DEPENDENCYPART_ARC
(2,7),-1.70401 # DEPENDENCYPART_ARC
(2,8),-1.76354 # DEPENDENCYPART_ARC
(2,10),-1.49748 # DEPENDENCYPART_ARC
(2,29),-2.80978 # DEPENDENCYPART_ARC
(3,1),-1.74 # DEPENDENCYPART_ARC
(3,2),0.0807287 # DEPENDENCYPART_ARC
(3,4),-1.39046 # DEPENDENCYPART_ARC
(3,5),0.205485 # DEPENDENCYPART_ARC
(3,6),1.48446 # DEPENDENCYPART_ARC
(3,7),-1.52268 # DEPENDENCYPART_ARC
(3,8),-1.56791 # DEPENDENCYPART_ARC
(3,10),-0.310036 # DEPENDENCYPART_ARC
(3,13),-2.63285 # DEPENDENCYPART_ARC
(3,14),-1.57928 # DEPENDENCYPART_ARC
(3,17),-1.57482 # DEPENDENCYPART_ARC
(3,29),-2.74982 # DEPENDENCYPART_ARC
(4,3),-1.74576 # DEPENDENCYPART_ARC
(4,6),-1.78796 # DEPENDENCYPART_ARC
(5,1),-1.81929 # DEPENDENCYPART_ARC
(5,2),-0.924299 # DEPENDENCYPART_ARC
(5,3),-1.25183 # DEPENDENCYPART_ARC
(5,4),1.97735 # DEPENDENCYPART_ARC
(5,6),-0.765868 # DEPENDENCYPART_ARC
(5,7),-1.49434 # DEPENDENCYPART_ARC
(5,8),-1.79215 # DEPENDENCYPART_ARC
(5,10),-1.45243 # DEPENDENCYPART_ARC
(6,1),-1.23036 # DEPENDENCYPART_ARC
(6,2),-0.855005 # DEPENDENCYPART_ARC
(6,3),-0.688857 # DEPENDENCYPART_ARC
(6,4),-0.66943 # DEPENDENCYPART_ARC
(6,5),1.2916 # DEPENDENCYPART_ARC
(6,7),1.0894 # DEPENDENCYPART_ARC
(6,8),-1.05568 # DEPENDENCYPART_ARC
(6,9),-1.40608 # DEPENDENCYPART_ARC
(6,10),-0.648068 # DEPENDENCYPART_ARC
(6,11),-1.8535 # DEPENDENCYPART_ARC
(6,12),-1.92808 # DEPENDENCYPART_ARC
(6,13),-1.52693 # DEPENDENCYPART_ARC
(6,14),-1.17008 # DEPENDENCYPART_ARC
(6,15),-1.5272 # DEPENDENCYPART_ARC
(6,16),-2.26439 # DEPENDENCYPART_ARC
(6,17),-1.21381 # DEPENDENCYPART_ARC
(6,19),-2.70928 # DEPENDENCYPART_ARC
(6,20),-2.14847 # DEPENDENCYPART_ARC
(6,21),-1.68483 # DEPENDENCYPART_ARC
(6,22),-2.2207 # DEPENDENCYPART_ARC
(6,23),-2.97389 # DEPENDENCYPART_ARC
(6,25),-2.78513 # DEPENDENCYPART_ARC
(6,28),-1.41273 # DEPENDENCYPART_ARC
(6,29),-0.324527 # DEPENDENCYPART_ARC
(7,2),-2.34687 # DEPENDENCYPART_ARC
(7,4),-2.23643 # DEPENDENCYPART_ARC
(7,5),-1.92291 # DEPENDENCYPART_ARC
(7,8),-1.44822 # DEPENDENCYPART_ARC
(7,9),-1.89955 # DEPENDENCYPART_ARC
(7,10),-1.52248 # DEPENDENCYPART_ARC
(7,11),-2.42179 # DEPENDENCYPART_ARC
(7,12),-2.50892 # DEPENDENCYPART_ARC
(7,13),-2.2186 # DEPENDENCYPART_ARC
(7,14),-2.02527 # DEPENDENCYPART_ARC
(7,15),-1.97172 # DEPENDENCYPART_ARC
(7,17),-2.54642 # DEPENDENCYPART_ARC
(9,6),-2.35559 # DEPENDENCYPART_ARC
(9,8),-1.07705 # DEPENDENCYPART_ARC
(9,13),-2.14357 # DEPENDENCYPART_ARC
(10,1),-1.85925 # DEPENDENCYPART_ARC
(10,2),-1.65537 # DEPENDENCYPART_ARC
(10,3),-1.16518 # DEPENDENCYPART_ARC
(10,5),-1.65974 # DEPENDENCYPART_ARC
(10,6),-1.24681 # DEPENDENCYPART_ARC
(10,7),-1.3133 # DEPENDENCYPART_ARC
(10,8),0.246603 # DEPENDENCYPART_ARC
(10,9),1.78308 # DEPENDENCYPART_ARC
(10,11),-0.144485 # DEPENDENCYPART_ARC
(10,12),-0.52526 # DEPENDENCYPART_ARC
(10,13),-0.29021 # DEPENDENCYPART_ARC
(10,14),-0.421864 # DEPENDENCYPART_ARC
(10,15),-0.811048 # DEPENDENCYPART_ARC
(10,16),-1.73684 # DEPENDENCYPART_ARC
(10,17),-0.787851 # DEPENDENCYPART_ARC
(10,19),-1.84951 # DEPENDENCYPART_ARC
(10,20),-1.54402 # DEPENDENCYPART_ARC
(10,21),-1.19688 # DEPENDENCYPART_ARC
(10,22),-1.63055 # DEPENDENCYPART_ARC
(10,23),-1.47297 # DEPENDENCYPART_ARC
(10,25),-2.26462 # DEPENDENCYPART_ARC
(10,26),-2.52262 # DEPENDENCYPART_ARC
(10,27),-2.64301 # DEPENDENCYPART_ARC
(10,28),-1.27987 # DEPENDENCYPART_ARC
(10,29),-0.0418967 # DEPENDENCYPART_ARC
(11,9),-2.43333 # DEPENDENCYPART_ARC
(11,12),-1.73302 # DEPENDENCYPART_ARC
(11,13),-2.05724 # DEPENDENCYPART_ARC
(11,14),-1.93641 # DEPENDENCYPART_ARC
(11,17),-2.78004 # DEPENDENCYPART_ARC
(12,10),-2.03494 # DEPENDENCYPART_ARC
(12,11),-0.113716 # DEPENDENCYPART_ARC
(12,13),-0.998084 # DEPENDENCYPART_ARC
(12,14),-1.66826 # DEPENDENCYPART_ARC
(12,15),-2.32795 # DEPENDENCYPART_ARC
(12,17),-2.21576 # DEPENDENCYPART_ARC
(12,19),-3.22606 # DEPENDENCYPART_ARC
(13,1),-2.02557 # DEPENDENCYPART_ARC
(13,2),-2.20595 # DEPENDENCYPART_ARC
(13,3),-1.77383 # DEPENDENCYPART_ARC
(13,4),-1.45167 # DEPENDENCYPART_ARC
(13,5),-1.55733 # DEPENDENCYPART_ARC
(13,6),-1.89334 # DEPENDENCYPART_ARC
(13,7),-1.62095 # DEPENDENCYPART_ARC
(13,8),-1.60238 # DEPENDENCYPART_ARC
(13,9),-1.39364 # DEPENDENCYPART_ARC
(13,10),-0.911115 # DEPENDENCYPART_ARC
(13,11),0.863808 # DEPENDENCYPART_ARC
(13,12),1.38549 # DEPENDENCYPART_ARC
(13,14),-0.596479 # DEPENDENCYPART_ARC
(13,15),-1.35167 # DEPENDENCYPART_ARC
(13,16),-1.91377 # DEPENDENCYPART_ARC
(13,17),-1.59281 # DEPENDENCYPART_ARC
(13,19),-2.22764 # DEPENDENCYPART_ARC
(13,20),-2.00246 # DEPENDENCYPART_ARC
(13,21),-2.32071 # DEPENDENCYPART_ARC
(13,22),-2.46119 # DEPENDENCYPART_ARC
(13,23),-2.33005 # DEPENDENCYPART_ARC
(13,27),-2.61236 # DEPENDENCYPART_ARC
(13,28),-1.59455 # DEPENDENCYPART_ARC
(13,29),-2.30092 # DEPENDENCYPART_ARC
(15,13),-2.7156 # DEPENDENCYPART_ARC
(15,14),-1.90752 # DEPENDENCYPART_ARC
(15,16),-2.02914 # DEPENDENCYPART_ARC
(15,17),-2.12674 # DEPENDENCYPART_ARC
(16,15),-1.6327 # DEPENDENCYPART_ARC
(16,19),-1.99107 # DEPENDENCYPART_ARC
(16,21),-1.90343 # DEPENDENCYPART_ARC
(17,1),-2.04472 # DEPENDENCYPART_ARC
(17,2),-1.66903 # DEPENDENCYPART_ARC
(17,3),-0.504461 # DEPENDENCYPART_ARC
(17,5),-1.97145 # DEPENDENCYPART_ARC
(17,6),-1.6626 # DEPENDENCYPART_ARC
(17,7),-1.68178 # DEPENDENCYPART_ARC
(17,8),-1.07144 # DEPENDENCYPART_ARC
(17,9),-1.87319 # DEPENDENCYPART_ARC
(17,10),-1.4833 # DEPENDENCYPART_ARC
(17,11),-1.80173 # DEPENDENCYPART_ARC
(17,12),-1.8956 # DEPENDENCYPART_ARC
(17,13),-1.27877 # DEPENDENCYPART_ARC
(17,14),-0.638774 # DEPENDENCYPART_ARC
(17,15),-0.44458 # DEPENDENCYPART_ARC
(17,16),1.74983 # DEPENDENCYPART_ARC
(17,18),-0.342697 # DEPENDENCYPART_ARC
(17,19),0.243216 # DEPENDENCYPART_ARC
(17,20),-0.335437 # DEPENDENCYPART_ARC
(17,21),0.0967572 # DEPENDENCYPART_ARC
