# _root_ In London , a midday rally left the market 's major index off 3.2 % , and Tokyo 's leading stock index fell only 1.8 % in surprisingly lackluster trading .
#goldHeads=7,1,7,6,6,7,0,9,12,9,12,7,7,15,13,7,7,22,18,22,22,23,17,26,24,23,23,30,30,27,7,
#predictedHeads=7,1,7,6,6,7,0,9,12,9,12,7,7,15,13,7,7,22,18,22,22,23,17,26,24,23,23,30,30,27,7,
(0,1),-3.74548 # DEPENDENCYPART_ARC
(0,6),-3.92267 # DEPENDENCYPART_ARC
(0,7),-1.34562 # DEPENDENCYPART_ARC
(0,23),-2.14653 # DEPENDENCYPART_ARC
(1,2),1.7127 # DEPENDENCYPART_ARC
(1,3),-1.40439 # DEPENDENCYPART_ARC
(1,5),-1.6582 # DEPENDENCYPART_ARC
(1,6),-1.58009 # DEPENDENCYPART_ARC
(1,7),-0.867017 # DEPENDENCYPART_ARC
(1,31),-2.32911 # DEPENDENCYPART_ARC
(2,1),-1.65598 # DEPENDENCYPART_ARC
(2,3),-0.779894 # DEPENDENCYPART_ARC
(2,5),-2.04811 # DEPENDENCYPART_ARC
(2,6),-2.29227 # DEPENDENCYPART_ARC
(2,7),-1.69457 # DEPENDENCYPART_ARC
(2,10),-2.7484 # DEPENDENCYPART_ARC
(2,12),-3.2747 # DEPENDENCYPART_ARC
(2,16),-1.20039 # DEPENDENCYPART_ARC
(2,17),-1.78183 # DEPENDENCYPART_ARC
(3,1),-2.80247 # DEPENDENCYPART_ARC
(4,1),-2.02424 # DEPENDENCYPART_ARC
(4,3),-1.77621 # DEPENDENCYPART_ARC
(4,5),-1.05363 # DEPENDENCYPART_ARC
(5,3),-2.32702 # DEPENDENCYPART_ARC
(5,4),-0.380114 # DEPENDENCYPART_ARC
(5,6),-0.765877 # DEPENDENCYPART_ARC
(5,7),-1.11997 # DEPENDENCYPART_ARC
(5,10),-2.33502 # DEPENDENCYPART_ARC
(6,1),-1.47698 # DEPENDENCYPART_ARC
(6,2),-1.75095 # DEPENDENCYPART_ARC
(6,3),-1.31787 # DEPENDENCYPART_ARC
(6,4),1.1304 # DEPENDENCYPART_ARC
(6,5),1.86862 # DEPENDENCYPART_ARC
(6,7),-1.06825 # DEPENDENCYPART_ARC
(6,9),-1.58948 # DEPENDENCYPART_ARC
(6,10),-1.67743 # DEPENDENCYPART_ARC
(6,12),-2.17013 # DEPENDENCYPART_ARC
(6,13),-1.81625 # DEPENDENCYPART_ARC
(6,16),-1.9494 # DEPENDENCYPART_ARC
(6,31),-3.29945 # DEPENDENCYPART_ARC
(7,1),-0.376691 # DEPENDENCYPART_ARC
(7,2),-1.64725 # DEPENDENCYPART_ARC
(7,3),-0.0895214 # DEPENDENCYPART_ARC
(7,4),-1.41303 # DEPENDENCYPART_ARC
(7,5),-0.447441 # DEPENDENCYPART_ARC
(7,6),0.532967 # DEPENDENCYPART_ARC
(7,8),-0.840096 # DEPENDENCYPART_ARC
(7,9),0.240095 # DEPENDENCYPART_ARC
(7,10),-1.35592 # DEPENDENCYPART_ARC
(7,11),-1.52668 # DEPENDENCYPART_ARC
(7,12),-0.250704 # DEPENDENCYPART_ARC
(7,13),-0.0465061 # DEPENDENCYPART_ARC
(7,15),-1.13267 # DEPENDENCYPART_ARC
(7,16),-0.749491 # DEPENDENCYPART_ARC
(7,17),-0.906843 # DEPENDENCYPART_ARC
(7,18),-2.07877 # DEPENDENCYPART_ARC
(7,19),-2.48508 # DEPENDENCYPART_ARC
(7,20),-1.15157 # DEPENDENCYPART_ARC
(7,22),-2.46436 # DEPENDENCYPART_ARC
(7,23),-1.22643 # DEPENDENCYPART_ARC
(7,24),-1.92431 # DEPENDENCYPART_ARC
(7,26),-2.69317 # DEPENDENCYPART_ARC
(7,27),-1.49471 # DEPENDENCYPART_ARC
(7,28),-2.07268 # DEPENDENCYPART_ARC
(7,30),-3.14425 # DEPENDENCYPART_ARC
(7,31),0.254006 # DEPENDENCYPART_ARC
(9,4),-1.08624 # DEPENDENCYPART_ARC
(9,5),-0.844987 # DEPENDENCYPART_ARC
(9,6),-1.09622 # DEPENDENCYPART_ARC
(9,7),-1.13421 # DEPENDENCYPART_ARC
(9,8),2.58945 # DEPENDENCYPART_ARC
(9,10),1.90572 # DEPENDENCYPART_ARC
(9,11),-1.04344 # DEPENDENCYPART_ARC
(9,12),-1.39965 # DEPENDENCYPART_ARC
(9,13),-0.884899 # DEPENDENCYPART_ARC
(9,15),-2.10252 # DEPENDENCYPART_ARC
(9,16),-1.43056 # DEPENDENCYPART_ARC
(9,17),-1.67438 # DEPENDENCYPART_ARC
(9,19),-2.77373 # DEPENDENCYPART_ARC
(9,23),-2.37817 # DEPENDENCYPART_ARC
(9,31),-2.67802 # DEPENDENCYPART_ARC
(10,1),-1.97621 # DEPENDENCYPART_ARC
(10,6),-2.03559 # DEPENDENCYPART_ARC
