# _root_ Bear Stearns 's chief economist , Lawrence Kudlow , in the Sept. 29 issue of the firm 's Global Spectator :
#goldHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,5,
#predictedHeads=2,5,2,5,0,5,8,5,5,5,14,14,14,10,14,17,20,17,20,15,5,
(0,1),-3.6079 # DEPENDENCYPART_ARC
(0,2),-3.62191 # DEPENDENCYPART_ARC
(0,4),-4.30271 # DEPENDENCYPART_ARC
(0,5),-5.05493 # DEPENDENCYPART_ARC
(0,6),-3.7979 # DEPENDENCYPART_ARC
(0,7),-5.42741 # DEPENDENCYPART_ARC
(0,8),-5.27429 # DEPENDENCYPART_ARC
(0,9),-4.07882 # DEPENDENCYPART_ARC
(0,10),-5.53529 # DEPENDENCYPART_ARC
(0,14),-5.48411 # DEPENDENCYPART_ARC
(1,2),-2.1711 # DEPENDENCYPART_ARC
(1,3),-1.70796 # DEPENDENCYPART_ARC
(1,5),-2.41756 # DEPENDENCYPART_ARC
(1,6),-2.07793 # DEPENDENCYPART_ARC
(1,8),-4.20864 # DEPENDENCYPART_ARC
(1,9),-2.54547 # DEPENDENCYPART_ARC
(1,10),-3.67733 # DEPENDENCYPART_ARC
(1,14),-4.66839 # DEPENDENCYPART_ARC
(2,1),2.73275 # DEPENDENCYPART_ARC
(2,3),2.45153 # DEPENDENCYPART_ARC
(2,4),-0.968239 # DEPENDENCYPART_ARC
(2,5),-0.999895 # DEPENDENCYPART_ARC
(2,6),-1.03612 # DEPENDENCYPART_ARC
(2,7),-2.25229 # DEPENDENCYPART_ARC
(2,8),-2.66946 # DEPENDENCYPART_ARC
(2,9),-1.44746 # DEPENDENCYPART_ARC
(2,10),-2.43939 # DEPENDENCYPART_ARC
(2,12),-3.93804 # DEPENDENCYPART_ARC
(2,14),-3.38797 # DEPENDENCYPART_ARC
(2,15),-3.34784 # DEPENDENCYPART_ARC
(2,17),-3.89802 # DEPENDENCYPART_ARC
(2,18),-3.76919 # DEPENDENCYPART_ARC
(2,21),-1.65702 # DEPENDENCYPART_ARC
(3,5),-2.41208 # DEPENDENCYPART_ARC
(3,6),-2.27151 # DEPENDENCYPART_ARC
(4,2),-1.5716 # DEPENDENCYPART_ARC
(4,3),-1.6769 # DEPENDENCYPART_ARC
(4,5),-1.19948 # DEPENDENCYPART_ARC
(4,6),-1.8661 # DEPENDENCYPART_ARC
(4,8),-2.49525 # DEPENDENCYPART_ARC
(4,9),-1.87928 # DEPENDENCYPART_ARC
(4,10),-2.47717 # DEPENDENCYPART_ARC
(5,1),-0.63621 # DEPENDENCYPART_ARC
(5,2),0.12978 # DEPENDENCYPART_ARC
(5,3),-0.680825 # DEPENDENCYPART_ARC
(5,4),1.55708 # DEPENDENCYPART_ARC
(5,6),-0.101722 # DEPENDENCYPART_ARC
(5,7),-1.32308 # DEPENDENCYPART_ARC
(5,8),-0.828014 # DEPENDENCYPART_ARC
(5,9),-0.371331 # DEPENDENCYPART_ARC
(5,10),-1.25061 # DEPENDENCYPART_ARC
(5,12),-2.24615 # DEPENDENCYPART_ARC
(5,13),-2.49933 # DEPENDENCYPART_ARC
(5,14),-2.3801 # DEPENDENCYPART_ARC
(5,15),-2.91205 # DEPENDENCYPART_ARC
(5,17),-2.98202 # DEPENDENCYPART_ARC
(5,18),-3.94974 # DEPENDENCYPART_ARC
(5,20),-2.79487 # DEPENDENCYPART_ARC
(5,21),-1.53808 # DEPENDENCYPART_ARC
(6,5),-2.33408 # DEPENDENCYPART_ARC
(7,2),-3.55588 # DEPENDENCYPART_ARC
(7,4),-2.48392 # DEPENDENCYPART_ARC
(7,5),-2.51435 # DEPENDENCYPART_ARC
(7,6),-1.89852 # DEPENDENCYPART_ARC
(7,8),-0.457817 # DEPENDENCYPART_ARC
(7,9),-1.84673 # DEPENDENCYPART_ARC
(7,10),-2.30088 # DEPENDENCYPART_ARC
(7,12),-2.88804 # DEPENDENCYPART_ARC
(7,13),-3.26995 # DEPENDENCYPART_ARC
(7,14),-2.92902 # DEPENDENCYPART_ARC
(7,15),-2.99987 # DEPENDENCYPART_ARC
(7,17),-3.48349 # DEPENDENCYPART_ARC
(7,18),-3.85764 # DEPENDENCYPART_ARC
(7,21),-2.37947 # DEPENDENCYPART_ARC
(8,1),-2.53079 # DEPENDENCYPART_ARC
(8,2),-2.90768 # DEPENDENCYPART_ARC
(8,4),-1.18018 # DEPENDENCYPART_ARC
(8,5),-1.75614 # DEPENDENCYPART_ARC
(8,6),-1.35306 # DEPENDENCYPART_ARC
(8,7),1.897 # DEPENDENCYPART_ARC
(8,9),-0.763105 # DEPENDENCYPART_ARC
(8,10),-1.56796 # DEPENDENCYPART_ARC
(8,11),-2.36701 # DEPENDENCYPART_ARC
(8,12),-2.59152 # DEPENDENCYPART_ARC
(8,13),-2.64564 # DEPENDENCYPART_ARC
(8,14),-2.28952 # DEPENDENCYPART_ARC
(8,15),-2.65813 # DEPENDENCYPART_ARC
(8,17),-3.09583 # DEPENDENCYPART_ARC
(8,18),-2.92047 # DEPENDENCYPART_ARC
(8,20),-4.09217 # DEPENDENCYPART_ARC
(8,21),-1.59781 # DEPENDENCYPART_ARC
(9,8),-2.48904 # DEPENDENCYPART_ARC
(9,10),-2.10176 # DEPENDENCYPART_ARC
(10,5),-2.97835 # DEPENDENCYPART_ARC
(10,6),-2.67818 # DEPENDENCYPART_ARC
(10,8),-2.83609 # DEPENDENCYPART_ARC
(10,9),-1.57181 # DEPENDENCYPART_ARC
(10,11),-1.10257 # DEPENDENCYPART_ARC
(10,12),-0.260304 # DEPENDENCYPART_ARC
(10,13),-1.81606 # DEPENDENCYPART_ARC
(10,14),0.119755 # DEPENDENCYPART_ARC
(10,15),-1.75524 # DEPENDENCYPART_ARC
(10,20),-2.4181 # DEPENDENCYPART_ARC
(10,21),-1.15894 # DEPENDENCYPART_ARC
(11,12),-2.14806 # DEPENDENCYPART_ARC
(11,13),-2.28321 # DEPENDENCYPART_ARC
(12,7),-3.10222 # DEPENDENCYPART_ARC
(12,8),-3.42234 # DEPENDENCYPART_ARC
(12,9),-2.77011 # DEPENDENCYPART_ARC
(12,11),-0.13772 # DEPENDENCYPART_ARC
(12,13),-0.0123697 # DEPENDENCYPART_ARC
(12,14),-1.45851 # DEPENDENCYPART_ARC
(12,15),-1.03733 # DEPENDENCYPART_ARC
(12,17),-2.50917 # DEPENDENCYPART_ARC
(12,18),-1.75837 # DEPENDENCYPART_ARC
(12,20),-3.26022 # DEPENDENCYPART_ARC
(12,21),-1.40597 # DEPENDENCYPART_ARC
(13,10),-1.7473 # DEPENDENCYPART_ARC
(13,11),-1.301 # DEPENDENCYPART_ARC
(13,12),-1.20638 # DEPENDENCYPART_ARC
(13,14),-1.59339 # DEPENDENCYPART_ARC
(13,15),-1.81376 # DEPENDENCYPART_ARC
(13,17),-2.54202 # DEPENDENCYPART_ARC
(14,2),-3.27032 # DEPENDENCYPART_ARC
(14,4),-1.66653 # DEPENDENCYPART_ARC
(14,6),-2.41738 # DEPENDENCYPART_ARC
(14,7),-2.26307 # DEPENDENCYPART_ARC
(14,8),-2.97179 # DEPENDENCYPART_ARC
(14,9),-1.90603 # DEPENDENCYPART_ARC
(14,10),-1.35571 # DEPENDENCYPART_ARC
(14,11),0.755042 # DEPENDENCYPART_ARC
(14,12),0.397677 # DEPENDENCYPART_ARC
(14,13),1.23761 # DEPENDENCYPART_ARC
(14,15),0.617313 # DEPENDENCYPART_ARC
(14,17),-0.893037 # DEPENDENCYPART_ARC
(14,18),-1.54469 # DEPENDENCYPART_ARC
(14,19),-1.67848 # DEPENDENCYPART_ARC
(14,20),-1.73909 # DEPENDENCYPART_ARC
(14,21),-0.784973 # DEPENDENCYPART_ARC
(15,13),-2.36134 # DEPENDENCYPART_ARC
(15,17),0.238225 # DEPENDENCYPART_ARC
(15,18),-2.11082 # DEPENDENCYPART_ARC
(15,19),-1.38844 # DEPENDENCYPART_ARC
(15,20),-0.751899 # DEPENDENCYPART_ARC
(15,21),-1.0193 # DEPENDENCYPART_ARC
(17,11),-2.34384 # DEPENDENCYPART_ARC
(17,12),-1.66234 # DEPENDENCYPART_ARC
(17,13),-1.66787 # DEPENDENCYPART_ARC
(17,15),-1.215 # DEPENDENCYPART_ARC
(17,16),2.28374 # DEPENDENCYPART_ARC
(17,18),1.65286 # DEPENDENCYPART_ARC
(17,19),-1.44376 # DEPENDENCYPART_ARC
(17,20),-1.34106 # DEPENDENCYPART_ARC
(17,21),-0.970472 # DEPENDENCYPART_ARC
(18,19),-1.85442 # DEPENDENCYPART_ARC
(18,20),-2.54778 # DEPENDENCYPART_ARC
(19,16),-2.0379 # DEPENDENCYPART_ARC
(19,17),-1.38716 # DEPENDENCYPART_ARC
(19,18),-1.64445 # DEPENDENCYPART_ARC
(19,20),-1.20161 # DEPENDENCYPART_ARC
(20,2),-4.70141 # DEPENDENCYPART_ARC
(20,4),-2.95342 # DEPENDENCYPART_ARC
(20,5),-3.82332 # DEPENDENCYPART_ARC
(20,7),-2.96021 # DEPENDENCYPART_ARC
(20,11),-2.07787 # DEPENDENCYPART_ARC
(20,12),-2.26523 # DEPENDENCYPART_ARC
(20,13),-2.27581 # DEPENDENCYPART_ARC
(20,14),-2.07545 # DEPENDENCYPART_ARC
(20,16),-0.56485 # DEPENDENCYPART_ARC
(20,17),-0.3242 # DEPENDENCYPART_ARC
(20,18),-0.812898 # DEPENDENCYPART_ARC
(20,19),1.57495 # DEPENDENCYPART_ARC
(20,21),-0.334071 # DEPENDENCYPART_ARC
(21,20),-1.7894 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.218358 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0768241 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.179835 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.0848413 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.218123 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.218123 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.0848413 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.122137 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.174211 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0768243 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.182353 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0690652 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.218208 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.218208 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.0690652 # DEPENDENCYPART_SIBL
