# _root_ A spokesman for Dow Jones said he had n't seen the group 's filing , but added , `` obviously Dow Jones disagrees with their conclusions .
#goldHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
#predictedHeads=2,6,2,5,3,0,8,6,8,8,12,14,12,10,6,6,16,17,17,23,22,23,17,23,26,24,6,
(0,2),-3.57309 # DEPENDENCYPART_ARC
(0,6),0.0308338 # DEPENDENCYPART_ARC
(0,8),-2.35703 # DEPENDENCYPART_ARC
(0,17),-1.16357 # DEPENDENCYPART_ARC
(0,23),-1.70371 # DEPENDENCYPART_ARC
(1,3),-1.76656 # DEPENDENCYPART_ARC
(1,8),-2.06946 # DEPENDENCYPART_ARC
(2,1),1.74053 # DEPENDENCYPART_ARC
(2,3),0.559608 # DEPENDENCYPART_ARC
(2,4),-1.56264 # DEPENDENCYPART_ARC
(2,5),-1.38074 # DEPENDENCYPART_ARC
(2,6),-0.747058 # DEPENDENCYPART_ARC
(2,7),-1.99779 # DEPENDENCYPART_ARC
(2,8),-1.27412 # DEPENDENCYPART_ARC
(2,9),-1.96875 # DEPENDENCYPART_ARC
(2,10),-2.14321 # DEPENDENCYPART_ARC
(2,13),-3.00094 # DEPENDENCYPART_ARC
(2,14),-2.66228 # DEPENDENCYPART_ARC
(2,15),-1.5178 # DEPENDENCYPART_ARC
(2,16),-2.10912 # DEPENDENCYPART_ARC
(2,17),-2.52205 # DEPENDENCYPART_ARC
(2,18),-1.85956 # DEPENDENCYPART_ARC
(3,2),-1.56596 # DEPENDENCYPART_ARC
(3,4),-0.331782 # DEPENDENCYPART_ARC
(3,5),0.0737328 # DEPENDENCYPART_ARC
(3,6),-0.256403 # DEPENDENCYPART_ARC
(3,7),-2.0173 # DEPENDENCYPART_ARC
(3,8),-1.12506 # DEPENDENCYPART_ARC
(3,9),-2.07744 # DEPENDENCYPART_ARC
(3,10),-2.24606 # DEPENDENCYPART_ARC
(3,14),-1.59743 # DEPENDENCYPART_ARC
(3,15),-1.3735 # DEPENDENCYPART_ARC
(3,16),-1.78691 # DEPENDENCYPART_ARC
(4,2),-2.76097 # DEPENDENCYPART_ARC
(4,3),-2.0775 # DEPENDENCYPART_ARC
(4,5),-0.804921 # DEPENDENCYPART_ARC
(4,6),-1.94771 # DEPENDENCYPART_ARC
(4,7),-2.15769 # DEPENDENCYPART_ARC
(4,8),-2.22185 # DEPENDENCYPART_ARC
(5,1),-2.09214 # DEPENDENCYPART_ARC
(5,2),-1.81301 # DEPENDENCYPART_ARC
(5,3),-1.63569 # DEPENDENCYPART_ARC
(5,4),1.2297 # DEPENDENCYPART_ARC
(5,6),-0.993171 # DEPENDENCYPART_ARC
(5,7),-1.30949 # DEPENDENCYPART_ARC
(5,8),-1.73006 # DEPENDENCYPART_ARC
(6,2),-0.899529 # DEPENDENCYPART_ARC
(6,3),-1.65575 # DEPENDENCYPART_ARC
(6,4),-1.06529 # DEPENDENCYPART_ARC
(6,5),0.249288 # DEPENDENCYPART_ARC
(6,7),-0.415861 # DEPENDENCYPART_ARC
(6,8),1.10995 # DEPENDENCYPART_ARC
(6,9),-0.834936 # DEPENDENCYPART_ARC
(6,10),-1.03907 # DEPENDENCYPART_ARC
(6,14),-1.98422 # DEPENDENCYPART_ARC
(6,15),-0.743208 # DEPENDENCYPART_ARC
(6,16),-0.52996 # DEPENDENCYPART_ARC
(6,17),-0.688738 # DEPENDENCYPART_ARC
(6,18),-1.36143 # DEPENDENCYPART_ARC
(6,19),-1.63162 # DEPENDENCYPART_ARC
(6,20),-2.60195 # DEPENDENCYPART_ARC
(6,23),-0.767621 # DEPENDENCYPART_ARC
(6,27),0.925779 # DEPENDENCYPART_ARC
(7,5),-2.39222 # DEPENDENCYPART_ARC
(7,8),-0.733017 # DEPENDENCYPART_ARC
(7,9),-1.97982 # DEPENDENCYPART_ARC
(7,10),-2.21204 # DEPENDENCYPART_ARC
(7,16),-1.9465 # DEPENDENCYPART_ARC
(8,2),-1.32293 # DEPENDENCYPART_ARC
(8,3),-2.15261 # DEPENDENCYPART_ARC
(8,4),-2.45432 # DEPENDENCYPART_ARC
(8,5),-1.8091 # DEPENDENCYPART_ARC
(8,6),-1.63672 # DEPENDENCYPART_ARC
(8,7),1.6536 # DEPENDENCYPART_ARC
(8,9),1.11212 # DEPENDENCYPART_ARC
(8,10),1.18979 # DEPENDENCYPART_ARC
(8,12),-0.847033 # DEPENDENCYPART_ARC
(8,13),-1.78412 # DEPENDENCYPART_ARC
(8,14),-1.17003 # DEPENDENCYPART_ARC
(8,15),-0.850782 # DEPENDENCYPART_ARC
(8,16),-0.532336 # DEPENDENCYPART_ARC
(8,17),-1.22737 # DEPENDENCYPART_ARC
(8,18),-1.31093 # DEPENDENCYPART_ARC
(8,19),-1.49319 # DEPENDENCYPART_ARC
(8,20),-2.01914 # DEPENDENCYPART_ARC
(8,22),-2.82163 # DEPENDENCYPART_ARC
(8,23),-1.5652 # DEPENDENCYPART_ARC
(8,24),-2.53299 # DEPENDENCYPART_ARC
(8,26),-2.78949 # DEPENDENCYPART_ARC
(8,27),-1.03006 # DEPENDENCYPART_ARC
(9,7),-2.16639 # DEPENDENCYPART_ARC
(9,10),-1.42483 # DEPENDENCYPART_ARC
(9,14),-2.61277 # DEPENDENCYPART_ARC
(10,2),-2.33748 # DEPENDENCYPART_ARC
(10,3),-1.95198 # DEPENDENCYPART_ARC
(10,5),-2.44251 # DEPENDENCYPART_ARC
(10,6),-2.17615 # DEPENDENCYPART_ARC
