# _root_ The new expiration date is the date on which DIG 's financing commitments , which total about $ 240 million , are to expire .
#goldHeads=4,4,4,5,0,7,5,24,8,13,10,13,22,13,16,13,18,16,18,18,13,7,22,23,5,
#predictedHeads=4,4,4,5,0,7,5,24,8,13,10,13,22,13,16,13,18,16,18,18,13,7,22,23,5,
(0,4),-3.62583 # DEPENDENCYPART_ARC
(0,5),-0.634342 # DEPENDENCYPART_ARC
(0,16),-2.38264 # DEPENDENCYPART_ARC
(0,22),-2.43165 # DEPENDENCYPART_ARC
(1,2),-1.95185 # DEPENDENCYPART_ARC
(2,1),-1.08679 # DEPENDENCYPART_ARC
(2,3),-1.02861 # DEPENDENCYPART_ARC
(3,1),-0.497526 # DEPENDENCYPART_ARC
(3,2),-0.303456 # DEPENDENCYPART_ARC
(3,4),-0.872986 # DEPENDENCYPART_ARC
(3,7),-2.14014 # DEPENDENCYPART_ARC
(3,8),-1.83685 # DEPENDENCYPART_ARC
(3,12),-2.24097 # DEPENDENCYPART_ARC
(3,14),-1.33348 # DEPENDENCYPART_ARC
(4,1),0.500011 # DEPENDENCYPART_ARC
(4,2),1.01808 # DEPENDENCYPART_ARC
(4,3),1.70518 # DEPENDENCYPART_ARC
(4,5),-1.35509 # DEPENDENCYPART_ARC
(4,7),-1.83601 # DEPENDENCYPART_ARC
(4,8),-1.78478 # DEPENDENCYPART_ARC
(4,14),-1.44548 # DEPENDENCYPART_ARC
(5,1),-2.13848 # DEPENDENCYPART_ARC
(5,2),-1.68608 # DEPENDENCYPART_ARC
(5,3),-0.780513 # DEPENDENCYPART_ARC
(5,4),0.606322 # DEPENDENCYPART_ARC
(5,6),-0.809168 # DEPENDENCYPART_ARC
(5,7),0.582202 # DEPENDENCYPART_ARC
(5,8),-0.474293 # DEPENDENCYPART_ARC
(5,9),-1.83998 # DEPENDENCYPART_ARC
(5,10),-1.69442 # DEPENDENCYPART_ARC
(5,11),-1.95436 # DEPENDENCYPART_ARC
(5,12),-1.18331 # DEPENDENCYPART_ARC
(5,13),-1.85069 # DEPENDENCYPART_ARC
(5,14),-1.17706 # DEPENDENCYPART_ARC
(5,15),-2.56052 # DEPENDENCYPART_ARC
(5,16),-1.20018 # DEPENDENCYPART_ARC
(5,17),-2.4732 # DEPENDENCYPART_ARC
(5,18),-2.40324 # DEPENDENCYPART_ARC
(5,21),-1.2121 # DEPENDENCYPART_ARC
(5,22),-1.49038 # DEPENDENCYPART_ARC
(5,23),-2.87052 # DEPENDENCYPART_ARC
(5,25),0.538526 # DEPENDENCYPART_ARC
(6,8),-2.14423 # DEPENDENCYPART_ARC
(7,1),-2.8936 # DEPENDENCYPART_ARC
(7,2),-1.21835 # DEPENDENCYPART_ARC
(7,3),-1.33555 # DEPENDENCYPART_ARC
(7,4),-1.37026 # DEPENDENCYPART_ARC
(7,6),1.38691 # DEPENDENCYPART_ARC
(7,8),-0.42762 # DEPENDENCYPART_ARC
(7,9),-1.7076 # DEPENDENCYPART_ARC
(7,10),-1.72605 # DEPENDENCYPART_ARC
(7,11),-1.93801 # DEPENDENCYPART_ARC
(7,12),-1.51615 # DEPENDENCYPART_ARC
(7,13),-1.9651 # DEPENDENCYPART_ARC
(7,14),-0.556288 # DEPENDENCYPART_ARC
(7,16),-1.17092 # DEPENDENCYPART_ARC
(7,17),-2.27602 # DEPENDENCYPART_ARC
(7,18),-2.50385 # DEPENDENCYPART_ARC
(7,21),-0.80624 # DEPENDENCYPART_ARC
(7,22),-1.88397 # DEPENDENCYPART_ARC
(7,23),-2.53059 # DEPENDENCYPART_ARC
(7,25),-2.11414 # DEPENDENCYPART_ARC
(8,4),-2.25702 # DEPENDENCYPART_ARC
(8,5),-1.75609 # DEPENDENCYPART_ARC
(8,6),-2.01037 # DEPENDENCYPART_ARC
(8,7),-1.47729 # DEPENDENCYPART_ARC
(8,9),2.04213 # DEPENDENCYPART_ARC
(8,10),-1.04133 # DEPENDENCYPART_ARC
(8,11),-2.34505 # DEPENDENCYPART_ARC
(8,12),-1.52324 # DEPENDENCYPART_ARC
(8,13),-0.511532 # DEPENDENCYPART_ARC
(8,15),-1.8628 # DEPENDENCYPART_ARC
(8,16),-1.32074 # DEPENDENCYPART_ARC
(8,18),-3.05096 # DEPENDENCYPART_ARC
(8,25),-2.96411 # DEPENDENCYPART_ARC
(9,10),-1.59364 # DEPENDENCYPART_ARC
(9,11),-2.0073 # DEPENDENCYPART_ARC
(9,12),-2.29533 # DEPENDENCYPART_ARC
(9,13),-2.62009 # DEPENDENCYPART_ARC
(10,5),-2.74108 # DEPENDENCYPART_ARC
(10,6),-2.0029 # DEPENDENCYPART_ARC
(10,7),-2.235 # DEPENDENCYPART_ARC
(10,9),-1.23766 # DEPENDENCYPART_ARC
(10,11),1.51692 # DEPENDENCYPART_ARC
(10,12),-1.30289 # DEPENDENCYPART_ARC
(10,13),-1.86829 # DEPENDENCYPART_ARC
(10,14),-1.30685 # DEPENDENCYPART_ARC
(10,16),-1.91362 # DEPENDENCYPART_ARC
(10,21),-1.41596 # DEPENDENCYPART_ARC
(11,7),-2.06969 # DEPENDENCYPART_ARC
(11,9),-1.2302 # DEPENDENCYPART_ARC
(11,10),-1.02758 # DEPENDENCYPART_ARC
(12,4),-2.06439 # DEPENDENCYPART_ARC
(12,5),-2.11921 # DEPENDENCYPART_ARC
(12,7),-1.74317 # DEPENDENCYPART_ARC
(12,8),-1.2329 # DEPENDENCYPART_ARC
(12,9),-0.762582 # DEPENDENCYPART_ARC
(12,10),-1.57901 # DEPENDENCYPART_ARC
(12,11),-0.944226 # DEPENDENCYPART_ARC
(12,13),-0.162043 # DEPENDENCYPART_ARC
(12,14),-1.7477 # DEPENDENCYPART_ARC
(12,15),-2.2803 # DEPENDENCYPART_ARC
(12,16),-1.54463 # DEPENDENCYPART_ARC
(12,17),-2.01705 # DEPENDENCYPART_ARC
(12,18),-2.31637 # DEPENDENCYPART_ARC
(12,21),-2.03265 # DEPENDENCYPART_ARC
(12,22),-2.36213 # DEPENDENCYPART_ARC
(12,23),-2.05594 # DEPENDENCYPART_ARC
(13,3),-1.24143 # DEPENDENCYPART_ARC
(13,4),-1.8865 # DEPENDENCYPART_ARC
(13,5),-2.08178 # DEPENDENCYPART_ARC
(13,6),-2.40184 # DEPENDENCYPART_ARC
(13,7),-1.7618 # DEPENDENCYPART_ARC
(13,9),-1.37147 # DEPENDENCYPART_ARC
(13,10),-0.227774 # DEPENDENCYPART_ARC
(13,11),-0.724294 # DEPENDENCYPART_ARC
(13,12),0.900133 # DEPENDENCYPART_ARC
(13,14),-0.090873 # DEPENDENCYPART_ARC
(13,15),-1.71757 # DEPENDENCYPART_ARC
(13,16),-0.0560125 # DEPENDENCYPART_ARC
(13,17),-1.30081 # DEPENDENCYPART_ARC
(13,18),-1.30952 # DEPENDENCYPART_ARC
(13,20),-2.24063 # DEPENDENCYPART_ARC
(13,21),-0.355889 # DEPENDENCYPART_ARC
(13,22),-1.84333 # DEPENDENCYPART_ARC
(13,23),-1.33324 # DEPENDENCYPART_ARC
(13,25),-2.3465 # DEPENDENCYPART_ARC
(16,4),-2.83094 # DEPENDENCYPART_ARC
(16,5),-2.40709 # DEPENDENCYPART_ARC
(16,7),-2.31181 # DEPENDENCYPART_ARC
(16,8),-2.30016 # DEPENDENCYPART_ARC
(16,9),-1.58398 # DEPENDENCYPART_ARC
(16,10),-2.37708 # DEPENDENCYPART_ARC
(16,11),-2.28248 # DEPENDENCYPART_ARC
(16,12),-2.00615 # DEPENDENCYPART_ARC
(16,13),-1.01203 # DEPENDENCYPART_ARC
(16,14),-1.36065 # DEPENDENCYPART_ARC
(16,15),1.43372 # DEPENDENCYPART_ARC
(16,17),0.522242 # DEPENDENCYPART_ARC
(16,18),-0.416764 # DEPENDENCYPART_ARC
(16,20),-1.93921 # DEPENDENCYPART_ARC
(16,21),-0.917543 # DEPENDENCYPART_ARC
(16,22),-0.792183 # DEPENDENCYPART_ARC
(16,23),-1.12644 # DEPENDENCYPART_ARC
(16,24),-2.00575 # DEPENDENCYPART_ARC
(16,25),-1.11273 # DEPENDENCYPART_ARC
(17,15),-2.0072 # DEPENDENCYPART_ARC
(17,16),-1.49066 # DEPENDENCYPART_ARC
(17,18),-0.2149 # DEPENDENCYPART_ARC
(17,19),0.00685104 # DEPENDENCYPART_ARC
(17,20),-0.594407 # DEPENDENCYPART_ARC
(17,22),-1.25683 # DEPENDENCYPART_ARC
(17,23),-1.18592 # DEPENDENCYPART_ARC
(17,25),-1.8554 # DEPENDENCYPART_ARC
(18,4),-2.58538 # DEPENDENCYPART_ARC
(18,5),-2.19031 # DEPENDENCYPART_ARC
(18,8),-1.7659 # DEPENDENCYPART_ARC
(18,9),-2.29797 # DEPENDENCYPART_ARC
(18,10),-2.67236 # DEPENDENCYPART_ARC
(18,12),-1.95975 # DEPENDENCYPART_ARC
(18,13),-1.78708 # DEPENDENCYPART_ARC
(18,14),-1.69555 # DEPENDENCYPART_ARC
(18,15),-1.21434 # DEPENDENCYPART_ARC
(18,16),-1.15419 # DEPENDENCYPART_ARC
(18,17),0.763951 # DEPENDENCYPART_ARC
(18,19),1.84018 # DEPENDENCYPART_ARC
(18,20),1.15135 # DEPENDENCYPART_ARC
(18,21),-0.845163 # DEPENDENCYPART_ARC
(18,22),-0.676686 # DEPENDENCYPART_ARC
(18,23),-1.42237 # DEPENDENCYPART_ARC
(18,24),-1.80119 # DEPENDENCYPART_ARC
(18,25),-1.94631 # DEPENDENCYPART_ARC
(19,17),-1.94755 # DEPENDENCYPART_ARC
(19,20),-1.08034 # DEPENDENCYPART_ARC
(19,22),-1.46617 # DEPENDENCYPART_ARC
(20,15),-2.17755 # DEPENDENCYPART_ARC
(20,17),-1.23676 # DEPENDENCYPART_ARC
(20,19),-0.0350348 # DEPENDENCYPART_ARC
(20,21),-1.36461 # DEPENDENCYPART_ARC
(20,22),-1.43375 # DEPENDENCYPART_ARC
(20,23),-2.11775 # DEPENDENCYPART_ARC
(22,4),-2.80739 # DEPENDENCYPART_ARC
(22,5),-2.22621 # DEPENDENCYPART_ARC
(22,7),-2.66949 # DEPENDENCYPART_ARC
(22,8),-2.27216 # DEPENDENCYPART_ARC
(22,9),-2.1505 # DEPENDENCYPART_ARC
(22,10),-2.52441 # DEPENDENCYPART_ARC
(22,11),-2.41808 # DEPENDENCYPART_ARC
(22,12),-1.80819 # DEPENDENCYPART_ARC
(22,13),-0.93523 # DEPENDENCYPART_ARC
(22,14),-2.19462 # DEPENDENCYPART_ARC
(22,15),-1.11076 # DEPENDENCYPART_ARC
(22,16),-1.6862 # DEPENDENCYPART_ARC
(22,17),-1.51722 # DEPENDENCYPART_ARC
(22,18),-1.36744 # DEPENDENCYPART_ARC
(22,19),-1.38946 # DEPENDENCYPART_ARC
(22,20),-1.07544 # DEPENDENCYPART_ARC
(22,21),-0.439968 # DEPENDENCYPART_ARC
(22,23),1.14443 # DEPENDENCYPART_ARC
(22,24),0.0102415 # DEPENDENCYPART_ARC
(22,25),-0.0776094 # DEPENDENCYPART_ARC
(23,18),-2.37761 # DEPENDENCYPART_ARC
(23,24),1.85037 # DEPENDENCYPART_ARC
(23,25),-1.45433 # DEPENDENCYPART_ARC
(24,5),-2.14761 # DEPENDENCYPART_ARC
(24,8),-0.727412 # DEPENDENCYPART_ARC
(24,13),-1.54693 # DEPENDENCYPART_ARC
