# _root_ Isao Ushikubo , general manager of the investment research department at Toyo Trust & Banking Co. , also was optimistic .
#goldHeads=2,19,2,5,2,5,10,10,10,6,10,13,11,13,14,15,2,19,0,19,19,
#predictedHeads=2,19,2,5,2,5,10,10,10,6,5,13,11,13,14,15,2,19,0,19,19,
(0,1),-3.58287 # DEPENDENCYPART_ARC
(0,2),-4.05054 # DEPENDENCYPART_ARC
(0,5),-4.99804 # DEPENDENCYPART_ARC
(0,10),-4.51598 # DEPENDENCYPART_ARC
(0,19),-1.91635 # DEPENDENCYPART_ARC
(1,2),-0.818582 # DEPENDENCYPART_ARC
(1,3),-1.3094 # DEPENDENCYPART_ARC
(1,4),-1.89497 # DEPENDENCYPART_ARC
(1,5),-1.95524 # DEPENDENCYPART_ARC
(1,6),-2.19071 # DEPENDENCYPART_ARC
(1,10),-3.41646 # DEPENDENCYPART_ARC
(1,11),-2.61514 # DEPENDENCYPART_ARC
(1,14),-2.12257 # DEPENDENCYPART_ARC
(1,17),-1.50408 # DEPENDENCYPART_ARC
(1,21),-3.11623 # DEPENDENCYPART_ARC
(2,1),1.40856 # DEPENDENCYPART_ARC
(2,3),-0.0438493 # DEPENDENCYPART_ARC
(2,4),-1.12818 # DEPENDENCYPART_ARC
(2,5),-0.986243 # DEPENDENCYPART_ARC
(2,6),-1.69629 # DEPENDENCYPART_ARC
(2,8),-2.77461 # DEPENDENCYPART_ARC
(2,9),-2.87171 # DEPENDENCYPART_ARC
(2,10),-2.70575 # DEPENDENCYPART_ARC
(2,11),-2.37459 # DEPENDENCYPART_ARC
(2,13),-3.48275 # DEPENDENCYPART_ARC
(2,14),-1.78873 # DEPENDENCYPART_ARC
(2,16),-3.57027 # DEPENDENCYPART_ARC
(2,17),-0.775106 # DEPENDENCYPART_ARC
(2,18),-3.10467 # DEPENDENCYPART_ARC
(2,19),-2.74749 # DEPENDENCYPART_ARC
(2,21),-2.78894 # DEPENDENCYPART_ARC
(3,2),-2.58148 # DEPENDENCYPART_ARC
(3,5),-2.47162 # DEPENDENCYPART_ARC
(4,1),-1.4036 # DEPENDENCYPART_ARC
(4,2),-1.07176 # DEPENDENCYPART_ARC
(4,3),-0.690942 # DEPENDENCYPART_ARC
(4,5),-0.956798 # DEPENDENCYPART_ARC
(4,6),-1.15779 # DEPENDENCYPART_ARC
(5,1),-0.968798 # DEPENDENCYPART_ARC
(5,2),-1.21451 # DEPENDENCYPART_ARC
(5,3),-0.810745 # DEPENDENCYPART_ARC
(5,4),1.46132 # DEPENDENCYPART_ARC
(5,6),0.84065 # DEPENDENCYPART_ARC
(5,7),-1.66809 # DEPENDENCYPART_ARC
(5,8),-0.818689 # DEPENDENCYPART_ARC
(5,9),-0.919593 # DEPENDENCYPART_ARC
(5,10),-1.13596 # DEPENDENCYPART_ARC
(5,11),-0.464997 # DEPENDENCYPART_ARC
(5,13),-1.99789 # DEPENDENCYPART_ARC
(5,14),-1.43429 # DEPENDENCYPART_ARC
(5,15),-2.40248 # DEPENDENCYPART_ARC
(5,17),-0.852779 # DEPENDENCYPART_ARC
(5,18),-2.1457 # DEPENDENCYPART_ARC
(5,19),-1.54038 # DEPENDENCYPART_ARC
(5,20),-2.33385 # DEPENDENCYPART_ARC
(5,21),-2.06551 # DEPENDENCYPART_ARC
(6,3),-2.08446 # DEPENDENCYPART_ARC
(6,4),-2.32436 # DEPENDENCYPART_ARC
(6,7),-1.22176 # DEPENDENCYPART_ARC
(6,8),0.128189 # DEPENDENCYPART_ARC
(6,9),-0.730144 # DEPENDENCYPART_ARC
(6,10),-0.316369 # DEPENDENCYPART_ARC
(6,11),-1.55206 # DEPENDENCYPART_ARC
(6,13),-1.64721 # DEPENDENCYPART_ARC
(6,14),-1.52621 # DEPENDENCYPART_ARC
(6,15),-2.99415 # DEPENDENCYPART_ARC
(6,16),-2.71572 # DEPENDENCYPART_ARC
(6,21),-2.77358 # DEPENDENCYPART_ARC
(8,7),-0.57257 # DEPENDENCYPART_ARC
(8,9),-1.11363 # DEPENDENCYPART_ARC
(8,11),-1.15886 # DEPENDENCYPART_ARC
(9,7),-0.720796 # DEPENDENCYPART_ARC
(9,8),0.309313 # DEPENDENCYPART_ARC
(9,10),-0.936804 # DEPENDENCYPART_ARC
(9,11),-1.39458 # DEPENDENCYPART_ARC
(9,13),-2.16696 # DEPENDENCYPART_ARC
(10,1),-2.32852 # DEPENDENCYPART_ARC
(10,2),-2.87301 # DEPENDENCYPART_ARC
(10,3),-2.09901 # DEPENDENCYPART_ARC
(10,4),-1.46121 # DEPENDENCYPART_ARC
(10,5),-1.33236 # DEPENDENCYPART_ARC
(10,6),-1.11445 # DEPENDENCYPART_ARC
(10,7),0.51737 # DEPENDENCYPART_ARC
(10,8),1.5496 # DEPENDENCYPART_ARC
(10,9),1.81919 # DEPENDENCYPART_ARC
(10,11),0.0868383 # DEPENDENCYPART_ARC
(10,13),-1.55558 # DEPENDENCYPART_ARC
(10,14),-1.39296 # DEPENDENCYPART_ARC
(10,15),-2.19098 # DEPENDENCYPART_ARC
(10,16),-1.99431 # DEPENDENCYPART_ARC
(10,17),-1.51344 # DEPENDENCYPART_ARC
(10,18),-2.33157 # DEPENDENCYPART_ARC
(10,19),-1.88689 # DEPENDENCYPART_ARC
(10,20),-2.43511 # DEPENDENCYPART_ARC
(10,21),-2.12635 # DEPENDENCYPART_ARC
(11,10),-1.57299 # DEPENDENCYPART_ARC
(11,12),-0.270504 # DEPENDENCYPART_ARC
(11,13),0.152799 # DEPENDENCYPART_ARC
(11,14),-1.43052 # DEPENDENCYPART_ARC
(11,15),-2.0693 # DEPENDENCYPART_ARC
(11,16),-1.38925 # DEPENDENCYPART_ARC
(11,17),-1.4147 # DEPENDENCYPART_ARC
(11,18),-2.21736 # DEPENDENCYPART_ARC
(11,19),-1.5897 # DEPENDENCYPART_ARC
(11,20),-2.70169 # DEPENDENCYPART_ARC
(11,21),-2.95235 # DEPENDENCYPART_ARC
(12,13),-0.860223 # DEPENDENCYPART_ARC
(12,14),-0.501671 # DEPENDENCYPART_ARC
(12,15),-2.69201 # DEPENDENCYPART_ARC
(12,16),-2.06262 # DEPENDENCYPART_ARC
(12,19),-2.57758 # DEPENDENCYPART_ARC
(13,1),-3.64651 # DEPENDENCYPART_ARC
(13,2),-4.59988 # DEPENDENCYPART_ARC
(13,4),-2.68584 # DEPENDENCYPART_ARC
(13,5),-2.64211 # DEPENDENCYPART_ARC
(13,7),-2.3666 # DEPENDENCYPART_ARC
(13,8),-0.911199 # DEPENDENCYPART_ARC
(13,9),-0.524569 # DEPENDENCYPART_ARC
(13,10),-1.11171 # DEPENDENCYPART_ARC
(13,11),-1.38116 # DEPENDENCYPART_ARC
(13,12),1.71836 # DEPENDENCYPART_ARC
(13,14),1.92538 # DEPENDENCYPART_ARC
(13,15),-1.30473 # DEPENDENCYPART_ARC
(13,16),-0.352408 # DEPENDENCYPART_ARC
(13,17),-0.758795 # DEPENDENCYPART_ARC
(13,18),-1.54488 # DEPENDENCYPART_ARC
(13,19),-1.31636 # DEPENDENCYPART_ARC
(13,20),-1.92666 # DEPENDENCYPART_ARC
(13,21),-1.71481 # DEPENDENCYPART_ARC
(14,15),0.324642 # DEPENDENCYPART_ARC
(14,16),-0.487754 # DEPENDENCYPART_ARC
(14,17),-1.16891 # DEPENDENCYPART_ARC
(14,18),-2.0078 # DEPENDENCYPART_ARC
(14,19),-0.991585 # DEPENDENCYPART_ARC
(14,20),-2.64026 # DEPENDENCYPART_ARC
(15,10),-3.05343 # DEPENDENCYPART_ARC
(15,12),-2.31073 # DEPENDENCYPART_ARC
(15,13),-2.11507 # DEPENDENCYPART_ARC
(15,16),0.603696 # DEPENDENCYPART_ARC
(15,17),-1.0142 # DEPENDENCYPART_ARC
(15,18),-1.51793 # DEPENDENCYPART_ARC
(15,19),-1.36909 # DEPENDENCYPART_ARC
(15,20),-1.74774 # DEPENDENCYPART_ARC
(15,21),-1.70536 # DEPENDENCYPART_ARC
(16,7),-3.79559 # DEPENDENCYPART_ARC
(16,12),-2.26011 # DEPENDENCYPART_ARC
(16,13),-2.92712 # DEPENDENCYPART_ARC
(16,15),0.034475 # DEPENDENCYPART_ARC
(16,17),-1.6316 # DEPENDENCYPART_ARC
(16,18),-2.15654 # DEPENDENCYPART_ARC
(16,19),-2.03082 # DEPENDENCYPART_ARC
(16,20),-2.61757 # DEPENDENCYPART_ARC
(18,11),-2.02313 # DEPENDENCYPART_ARC
(18,20),-2.26358 # DEPENDENCYPART_ARC
(19,1),-1.33876 # DEPENDENCYPART_ARC
(19,2),-1.3949 # DEPENDENCYPART_ARC
(19,3),-1.71679 # DEPENDENCYPART_ARC
(19,4),-1.8042 # DEPENDENCYPART_ARC
(19,5),-1.28049 # DEPENDENCYPART_ARC
(19,6),-2.15638 # DEPENDENCYPART_ARC
(19,8),-1.24737 # DEPENDENCYPART_ARC
(19,9),-1.10839 # DEPENDENCYPART_ARC
(19,10),-0.926989 # DEPENDENCYPART_ARC
(19,11),-1.77133 # DEPENDENCYPART_ARC
(19,12),-1.48804 # DEPENDENCYPART_ARC
(19,13),-0.933827 # DEPENDENCYPART_ARC
(19,14),-1.71205 # DEPENDENCYPART_ARC
(19,15),-1.35376 # DEPENDENCYPART_ARC
(19,16),-1.18249 # DEPENDENCYPART_ARC
(19,17),-0.7731 # DEPENDENCYPART_ARC
(19,18),0.48609 # DEPENDENCYPART_ARC
(19,20),0.739071 # DEPENDENCYPART_ARC
(19,21),0.0229238 # DEPENDENCYPART_ARC
