# _root_ The ad would have run during the World Series tomorrow , replacing the debut commercial of Shearson 's new ad campaign , `` Leadership by Example . ''
#goldHeads=2,3,0,3,4,5,9,9,6,5,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
#predictedHeads=2,3,0,3,4,5,10,10,10,6,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
(0,2),-3.32995 # DEPENDENCYPART_ARC
(0,3),-1.51124 # DEPENDENCYPART_ARC
(0,4),-3.41493 # DEPENDENCYPART_ARC
(2,1),1.38801 # DEPENDENCYPART_ARC
(2,3),-1.34351 # DEPENDENCYPART_ARC
(2,4),-1.62276 # DEPENDENCYPART_ARC
(2,5),-1.58253 # DEPENDENCYPART_ARC
(2,6),-1.41594 # DEPENDENCYPART_ARC
(2,10),-2.45245 # DEPENDENCYPART_ARC
(2,11),-2.04951 # DEPENDENCYPART_ARC
(2,12),-2.45583 # DEPENDENCYPART_ARC
(3,1),-1.15521 # DEPENDENCYPART_ARC
(3,2),0.940207 # DEPENDENCYPART_ARC
(3,4),2.38929 # DEPENDENCYPART_ARC
(3,5),-0.714562 # DEPENDENCYPART_ARC
(3,6),-0.88233 # DEPENDENCYPART_ARC
(3,10),-1.9413 # DEPENDENCYPART_ARC
(3,11),-1.4313 # DEPENDENCYPART_ARC
(3,12),-1.83979 # DEPENDENCYPART_ARC
(3,15),-2.35488 # DEPENDENCYPART_ARC
(3,22),-1.96438 # DEPENDENCYPART_ARC
(3,27),-0.0995249 # DEPENDENCYPART_ARC
(3,28),-0.786323 # DEPENDENCYPART_ARC
(4,1),-1.25615 # DEPENDENCYPART_ARC
(4,2),-1.41588 # DEPENDENCYPART_ARC
(4,3),-0.856228 # DEPENDENCYPART_ARC
(4,5),1.51359 # DEPENDENCYPART_ARC
(4,6),-0.698418 # DEPENDENCYPART_ARC
(4,8),-1.58299 # DEPENDENCYPART_ARC
(4,9),-1.4358 # DEPENDENCYPART_ARC
(4,10),-1.08489 # DEPENDENCYPART_ARC
(4,11),-1.15706 # DEPENDENCYPART_ARC
(4,12),-1.32711 # DEPENDENCYPART_ARC
(4,15),-2.10871 # DEPENDENCYPART_ARC
(4,22),-1.76398 # DEPENDENCYPART_ARC
(4,23),-2.25359 # DEPENDENCYPART_ARC
(4,25),-2.26876 # DEPENDENCYPART_ARC
(4,27),-0.679094 # DEPENDENCYPART_ARC
(4,28),-1.23501 # DEPENDENCYPART_ARC
(5,2),-1.33527 # DEPENDENCYPART_ARC
(5,6),1.06634 # DEPENDENCYPART_ARC
(5,7),-1.71391 # DEPENDENCYPART_ARC
(5,8),-1.13186 # DEPENDENCYPART_ARC
(5,9),-1.20995 # DEPENDENCYPART_ARC
(5,10),-0.715522 # DEPENDENCYPART_ARC
(5,11),-0.951287 # DEPENDENCYPART_ARC
(5,12),-1.21148 # DEPENDENCYPART_ARC
(5,15),-1.539 # DEPENDENCYPART_ARC
(5,16),-1.96834 # DEPENDENCYPART_ARC
(5,21),-1.96829 # DEPENDENCYPART_ARC
(5,22),-1.89689 # DEPENDENCYPART_ARC
(5,25),-2.39814 # DEPENDENCYPART_ARC
(5,27),-1.5415 # DEPENDENCYPART_ARC
(5,28),-1.51474 # DEPENDENCYPART_ARC
(6,2),-1.98932 # DEPENDENCYPART_ARC
(6,7),-1.29643 # DEPENDENCYPART_ARC
(6,8),-1.21595 # DEPENDENCYPART_ARC
(6,9),-1.51925 # DEPENDENCYPART_ARC
(6,10),-0.306367 # DEPENDENCYPART_ARC
(6,11),-1.72806 # DEPENDENCYPART_ARC
(6,12),-1.98631 # DEPENDENCYPART_ARC
(6,15),-2.19097 # DEPENDENCYPART_ARC
(6,21),-2.4556 # DEPENDENCYPART_ARC
(6,27),-4.2778 # DEPENDENCYPART_ARC
(7,12),-2.56714 # DEPENDENCYPART_ARC
(8,7),-0.997812 # DEPENDENCYPART_ARC
(8,9),-1.82011 # DEPENDENCYPART_ARC
(8,11),-2.2163 # DEPENDENCYPART_ARC
(8,15),-3.61546 # DEPENDENCYPART_ARC
(9,7),0.0385007 # DEPENDENCYPART_ARC
(9,8),-0.119879 # DEPENDENCYPART_ARC
(9,10),-1.11946 # DEPENDENCYPART_ARC
(9,11),-2.01627 # DEPENDENCYPART_ARC
(9,12),-2.56872 # DEPENDENCYPART_ARC
(9,15),-3.13407 # DEPENDENCYPART_ARC
(9,22),-1.8083 # DEPENDENCYPART_ARC
(10,1),-3.67207 # DEPENDENCYPART_ARC
(10,2),-2.81414 # DEPENDENCYPART_ARC
(10,6),-1.60411 # DEPENDENCYPART_ARC
(10,7),0.0238154 # DEPENDENCYPART_ARC
(10,8),0.321739 # DEPENDENCYPART_ARC
(10,9),0.669248 # DEPENDENCYPART_ARC
(10,11),-1.31409 # DEPENDENCYPART_ARC
(10,12),-1.80055 # DEPENDENCYPART_ARC
(10,14),-2.1585 # DEPENDENCYPART_ARC
(10,15),-2.2534 # DEPENDENCYPART_ARC
(10,16),-2.03571 # DEPENDENCYPART_ARC
(10,21),-2.94486 # DEPENDENCYPART_ARC
(10,22),-1.69178 # DEPENDENCYPART_ARC
(10,23),-2.51279 # DEPENDENCYPART_ARC
(10,24),-4.02145 # DEPENDENCYPART_ARC
