# _root_ Within about six months , `` things will be moving in the right direction , '' he predicts .
#goldHeads=8,4,2,1,8,8,8,18,8,9,10,14,14,11,8,8,18,0,18,
#predictedHeads=18,4,2,1,8,8,8,18,8,9,10,14,14,11,18,18,18,0,18,
(0,1),-3.8619 # DEPENDENCYPART_ARC
(0,8),-2.47811 # DEPENDENCYPART_ARC
(0,18),-0.748868 # DEPENDENCYPART_ARC
(1,2),-0.615223 # DEPENDENCYPART_ARC
(1,3),-0.772524 # DEPENDENCYPART_ARC
(1,4),0.646484 # DEPENDENCYPART_ARC
(1,5),-1.26231 # DEPENDENCYPART_ARC
(1,6),-1.36615 # DEPENDENCYPART_ARC
(1,7),-1.51773 # DEPENDENCYPART_ARC
(1,8),-0.379317 # DEPENDENCYPART_ARC
(1,9),-1.76515 # DEPENDENCYPART_ARC
(1,10),-1.47443 # DEPENDENCYPART_ARC
(1,11),-1.60678 # DEPENDENCYPART_ARC
(1,15),-1.55205 # DEPENDENCYPART_ARC
(1,16),-1.19699 # DEPENDENCYPART_ARC
(1,18),-2.04788 # DEPENDENCYPART_ARC
(1,19),-2.21879 # DEPENDENCYPART_ARC
(2,1),-0.392487 # DEPENDENCYPART_ARC
(2,3),1.10046 # DEPENDENCYPART_ARC
(2,4),-1.16298 # DEPENDENCYPART_ARC
(2,5),-1.20513 # DEPENDENCYPART_ARC
(2,6),-1.71348 # DEPENDENCYPART_ARC
(2,7),-2.089 # DEPENDENCYPART_ARC
(2,8),-1.33032 # DEPENDENCYPART_ARC
(2,10),-2.05616 # DEPENDENCYPART_ARC
(2,11),-1.88185 # DEPENDENCYPART_ARC
(2,15),-1.69947 # DEPENDENCYPART_ARC
(2,18),-1.82699 # DEPENDENCYPART_ARC
(2,19),-1.92577 # DEPENDENCYPART_ARC
(3,1),-1.29791 # DEPENDENCYPART_ARC
(3,2),-0.550617 # DEPENDENCYPART_ARC
(3,4),-1.52912 # DEPENDENCYPART_ARC
(3,5),-2.01451 # DEPENDENCYPART_ARC
(3,6),-2.4298 # DEPENDENCYPART_ARC
(3,7),-2.56443 # DEPENDENCYPART_ARC
(3,8),-2.16061 # DEPENDENCYPART_ARC
(3,10),-2.42221 # DEPENDENCYPART_ARC
(4,1),-1.56911 # DEPENDENCYPART_ARC
(4,2),1.04055 # DEPENDENCYPART_ARC
(4,3),1.04639 # DEPENDENCYPART_ARC
(4,5),-0.819963 # DEPENDENCYPART_ARC
(4,6),-1.50809 # DEPENDENCYPART_ARC
(4,7),-1.42971 # DEPENDENCYPART_ARC
(4,8),-1.4769 # DEPENDENCYPART_ARC
(4,9),-2.30036 # DEPENDENCYPART_ARC
(4,10),-1.93225 # DEPENDENCYPART_ARC
(4,11),-1.86604 # DEPENDENCYPART_ARC
(4,14),-2.29264 # DEPENDENCYPART_ARC
(4,15),-1.52851 # DEPENDENCYPART_ARC
(4,16),-1.76301 # DEPENDENCYPART_ARC
(4,18),-2.39044 # DEPENDENCYPART_ARC
(4,19),-2.76904 # DEPENDENCYPART_ARC
(5,4),-2.22806 # DEPENDENCYPART_ARC
(6,4),-2.68256 # DEPENDENCYPART_ARC
(6,5),-2.07423 # DEPENDENCYPART_ARC
(6,7),-1.83403 # DEPENDENCYPART_ARC
(6,8),-2.36006 # DEPENDENCYPART_ARC
(7,1),-2.31436 # DEPENDENCYPART_ARC
(7,2),-0.993783 # DEPENDENCYPART_ARC
(7,3),-1.33536 # DEPENDENCYPART_ARC
(7,4),-1.5228 # DEPENDENCYPART_ARC
(7,5),-1.50359 # DEPENDENCYPART_ARC
(7,6),-0.378842 # DEPENDENCYPART_ARC
(7,8),-0.960097 # DEPENDENCYPART_ARC
(7,9),-1.69663 # DEPENDENCYPART_ARC
(7,10),-1.26281 # DEPENDENCYPART_ARC
(7,11),-1.16149 # DEPENDENCYPART_ARC
(7,15),-1.70743 # DEPENDENCYPART_ARC
(7,16),-1.6887 # DEPENDENCYPART_ARC
(7,18),-2.0454 # DEPENDENCYPART_ARC
(7,19),-2.48266 # DEPENDENCYPART_ARC
(8,1),-0.634319 # DEPENDENCYPART_ARC
(8,2),-1.25699 # DEPENDENCYPART_ARC
(8,3),-1.71721 # DEPENDENCYPART_ARC
(8,4),-0.442824 # DEPENDENCYPART_ARC
(8,5),-0.269531 # DEPENDENCYPART_ARC
(8,6),-0.190692 # DEPENDENCYPART_ARC
(8,7),1.31092 # DEPENDENCYPART_ARC
(8,9),2.25013 # DEPENDENCYPART_ARC
(8,10),-0.775767 # DEPENDENCYPART_ARC
(8,11),-1.06022 # DEPENDENCYPART_ARC
(8,14),-1.90023 # DEPENDENCYPART_ARC
(8,15),-1.14646 # DEPENDENCYPART_ARC
(8,16),-1.36923 # DEPENDENCYPART_ARC
(8,18),-1.72804 # DEPENDENCYPART_ARC
(8,19),-0.838037 # DEPENDENCYPART_ARC
(9,1),-1.65315 # DEPENDENCYPART_ARC
(9,2),-1.92749 # DEPENDENCYPART_ARC
(9,4),-1.58858 # DEPENDENCYPART_ARC
(9,5),-1.84436 # DEPENDENCYPART_ARC
(9,6),-1.22982 # DEPENDENCYPART_ARC
(9,7),-1.11451 # DEPENDENCYPART_ARC
(9,10),0.734688 # DEPENDENCYPART_ARC
(9,11),-0.46276 # DEPENDENCYPART_ARC
