# _root_ On the screens , only two forlorn blue figures remained , but the index had recovered a few points and was off about 140 .
#goldHeads=10,3,1,10,9,9,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
#predictedHeads=10,3,1,10,9,5,9,9,10,0,10,10,14,15,12,15,19,19,16,15,20,21,22,23,10,
(0,1),-3.86145 # DEPENDENCYPART_ARC
(0,9),-3.45989 # DEPENDENCYPART_ARC
(0,10),-1.63757 # DEPENDENCYPART_ARC
(0,15),-2.35455 # DEPENDENCYPART_ARC
(0,21),-2.65511 # DEPENDENCYPART_ARC
(1,2),-1.01744 # DEPENDENCYPART_ARC
(1,3),1.12692 # DEPENDENCYPART_ARC
(1,4),-1.24531 # DEPENDENCYPART_ARC
(1,5),-1.78824 # DEPENDENCYPART_ARC
(1,6),-2.32374 # DEPENDENCYPART_ARC
(1,7),-2.13625 # DEPENDENCYPART_ARC
(1,9),-1.40507 # DEPENDENCYPART_ARC
(1,10),-0.885716 # DEPENDENCYPART_ARC
(1,11),-1.40297 # DEPENDENCYPART_ARC
(1,12),-2.21404 # DEPENDENCYPART_ARC
(1,15),-2.23381 # DEPENDENCYPART_ARC
(1,25),-0.87017 # DEPENDENCYPART_ARC
(3,1),-1.54088 # DEPENDENCYPART_ARC
(3,2),1.49004 # DEPENDENCYPART_ARC
(3,4),-0.711596 # DEPENDENCYPART_ARC
(3,5),-1.12502 # DEPENDENCYPART_ARC
(3,6),-1.66067 # DEPENDENCYPART_ARC
(3,7),-1.6422 # DEPENDENCYPART_ARC
(3,8),-1.7895 # DEPENDENCYPART_ARC
(3,9),-1.85806 # DEPENDENCYPART_ARC
(3,10),-1.68504 # DEPENDENCYPART_ARC
(3,11),-1.38937 # DEPENDENCYPART_ARC
(3,12),-1.94914 # DEPENDENCYPART_ARC
(3,14),-2.78572 # DEPENDENCYPART_ARC
(3,15),-2.1959 # DEPENDENCYPART_ARC
(3,16),-2.45117 # DEPENDENCYPART_ARC
(3,19),-2.69376 # DEPENDENCYPART_ARC
(3,23),-2.17132 # DEPENDENCYPART_ARC
(3,25),-3.49051 # DEPENDENCYPART_ARC
(5,1),-1.94777 # DEPENDENCYPART_ARC
(5,3),-2.13585 # DEPENDENCYPART_ARC
(5,4),-1.60693 # DEPENDENCYPART_ARC
(5,6),0.706988 # DEPENDENCYPART_ARC
(5,7),-0.828139 # DEPENDENCYPART_ARC
(5,8),-1.14601 # DEPENDENCYPART_ARC
