# _root_ Around Wall Street , trading desks were relieved that they could at least play the market yesterday , in contrast to Friday 's gridlock .
#goldHeads=7,3,1,7,6,7,0,7,8,11,9,11,12,11,16,14,14,14,14,19,20,24,22,21,7,
#predictedHeads=7,3,1,7,6,7,0,7,8,11,9,11,12,11,16,14,14,14,14,19,20,24,22,21,7,
(0,1),-3.69438 # DEPENDENCYPART_ARC
(0,3),-3.98005 # DEPENDENCYPART_ARC
(0,6),-3.53331 # DEPENDENCYPART_ARC
(0,7),-1.4784 # DEPENDENCYPART_ARC
(0,8),-3.65886 # DEPENDENCYPART_ARC
(0,11),-3.08221 # DEPENDENCYPART_ARC
(0,14),-4.48818 # DEPENDENCYPART_ARC
(1,2),-0.651439 # DEPENDENCYPART_ARC
(1,3),-0.0957748 # DEPENDENCYPART_ARC
(1,4),-1.30865 # DEPENDENCYPART_ARC
(1,5),-1.67167 # DEPENDENCYPART_ARC
(1,6),-1.82146 # DEPENDENCYPART_ARC
(1,7),-0.138399 # DEPENDENCYPART_ARC
(1,8),-1.83404 # DEPENDENCYPART_ARC
(1,9),-1.7049 # DEPENDENCYPART_ARC
(1,10),-2.44296 # DEPENDENCYPART_ARC
(1,11),-1.09085 # DEPENDENCYPART_ARC
(1,13),-2.28349 # DEPENDENCYPART_ARC
(1,14),-2.51679 # DEPENDENCYPART_ARC
(1,18),-1.64672 # DEPENDENCYPART_ARC
(1,25),-3.5889 # DEPENDENCYPART_ARC
(2,1),-1.70561 # DEPENDENCYPART_ARC
(2,3),-1.13047 # DEPENDENCYPART_ARC
(2,4),-1.7401 # DEPENDENCYPART_ARC
(2,5),-2.31444 # DEPENDENCYPART_ARC
(2,6),-2.67142 # DEPENDENCYPART_ARC
(2,7),-2.42998 # DEPENDENCYPART_ARC
(3,1),-1.24312 # DEPENDENCYPART_ARC
(3,2),1.97235 # DEPENDENCYPART_ARC
(3,4),-0.122258 # DEPENDENCYPART_ARC
(3,5),-1.23484 # DEPENDENCYPART_ARC
(3,6),-1.94751 # DEPENDENCYPART_ARC
(3,7),-1.65664 # DEPENDENCYPART_ARC
(3,8),-2.11965 # DEPENDENCYPART_ARC
(3,9),-2.55684 # DEPENDENCYPART_ARC
(3,10),-2.20909 # DEPENDENCYPART_ARC
(3,11),-2.19481 # DEPENDENCYPART_ARC
(3,13),-2.79478 # DEPENDENCYPART_ARC
(3,14),-3.54408 # DEPENDENCYPART_ARC
(3,18),-1.57398 # DEPENDENCYPART_ARC
(3,23),-3.79459 # DEPENDENCYPART_ARC
(3,25),-3.61846 # DEPENDENCYPART_ARC
(4,3),-2.89917 # DEPENDENCYPART_ARC
(5,1),-2.5049 # DEPENDENCYPART_ARC
(5,2),-1.83244 # DEPENDENCYPART_ARC
(5,3),-1.80477 # DEPENDENCYPART_ARC
(5,4),-1.71268 # DEPENDENCYPART_ARC
(5,6),-0.922682 # DEPENDENCYPART_ARC
(5,7),-1.08555 # DEPENDENCYPART_ARC
(5,8),-1.66245 # DEPENDENCYPART_ARC
(5,9),-1.60649 # DEPENDENCYPART_ARC
(5,11),-1.85775 # DEPENDENCYPART_ARC
(6,1),-1.85103 # DEPENDENCYPART_ARC
(6,2),-0.340151 # DEPENDENCYPART_ARC
(6,3),-0.662531 # DEPENDENCYPART_ARC
(6,4),-0.973163 # DEPENDENCYPART_ARC
(6,5),1.55485 # DEPENDENCYPART_ARC
(6,7),-0.705735 # DEPENDENCYPART_ARC
(6,8),-0.962788 # DEPENDENCYPART_ARC
(6,9),-1.11097 # DEPENDENCYPART_ARC
(6,11),-1.37672 # DEPENDENCYPART_ARC
(6,12),-1.58832 # DEPENDENCYPART_ARC
(7,1),-0.657336 # DEPENDENCYPART_ARC
(7,2),-1.93672 # DEPENDENCYPART_ARC
(7,3),-1.53243 # DEPENDENCYPART_ARC
(7,4),-0.0939802 # DEPENDENCYPART_ARC
(7,5),-0.709408 # DEPENDENCYPART_ARC
(7,6),1.1159 # DEPENDENCYPART_ARC
(7,8),1.85277 # DEPENDENCYPART_ARC
(7,9),-0.967725 # DEPENDENCYPART_ARC
(7,10),-1.58294 # DEPENDENCYPART_ARC
(7,11),-0.632572 # DEPENDENCYPART_ARC
(7,12),-1.31421 # DEPENDENCYPART_ARC
(7,13),-2.02404 # DEPENDENCYPART_ARC
(7,14),-1.99015 # DEPENDENCYPART_ARC
(7,17),-1.70272 # DEPENDENCYPART_ARC
(7,18),-1.23718 # DEPENDENCYPART_ARC
(7,19),-2.17434 # DEPENDENCYPART_ARC
(7,21),-2.03858 # DEPENDENCYPART_ARC
(7,25),-0.119942 # DEPENDENCYPART_ARC
(8,1),-1.65547 # DEPENDENCYPART_ARC
(8,3),-2.06445 # DEPENDENCYPART_ARC
(8,4),-1.55594 # DEPENDENCYPART_ARC
(8,5),-1.18629 # DEPENDENCYPART_ARC
(8,6),-1.45583 # DEPENDENCYPART_ARC
(8,7),-1.1318 # DEPENDENCYPART_ARC
(8,9),0.407946 # DEPENDENCYPART_ARC
(8,10),-0.966644 # DEPENDENCYPART_ARC
(8,11),-1.04684 # DEPENDENCYPART_ARC
(8,12),-0.548451 # DEPENDENCYPART_ARC
(8,13),-1.62963 # DEPENDENCYPART_ARC
(8,14),-1.7907 # DEPENDENCYPART_ARC
(8,16),-1.53309 # DEPENDENCYPART_ARC
(8,17),-0.940515 # DEPENDENCYPART_ARC
(8,18),-1.37056 # DEPENDENCYPART_ARC
(8,19),-1.32903 # DEPENDENCYPART_ARC
(8,21),-1.60457 # DEPENDENCYPART_ARC
(8,24),-2.30984 # DEPENDENCYPART_ARC
(8,25),-1.93765 # DEPENDENCYPART_ARC
(9,1),-1.69024 # DEPENDENCYPART_ARC
(9,4),-2.22679 # DEPENDENCYPART_ARC
(9,6),-1.68949 # DEPENDENCYPART_ARC
(9,7),-1.86238 # DEPENDENCYPART_ARC
(9,8),-1.39362 # DEPENDENCYPART_ARC
(9,10),-1.03776 # DEPENDENCYPART_ARC
(9,11),0.232772 # DEPENDENCYPART_ARC
(9,12),-2.58856 # DEPENDENCYPART_ARC
(9,13),-2.05115 # DEPENDENCYPART_ARC
(9,14),-2.05192 # DEPENDENCYPART_ARC
(9,18),-1.51421 # DEPENDENCYPART_ARC
(9,25),-3.60234 # DEPENDENCYPART_ARC
(10,12),-1.516 # DEPENDENCYPART_ARC
(10,14),-2.58579 # DEPENDENCYPART_ARC
(11,1),-1.28381 # DEPENDENCYPART_ARC
(11,3),-2.03459 # DEPENDENCYPART_ARC
(11,4),-1.81757 # DEPENDENCYPART_ARC
(11,5),-1.46397 # DEPENDENCYPART_ARC
(11,6),-1.16069 # DEPENDENCYPART_ARC
(11,7),-1.88972 # DEPENDENCYPART_ARC
(11,8),-1.8055 # DEPENDENCYPART_ARC
(11,9),-1.2799 # DEPENDENCYPART_ARC
(11,10),0.908261 # DEPENDENCYPART_ARC
(11,12),-0.0998413 # DEPENDENCYPART_ARC
(11,13),-1.05643 # DEPENDENCYPART_ARC
(11,14),-0.344879 # DEPENDENCYPART_ARC
(11,15),-2.3335 # DEPENDENCYPART_ARC
(11,16),-1.80427 # DEPENDENCYPART_ARC
(11,17),-2.0651 # DEPENDENCYPART_ARC
(11,18),-1.57396 # DEPENDENCYPART_ARC
(11,19),-1.73843 # DEPENDENCYPART_ARC
(11,20),-2.26193 # DEPENDENCYPART_ARC
(11,21),-1.90651 # DEPENDENCYPART_ARC
(11,24),-2.64842 # DEPENDENCYPART_ARC
(11,25),-0.859204 # DEPENDENCYPART_ARC
(12,9),-1.3534 # DEPENDENCYPART_ARC
(12,10),-2.34296 # DEPENDENCYPART_ARC
(12,11),-1.59082 # DEPENDENCYPART_ARC
(12,13),0.913613 # DEPENDENCYPART_ARC
(12,14),-0.522807 # DEPENDENCYPART_ARC
(12,16),-1.87125 # DEPENDENCYPART_ARC
(12,17),-2.02915 # DEPENDENCYPART_ARC
(12,18),-1.65725 # DEPENDENCYPART_ARC
(13,10),-2.5238 # DEPENDENCYPART_ARC
(13,12),-1.41064 # DEPENDENCYPART_ARC
(13,14),-0.96119 # DEPENDENCYPART_ARC
(13,15),-2.41984 # DEPENDENCYPART_ARC
(13,16),-2.27678 # DEPENDENCYPART_ARC
(13,17),-2.49932 # DEPENDENCYPART_ARC
(13,19),-2.15371 # DEPENDENCYPART_ARC
(14,1),-0.920148 # DEPENDENCYPART_ARC
(14,3),-2.04823 # DEPENDENCYPART_ARC
(14,4),-1.85017 # DEPENDENCYPART_ARC
(14,5),-1.31369 # DEPENDENCYPART_ARC
(14,6),-0.976129 # DEPENDENCYPART_ARC
(14,7),-1.31512 # DEPENDENCYPART_ARC
(14,8),-1.2933 # DEPENDENCYPART_ARC
(14,9),-0.443542 # DEPENDENCYPART_ARC
(14,10),-1.29771 # DEPENDENCYPART_ARC
(14,11),-0.74774 # DEPENDENCYPART_ARC
(14,12),-0.559877 # DEPENDENCYPART_ARC
(14,13),0.0745745 # DEPENDENCYPART_ARC
(14,15),-0.608477 # DEPENDENCYPART_ARC
(14,16),0.102943 # DEPENDENCYPART_ARC
(14,17),0.389865 # DEPENDENCYPART_ARC
(14,18),-0.706237 # DEPENDENCYPART_ARC
(14,19),-0.327193 # DEPENDENCYPART_ARC
(14,20),-1.25999 # DEPENDENCYPART_ARC
(14,21),-0.401565 # DEPENDENCYPART_ARC
(14,22),-1.75953 # DEPENDENCYPART_ARC
(14,23),-2.30808 # DEPENDENCYPART_ARC
(14,24),-1.33027 # DEPENDENCYPART_ARC
(14,25),-1.38789 # DEPENDENCYPART_ARC
(15,16),-1.56934 # DEPENDENCYPART_ARC
(16,12),-1.33467 # DEPENDENCYPART_ARC
(16,13),-1.34615 # DEPENDENCYPART_ARC
(16,15),1.23419 # DEPENDENCYPART_ARC
(16,17),-1.29457 # DEPENDENCYPART_ARC
(16,19),-1.63834 # DEPENDENCYPART_ARC
(16,21),-2.03289 # DEPENDENCYPART_ARC
(17,12),-2.36069 # DEPENDENCYPART_ARC
(17,13),-2.41737 # DEPENDENCYPART_ARC
(17,15),-1.20192 # DEPENDENCYPART_ARC
(17,16),-0.202425 # DEPENDENCYPART_ARC
(17,18),-1.48593 # DEPENDENCYPART_ARC
(17,19),-2.20863 # DEPENDENCYPART_ARC
(17,20),-2.07942 # DEPENDENCYPART_ARC
(17,21),-2.11711 # DEPENDENCYPART_ARC
(17,23),-3.06146 # DEPENDENCYPART_ARC
(17,24),-2.97578 # DEPENDENCYPART_ARC
(19,17),-2.62419 # DEPENDENCYPART_ARC
(19,18),-1.59929 # DEPENDENCYPART_ARC
(19,20),1.7489 # DEPENDENCYPART_ARC
(19,21),-0.462777 # DEPENDENCYPART_ARC
(19,22),-1.51257 # DEPENDENCYPART_ARC
(19,24),-0.161161 # DEPENDENCYPART_ARC
(20,15),-2.36112 # DEPENDENCYPART_ARC
(20,16),-1.95842 # DEPENDENCYPART_ARC
(20,19),-1.25385 # DEPENDENCYPART_ARC
(20,21),-0.154876 # DEPENDENCYPART_ARC
(20,22),-1.70806 # DEPENDENCYPART_ARC
(20,23),-1.57392 # DEPENDENCYPART_ARC
(20,24),-1.82424 # DEPENDENCYPART_ARC
(21,16),-2.26539 # DEPENDENCYPART_ARC
(21,17),-2.15368 # DEPENDENCYPART_ARC
(21,19),-1.38966 # DEPENDENCYPART_ARC
(21,20),-1.49831 # DEPENDENCYPART_ARC
(21,22),0.34588 # DEPENDENCYPART_ARC
(21,23),-0.902978 # DEPENDENCYPART_ARC
(21,24),-0.107055 # DEPENDENCYPART_ARC
(21,25),-2.04389 # DEPENDENCYPART_ARC
(22,15),-4.57868 # DEPENDENCYPART_ARC
(22,20),-1.8605 # DEPENDENCYPART_ARC
(22,21),-2.13749 # DEPENDENCYPART_ARC
(22,23),1.82272 # DEPENDENCYPART_ARC
(22,24),-1.46901 # DEPENDENCYPART_ARC
(22,25),-2.08159 # DEPENDENCYPART_ARC
(23,24),-1.84196 # DEPENDENCYPART_ARC
(24,15),-3.73945 # DEPENDENCYPART_ARC
(24,16),-2.08927 # DEPENDENCYPART_ARC
(24,17),-2.52902 # DEPENDENCYPART_ARC
(24,19),-1.70476 # DEPENDENCYPART_ARC
(24,20),-1.02823 # DEPENDENCYPART_ARC
(24,21),-1.99906 # DEPENDENCYPART_ARC
(24,22),0.667832 # DEPENDENCYPART_ARC
