# _root_ Fidelity , for example , prepared ads several months ago in case of a market plunge .
#goldHeads=6,6,6,3,6,0,6,9,10,6,6,11,12,16,16,13,6,
#predictedHeads=6,1,1,3,1,0,6,9,10,6,6,11,12,16,16,13,6,
(0,1),-3.69357 # DEPENDENCYPART_ARC
(0,2),-3.70574 # DEPENDENCYPART_ARC
(0,3),-4.34001 # DEPENDENCYPART_ARC
(0,4),-4.43751 # DEPENDENCYPART_ARC
(0,6),-3.39821 # DEPENDENCYPART_ARC
(0,7),-3.52281 # DEPENDENCYPART_ARC
(0,9),-3.61258 # DEPENDENCYPART_ARC
(0,10),-5.07309 # DEPENDENCYPART_ARC
(0,11),-5.20189 # DEPENDENCYPART_ARC
(0,12),-4.53401 # DEPENDENCYPART_ARC
(0,16),-3.67177 # DEPENDENCYPART_ARC
(1,2),-0.616871 # DEPENDENCYPART_ARC
(1,3),-1.35199 # DEPENDENCYPART_ARC
(1,4),-1.60622 # DEPENDENCYPART_ARC
(1,5),-1.13733 # DEPENDENCYPART_ARC
(1,6),-2.16537 # DEPENDENCYPART_ARC
(1,7),-2.74315 # DEPENDENCYPART_ARC
(1,8),-2.48555 # DEPENDENCYPART_ARC
(1,9),-2.97708 # DEPENDENCYPART_ARC
(1,10),-2.6749 # DEPENDENCYPART_ARC
(1,11),-2.87205 # DEPENDENCYPART_ARC
(1,12),-3.92897 # DEPENDENCYPART_ARC
(1,13),-3.34254 # DEPENDENCYPART_ARC
(1,17),-2.95957 # DEPENDENCYPART_ARC
(2,1),-2.40846 # DEPENDENCYPART_ARC
(2,3),-2.03487 # DEPENDENCYPART_ARC
(2,5),-1.58442 # DEPENDENCYPART_ARC
(3,1),-2.43754 # DEPENDENCYPART_ARC
(3,2),-1.2887 # DEPENDENCYPART_ARC
(3,4),1.95333 # DEPENDENCYPART_ARC
(3,5),-1.32728 # DEPENDENCYPART_ARC
(3,6),-1.32891 # DEPENDENCYPART_ARC
(3,7),-0.878608 # DEPENDENCYPART_ARC
(3,8),-2.13599 # DEPENDENCYPART_ARC
(3,9),-1.67811 # DEPENDENCYPART_ARC
(3,10),-1.70788 # DEPENDENCYPART_ARC
(3,11),-1.77508 # DEPENDENCYPART_ARC
(3,13),-1.6285 # DEPENDENCYPART_ARC
(3,17),-3.25571 # DEPENDENCYPART_ARC
(4,1),-2.43578 # DEPENDENCYPART_ARC
(4,2),-2.15626 # DEPENDENCYPART_ARC
(4,3),-1.27509 # DEPENDENCYPART_ARC
(4,5),-1.11022 # DEPENDENCYPART_ARC
(4,6),-1.40522 # DEPENDENCYPART_ARC
(4,7),-1.74451 # DEPENDENCYPART_ARC
(4,8),-2.13464 # DEPENDENCYPART_ARC
(4,9),-2.02602 # DEPENDENCYPART_ARC
(4,10),-2.22517 # DEPENDENCYPART_ARC
(4,11),-2.30442 # DEPENDENCYPART_ARC
(4,12),-2.69895 # DEPENDENCYPART_ARC
(4,13),-2.6789 # DEPENDENCYPART_ARC
(4,16),-3.26442 # DEPENDENCYPART_ARC
(4,17),-2.84618 # DEPENDENCYPART_ARC
(5,6),-1.84645 # DEPENDENCYPART_ARC
(5,7),-2.55899 # DEPENDENCYPART_ARC
(6,1),-2.2799 # DEPENDENCYPART_ARC
(6,2),-1.94073 # DEPENDENCYPART_ARC
(6,3),-1.50757 # DEPENDENCYPART_ARC
(6,4),-1.79153 # DEPENDENCYPART_ARC
(6,5),-1.48084 # DEPENDENCYPART_ARC
(6,7),0.126326 # DEPENDENCYPART_ARC
(6,8),-0.867453 # DEPENDENCYPART_ARC
(6,9),-0.892671 # DEPENDENCYPART_ARC
(6,10),-0.752114 # DEPENDENCYPART_ARC
(6,11),-0.700624 # DEPENDENCYPART_ARC
(6,12),-1.45928 # DEPENDENCYPART_ARC
(6,13),-1.26777 # DEPENDENCYPART_ARC
(6,16),-1.70826 # DEPENDENCYPART_ARC
(6,17),-1.48693 # DEPENDENCYPART_ARC
(7,1),-2.41008 # DEPENDENCYPART_ARC
(7,2),-1.9747 # DEPENDENCYPART_ARC
(7,3),-1.81735 # DEPENDENCYPART_ARC
(7,4),-0.956958 # DEPENDENCYPART_ARC
(7,5),-1.14255 # DEPENDENCYPART_ARC
(7,6),0.707144 # DEPENDENCYPART_ARC
(7,8),-0.613773 # DEPENDENCYPART_ARC
(7,9),-1.0884 # DEPENDENCYPART_ARC
(7,10),-1.47599 # DEPENDENCYPART_ARC
(7,11),-1.14858 # DEPENDENCYPART_ARC
(7,12),-1.89044 # DEPENDENCYPART_ARC
(7,13),-1.45178 # DEPENDENCYPART_ARC
(7,16),-2.50175 # DEPENDENCYPART_ARC
(7,17),-2.24928 # DEPENDENCYPART_ARC
(8,1),-2.56026 # DEPENDENCYPART_ARC
(8,2),-2.73676 # DEPENDENCYPART_ARC
(8,3),-2.24287 # DEPENDENCYPART_ARC
(8,5),-2.06807 # DEPENDENCYPART_ARC
(8,6),-1.97452 # DEPENDENCYPART_ARC
(8,7),-1.07176 # DEPENDENCYPART_ARC
(8,11),-1.25708 # DEPENDENCYPART_ARC
(8,12),-1.94731 # DEPENDENCYPART_ARC
(8,13),-1.55503 # DEPENDENCYPART_ARC
(9,1),-2.94016 # DEPENDENCYPART_ARC
(9,2),-2.84668 # DEPENDENCYPART_ARC
(9,3),-2.43857 # DEPENDENCYPART_ARC
(9,4),-1.61021 # DEPENDENCYPART_ARC
(9,5),-2.22944 # DEPENDENCYPART_ARC
(9,6),-1.15618 # DEPENDENCYPART_ARC
(9,7),-0.582829 # DEPENDENCYPART_ARC
(9,8),1.03953 # DEPENDENCYPART_ARC
(9,10),-1.21058 # DEPENDENCYPART_ARC
(9,11),-1.1508 # DEPENDENCYPART_ARC
(9,12),-1.68965 # DEPENDENCYPART_ARC
(9,13),-1.35032 # DEPENDENCYPART_ARC
(9,16),-2.44675 # DEPENDENCYPART_ARC
(9,17),-2.28151 # DEPENDENCYPART_ARC
(10,1),-2.64545 # DEPENDENCYPART_ARC
(10,2),-2.27375 # DEPENDENCYPART_ARC
(10,3),-1.32994 # DEPENDENCYPART_ARC
(10,4),-1.79057 # DEPENDENCYPART_ARC
(10,5),-1.83426 # DEPENDENCYPART_ARC
(10,6),-1.85852 # DEPENDENCYPART_ARC
(10,7),-0.844939 # DEPENDENCYPART_ARC
(10,8),-1.2414 # DEPENDENCYPART_ARC
(10,9),0.386375 # DEPENDENCYPART_ARC
(10,11),-0.983867 # DEPENDENCYPART_ARC
(10,12),-1.22369 # DEPENDENCYPART_ARC
(10,13),-1.7501 # DEPENDENCYPART_ARC
(10,16),-2.51067 # DEPENDENCYPART_ARC
(10,17),-3.41389 # DEPENDENCYPART_ARC
(11,1),-2.97425 # DEPENDENCYPART_ARC
(11,2),-2.68661 # DEPENDENCYPART_ARC
(11,3),-1.52883 # DEPENDENCYPART_ARC
(11,5),-2.44791 # DEPENDENCYPART_ARC
(11,9),-1.84709 # DEPENDENCYPART_ARC
(11,10),-0.570827 # DEPENDENCYPART_ARC
(11,12),1.65207 # DEPENDENCYPART_ARC
(11,13),-1.03392 # DEPENDENCYPART_ARC
(11,16),-1.10961 # DEPENDENCYPART_ARC
(11,17),-2.6186 # DEPENDENCYPART_ARC
(12,8),-2.0779 # DEPENDENCYPART_ARC
