# _root_ Synchronized circuit breakers would not have halted the slide in prices on Friday , but they probably would have made for smoother , less volatile executions .
#goldHeads=3,3,4,0,4,4,6,9,7,9,10,9,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,7,10,11,12,4,4,18,18,15,18,19,20,26,20,25,26,21,4,
(0,1),-2.75 # DEPENDENCYPART_ARC
(0,3),-3.49855 # DEPENDENCYPART_ARC
(0,4),-2.27046 # DEPENDENCYPART_ARC
(0,6),-3.88337 # DEPENDENCYPART_ARC
(0,7),-4.03208 # DEPENDENCYPART_ARC
(0,18),-3.39129 # DEPENDENCYPART_ARC
(1,2),-0.39373 # DEPENDENCYPART_ARC
(1,3),-0.989443 # DEPENDENCYPART_ARC
(1,4),-1.30499 # DEPENDENCYPART_ARC
(1,5),-1.55389 # DEPENDENCYPART_ARC
(1,6),-2.0175 # DEPENDENCYPART_ARC
(1,7),-1.84641 # DEPENDENCYPART_ARC
(1,9),-2.11002 # DEPENDENCYPART_ARC
(1,10),-1.57326 # DEPENDENCYPART_ARC
(1,12),-1.98095 # DEPENDENCYPART_ARC
(1,14),-1.88569 # DEPENDENCYPART_ARC
(1,15),-2.13783 # DEPENDENCYPART_ARC
(1,27),-3.15567 # DEPENDENCYPART_ARC
(2,1),-0.491829 # DEPENDENCYPART_ARC
(2,3),-0.890692 # DEPENDENCYPART_ARC
(2,4),-1.27234 # DEPENDENCYPART_ARC
(2,5),-1.77056 # DEPENDENCYPART_ARC
(2,7),-1.94451 # DEPENDENCYPART_ARC
(3,1),0.409018 # DEPENDENCYPART_ARC
(3,2),1.76146 # DEPENDENCYPART_ARC
(3,4),-1.02309 # DEPENDENCYPART_ARC
(3,5),-1.68423 # DEPENDENCYPART_ARC
(3,6),-2.30211 # DEPENDENCYPART_ARC
(3,7),-1.79293 # DEPENDENCYPART_ARC
(4,1),-1.36886 # DEPENDENCYPART_ARC
(4,2),-0.725904 # DEPENDENCYPART_ARC
(4,3),0.920558 # DEPENDENCYPART_ARC
(4,5),0.866578 # DEPENDENCYPART_ARC
(4,6),1.43971 # DEPENDENCYPART_ARC
(4,7),-1.19795 # DEPENDENCYPART_ARC
(4,9),-1.48029 # DEPENDENCYPART_ARC
(4,10),-1.12796 # DEPENDENCYPART_ARC
(4,11),-1.71028 # DEPENDENCYPART_ARC
(4,12),-1.32465 # DEPENDENCYPART_ARC
(4,13),-2.10143 # DEPENDENCYPART_ARC
(4,14),-0.516868 # DEPENDENCYPART_ARC
(4,15),-0.381877 # DEPENDENCYPART_ARC
(4,16),-1.68399 # DEPENDENCYPART_ARC
(4,17),-1.6877 # DEPENDENCYPART_ARC
(4,18),-1.29706 # DEPENDENCYPART_ARC
(4,19),-1.61462 # DEPENDENCYPART_ARC
(4,20),-2.31153 # DEPENDENCYPART_ARC
(4,21),-1.23627 # DEPENDENCYPART_ARC
(4,22),-2.40272 # DEPENDENCYPART_ARC
(4,23),-1.2039 # DEPENDENCYPART_ARC
(4,24),-2.33694 # DEPENDENCYPART_ARC
(4,27),0.344769 # DEPENDENCYPART_ARC
(5,1),-2.58794 # DEPENDENCYPART_ARC
(5,3),-1.9048 # DEPENDENCYPART_ARC
(5,4),-1.20751 # DEPENDENCYPART_ARC
(5,6),-0.767484 # DEPENDENCYPART_ARC
(5,7),-1.4999 # DEPENDENCYPART_ARC
(5,9),-2.08983 # DEPENDENCYPART_ARC
(5,10),-1.86046 # DEPENDENCYPART_ARC
(6,1),-1.81414 # DEPENDENCYPART_ARC
(6,2),-1.20237 # DEPENDENCYPART_ARC
(6,3),-0.647682 # DEPENDENCYPART_ARC
