# _root_ If she is nominated by President Bush and confirmed by the Senate , Dr. Novello would succeed C. Everett Koop , who rattled liberals and conservatives alike with his outspoken views on a range of health issues .
#goldHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,24,23,31,31,28,31,34,32,34,37,35,16,
#predictedHeads=16,3,1,3,4,7,5,4,8,9,12,10,16,15,16,0,16,20,20,17,20,23,20,23,24,25,23,23,31,31,28,31,34,32,34,37,35,16,
(0,1),-3.76913 # DEPENDENCYPART_ARC
(0,3),-1.19573 # DEPENDENCYPART_ARC
(0,4),-4.03109 # DEPENDENCYPART_ARC
(0,9),-3.84222 # DEPENDENCYPART_ARC
(0,16),-3.72792 # DEPENDENCYPART_ARC
(0,17),-5.06966 # DEPENDENCYPART_ARC
(0,23),-2.95291 # DEPENDENCYPART_ARC
(1,2),-0.260472 # DEPENDENCYPART_ARC
(1,3),1.58814 # DEPENDENCYPART_ARC
(1,4),-1.2093 # DEPENDENCYPART_ARC
(1,5),-1.73123 # DEPENDENCYPART_ARC
(1,6),-2.70817 # DEPENDENCYPART_ARC
(1,7),-2.80803 # DEPENDENCYPART_ARC
(1,8),-1.1591 # DEPENDENCYPART_ARC
(1,9),-1.84168 # DEPENDENCYPART_ARC
(1,16),-0.679515 # DEPENDENCYPART_ARC
(1,21),-0.579622 # DEPENDENCYPART_ARC
(1,23),-1.33861 # DEPENDENCYPART_ARC
(1,38),-1.53428 # DEPENDENCYPART_ARC
(2,1),-1.335 # DEPENDENCYPART_ARC
(2,4),-2.12586 # DEPENDENCYPART_ARC
(2,8),-1.83245 # DEPENDENCYPART_ARC
(3,1),-1.37554 # DEPENDENCYPART_ARC
(3,2),0.993829 # DEPENDENCYPART_ARC
(3,4),1.3539 # DEPENDENCYPART_ARC
(3,5),-1.16032 # DEPENDENCYPART_ARC
(3,6),-2.05752 # DEPENDENCYPART_ARC
(3,7),-2.16263 # DEPENDENCYPART_ARC
(3,8),-1.03548 # DEPENDENCYPART_ARC
(3,9),-1.85312 # DEPENDENCYPART_ARC
(3,10),-2.08866 # DEPENDENCYPART_ARC
(3,13),-2.11511 # DEPENDENCYPART_ARC
(3,16),-1.65012 # DEPENDENCYPART_ARC
(3,25),-2.50635 # DEPENDENCYPART_ARC
(3,38),0.49767 # DEPENDENCYPART_ARC
(4,1),-1.48129 # DEPENDENCYPART_ARC
(4,2),-1.51705 # DEPENDENCYPART_ARC
(4,5),1.17856 # DEPENDENCYPART_ARC
(4,6),-0.908056 # DEPENDENCYPART_ARC
(4,7),-0.968006 # DEPENDENCYPART_ARC
(4,8),-0.353695 # DEPENDENCYPART_ARC
(4,9),-1.24228 # DEPENDENCYPART_ARC
(4,10),-0.315454 # DEPENDENCYPART_ARC
(4,13),-1.48611 # DEPENDENCYPART_ARC
(4,28),-2.54815 # DEPENDENCYPART_ARC
(4,32),-2.62207 # DEPENDENCYPART_ARC
(4,38),-2.62048 # DEPENDENCYPART_ARC
(5,1),-1.33324 # DEPENDENCYPART_ARC
(5,2),-2.30652 # DEPENDENCYPART_ARC
(5,6),-0.326338 # DEPENDENCYPART_ARC
(5,7),-0.015363 # DEPENDENCYPART_ARC
(5,8),-0.76802 # DEPENDENCYPART_ARC
(5,9),-1.69591 # DEPENDENCYPART_ARC
(5,10),-1.3142 # DEPENDENCYPART_ARC
(5,12),-1.58332 # DEPENDENCYPART_ARC
(5,15),-2.21709 # DEPENDENCYPART_ARC
(5,16),-1.26518 # DEPENDENCYPART_ARC
(5,20),-2.10564 # DEPENDENCYPART_ARC
(6,7),-0.874388 # DEPENDENCYPART_ARC
(6,8),-1.22003 # DEPENDENCYPART_ARC
(6,9),-2.27988 # DEPENDENCYPART_ARC
(6,13),-1.50577 # DEPENDENCYPART_ARC
(7,1),-2.79309 # DEPENDENCYPART_ARC
(7,2),-2.57317 # DEPENDENCYPART_ARC
(7,4),-1.84852 # DEPENDENCYPART_ARC
(7,5),-1.66504 # DEPENDENCYPART_ARC
(7,6),1.39236 # DEPENDENCYPART_ARC
(7,8),-0.115585 # DEPENDENCYPART_ARC
(7,9),-1.11268 # DEPENDENCYPART_ARC
(7,10),-1.60324 # DEPENDENCYPART_ARC
(7,12),-2.28637 # DEPENDENCYPART_ARC
(7,13),-1.4426 # DEPENDENCYPART_ARC
(7,21),-1.6549 # DEPENDENCYPART_ARC
(8,7),-1.42367 # DEPENDENCYPART_ARC
(8,9),1.00538 # DEPENDENCYPART_ARC
(8,10),-0.857584 # DEPENDENCYPART_ARC
(8,12),-1.68036 # DEPENDENCYPART_ARC
(8,15),-2.37127 # DEPENDENCYPART_ARC
(8,16),-1.5106 # DEPENDENCYPART_ARC
(8,17),-2.44177 # DEPENDENCYPART_ARC
(8,19),-3.02502 # DEPENDENCYPART_ARC
(8,20),-2.89306 # DEPENDENCYPART_ARC
(8,23),-2.185 # DEPENDENCYPART_ARC
(9,1),-2.5763 # DEPENDENCYPART_ARC
(9,7),-2.16833 # DEPENDENCYPART_ARC
(9,8),-1.6385 # DEPENDENCYPART_ARC
(9,10),1.18032 # DEPENDENCYPART_ARC
(9,11),-1.65922 # DEPENDENCYPART_ARC
(9,12),-0.931176 # DEPENDENCYPART_ARC
(9,13),-1.29182 # DEPENDENCYPART_ARC
(9,14),-1.519 # DEPENDENCYPART_ARC
(9,25),-1.57094 # DEPENDENCYPART_ARC
(9,28),-2.10947 # DEPENDENCYPART_ARC
