# _root_ `` It 's a problem that clearly has to be resolved , '' said David Cooke , executive director of the RTC .
#goldHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
#predictedHeads=14,3,14,5,3,8,8,5,8,9,10,14,14,0,16,14,16,19,16,19,22,20,14,
(0,3),-1.57888 # DEPENDENCYPART_ARC
(0,8),-2.82595 # DEPENDENCYPART_ARC
(0,14),0.674939 # DEPENDENCYPART_ARC
(1,2),-2.44462 # DEPENDENCYPART_ARC
(1,3),-2.45508 # DEPENDENCYPART_ARC
(2,1),-1.55618 # DEPENDENCYPART_ARC
(2,3),-0.673453 # DEPENDENCYPART_ARC
(2,5),-1.58383 # DEPENDENCYPART_ARC
(2,9),-1.43001 # DEPENDENCYPART_ARC
(3,1),-0.792733 # DEPENDENCYPART_ARC
(3,2),1.23576 # DEPENDENCYPART_ARC
(3,4),-0.670572 # DEPENDENCYPART_ARC
(3,5),0.0559753 # DEPENDENCYPART_ARC
(3,6),-2.1395 # DEPENDENCYPART_ARC
(3,7),-1.12049 # DEPENDENCYPART_ARC
(3,8),-0.720466 # DEPENDENCYPART_ARC
(3,9),-0.972181 # DEPENDENCYPART_ARC
(3,10),-1.73856 # DEPENDENCYPART_ARC
(3,11),-1.98015 # DEPENDENCYPART_ARC
(3,12),-1.31986 # DEPENDENCYPART_ARC
(3,13),-1.2348 # DEPENDENCYPART_ARC
(3,14),-1.97698 # DEPENDENCYPART_ARC
(3,16),-3.08522 # DEPENDENCYPART_ARC
(3,17),-2.62563 # DEPENDENCYPART_ARC
(3,19),-2.73929 # DEPENDENCYPART_ARC
(3,20),-2.64713 # DEPENDENCYPART_ARC
(3,23),-1.94365 # DEPENDENCYPART_ARC
(4,3),-1.52074 # DEPENDENCYPART_ARC
(4,6),-2.18233 # DEPENDENCYPART_ARC
(4,8),-1.21106 # DEPENDENCYPART_ARC
(5,1),-1.67899 # DEPENDENCYPART_ARC
(5,2),-1.95018 # DEPENDENCYPART_ARC
(5,3),-1.25172 # DEPENDENCYPART_ARC
(5,4),1.64988 # DEPENDENCYPART_ARC
(5,6),-1.01802 # DEPENDENCYPART_ARC
(5,7),-1.3046 # DEPENDENCYPART_ARC
(5,8),-0.224338 # DEPENDENCYPART_ARC
(5,9),-1.21069 # DEPENDENCYPART_ARC
(5,11),-1.98876 # DEPENDENCYPART_ARC
(5,12),-1.09479 # DEPENDENCYPART_ARC
(5,13),-1.23822 # DEPENDENCYPART_ARC
(5,14),-1.21159 # DEPENDENCYPART_ARC
(5,16),-2.59838 # DEPENDENCYPART_ARC
(5,17),-1.67519 # DEPENDENCYPART_ARC
(5,19),-3.06286 # DEPENDENCYPART_ARC
(5,20),-2.95627 # DEPENDENCYPART_ARC
(5,22),-3.52118 # DEPENDENCYPART_ARC
(5,23),-2.3806 # DEPENDENCYPART_ARC
(6,3),-2.21307 # DEPENDENCYPART_ARC
(6,5),-1.70936 # DEPENDENCYPART_ARC
(6,7),-1.51416 # DEPENDENCYPART_ARC
(6,8),-1.10439 # DEPENDENCYPART_ARC
(6,9),-2.0482 # DEPENDENCYPART_ARC
(6,12),-1.61255 # DEPENDENCYPART_ARC
(6,14),-2.07624 # DEPENDENCYPART_ARC
(7,5),-2.06443 # DEPENDENCYPART_ARC
(7,6),-1.53531 # DEPENDENCYPART_ARC
(7,8),-0.690919 # DEPENDENCYPART_ARC
(7,9),-1.21992 # DEPENDENCYPART_ARC
(8,1),-0.77352 # DEPENDENCYPART_ARC
(8,2),-1.23126 # DEPENDENCYPART_ARC
(8,3),-1.43421 # DEPENDENCYPART_ARC
(8,4),-1.38829 # DEPENDENCYPART_ARC
(8,5),0.00417379 # DEPENDENCYPART_ARC
(8,6),1.26047 # DEPENDENCYPART_ARC
(8,7),0.826672 # DEPENDENCYPART_ARC
(8,9),0.800843 # DEPENDENCYPART_ARC
(8,10),-0.215184 # DEPENDENCYPART_ARC
(8,11),-0.334804 # DEPENDENCYPART_ARC
(8,12),-1.09224 # DEPENDENCYPART_ARC
(8,13),-1.07728 # DEPENDENCYPART_ARC
(8,14),-1.13165 # DEPENDENCYPART_ARC
(8,16),-2.40585 # DEPENDENCYPART_ARC
(8,17),-1.71866 # DEPENDENCYPART_ARC
(8,19),-2.65452 # DEPENDENCYPART_ARC
(8,20),-2.35784 # DEPENDENCYPART_ARC
(8,22),-3.195 # DEPENDENCYPART_ARC
(8,23),-1.37768 # DEPENDENCYPART_ARC
(9,6),-1.72527 # DEPENDENCYPART_ARC
(9,7),-1.59451 # DEPENDENCYPART_ARC
(9,8),-1.09915 # DEPENDENCYPART_ARC
(9,10),2.10964 # DEPENDENCYPART_ARC
(9,11),-0.717311 # DEPENDENCYPART_ARC
(9,12),-1.25078 # DEPENDENCYPART_ARC
(9,13),-1.11028 # DEPENDENCYPART_ARC
(9,14),-1.44405 # DEPENDENCYPART_ARC
(9,16),-2.15111 # DEPENDENCYPART_ARC
(9,19),-2.09874 # DEPENDENCYPART_ARC
(10,1),-2.31509 # DEPENDENCYPART_ARC
(10,5),-1.73978 # DEPENDENCYPART_ARC
(10,6),-0.832529 # DEPENDENCYPART_ARC
(10,7),-1.25005 # DEPENDENCYPART_ARC
(10,11),1.17044 # DEPENDENCYPART_ARC
(10,12),-1.65878 # DEPENDENCYPART_ARC
(10,13),-1.36407 # DEPENDENCYPART_ARC
(10,14),-0.957053 # DEPENDENCYPART_ARC
(10,16),-2.05761 # DEPENDENCYPART_ARC
(10,17),-2.01887 # DEPENDENCYPART_ARC
(10,19),-1.9637 # DEPENDENCYPART_ARC
(10,20),-2.23736 # DEPENDENCYPART_ARC
(10,23),-2.32553 # DEPENDENCYPART_ARC
(11,1),-2.01693 # DEPENDENCYPART_ARC
(11,3),-1.58978 # DEPENDENCYPART_ARC
(11,5),-1.54756 # DEPENDENCYPART_ARC
(11,6),-0.82496 # DEPENDENCYPART_ARC
(11,7),-1.24152 # DEPENDENCYPART_ARC
(11,8),-1.16003 # DEPENDENCYPART_ARC
(11,9),-1.2616 # DEPENDENCYPART_ARC
(11,10),-0.991356 # DEPENDENCYPART_ARC
(11,12),-1.00415 # DEPENDENCYPART_ARC
(11,13),-1.02047 # DEPENDENCYPART_ARC
(11,14),-1.20544 # DEPENDENCYPART_ARC
(11,15),-1.68443 # DEPENDENCYPART_ARC
(11,16),-1.6089 # DEPENDENCYPART_ARC
(11,17),-1.67643 # DEPENDENCYPART_ARC
(11,19),-2.00575 # DEPENDENCYPART_ARC
(11,20),-2.00555 # DEPENDENCYPART_ARC
(11,22),-2.47141 # DEPENDENCYPART_ARC
(11,23),-2.3008 # DEPENDENCYPART_ARC
(12,11),-1.66501 # DEPENDENCYPART_ARC
(13,11),-2.38986 # DEPENDENCYPART_ARC
(14,1),-0.307883 # DEPENDENCYPART_ARC
(14,2),-2.76996 # DEPENDENCYPART_ARC
(14,3),-0.883513 # DEPENDENCYPART_ARC
(14,5),-2.03208 # DEPENDENCYPART_ARC
(14,6),-0.977633 # DEPENDENCYPART_ARC
(14,7),-2.01203 # DEPENDENCYPART_ARC
(14,8),-1.01604 # DEPENDENCYPART_ARC
(14,9),-2.16457 # DEPENDENCYPART_ARC
(14,10),-1.75721 # DEPENDENCYPART_ARC
(14,11),-1.75151 # DEPENDENCYPART_ARC
(14,12),-0.241633 # DEPENDENCYPART_ARC
(14,13),-0.00877334 # DEPENDENCYPART_ARC
(14,15),-0.731361 # DEPENDENCYPART_ARC
(14,16),-0.462609 # DEPENDENCYPART_ARC
(14,17),-0.84297 # DEPENDENCYPART_ARC
(14,18),-1.63309 # DEPENDENCYPART_ARC
(14,19),-1.27725 # DEPENDENCYPART_ARC
(14,20),-0.890837 # DEPENDENCYPART_ARC
(14,22),-2.33457 # DEPENDENCYPART_ARC
(14,23),0.528915 # DEPENDENCYPART_ARC
(15,13),-2.29348 # DEPENDENCYPART_ARC
(15,16),-0.891584 # DEPENDENCYPART_ARC
(15,17),-1.58932 # DEPENDENCYPART_ARC
(15,18),-1.92816 # DEPENDENCYPART_ARC
(15,19),-2.02775 # DEPENDENCYPART_ARC
(15,20),-2.26353 # DEPENDENCYPART_ARC
(15,22),-3.81145 # DEPENDENCYPART_ARC
(16,1),-2.80405 # DEPENDENCYPART_ARC
(16,3),-2.63629 # DEPENDENCYPART_ARC
(16,5),-3.05298 # DEPENDENCYPART_ARC
(16,6),-3.19147 # DEPENDENCYPART_ARC
(16,7),-2.64467 # DEPENDENCYPART_ARC
(16,8),-2.40546 # DEPENDENCYPART_ARC
(16,9),-2.85828 # DEPENDENCYPART_ARC
(16,11),-1.6093 # DEPENDENCYPART_ARC
(16,12),-1.60962 # DEPENDENCYPART_ARC
(16,13),-1.5316 # DEPENDENCYPART_ARC
(16,14),-0.921822 # DEPENDENCYPART_ARC
(16,15),2.15793 # DEPENDENCYPART_ARC
(16,17),0.0866927 # DEPENDENCYPART_ARC
(16,18),-0.996682 # DEPENDENCYPART_ARC
(16,19),-0.843942 # DEPENDENCYPART_ARC
(16,20),-1.56575 # DEPENDENCYPART_ARC
(16,21),-2.32693 # DEPENDENCYPART_ARC
(16,22),-2.96529 # DEPENDENCYPART_ARC
(16,23),-1.97834 # DEPENDENCYPART_ARC
(18,16),-1.02131 # DEPENDENCYPART_ARC
(18,17),-0.632915 # DEPENDENCYPART_ARC
(18,19),-0.849451 # DEPENDENCYPART_ARC
(18,20),-1.06843 # DEPENDENCYPART_ARC
(18,22),-2.3473 # DEPENDENCYPART_ARC
(19,1),-2.35753 # DEPENDENCYPART_ARC
(19,4),-1.53353 # DEPENDENCYPART_ARC
(19,5),-2.68075 # DEPENDENCYPART_ARC
(19,9),-2.9652 # DEPENDENCYPART_ARC
(19,11),-1.79803 # DEPENDENCYPART_ARC
(19,12),-2.36263 # DEPENDENCYPART_ARC
(19,13),-2.37958 # DEPENDENCYPART_ARC
(19,15),-0.95214 # DEPENDENCYPART_ARC
(19,16),-1.30073 # DEPENDENCYPART_ARC
(19,17),-0.852921 # DEPENDENCYPART_ARC
(19,18),1.50482 # DEPENDENCYPART_ARC
(19,20),0.780635 # DEPENDENCYPART_ARC
(19,21),-1.75994 # DEPENDENCYPART_ARC
(19,22),-1.47141 # DEPENDENCYPART_ARC
(19,23),-1.65159 # DEPENDENCYPART_ARC
(20,18),-2.38313 # DEPENDENCYPART_ARC
(20,21),-1.15768 # DEPENDENCYPART_ARC
(20,22),-0.00137582 # DEPENDENCYPART_ARC
(22,18),-1.52811 # DEPENDENCYPART_ARC
(22,21),1.27684 # DEPENDENCYPART_ARC
(22,23),-1.22077 # DEPENDENCYPART_ARC
(23,22),-2.18222 # DEPENDENCYPART_ARC
(0,3),(0,8),-1.55865 # DEPENDENCYPART_SIBL
(0,3),(0,14),-2.04409 # DEPENDENCYPART_SIBL
(0,8),(0,14),-2.10267 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0151193 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0091264 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0444644 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0409962 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.111683 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.119274 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00723826 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.0978824 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0233491 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0134653 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.00998985 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0516141 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0557789 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0761976 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.0984626 # DEPENDENCYPART_SIBL
(3,1),(3,11),0.155707 # DEPENDENCYPART_SIBL
(3,1),(3,12),0.0541051 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.378867 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.19201 # DEPENDENCYPART_SIBL
(3,1),(3,16),0.0565086 # DEPENDENCYPART_SIBL
(3,1),(3,17),0.0541051 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.082449 # DEPENDENCYPART_SIBL
(3,1),(3,20),-0.0172829 # DEPENDENCYPART_SIBL
(3,1),(3,23),0.43746 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.223184 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.257589 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.420501 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0353932 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.125326 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.235439 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.211981 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.324586 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.201271 # DEPENDENCYPART_SIBL
